,Book,Chapters,Verses,Words
1,Genesis,50,1533,38262
2,Exodus,40,1213,32685
3,Leviticus,27,859,24541
4,Numbers,36,1288,32896
5,Deuteronomy,34,959,28352
6,Joshua,24,658,18854
7,Judges,21,618,18966
8,Ruth,4,85,2574
9,1 Samuel,31,810,25048
10,2 Samuel,24,695,20600
11,1 Kings,22,816,24513
12,2 Kings,25,719,23517
13,1 Chronicles,29,942,20365
14,2 Chronicles,36,822,26069
15,Ezra,10,280,7440
16,Nehemiah,13,406,10480
17,Esther,10,167,5633
18,Job,42,1070,18098
19,Psalms,150,2461,42682
20,Proverbs,31,915,15038
21,Ecclesiastes,12,222,5579
22,Song of Solomon,8,117,2658
23,Isaiah,66,1292,37036
24,Jeremiah,52,1364,42654
25,Lamentations,5,154,3411
26,Ezekiel,48,1273,39401
27,Daniel,12,357,11602
28,Hosea,14,197,5174
29,Joel,3,73,2033
30,Amos,9,146,4216
31,Obadiah,1,21,669
32,Jonah,4,48,1320
33,Micah,7,105,3152
34,Nahum,3,47,1284
35,Habakkuk,3,56,1475
36,Zephaniah,3,53,1616
37,Haggai,2,38,1130
38,Zechariah,14,211,6443
39,Malachi,4,55,1781
40,Matthew,28,1071,23684
41,Mark,16,678,15166
42,Luke,24,1151,25939
43,John,21,879,19094
44,Acts,28,1007,24245
45,Romans,16,433,9422
46,1 Corinthians,16,437,9462
47,2 Corinthians,13,257,6065
48,Galatians,6,149,3084
49,Ephesians,6,155,3022
50,Philippians,4,104,2183
51,Colossians,4,95,1979
52,1 Thessalonians,5,89,1837
53,2 Thessalonians,3,47,1022
54,1 Timothy,6,113,2244
55,2 Timothy,4,83,1666
56,Titus,3,46,896
57,Philemon,1,25,430
58,Hebrews,13,303,6897
59,James,5,108,2304
60,1 Peter,5,105,2476
61,2 Peter,3,61,1553
62,1 John,5,105,2517
63,2 John,1,13,298
64,3 John,1,14,294
65,Jude,1,25,608
66,Revelation,22,404,11995
66,Bible Totals,1189,31102,789629
