ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,10,0,"In the beginning God created the heaven and the earth.","In the beginning God created the heaven and the earth."
258,29,0,"And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.","And the earth was without form, and void; and darkness <i>was</i> upon the face of the deep. And the Spirit of God moved upon the face of the waters."
259,11,1,"And God said, Let there be light: and there was light.","¶And God said, Let there be light: and there was light."
260,17,0,"And God saw the light, that it was good: and God divided the light from the darkness.","And God saw the light, that <i>it was</i> good: and God divided the light from the darkness."
261,22,0,"And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.","And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day."
262,23,1,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","¶And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters."
263,26,0,"And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","And God made the firmament, and divided the waters which <i>were</i> under the firmament from the waters which <i>were</i> above the firmament: and it was so."
264,16,0,"And God called the firmament Heaven. And the evening and the morning were the second day.","And God called the firmament Heaven. And the evening and the morning were the second day."
265,25,1,"And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","¶And God said, Let the waters under the heaven be gathered together unto one place, and let the dry <i>land</i> appear: and it was so."
266,24,0,"And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.","And God called the dry <i>land</i> Earth; and the gathering together of the waters called he Seas: and God saw that <i>it was</i> good."
267,34,0,"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.","And God said, Let the earth bring forth grass, the herb yielding seed, <i>and</i> the fruit tree yielding fruit after his kind, whose seed <i>is</i> in itself, upon the earth: and it was so."
268,33,0,"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.","And the earth brought forth grass, <i>and</i> herb yielding seed after his kind, and the tree yielding fruit, whose seed <i>was</i> in itself, after his kind: and God saw that <i>it was</i> good."
269,10,0,"And the evening and the morning were the third day.","And the evening and the morning were the third day."
270,34,1,"And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:","¶And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:"
271,22,0,"And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.","And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so."
