ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,22,0,"Now these are the names of the children of Israel, which came into Egypt; every man and his household came with Jacob.","Now these <i>are</i> the names of the children of Israel, which came into Egypt; every man and his household came with Jacob.",""
258,5,0,"Reuben, Simeon, Levi, and Judah,","Reuben, Simeon, Levi, and Judah,",""
259,4,0,"Issachar, Zebulun, and Benjamin,","Issachar, Zebulun, and Benjamin,",""
260,6,0,"Dan, and Naphtali, Gad, and Asher.","Dan, and Naphtali, Gad, and Asher.",""
261,21,0,"And all the souls that came out of the loins of Jacob were seventy souls: for Joseph was in Egypt already.","And all the souls that came out of the loins of Jacob were seventy souls: for Joseph was in Egypt <i>already</i>.",""
262,11,0,"And Joseph died, and all his brethren, and all that generation.","And Joseph died, and all his brethren, and all that generation.",""
263,23,1,"And the children of Israel were fruitful, and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them.","¶And the children of Israel were fruitful, and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them.",""
264,13,1,"Now there arose up a new king over Egypt, which knew not Joseph.","¶Now there arose up a new king over Egypt, which knew not Joseph.",""
265,20,0,"And he said unto his people, Behold, the people of the children of Israel are more and mightier than we:","And he said unto his people, Behold, the people of the children of Israel <i>are</i> more and mightier than we:",""
266,42,0,"Come on, let us deal wisely with them; lest they multiply, and it come to pass, that, when there falleth out any war, they join also unto our enemies, and fight against us, and so get them up out of the land.","Come on, let us deal wisely with them; lest they multiply, and it come to pass, that, when there falleth out any war, they join also unto our enemies, and fight against us, and <i>so</i> get them up out of the land.",""
267,23,0,"Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Raamses.","Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Raamses.",""
268,22,0,"But the more they afflicted them, the more they multiplied and grew. And they were grieved because of the children of Israel.","But the more they afflicted them, the more they multiplied and grew. And they were grieved because of the children of Israel.",""
269,12,0,"And the Egyptians made the children of Israel to serve with rigour:","And the Egyptians made the children of Israel to serve with rigour:",""
270,34,0,"And they made their lives bitter with hard bondage, in morter, and in brick, and in all manner of service in the field: all their service, wherein they made them serve, was with rigour.","And they made their lives bitter with hard bondage, in morter, and in brick, and in all manner of service in the field: all their service, wherein they made them serve, <i>was</i> with rigour.",""
271,26,1,"And the king of Egypt spake to the Hebrew midwives, of which the name of the one was Shiphrah, and the name of the other Puah:","¶And the king of Egypt spake to the Hebrew midwives, of which the name of the one <i>was</i> Shiphrah, and the name of the other Puah:",""
272,41,0,"And he said, When ye do the office of a midwife to the Hebrew women, and see them upon the stools; if it be a son, then ye shall kill him: but if it be a daughter, then she shall live.","And he said, When ye do the office of a midwife to the Hebrew women, and see <i>them</i> upon the stools; if it <i>be</i> a son, then ye shall kill him: but if it <i>be</i> a daughter, then she shall live.",""
273,21,0,"But the midwives feared God, and did not as the king of Egypt commanded them, but saved the men children alive.","But the midwives feared God, and did not as the king of Egypt commanded them, but saved the men children alive.",""
274,26,0,"And the king of Egypt called for the midwives, and said unto them, Why have ye done this thing, and have saved the men children alive?","And the king of Egypt called for the midwives, and said unto them, Why have ye done this thing, and have saved the men children alive?",""
275,30,0,"And the midwives said unto Pharaoh, Because the Hebrew women are not as the Egyptian women; for they are lively, and are delivered ere the midwives come in unto them.","And the midwives said unto Pharaoh, Because the Hebrew women <i>are</i> not as the Egyptian women; for they <i>are</i> lively, and are delivered ere the midwives come in unto them.",""
276,15,0,"Therefore God dealt well with the midwives: and the people multiplied, and waxed very mighty.","Therefore God dealt well with the midwives: and the people multiplied, and waxed very mighty.",""
