ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,18,0,"And the LORD called unto Moses, and spake unto him out of the tabernacle of the congregation, saying,","And the L<font size=""-1"">ORD</font> called unto Moses, and spake unto him out of the tabernacle of the congregation, saying,"
258,37,0,"Speak unto the children of Israel, and say unto them, If any man of you bring an offering unto the LORD, ye shall bring your offering of the cattle, even of the herd, and of the flock.","Speak unto the children of Israel, and say unto them, If any man of you bring an offering unto the L<font size=""-1"">ORD</font>, ye shall bring your offering of the cattle, <i>even</i> of the herd, and of the flock."
259,38,1,"If his offering be a burnt sacrifice of the herd, let him offer a male without blemish: he shall offer it of his own voluntary will at the door of the tabernacle of the congregation before the LORD.","¶If his offering <i>be</i> a burnt sacrifice of the herd, let him offer a male without blemish: he shall offer it of his own voluntary will at the door of the tabernacle of the congregation before the L<font size=""-1"">ORD</font>."
260,25,0,"And he shall put his hand upon the head of the burnt offering; and it shall be accepted for him to make atonement for him.","And he shall put his hand upon the head of the burnt offering; and it shall be accepted for him to make atonement for him."
261,38,0,"And he shall kill the bullock before the LORD: and the priests, Aaron's sons, shall bring the blood, and sprinkle the blood round about upon the altar that is by the door of the tabernacle of the congregation.","And he shall kill the bullock before the L<font size=""-1"">ORD</font>: and the priests, Aaron's sons, shall bring the blood, and sprinkle the blood round about upon the altar that <i>is by</i> the door of the tabernacle of the congregation."
262,13,0,"And he shall flay the burnt offering, and cut it into his pieces.","And he shall flay the burnt offering, and cut it into his pieces."
263,22,0,"And the sons of Aaron the priest shall put fire upon the altar, and lay the wood in order upon the fire:","And the sons of Aaron the priest shall put fire upon the altar, and lay the wood in order upon the fire:"
264,29,0,"And the priests, Aaron's sons, shall lay the parts, the head, and the fat, in order upon the wood that is on the fire which is upon the altar:","And the priests, Aaron's sons, shall lay the parts, the head, and the fat, in order upon the wood that <i>is</i> on the fire which <i>is</i> upon the altar:"
265,37,0,"But his inwards and his legs shall he wash in water: and the priest shall burn all on the altar, to be a burnt sacrifice, an offering made by fire, of a sweet savour unto the LORD.","But his inwards and his legs shall he wash in water: and the priest shall burn all on the altar, <i>to be</i> a burnt sacrifice, an offering made by fire, of a sweet savour unto the L<font size=""-1"">ORD</font>."
266,28,1,"And if his offering be of the flocks, namely, of the sheep, or of the goats, for a burnt sacrifice; he shall bring it a male without blemish.","¶And if his offering <i>be</i> of the flocks, <i>namely</i>, of the sheep, or of the goats, for a burnt sacrifice; he shall bring it a male without blemish."
267,29,0,"And he shall kill it on the side of the altar northward before the LORD: and the priests, Aaron's sons, shall sprinkle his blood round about upon the altar.","And he shall kill it on the side of the altar northward before the L<font size=""-1"">ORD</font>: and the priests, Aaron's sons, shall sprinkle his blood round about upon the altar."
268,35,0,"And he shall cut it into his pieces, with his head and his fat: and the priest shall lay them in order on the wood that is on the fire which is upon the altar:","And he shall cut it into his pieces, with his head and his fat: and the priest shall lay them in order on the wood that <i>is</i> on the fire which <i>is</i> upon the altar:"
269,41,0,"But he shall wash the inwards and the legs with water: and the priest shall bring it all, and burn it upon the altar: it is a burnt sacrifice, an offering made by fire, of a sweet savour unto the LORD.","But he shall wash the inwards and the legs with water: and the priest shall bring <i>it</i> all, and burn <i>it</i> upon the altar: it <i>is</i> a burnt sacrifice, an offering made by fire, of a sweet savour unto the L<font size=""-1"">ORD</font>."
270,26,1,"And if the burnt sacrifice for his offering to the LORD be of fowls, then he shall bring his offering of turtledoves, or of young pigeons.","¶And if the burnt sacrifice for his offering to the L<font size=""-1"">ORD</font> <i>be</i> of fowls, then he shall bring his offering of turtledoves, or of young pigeons."
271,34,0,"And the priest shall bring it unto the altar, and wring off his head, and burn it on the altar; and the blood thereof shall be wrung out at the side of the altar:","And the priest shall bring it unto the altar, and wring off his head, and burn <i>it</i> on the altar; and the blood thereof shall be wrung out at the side of the altar:"
272,26,0,"And he shall pluck away his crop with his feathers, and cast it beside the altar on the east part, by the place of the ashes:","And he shall pluck away his crop with his feathers, and cast it beside the altar on the east part, by the place of the ashes:"
273,49,0,"And he shall cleave it with the wings thereof, but shall not divide it asunder: and the priest shall burn it upon the altar, upon the wood that is upon the fire: it is a burnt sacrifice, an offering made by fire, of a sweet savour unto the LORD.","And he shall cleave it with the wings thereof, <i>but</i> shall not divide <i>it</i> asunder: and the priest shall burn it upon the altar, upon the wood that <i>is</i> upon the fire: it <i>is</i> a burnt sacrifice, an offering made by fire, of a sweet savour unto the L<font size=""-1"">ORD</font>."
513,29,0,"And when any will offer a meat offering unto the LORD, his offering shall be of fine flour; and he shall pour oil upon it, and put frankincense thereon:","And when any will offer a meat offering unto the L<font size=""-1"">ORD</font>, his offering shall be <i>of</i> fine flour; and he shall pour oil upon it, and put frankincense thereon:"
