ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,40,0,"And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,","And the L<font size=""-1"">ORD</font> spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first <i>day</i> of the second month, in the second year after they were come out of the land of Egypt, saying,",""
258,33,0,"Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;","Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of <i>their</i> names, every male by their polls;",""
259,26,0,"From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.","From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.",""
260,20,0,"And with you there shall be a man of every tribe; every one head of the house of his fathers.","And with you there shall be a man of every tribe; every one head of the house of his fathers.",""
261,23,1,"And these are the names of the men that shall stand with you: of the tribe of Reuben; Elizur the son of Shedeur.","¶And these <i>are</i> the names of the men that shall stand with you: of <i>the tribe of</i> Reuben; Elizur the son of Shedeur.",""
262,7,0,"Of Simeon; Shelumiel the son of Zurishaddai.","Of Simeon; Shelumiel the son of Zurishaddai.",""
263,7,0,"Of Judah; Nahshon the son of Amminadab.","Of Judah; Nahshon the son of Amminadab.",""
264,7,0,"Of Issachar; Nethaneel the son of Zuar.","Of Issachar; Nethaneel the son of Zuar.",""
265,7,0,"Of Zebulun; Eliab the son of Helon.","Of Zebulun; Eliab the son of Helon.",""
266,19,0,"Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.","Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.",""
267,7,0,"Of Benjamin; Abidan the son of Gideoni.","Of Benjamin; Abidan the son of Gideoni.",""
268,7,0,"Of Dan; Ahiezer the son of Ammishaddai.","Of Dan; Ahiezer the son of Ammishaddai.",""
269,7,0,"Of Asher; Pagiel the son of Ocran.","Of Asher; Pagiel the son of Ocran.",""
270,7,0,"Of Gad; Eliasaph the son of Deuel.","Of Gad; Eliasaph the son of Deuel.",""
271,7,0,"Of Naphtali; Ahira the son of Enan.","Of Naphtali; Ahira the son of Enan.",""
272,19,0,"These were the renowned of the congregation, princes of the tribes of their fathers, heads of thousands in Israel.","These <i>were</i> the renowned of the congregation, princes of the tribes of their fathers, heads of thousands in Israel.",""
273,13,1,"And Moses and Aaron took these men which are expressed by their names:","¶And Moses and Aaron took these men which are expressed by <i>their</i> names:",""
274,45,0,"And they assembled all the congregation together on the first day of the second month, and they declared their pedigrees after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, by their polls.","And they assembled all the congregation together on the first <i>day</i> of the second month, and they declared their pedigrees after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, by their polls.",""
275,14,0,"As the LORD commanded Moses, so he numbered them in the wilderness of Sinai.","As the L<font size=""-1"">ORD</font> commanded Moses, so he numbered them in the wilderness of Sinai.",""
276,47,0,"And the children of Reuben, Israel's eldest son, by their generations, after their families, by the house of their fathers, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;","And the children of Reuben, Israel's eldest son, by their generations, after their families, by the house of their fathers, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;",""
277,20,0,"Those that were numbered of them, even of the tribe of Reuben, were forty and six thousand and five hundred.","Those that were numbered of them, <i>even</i> of the tribe of Reuben, <i>were</i> forty and six thousand and five hundred.",""
