ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,35,0,"These be the words which Moses spake unto all Israel on this side Jordan in the wilderness, in the plain over against the Red sea, between Paran, and Tophel, and Laban, and Hazeroth, and Dizahab.","These <i>be</i> the words which Moses spake unto all Israel on this side Jordan in the wilderness, in the plain over against the Red <i>sea</i>, between Paran, and Tophel, and Laban, and Hazeroth, and Dizahab.",""
258,15,0,"(There are eleven days' journey from Horeb by the way of mount Seir unto Kadesh-barnea.)","(<i>There are</i> eleven days' <i>journey</i> from Horeb by the way of mount Seir unto Kadesh–barnea.)",""
259,41,0,"And it came to pass in the fortieth year, in the eleventh month, on the first day of the month, that Moses spake unto the children of Israel, according unto all that the LORD had given him in commandment unto them;","And it came to pass in the fortieth year, in the eleventh month, on the first <i>day</i> of the month, <i>that</i> Moses spake unto the children of Israel, according unto all that the L<font size=""-1"">ORD</font> had given him in commandment unto them;",""
260,26,0,"After he had slain Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt at Astaroth in Edrei:","After he had slain Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt at Astaroth in Edrei:",""
261,16,0,"On this side Jordan, in the land of Moab, began Moses to declare this law, saying,","On this side Jordan, in the land of Moab, began Moses to declare this law, saying,",""
262,18,0,"The LORD our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mount:","The L<font size=""-1"">ORD</font> our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mount:",""
263,56,0,"Turn you, and take your journey, and go to the mount of the Amorites, and unto all the places nigh thereunto, in the plain, in the hills, and in the vale, and in the south, and by the sea side, to the land of the Canaanites, and unto Lebanon, unto the great river, the river Euphrates.","Turn you, and take your journey, and go to the mount of the Amorites, and unto all <i>the places</i> nigh thereunto, in the plain, in the hills, and in the vale, and in the south, and by the sea side, to the land of the Canaanites, and unto Lebanon, unto the great river, the river Euphrates.",""
264,35,0,"Behold, I have set the land before you: go in and possess the land which the LORD sware unto your fathers, Abraham, Isaac, and Jacob, to give unto them and to their seed after them.","Behold, I have set the land before you: go in and possess the land which the L<font size=""-1"">ORD</font> sware unto your fathers, Abraham, Isaac, and Jacob, to give unto them and to their seed after them.",""
265,18,1,"And I spake unto you at that time, saying, I am not able to bear you myself alone:","¶And I spake unto you at that time, saying, I am not able to bear you myself alone:",""
266,20,0,"The LORD your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude.","The L<font size=""-1"">ORD</font> your God hath multiplied you, and, behold, ye <i>are</i> this day as the stars of heaven for multitude.",""
267,25,0,"(The LORD God of your fathers make you a thousand times so many more as ye are, and bless you, as he hath promised you!)","(The L<font size=""-1"">ORD</font> God of your fathers make you a thousand times so many more as ye <i>are</i>, and bless you, as he hath promised you!)",""
268,14,0,"How can I myself alone bear your cumbrance, and your burden, and your strife?","How can I myself alone bear your cumbrance, and your burden, and your strife?",""
269,19,0,"Take you wise men, and understanding, and known among your tribes, and I will make them rulers over you.","Take you wise men, and understanding, and known among your tribes, and I will make them rulers over you.",""
270,18,0,"And ye answered me, and said, The thing which thou hast spoken is good for us to do.","And ye answered me, and said, The thing which thou hast spoken <i>is</i> good <i>for us</i> to do.",""
271,38,0,"So I took the chief of your tribes, wise men, and known, and made them heads over you, captains over thousands, and captains over hundreds, and captains over fifties, and captains over tens, and officers among your tribes.","So I took the chief of your tribes, wise men, and known, and made them heads over you, captains over thousands, and captains over hundreds, and captains over fifties, and captains over tens, and officers among your tribes.",""
272,31,0,"And I charged your judges at that time, saying, Hear the causes between your brethren, and judge righteously between every man and his brother, and the stranger that is with him.","And I charged your judges at that time, saying, Hear <i>the causes</i> between your brethren, and judge righteously between <i>every</i> man and his brother, and the stranger <i>that is</i> with him.",""
273,51,0,"Ye shall not respect persons in judgment; but ye shall hear the small as well as the great; ye shall not be afraid of the face of man; for the judgment is God's: and the cause that is too hard for you, bring it unto me, and I will hear it.","Ye shall not respect persons in judgment; <i>but</i> ye shall hear the small as well as the great; ye shall not be afraid of the face of man; for the judgment <i>is</i> God's: and the cause that is too hard for you, bring <i>it</i> unto me, and I will hear it.",""
274,14,0,"And I commanded you at that time all the things which ye should do.","And I commanded you at that time all the things which ye should do.",""
275,39,1,"And when we departed from Horeb, we went through all that great and terrible wilderness, which ye saw by the way of the mountain of the Amorites, as the LORD our God commanded us; and we came to Kadesh-barnea.","¶And when we departed from Horeb, we went through all that great and terrible wilderness, which ye saw by the way of the mountain of the Amorites, as the L<font size=""-1"">ORD</font> our God commanded us; and we came to Kadesh–barnea.",""
276,23,0,"And I said unto you, Ye are come unto the mountain of the Amorites, which the LORD our God doth give unto us.","And I said unto you, Ye are come unto the mountain of the Amorites, which the L<font size=""-1"">ORD</font> our God doth give unto us.",""
277,32,0,"Behold, the LORD thy God hath set the land before thee: go up and possess it, as the LORD God of thy fathers hath said unto thee; fear not, neither be discouraged.","Behold, the L<font size=""-1"">ORD</font> thy God hath set the land before thee: go up <i>and</i> possess <i>it</i>, as the L<font size=""-1"">ORD</font> God of thy fathers hath said unto thee; fear not, neither be discouraged.",""
278,45,1,"And ye came near unto me every one of you, and said, We will send men before us, and they shall search us out the land, and bring us word again by what way we must go up, and into what cities we shall come.","¶And ye came near unto me every one of you, and said, We will send men before us, and they shall search us out the land, and bring us word again by what way we must go up, and into what cities we shall come.",""
279,17,0,"And the saying pleased me well: and I took twelve men of you, one of a tribe:","And the saying pleased me well: and I took twelve men of you, one of a tribe:",""
280,20,0,"And they turned and went up into the mountain, and came unto the valley of Eshcol, and searched it out.","And they turned and went up into the mountain, and came unto the valley of Eshcol, and searched it out.",""
281,38,0,"And they took of the fruit of the land in their hands, and brought it down unto us, and brought us word again, and said, It is a good land which the LORD our God doth give us.","And they took of the fruit of the land in their hands, and brought <i>it</i> down unto us, and brought us word again, and said, <i>It is</i> a good land which the L<font size=""-1"">ORD</font> our God doth give us.",""
282,16,0,"Notwithstanding ye would not go up, but rebelled against the commandment of the LORD your God:","Notwithstanding ye would not go up, but rebelled against the commandment of the L<font size=""-1"">ORD</font> your God:",""
283,36,0,"And ye murmured in your tents, and said, Because the LORD hated us, he hath brought us forth out of the land of Egypt, to deliver us into the hand of the Amorites, to destroy us.","And ye murmured in your tents, and said, Because the L<font size=""-1"">ORD</font> hated us, he hath brought us forth out of the land of Egypt, to deliver us into the hand of the Amorites, to destroy us.",""
284,40,0,"Whither shall we go up? our brethren have discouraged our heart, saying, The people is greater and taller than we; the cities are great and walled up to heaven; and moreover we have seen the sons of the Anakims there.","Whither shall we go up? our brethren have discouraged our heart, saying, The people <i>is</i> greater and taller than we; the cities <i>are</i> great and walled up to heaven; and moreover we have seen the sons of the Anakims there.",""
285,12,0,"Then I said unto you, Dread not, neither be afraid of them.","Then I said unto you, Dread not, neither be afraid of them.",""
286,26,0,"The LORD your God which goeth before you, he shall fight for you, according to all that he did for you in Egypt before your eyes;","The L<font size=""-1"">ORD</font> your God which goeth before you, he shall fight for you, according to all that he did for you in Egypt before your eyes;",""
287,36,0,"And in the wilderness, where thou hast seen how that the LORD thy God bare thee, as a man doth bear his son, in all the way that ye went, until ye came into this place.","And in the wilderness, where thou hast seen how that the L<font size=""-1"">ORD</font> thy God bare thee, as a man doth bear his son, in all the way that ye went, until ye came into this place.",""
288,12,0,"Yet in this thing ye did not believe the LORD your God,","Yet in this thing ye did not believe the L<font size=""-1"">ORD</font> your God,",""
289,37,0,"Who went in the way before you, to search you out a place to pitch your tents in, in fire by night, to shew you by what way ye should go, and in a cloud by day.","Who went in the way before you, to search you out a place to pitch your tents <i>in</i>, in fire by night, to shew you by what way ye should go, and in a cloud by day.",""
290,15,0,"And the LORD heard the voice of your words, and was wroth, and sware, saying,","And the L<font size=""-1"">ORD</font> heard the voice of your words, and was wroth, and sware, saying,",""
291,24,0,"Surely there shall not one of these men of this evil generation see that good land, which I sware to give unto your fathers,","Surely there shall not one of these men of this evil generation see that good land, which I sware to give unto your fathers,",""
