ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,28,0,"Now after the death of Moses the servant of the LORD it came to pass, that the LORD spake unto Joshua the son of Nun, Moses' minister, saying,","Now after the death of Moses the servant of the L<font size=""-1"">ORD</font> it came to pass, that the L<font size=""-1"">ORD</font> spake unto Joshua the son of Nun, Moses' minister, saying,"
258,32,0,"Moses my servant is dead; now therefore arise, go over this Jordan, thou, and all this people, unto the land which I do give to them, even to the children of Israel.","Moses my servant is dead; now therefore arise, go over this Jordan, thou, and all this people, unto the land which I do give to them, <i>even</i> to the children of Israel."
259,22,0,"Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses.","Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses."
260,36,0,"From the wilderness and this Lebanon even unto the great river, the river Euphrates, all the land of the Hittites, and unto the great sea toward the going down of the sun, shall be your coast.","From the wilderness and this Lebanon even unto the great river, the river Euphrates, all the land of the Hittites, and unto the great sea toward the going down of the sun, shall be your coast."
261,36,0,"There shall not any man be able to stand before thee all the days of thy life: as I was with Moses, so I will be with thee: I will not fail thee, nor forsake thee.","There shall not any man be able to stand before thee all the days of thy life: as I was with Moses, <i>so</i> I will be with thee: I will not fail thee, nor forsake thee."
262,28,0,"Be strong and of a good courage: for unto this people shalt thou divide for an inheritance the land, which I sware unto their fathers to give them.","Be strong and of a good courage: for unto this people shalt thou divide for an inheritance the land, which I sware unto their fathers to give them."
263,43,0,"Only be thou strong and very courageous, that thou mayest observe to do according to all the law, which Moses my servant commanded thee: turn not from it to the right hand or to the left, that thou mayest prosper whithersoever thou goest.","Only be thou strong and very courageous, that thou mayest observe to do according to all the law, which Moses my servant commanded thee: turn not from it <i>to</i> the right hand or <i>to</i> the left, that thou mayest prosper whithersoever thou goest."
264,48,0,"This book of the law shall not depart out of thy mouth; but thou shalt meditate therein day and night, that thou mayest observe to do according to all that is written therein: for then thou shalt make thy way prosperous, and then thou shalt have good success.","This book of the law shall not depart out of thy mouth; but thou shalt meditate therein day and night, that thou mayest observe to do according to all that is written therein: for then thou shalt make thy way prosperous, and then thou shalt have good success."
265,30,0,"Have not I commanded thee? Be strong and of a good courage; be not afraid, neither be thou dismayed: for the LORD thy God is with thee whithersoever thou goest.","Have not I commanded thee? Be strong and of a good courage; be not afraid, neither be thou dismayed: for the L<font size=""-1"">ORD</font> thy God <i>is</i> with thee whithersoever thou goest."
266,9,1,"Then Joshua commanded the officers of the people, saying,","¶Then Joshua commanded the officers of the people, saying,"
267,39,0,"Pass through the host, and command the people, saying, Prepare you victuals; for within three days ye shall pass over this Jordan, to go in to possess the land, which the LORD your God giveth you to possess it.","Pass through the host, and command the people, saying, Prepare you victuals; for within three days ye shall pass over this Jordan, to go in to possess the land, which the L<font size=""-1"">ORD</font> your God giveth you to possess it."
268,18,1,"And to the Reubenites, and to the Gadites, and to half the tribe of Manasseh, spake Joshua, saying,","¶And to the Reubenites, and to the Gadites, and to half the tribe of Manasseh, spake Joshua, saying,"
269,27,0,"Remember the word which Moses the servant of the LORD commanded you, saying, The LORD your God hath given you rest, and hath given you this land.","Remember the word which Moses the servant of the L<font size=""-1"">ORD</font> commanded you, saying, The L<font size=""-1"">ORD</font> your God hath given you rest, and hath given you this land."
270,38,0,"Your wives, your little ones, and your cattle, shall remain in the land which Moses gave you on this side Jordan; but ye shall pass before your brethren armed, all the mighty men of valour, and help them;","Your wives, your little ones, and your cattle, shall remain in the land which Moses gave you on this side Jordan; but ye shall pass before your brethren armed, all the mighty men of valour, and help them;"
271,54,0,"Until the LORD have given your brethren rest, as he hath given you, and they also have possessed the land which the LORD your God giveth them: then ye shall return unto the land of your possession, and enjoy it, which Moses the LORD'S servant gave you on this side Jordan toward the sunrising.","Until the L<font size=""-1"">ORD</font> have given your brethren rest, as <i>he hath given</i> you, and they also have possessed the land which the L<font size=""-1"">ORD</font> your God giveth them: then ye shall return unto the land of your possession, and enjoy it, which Moses the L<font size=""-1"">ORD'S</font> servant gave you on this side Jordan toward the sunrising."
272,21,1,"And they answered Joshua, saying, All that thou commandest us we will do, and whithersoever thou sendest us, we will go.","¶And they answered Joshua, saying, All that thou commandest us we will do, and whithersoever thou sendest us, we will go."
273,28,0,"According as we hearkened unto Moses in all things, so will we hearken unto thee: only the LORD thy God be with thee, as he was with Moses.","According as we hearkened unto Moses in all things, so will we hearken unto thee: only the L<font size=""-1"">ORD</font> thy God be with thee, as he was with Moses."
274,36,0,"Whosoever he be that doth rebel against thy commandment, and will not hearken unto thy words in all that thou commandest him, he shall be put to death: only be strong and of a good courage.","Whosoever <i>he be</i> that doth rebel against thy commandment, and will not hearken unto thy words in all that thou commandest him, he shall be put to death: only be strong and of a good courage."
513,36,0,"And Joshua the son of Nun sent out of Shittim two men to spy secretly, saying, Go view the land, even Jericho. And they went, and came into an harlot's house, named Rahab, and lodged there.","And Joshua the son of Nun sent out of Shittim two men to spy secretly, saying, Go view the land, even Jericho. And they went, and came into an harlot's house, named Rahab, and lodged there."
514,27,0,"And it was told the king of Jericho, saying, Behold, there came men in hither to night of the children of Israel to search out the country.","And it was told the king of Jericho, saying, Behold, there came men in hither to night of the children of Israel to search out the country."
515,34,0,"And the king of Jericho sent unto Rahab, saying, Bring forth the men that are come to thee, which are entered into thine house: for they be come to search out all the country.","And the king of Jericho sent unto Rahab, saying, Bring forth the men that are come to thee, which are entered into thine house: for they be come to search out all the country."
516,25,0,"And the woman took the two men, and hid them, and said thus, There came men unto me, but I wist not whence they were:","And the woman took the two men, and hid them, and said thus, There came men unto me, but I wist not whence they <i>were</i>:"
517,38,0,"And it came to pass about the time of shutting of the gate, when it was dark, that the men went out: whither the men went I wot not: pursue after them quickly; for ye shall overtake them.","And it came to pass <i>about the time</i> of shutting of the gate, when it was dark, that the men went out: whither the men went I wot not: pursue after them quickly; for ye shall overtake them."
518,29,0,"But she had brought them up to the roof of the house, and hid them with the stalks of flax, which she had laid in order upon the roof.","But she had brought them up to the roof of the house, and hid them with the stalks of flax, which she had laid in order upon the roof."
519,29,0,"And the men pursued after them the way to Jordan unto the fords: and as soon as they which pursued after them were gone out, they shut the gate.","And the men pursued after them the way to Jordan unto the fords: and as soon as they which pursued after them were gone out, they shut the gate."
520,14,1,"And before they were laid down, she came up unto them upon the roof;","¶And before they were laid down, she came up unto them upon the roof;"
521,36,0,"And she said unto the men, I know that the LORD hath given you the land, and that your terror is fallen upon us, and that all the inhabitants of the land faint because of you.","And she said unto the men, I know that the L<font size=""-1"">ORD</font> hath given you the land, and that your terror is fallen upon us, and that all the inhabitants of the land faint because of you."
