ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,33,0,"Now after the death of Joshua it came to pass, that the children of Israel asked the LORD, saying, Who shall go up for us against the Canaanites first, to fight against them?","Now after the death of Joshua it came to pass, that the children of Israel asked the L<font size=""-1"">ORD</font>, saying, Who shall go up for us against the Canaanites first, to fight against them?",""
258,17,0,"And the LORD said, Judah shall go up: behold, I have delivered the land into his hand.","And the L<font size=""-1"">ORD</font> said, Judah shall go up: behold, I have delivered the land into his hand.",""
259,36,0,"And Judah said unto Simeon his brother, Come up with me into my lot, that we may fight against the Canaanites; and I likewise will go with thee into thy lot. So Simeon went with him.","And Judah said unto Simeon his brother, Come up with me into my lot, that we may fight against the Canaanites; and I likewise will go with thee into thy lot. So Simeon went with him.",""
260,26,0,"And Judah went up; and the LORD delivered the Canaanites and the Perizzites into their hand: and they slew of them in Bezek ten thousand men.","And Judah went up; and the L<font size=""-1"">ORD</font> delivered the Canaanites and the Perizzites into their hand: and they slew of them in Bezek ten thousand men.",""
261,19,0,"And they found Adoni-bezek in Bezek: and they fought against him, and they slew the Canaanites and the Perizzites.","And they found Adoni–bezek in Bezek: and they fought against him, and they slew the Canaanites and the Perizzites.",""
262,20,0,"But Adoni-bezek fled; and they pursued after him, and caught him, and cut off his thumbs and his great toes.","But Adoni–bezek fled; and they pursued after him, and caught him, and cut off his thumbs and his great toes.",""
263,41,0,"And Adoni-bezek said, Threescore and ten kings, having their thumbs and their great toes cut off, gathered their meat under my table: as I have done, so God hath requited me. And they brought him to Jerusalem, and there he died.","And Adoni–bezek said, Threescore and ten kings, having their thumbs and their great toes cut off, gathered <i>their meat</i> under my table: as I have done, so God hath requited me. And they brought him to Jerusalem, and there he died.",""
264,28,0,"Now the children of Judah had fought against Jerusalem, and had taken it, and smitten it with the edge of the sword, and set the city on fire.","Now the children of Judah had fought against Jerusalem, and had taken it, and smitten it with the edge of the sword, and set the city on fire.",""
265,26,1,"And afterward the children of Judah went down to fight against the Canaanites, that dwelt in the mountain, and in the south, and in the valley.","¶And afterward the children of Judah went down to fight against the Canaanites, that dwelt in the mountain, and in the south, and in the valley.",""
266,26,0,"And Judah went against the Canaanites that dwelt in Hebron: (now the name of Hebron before was Kirjath-arba:) and they slew Sheshai, and Ahiman, and Talmai.","And Judah went against the Canaanites that dwelt in Hebron: (now the name of Hebron before <i>was</i> Kirjath–arba:) and they slew Sheshai, and Ahiman, and Talmai.",""
267,18,0,"And from thence he went against the inhabitants of Debir: and the name of Debir before was Kirjath-sepher:","And from thence he went against the inhabitants of Debir: and the name of Debir before <i>was</i> Kirjath–sepher:",""
268,20,0,"And Caleb said, He that smiteth Kirjath-sepher, and taketh it, to him will I give Achsah my daughter to wife.","And Caleb said, He that smiteth Kirjath–sepher, and taketh it, to him will I give Achsah my daughter to wife.",""
269,20,0,"And Othniel the son of Kenaz, Caleb's younger brother, took it: and he gave him Achsah his daughter to wife.","And Othniel the son of Kenaz, Caleb's younger brother, took it: and he gave him Achsah his daughter to wife.",""
270,36,0,"And it came to pass, when she came to him, that she moved him to ask of her father a field: and she lighted from off her ass; and Caleb said unto her, What wilt thou?","And it came to pass, when she came <i>to him</i>, that she moved him to ask of her father a field: and she lighted from off <i>her</i> ass; and Caleb said unto her, What wilt thou?",""
271,34,0,"And she said unto him, Give me a blessing: for thou hast given me a south land; give me also springs of water. And Caleb gave her the upper springs and the nether springs.","And she said unto him, Give me a blessing: for thou hast given me a south land; give me also springs of water. And Caleb gave her the upper springs and the nether springs.",""
272,44,1,"And the children of the Kenite, Moses' father in law, went up out of the city of palm trees with the children of Judah into the wilderness of Judah, which lieth in the south of Arad; and they went and dwelt among the people.","¶And the children of the Kenite, Moses' father in law, went up out of the city of palm trees with the children of Judah into the wilderness of Judah, which <i>lieth</i> in the south of Arad; and they went and dwelt among the people.",""
273,28,0,"And Judah went with Simeon his brother, and they slew the Canaanites that inhabited Zephath, and utterly destroyed it. And the name of the city was called Hormah.","And Judah went with Simeon his brother, and they slew the Canaanites that inhabited Zephath, and utterly destroyed it. And the name of the city was called Hormah.",""
274,20,0,"Also Judah took Gaza with the coast thereof, and Askelon with the coast thereof, and Ekron with the coast thereof.","Also Judah took Gaza with the coast thereof, and Askelon with the coast thereof, and Ekron with the coast thereof.",""
275,31,0,"And the LORD was with Judah; and he drave out the inhabitants of the mountain; but could not drive out the inhabitants of the valley, because they had chariots of iron.","And the L<font size=""-1"">ORD</font> was with Judah; and he drave out <i>the inhabitants of</i> the mountain; but could not drive out the inhabitants of the valley, because they had chariots of iron.",""
276,18,0,"And they gave Hebron unto Caleb, as Moses said: and he expelled thence the three sons of Anak.","And they gave Hebron unto Caleb, as Moses said: and he expelled thence the three sons of Anak.",""
277,28,1,"And the children of Benjamin did not drive out the Jebusites that inhabited Jerusalem; but the Jebusites dwell with the children of Benjamin in Jerusalem unto this day.","¶And the children of Benjamin did not drive out the Jebusites that inhabited Jerusalem; but the Jebusites dwell with the children of Benjamin in Jerusalem unto this day.",""
278,17,1,"And the house of Joseph, they also went up against Beth-el: and the LORD was with them.","¶And the house of Joseph, they also went up against Beth–el: and the L<font size=""-1"">ORD</font> <i>was</i> with them.",""
279,18,0,"And the house of Joseph sent to descry Beth-el. (Now the name of the city before was Luz.)","And the house of Joseph sent to descry Beth–el. (Now the name of the city before <i>was</i> Luz.)",""
280,33,0,"And the spies saw a man come forth out of the city, and they said unto him, Shew us, we pray thee, the entrance into the city, and we will shew thee mercy.","And the spies saw a man come forth out of the city, and they said unto him, Shew us, we pray thee, the entrance into the city, and we will shew thee mercy.",""
281,30,0,"And when he shewed them the entrance into the city, they smote the city with the edge of the sword; but they let go the man and all his family.","And when he shewed them the entrance into the city, they smote the city with the edge of the sword; but they let go the man and all his family.",""
282,28,0,"And the man went into the land of the Hittites, and built a city, and called the name thereof Luz: which is the name thereof unto this day.","And the man went into the land of the Hittites, and built a city, and called the name thereof Luz: which <i>is</i> the name thereof unto this day.",""
283,49,1,"Neither did Manasseh drive out the inhabitants of Beth-shean and her towns, nor Taanach and her towns, nor the inhabitants of Dor and her towns, nor the inhabitants of Ibleam and her towns, nor the inhabitants of Megiddo and her towns: but the Canaanites would dwell in that land.","¶Neither did Manasseh drive out <i>the inhabitants of</i> Beth–shean and her towns, nor Taanach and her towns, nor the inhabitants of Dor and her towns, nor the inhabitants of Ibleam and her towns, nor the inhabitants of Megiddo and her towns: but the Canaanites would dwell in that land.",""
284,23,0,"And it came to pass, when Israel was strong, that they put the Canaanites to tribute, and did not utterly drive them out.","And it came to pass, when Israel was strong, that they put the Canaanites to tribute, and did not utterly drive them out.",""
285,19,1,"Neither did Ephraim drive out the Canaanites that dwelt in Gezer; but the Canaanites dwelt in Gezer among them.","¶Neither did Ephraim drive out the Canaanites that dwelt in Gezer; but the Canaanites dwelt in Gezer among them.",""
286,23,1,"Neither did Zebulun drive out the inhabitants of Kitron, nor the inhabitants of Nahalol; but the Canaanites dwelt among them, and became tributaries.","¶Neither did Zebulun drive out the inhabitants of Kitron, nor the inhabitants of Nahalol; but the Canaanites dwelt among them, and became tributaries.",""
287,29,1,"Neither did Asher drive out the inhabitants of Accho, nor the inhabitants of Zidon, nor of Ahlab, nor of Achzib, nor of Helbah, nor of Aphik, nor of Rehob:","¶Neither did Asher drive out the inhabitants of Accho, nor the inhabitants of Zidon, nor of Ahlab, nor of Achzib, nor of Helbah, nor of Aphik, nor of Rehob:",""
288,19,0,"But the Asherites dwelt among the Canaanites, the inhabitants of the land: for they did not drive them out.","But the Asherites dwelt among the Canaanites, the inhabitants of the land: for they did not drive them out.",""
289,37,1,"Neither did Naphtali drive out the inhabitants of Beth-shemesh, nor the inhabitants of Beth-anath; but he dwelt among the Canaanites, the inhabitants of the land: nevertheless the inhabitants of Beth-shemesh and of Beth-anath became tributaries unto them.","¶Neither did Naphtali drive out the inhabitants of Beth–shemesh, nor the inhabitants of Beth–anath; but he dwelt among the Canaanites, the inhabitants of the land: nevertheless the inhabitants of Beth–shemesh and of Beth–anath became tributaries unto them.",""
290,23,0,"And the Amorites forced the children of Dan into the mountain: for they would not suffer them to come down to the valley:","And the Amorites forced the children of Dan into the mountain: for they would not suffer them to come down to the valley:",""
291,27,0,"But the Amorites would dwell in mount Heres in Aijalon, and in Shaalbim: yet the hand of the house of Joseph prevailed, so that they became tributaries.","But the Amorites would dwell in mount Heres in Aijalon, and in Shaalbim: yet the hand of the house of Joseph prevailed, so that they became tributaries.",""
292,18,0,"And the coast of the Amorites was from the going up to Akrabbim, from the rock, and upward.","And the coast of the Amorites <i>was</i> from the going up to Akrabbim, from the rock, and upward.",""
513,47,0,"And an angel of the LORD came up from Gilgal to Bochim, and said, I made you to go up out of Egypt, and have brought you unto the land which I sware unto your fathers; and I said, I will never break my covenant with you.","And an angel of the L<font size=""-1"">ORD</font> came up from Gilgal to Bochim, and said, I made you to go up out of Egypt, and have brought you unto the land which I sware unto your fathers; and I said, I will never break my covenant with you.",""
514,30,0,"And ye shall make no league with the inhabitants of this land; ye shall throw down their altars: but ye have not obeyed my voice: why have ye done this?","And ye shall make no league with the inhabitants of this land; ye shall throw down their altars: but ye have not obeyed my voice: why have ye done this?",""
515,31,0,"Wherefore I also said, I will not drive them out from before you; but they shall be as thorns in your sides, and their gods shall be a snare unto you.","Wherefore I also said, I will not drive them out from before you; but they shall be <i>as thorns</i> in your sides, and their gods shall be a snare unto you.",""
516,29,0,"And it came to pass, when the angel of the LORD spake these words unto all the children of Israel, that the people lifted up their voice, and wept.","And it came to pass, when the angel of the L<font size=""-1"">ORD</font> spake these words unto all the children of Israel, that the people lifted up their voice, and wept.",""
517,16,0,"And they called the name of that place Bochim: and they sacrificed there unto the LORD.","And they called the name of that place Bochim: and they sacrificed there unto the L<font size=""-1"">ORD</font>.",""
518,22,1,"And when Joshua had let the people go, the children of Israel went every man unto his inheritance to possess the land.","¶And when Joshua had let the people go, the children of Israel went every man unto his inheritance to possess the land.",""
519,36,0,"And the people served the LORD all the days of Joshua, and all the days of the elders that outlived Joshua, who had seen all the great works of the LORD, that he did for Israel.","And the people served the L<font size=""-1"">ORD</font> all the days of Joshua, and all the days of the elders that outlived Joshua, who had seen all the great works of the L<font size=""-1"">ORD</font>, that he did for Israel.",""
520,19,0,"And Joshua the son of Nun, the servant of the LORD, died, being an hundred and ten years old.","And Joshua the son of Nun, the servant of the L<font size=""-1"">ORD</font>, died, <i>being</i> an hundred and ten years old.",""
521,25,0,"And they buried him in the border of his inheritance in Timnath-heres, in the mount of Ephraim, on the north side of the hill Gaash.","And they buried him in the border of his inheritance in Timnath–heres, in the mount of Ephraim, on the north side of the hill Gaash.",""
522,32,0,"And also all that generation were gathered unto their fathers: and there arose another generation after them, which knew not the LORD, nor yet the works which he had done for Israel.","And also all that generation were gathered unto their fathers: and there arose another generation after them, which knew not the L<font size=""-1"">ORD</font>, nor yet the works which he had done for Israel.",""
523,16,1,"And the children of Israel did evil in the sight of the LORD, and served Baalim:","¶And the children of Israel did evil in the sight of the L<font size=""-1"">ORD</font>, and served Baalim:",""
