ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,42,0,"Now it came to pass in the days when the judges ruled, that there was a famine in the land. And a certain man of Beth-lehem-judah went to sojourn in the country of Moab, he, and his wife, and his two sons.","Now it came to pass in the days when the judges ruled, that there was a famine in the land. And a certain man of Beth–lehem–judah went to sojourn in the country of Moab, he, and his wife, and his two sons."
258,39,0,"And the name of the man was Elimelech, and the name of his wife Naomi, and the name of his two sons Mahlon and Chilion, Ephrathites of Beth-lehem-judah. And they came into the country of Moab, and continued there.","And the name of the man <i>was</i> Elimelech, and the name of his wife Naomi, and the name of his two sons Mahlon and Chilion, Ephrathites of Beth–lehem–judah. And they came into the country of Moab, and continued there."
259,13,0,"And Elimelech Naomi's husband died; and she was left, and her two sons.","And Elimelech Naomi's husband died; and she was left, and her two sons."
260,31,0,"And they took them wives of the women of Moab; the name of the one was Orpah, and the name of the other Ruth: and they dwelled there about ten years.","And they took them wives of the women of Moab; the name of the one <i>was</i> Orpah, and the name of the other Ruth: and they dwelled there about ten years."
261,21,0,"And Mahlon and Chilion died also both of them; and the woman was left of her two sons and her husband.","And Mahlon and Chilion died also both of them; and the woman was left of her two sons and her husband."
262,38,1,"Then she arose with her daughters in law, that she might return from the country of Moab: for she had heard in the country of Moab how that the LORD had visited his people in giving them bread.","¶Then she arose with her daughters in law, that she might return from the country of Moab: for she had heard in the country of Moab how that the L<font size=""-1"">ORD</font> had visited his people in giving them bread."
263,32,0,"Wherefore she went forth out of the place where she was, and her two daughters in law with her; and they went on the way to return unto the land of Judah.","Wherefore she went forth out of the place where she was, and her two daughters in law with her; and they went on the way to return unto the land of Judah."
264,32,0,"And Naomi said unto her two daughters in law, Go, return each to her mother's house: the LORD deal kindly with you, as ye have dealt with the dead, and with me.","And Naomi said unto her two daughters in law, Go, return each to her mother's house: the L<font size=""-1"">ORD</font> deal kindly with you, as ye have dealt with the dead, and with me."
265,30,0,"The LORD grant you that ye may find rest, each of you in the house of her husband. Then she kissed them; and they lifted up their voice, and wept.","The L<font size=""-1"">ORD</font> grant you that ye may find rest, each <i>of you</i> in the house of her husband. Then she kissed them; and they lifted up their voice, and wept."
266,14,0,"And they said unto her, Surely we will return with thee unto thy people.","And they said unto her, Surely we will return with thee unto thy people."
267,28,0,"And Naomi said, Turn again, my daughters: why will ye go with me? are there yet any more sons in my womb, that they may be your husbands?","And Naomi said, Turn again, my daughters: why will ye go with me? <i>are</i> there yet <i>any more</i> sons in my womb, that they may be your husbands?"
268,37,0,"Turn again, my daughters, go your way; for I am too old to have an husband. If I should say, I have hope, if I should have an husband also to night, and should also bear sons;","Turn again, my daughters, go <i>your way</i>; for I am too old to have an husband. If I should say, I have hope, <i>if</i> I should have an husband also to night, and should also bear sons;"
269,39,0,"Would ye tarry for them till they were grown? would ye stay for them from having husbands? nay, my daughters; for it grieveth me much for your sakes that the hand of the LORD is gone out against me.","Would ye tarry for them till they were grown? would ye stay for them from having husbands? nay, my daughters; for it grieveth me much for your sakes that the hand of the L<font size=""-1"">ORD</font> is gone out against me."
270,21,0,"And they lifted up their voice, and wept again: and Orpah kissed her mother in law; but Ruth clave unto her.","And they lifted up their voice, and wept again: and Orpah kissed her mother in law; but Ruth clave unto her."
271,25,0,"And she said, Behold, thy sister in law is gone back unto her people, and unto her gods: return thou after thy sister in law.","And she said, Behold, thy sister in law is gone back unto her people, and unto her gods: return thou after thy sister in law."
272,41,0,"And Ruth said, Intreat me not to leave thee, or to return from following after thee: for whither thou goest, I will go; and where thou lodgest, I will lodge: thy people shall be my people, and thy God my God:","And Ruth said, Intreat me not to leave thee, <i>or</i> to return from following after thee: for whither thou goest, I will go; and where thou lodgest, I will lodge: thy people <i>shall be</i> my people, and thy God my God:"
273,29,0,"Where thou diest, will I die, and there will I be buried: the LORD do so to me, and more also, if ought but death part thee and me.","Where thou diest, will I die, and there will I be buried: the L<font size=""-1"">ORD</font> do so to me, and more also, <i>if ought</i> but death part thee and me."
274,18,0,"When she saw that she was stedfastly minded to go with her, then she left speaking unto her.","When she saw that she was stedfastly minded to go with her, then she left speaking unto her."
275,34,1,"So they two went until they came to Beth-lehem. And it came to pass, when they were come to Beth-lehem, that all the city was moved about them, and they said, Is this Naomi?","¶So they two went until they came to Beth–lehem. And it came to pass, when they were come to Beth–lehem, that all the city was moved about them, and they said, <i>Is</i> this Naomi?"
276,21,0,"And she said unto them, Call me not Naomi, call me Mara: for the Almighty hath dealt very bitterly with me.","And she said unto them, Call me not Naomi, call me Mara: for the Almighty hath dealt very bitterly with me."
277,32,0,"I went out full, and the LORD hath brought me home again empty: why then call ye me Naomi, seeing the LORD hath testified against me, and the Almighty hath afflicted me?","I went out full, and the L<font size=""-1"">ORD</font> hath brought me home again empty: why <i>then</i> call ye me Naomi, seeing the L<font size=""-1"">ORD</font> hath testified against me, and the Almighty hath afflicted me?"
278,32,0,"So Naomi returned, and Ruth the Moabitess, her daughter in law, with her, which returned out of the country of Moab: and they came to Beth-lehem in the beginning of barley harvest.","So Naomi returned, and Ruth the Moabitess, her daughter in law, with her, which returned out of the country of Moab: and they came to Beth–lehem in the beginning of barley harvest."
513,23,0,"And Naomi had a kinsman of her husband's, a mighty man of wealth, of the family of Elimelech; and his name was Boaz.","And Naomi had a kinsman of her husband's, a mighty man of wealth, of the family of Elimelech; and his name <i>was</i> Boaz."
514,36,0,"And Ruth the Moabitess said unto Naomi, Let me now go to the field, and glean ears of corn after him in whose sight I shall find grace. And she said unto her, Go, my daughter.","And Ruth the Moabitess said unto Naomi, Let me now go to the field, and glean ears of corn after <i>him</i> in whose sight I shall find grace. And she said unto her, Go, my daughter."
515,35,0,"And she went, and came, and gleaned in the field after the reapers: and her hap was to light on a part of the field belonging unto Boaz, who was of the kindred of Elimelech.","And she went, and came, and gleaned in the field after the reapers: and her hap was to light on a part of the field <i>belonging</i> unto Boaz, who <i>was</i> of the kindred of Elimelech."
516,24,1,"And, behold, Boaz came from Beth-lehem, and said unto the reapers, The LORD be with you. And they answered him, The LORD bless thee.","¶And, behold, Boaz came from Beth–lehem, and said unto the reapers, The L<font size=""-1"">ORD</font> <i>be</i> with you. And they answered him, The L<font size=""-1"">ORD</font> bless thee."
517,16,0,"Then said Boaz unto his servant that was set over the reapers, Whose damsel is this?","Then said Boaz unto his servant that was set over the reapers, Whose damsel <i>is</i> this?"
