ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,34,0,"Now there was a certain man of Ramathaim-zophim, of mount Ephraim, and his name was Elkanah, the son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephrathite:","Now there was a certain man of Ramathaim–zophim, of mount Ephraim, and his name <i>was</i> Elkanah, the son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephrathite:"
258,28,0,"And he had two wives; the name of the one was Hannah, and the name of the other Peninnah: and Peninnah had children, but Hannah had no children.","And he had two wives; the name of the one <i>was</i> Hannah, and the name of the other Peninnah: and Peninnah had children, but Hannah had no children."
259,38,0,"And this man went up out of his city yearly to worship and to sacrifice unto the LORD of hosts in Shiloh. And the two sons of Eli, Hophni and Phinehas, the priests of the LORD, were there.","And this man went up out of his city yearly to worship and to sacrifice unto the L<font size=""-1"">ORD</font> of hosts in Shiloh. And the two sons of Eli, Hophni and Phinehas, the priests of the L<font size=""-1"">ORD</font>, <i>were</i> there."
260,23,1,"And when the time was that Elkanah offered, he gave to Peninnah his wife, and to all her sons and her daughters, portions:","¶And when the time was that Elkanah offered, he gave to Peninnah his wife, and to all her sons and her daughters, portions:"
261,20,0,"But unto Hannah he gave a worthy portion; for he loved Hannah: but the LORD had shut up her womb.","But unto Hannah he gave a worthy portion; for he loved Hannah: but the L<font size=""-1"">ORD</font> had shut up her womb."
262,20,0,"And her adversary also provoked her sore, for to make her fret, because the LORD had shut up her womb.","And her adversary also provoked her sore, for to make her fret, because the L<font size=""-1"">ORD</font> had shut up her womb."
263,29,0,"And as he did so year by year, when she went up to the house of the LORD, so she provoked her; therefore she wept, and did not eat.","And <i>as</i> he did so year by year, when she went up to the house of the L<font size=""-1"">ORD</font>, so she provoked her; therefore she wept, and did not eat."
264,31,0,"Then said Elkanah her husband to her, Hannah, why weepest thou? and why eatest thou not? and why is thy heart grieved? am not I better to thee than ten sons?","Then said Elkanah her husband to her, Hannah, why weepest thou? and why eatest thou not? and why is thy heart grieved? <i>am</i> not I better to thee than ten sons?"
265,32,1,"So Hannah rose up after they had eaten in Shiloh, and after they had drunk. Now Eli the priest sat upon a seat by a post of the temple of the LORD.","¶So Hannah rose up after they had eaten in Shiloh, and after they had drunk. Now Eli the priest sat upon a seat by a post of the temple of the L<font size=""-1"">ORD</font>."
266,15,0,"And she was in bitterness of soul, and prayed unto the LORD, and wept sore.","And she <i>was</i> in bitterness of soul, and prayed unto the L<font size=""-1"">ORD</font>, and wept sore."
267,62,0,"And she vowed a vow, and said, O LORD of hosts, if thou wilt indeed look on the affliction of thine handmaid, and remember me, and not forget thine handmaid, but wilt give unto thine handmaid a man child, then I will give him unto the LORD all the days of his life, and there shall no razor come upon his head.","And she vowed a vow, and said, O L<font size=""-1"">ORD</font> of hosts, if thou wilt indeed look on the affliction of thine handmaid, and remember me, and not forget thine handmaid, but wilt give unto thine handmaid a man child, then I will give him unto the L<font size=""-1"">ORD</font> all the days of his life, and there shall no razor come upon his head."
268,17,0,"And it came to pass, as she continued praying before the LORD, that Eli marked her mouth.","And it came to pass, as she continued praying before the L<font size=""-1"">ORD</font>, that Eli marked her mouth."
269,24,0,"Now Hannah, she spake in her heart; only her lips moved, but her voice was not heard: therefore Eli thought she had been drunken.","Now Hannah, she spake in her heart; only her lips moved, but her voice was not heard: therefore Eli thought she had been drunken."
270,17,0,"And Eli said unto her, How long wilt thou be drunken? put away thy wine from thee.","And Eli said unto her, How long wilt thou be drunken? put away thy wine from thee."
271,33,0,"And Hannah answered and said, No, my lord, I am a woman of a sorrowful spirit: I have drunk neither wine nor strong drink, but have poured out my soul before the LORD.","And Hannah answered and said, No, my lord, I <i>am</i> a woman of a sorrowful spirit: I have drunk neither wine nor strong drink, but have poured out my soul before the L<font size=""-1"">ORD</font>."
272,23,0,"Count not thine handmaid for a daughter of Belial: for out of the abundance of my complaint and grief have I spoken hitherto.","Count not thine handmaid for a daughter of Belial: for out of the abundance of my complaint and grief have I spoken hitherto."
273,23,0,"Then Eli answered and said, Go in peace: and the God of Israel grant thee thy petition that thou hast asked of him.","Then Eli answered and said, Go in peace: and the God of Israel grant <i>thee</i> thy petition that thou hast asked of him."
274,27,0,"And she said, Let thine handmaid find grace in thy sight. So the woman went her way, and did eat, and her countenance was no more sad.","And she said, Let thine handmaid find grace in thy sight. So the woman went her way, and did eat, and her countenance was no more <i>sad</i>."
275,33,1,"And they rose up in the morning early, and worshipped before the LORD, and returned, and came to their house to Ramah: and Elkanah knew Hannah his wife; and the LORD remembered her.","¶And they rose up in the morning early, and worshipped before the L<font size=""-1"">ORD</font>, and returned, and came to their house to Ramah: and Elkanah knew Hannah his wife; and the L<font size=""-1"">ORD</font> remembered her."
276,34,0,"Wherefore it came to pass, when the time was come about after Hannah had conceived, that she bare a son, and called his name Samuel, saying, Because I have asked him of the LORD.","Wherefore it came to pass, when the time was come about after Hannah had conceived, that she bare a son, and called his name Samuel, <i>saying</i>, Because I have asked him of the L<font size=""-1"">ORD</font>."
277,21,0,"And the man Elkanah, and all his house, went up to offer unto the LORD the yearly sacrifice, and his vow.","And the man Elkanah, and all his house, went up to offer unto the L<font size=""-1"">ORD</font> the yearly sacrifice, and his vow."
278,39,0,"But Hannah went not up; for she said unto her husband, I will not go up until the child be weaned, and then I will bring him, that he may appear before the LORD, and there abide for ever.","But Hannah went not up; for she said unto her husband, <i>I will not go up</i> until the child be weaned, and <i>then</i> I will bring him, that he may appear before the L<font size=""-1"">ORD</font>, and there abide for ever."
279,37,0,"And Elkanah her husband said unto her, Do what seemeth thee good; tarry until thou have weaned him; only the LORD establish his word. So the woman abode, and gave her son suck until she weaned him.","And Elkanah her husband said unto her, Do what seemeth thee good; tarry until thou have weaned him; only the L<font size=""-1"">ORD</font> establish his word. So the woman abode, and gave her son suck until she weaned him."
280,41,1,"And when she had weaned him, she took him up with her, with three bullocks, and one ephah of flour, and a bottle of wine, and brought him unto the house of the LORD in Shiloh: and the child was young.","¶And when she had weaned him, she took him up with her, with three bullocks, and one ephah of flour, and a bottle of wine, and brought him unto the house of the L<font size=""-1"">ORD</font> in Shiloh: and the child <i>was</i> young."
281,11,0,"And they slew a bullock, and brought the child to Eli.","And they slew a bullock, and brought the child to Eli."
282,25,0,"And she said, Oh my lord, as thy soul liveth, my lord, I am the woman that stood by thee here, praying unto the LORD.","And she said, Oh my lord, <i>as</i> thy soul liveth, my lord, I <i>am</i> the woman that stood by thee here, praying unto the L<font size=""-1"">ORD</font>."
283,18,0,"For this child I prayed; and the LORD hath given me my petition which I asked of him:","For this child I prayed; and the L<font size=""-1"">ORD</font> hath given me my petition which I asked of him:"
284,27,0,"Therefore also I have lent him to the LORD; as long as he liveth he shall be lent to the LORD. And he worshipped the LORD there.","Therefore also I have lent him to the L<font size=""-1"">ORD</font>; as long as he liveth he shall be lent to the L<font size=""-1"">ORD</font>. And he worshipped the L<font size=""-1"">ORD</font> there."
513,31,0,"And Hannah prayed, and said, My heart rejoiceth in the LORD, mine horn is exalted in the LORD: my mouth is enlarged over mine enemies; because I rejoice in thy salvation.","And Hannah prayed, and said, My heart rejoiceth in the L<font size=""-1"">ORD</font>, mine horn is exalted in the L<font size=""-1"">ORD</font>: my mouth is enlarged over mine enemies; because I rejoice in thy salvation."
514,21,0,"There is none holy as the LORD: for there is none beside thee: neither is there any rock like our God.","<i>There is</i> none holy as the L<font size=""-1"">ORD</font>: for <i>there is</i> none beside thee: neither <i>is there</i> any rock like our God."
515,28,0,"Talk no more so exceeding proudly; let not arrogancy come out of your mouth: for the LORD is a God of knowledge, and by him actions are weighed.","Talk no more so exceeding proudly; let <i>not</i> arrogancy come out of your mouth: for the L<font size=""-1"">ORD</font> <i>is</i> a God of knowledge, and by him actions are weighed."
516,16,0,"The bows of the mighty men are broken, and they that stumbled are girded with strength.","The bows of the mighty men <i>are</i> broken, and they that stumbled are girded with strength."
517,32,0,"They that were full have hired out themselves for bread; and they that were hungry ceased: so that the barren hath born seven; and she that hath many children is waxed feeble.","<i>They that were</i> full have hired out themselves for bread; and <i>they that were</i> hungry ceased: so that the barren hath born seven; and she that hath many children is waxed feeble."
518,15,0,"The LORD killeth, and maketh alive: he bringeth down to the grave, and bringeth up.","The L<font size=""-1"">ORD</font> killeth, and maketh alive: he bringeth down to the grave, and bringeth up."
519,13,0,"The LORD maketh poor, and maketh rich: he bringeth low, and lifteth up.","The L<font size=""-1"">ORD</font> maketh poor, and maketh rich: he bringeth low, and lifteth up."
520,48,0,"He raiseth up the poor out of the dust, and lifteth up the beggar from the dunghill, to set them among princes, and to make them inherit the throne of glory: for the pillars of the earth are the LORD'S, and he hath set the world upon them.","He raiseth up the poor out of the dust, <i>and</i> lifteth up the beggar from the dunghill, to set <i>them</i> among princes, and to make them inherit the throne of glory: for the pillars of the earth <i>are</i> the L<font size=""-1"">ORD'S</font>, and he hath set the world upon them."
521,23,0,"He will keep the feet of his saints, and the wicked shall be silent in darkness; for by strength shall no man prevail.","He will keep the feet of his saints, and the wicked shall be silent in darkness; for by strength shall no man prevail."
522,42,0,"The adversaries of the LORD shall be broken to pieces; out of heaven shall he thunder upon them: the LORD shall judge the ends of the earth; and he shall give strength unto his king, and exalt the horn of his anointed.","The adversaries of the L<font size=""-1"">ORD</font> shall be broken to pieces; out of heaven shall he thunder upon them: the L<font size=""-1"">ORD</font> shall judge the ends of the earth; and he shall give strength unto his king, and exalt the horn of his anointed."
523,20,1,"And Elkanah went to Ramah to his house. And the child did minister unto the LORD before Eli the priest.","¶And Elkanah went to Ramah to his house. And the child did minister unto the L<font size=""-1"">ORD</font> before Eli the priest."
524,14,1,"Now the sons of Eli were sons of Belial; they knew not the LORD.","¶Now the sons of Eli <i>were</i> sons of Belial; they knew not the L<font size=""-1"">ORD</font>."
525,33,0,"And the priests' custom with the people was, that, when any man offered sacrifice, the priest's servant came, while the flesh was in seething, with a fleshhook of three teeth in his hand;","And the priests' custom with the people <i>was, that</i>, when any man offered sacrifice, the priest's servant came, while the flesh was in seething, with a fleshhook of three teeth in his hand;"
526,36,0,"And he struck it into the pan, or kettle, or caldron, or pot; all that the fleshhook brought up the priest took for himself. So they did in Shiloh unto all the Israelites that came thither.","And he struck <i>it</i> into the pan, or kettle, or caldron, or pot; all that the fleshhook brought up the priest took for himself. So they did in Shiloh unto all the Israelites that came thither."
527,35,0,"Also before they burnt the fat, the priest's servant came, and said to the man that sacrificed, Give flesh to roast for the priest; for he will not have sodden flesh of thee, but raw.","Also before they burnt the fat, the priest's servant came, and said to the man that sacrificed, Give flesh to roast for the priest; for he will not have sodden flesh of thee, but raw."
528,47,0,"And if any man said unto him, Let them not fail to burn the fat presently, and then take as much as thy soul desireth; then he would answer him, Nay; but thou shalt give it me now: and if not, I will take it by force.","And <i>if</i> any man said unto him, Let them not fail to burn the fat presently, and <i>then</i> take <i>as much</i> as thy soul desireth; then he would answer him, <i>Nay</i>; but thou shalt give <i>it me</i> now: and if not, I will take <i>it</i> by force."
529,21,0,"Wherefore the sin of the young men was very great before the LORD: for men abhorred the offering of the LORD.","Wherefore the sin of the young men was very great before the L<font size=""-1"">ORD</font>: for men abhorred the offering of the L<font size=""-1"">ORD</font>."
530,14,1,"But Samuel ministered before the LORD, being a child, girded with a linen ephod.","¶But Samuel ministered before the L<font size=""-1"">ORD</font>, <i>being</i> a child, girded with a linen ephod."
531,29,0,"Moreover his mother made him a little coat, and brought it to him from year to year, when she came up with her husband to offer the yearly sacrifice.","Moreover his mother made him a little coat, and brought <i>it</i> to him from year to year, when she came up with her husband to offer the yearly sacrifice."
532,33,1,"And Eli blessed Elkanah and his wife, and said, The LORD give thee seed of this woman for the loan which is lent to the LORD. And they went unto their own home.","¶And Eli blessed Elkanah and his wife, and said, The L<font size=""-1"">ORD</font> give thee seed of this woman for the loan which is lent to the L<font size=""-1"">ORD</font>. And they went unto their own home."
533,24,0,"And the LORD visited Hannah, so that she conceived, and bare three sons and two daughters. And the child Samuel grew before the LORD.","And the L<font size=""-1"">ORD</font> visited Hannah, so that she conceived, and bare three sons and two daughters. And the child Samuel grew before the L<font size=""-1"">ORD</font>."
534,33,1,"Now Eli was very old, and heard all that his sons did unto all Israel; and how they lay with the women that assembled at the door of the tabernacle of the congregation.","¶Now Eli was very old, and heard all that his sons did unto all Israel; and how they lay with the women that assembled <i>at</i> the door of the tabernacle of the congregation."
535,21,0,"And he said unto them, Why do ye such things? for I hear of your evil dealings by all this people.","And he said unto them, Why do ye such things? for I hear of your evil dealings by all this people."
536,19,0,"Nay, my sons; for it is no good report that I hear: ye make the LORD'S people to transgress.","Nay, my sons; for <i>it is</i> no good report that I hear: ye make the L<font size=""-1"">ORD'S</font> people to transgress."
537,40,0,"If one man sin against another, the judge shall judge him: but if a man sin against the LORD, who shall intreat for him? Notwithstanding they hearkened not unto the voice of their father, because the LORD would slay them.","If one man sin against another, the judge shall judge him: but if a man sin against the L<font size=""-1"">ORD</font>, who shall intreat for him? Notwithstanding they hearkened not unto the voice of their father, because the L<font size=""-1"">ORD</font> would slay them."
538,18,0,"And the child Samuel grew on, and was in favour both with the LORD, and also with men.","And the child Samuel grew on, and was in favour both with the L<font size=""-1"">ORD</font>, and also with men."
539,35,1,"And there came a man of God unto Eli, and said unto him, Thus saith the LORD, Did I plainly appear unto the house of thy father, when they were in Egypt in Pharaoh's house?","¶And there came a man of God unto Eli, and said unto him, Thus saith the L<font size=""-1"">ORD</font>, Did I plainly appear unto the house of thy father, when they were in Egypt in Pharaoh's house?"
540,51,0,"And did I choose him out of all the tribes of Israel to be my priest, to offer upon mine altar, to burn incense, to wear an ephod before me? and did I give unto the house of thy father all the offerings made by fire of the children of Israel?","And did I choose him out of all the tribes of Israel <i>to be</i> my priest, to offer upon mine altar, to burn incense, to wear an ephod before me? and did I give unto the house of thy father all the offerings made by fire of the children of Israel?"
541,38,0,"Wherefore kick ye at my sacrifice and at mine offering, which I have commanded in my habitation; and honourest thy sons above me, to make yourselves fat with the chiefest of all the offerings of Israel my people?","Wherefore kick ye at my sacrifice and at mine offering, which I have commanded <i>in my</i> habitation; and honourest thy sons above me, to make yourselves fat with the chiefest of all the offerings of Israel my people?"
542,52,0,"Wherefore the LORD God of Israel saith, I said indeed that thy house, and the house of thy father, should walk before me for ever: but now the LORD saith, Be it far from me; for them that honour me I will honour, and they that despise me shall be lightly esteemed.","Wherefore the L<font size=""-1"">ORD</font> God of Israel saith, I said indeed <i>that</i> thy house, and the house of thy father, should walk before me for ever: but now the L<font size=""-1"">ORD</font> saith, Be it far from me; for them that honour me I will honour, and they that despise me shall be lightly esteemed."
543,29,0,"Behold, the days come, that I will cut off thine arm, and the arm of thy father's house, that there shall not be an old man in thine house.","Behold, the days come, that I will cut off thine arm, and the arm of thy father's house, that there shall not be an old man in thine house."
544,31,0,"And thou shalt see an enemy in my habitation, in all the wealth which God shall give Israel: and there shall not be an old man in thine house for ever.","And thou shalt see an enemy <i>in my</i> habitation, in all <i>the wealth</i> which <i>God</i> shall give Israel: and there shall not be an old man in thine house for ever."
545,40,0,"And the man of thine, whom I shall not cut off from mine altar, shall be to consume thine eyes, and to grieve thine heart: and all the increase of thine house shall die in the flower of their age.","And the man of thine, <i>whom</i> I shall not cut off from mine altar, <i>shall be</i> to consume thine eyes, and to grieve thine heart: and all the increase of thine house shall die in the flower of their age."
546,28,0,"And this shall be a sign unto thee, that shall come upon thy two sons, on Hophni and Phinehas; in one day they shall die both of them.","And this <i>shall be</i> a sign unto thee, that shall come upon thy two sons, on Hophni and Phinehas; in one day they shall die both of them."
547,41,0,"And I will raise me up a faithful priest, that shall do according to that which is in mine heart and in my mind: and I will build him a sure house; and he shall walk before mine anointed for ever.","And I will raise me up a faithful priest, <i>that</i> shall do according to <i>that</i> which <i>is</i> in mine heart and in my mind: and I will build him a sure house; and he shall walk before mine anointed for ever."
548,53,0,"And it shall come to pass, that every one that is left in thine house shall come and crouch to him for a piece of silver and a morsel of bread, and shall say, Put me, I pray thee, into one of the priests' offices, that I may eat a piece of bread.","And it shall come to pass, <i>that</i> every one that is left in thine house shall come <i>and</i> crouch to him for a piece of silver and a morsel of bread, and shall say, Put me, I pray thee, into one of the priests' offices, that I may eat a piece of bread."
769,26,0,"And the child Samuel ministered unto the LORD before Eli. And the word of the LORD was precious in those days; there was no open vision.","And the child Samuel ministered unto the L<font size=""-1"">ORD</font> before Eli. And the word of the L<font size=""-1"">ORD</font> was precious in those days; <i>there was</i> no open vision."
770,28,0,"And it came to pass at that time, when Eli was laid down in his place, and his eyes began to wax dim, that he could not see;","And it came to pass at that time, when Eli <i>was</i> laid down in his place, and his eyes began to wax dim, <i>that</i> he could not see;"
771,27,0,"And ere the lamp of God went out in the temple of the LORD, where the ark of God was, and Samuel was laid down to sleep;","And ere the lamp of God went out in the temple of the L<font size=""-1"">ORD</font>, where the ark of God <i>was</i>, and Samuel was laid down <i>to sleep</i>;"
772,11,0,"That the LORD called Samuel: and he answered, Here am I.","That the L<font size=""-1"">ORD</font> called Samuel: and he answered, Here <i>am</i> I."
773,29,0,"And he ran unto Eli, and said, Here am I; for thou calledst me. And he said, I called not; lie down again. And he went and lay down.","And he ran unto Eli, and said, Here <i>am</i> I; for thou calledst me. And he said, I called not; lie down again. And he went and lay down."
774,35,0,"And the LORD called yet again, Samuel. And Samuel arose and went to Eli, and said, Here am I; for thou didst call me. And he answered, I called not, my son; lie down again.","And the L<font size=""-1"">ORD</font> called yet again, Samuel. And Samuel arose and went to Eli, and said, Here <i>am</i> I; for thou didst call me. And he answered, I called not, my son; lie down again."
775,19,0,"Now Samuel did not yet know the LORD, neither was the word of the LORD yet revealed unto him.","Now Samuel did not yet know the L<font size=""-1"">ORD</font>, neither was the word of the L<font size=""-1"">ORD</font> yet revealed unto him."
776,36,0,"And the LORD called Samuel again the third time. And he arose and went to Eli, and said, Here am I; for thou didst call me. And Eli perceived that the LORD had called the child.","And the L<font size=""-1"">ORD</font> called Samuel again the third time. And he arose and went to Eli, and said, Here <i>am</i> I; for thou didst call me. And Eli perceived that the L<font size=""-1"">ORD</font> had called the child."
777,35,0,"Therefore Eli said unto Samuel, Go, lie down: and it shall be, if he call thee, that thou shalt say, Speak, LORD; for thy servant heareth. So Samuel went and lay down in his place.","Therefore Eli said unto Samuel, Go, lie down: and it shall be, if he call thee, that thou shalt say, Speak, L<font size=""-1"">ORD</font>; for thy servant heareth. So Samuel went and lay down in his place."
778,22,0,"And the LORD came, and stood, and called as at other times, Samuel, Samuel. Then Samuel answered, Speak; for thy servant heareth.","And the L<font size=""-1"">ORD</font> came, and stood, and called as at other times, Samuel, Samuel. Then Samuel answered, Speak; for thy servant heareth."
779,27,1,"And the LORD said to Samuel, Behold, I will do a thing in Israel, at which both the ears of every one that heareth it shall tingle.","¶And the L<font size=""-1"">ORD</font> said to Samuel, Behold, I will do a thing in Israel, at which both the ears of every one that heareth it shall tingle."
780,26,0,"In that day I will perform against Eli all things which I have spoken concerning his house: when I begin, I will also make an end.","In that day I will perform against Eli all <i>things</i> which I have spoken concerning his house: when I begin, I will also make an end."
781,30,0,"For I have told him that I will judge his house for ever for the iniquity which he knoweth; because his sons made themselves vile, and he restrained them not.","For I have told him that I will judge his house for ever for the iniquity which he knoweth; because his sons made themselves vile, and he restrained them not."
782,26,0,"And therefore I have sworn unto the house of Eli, that the iniquity of Eli's house shall not be purged with sacrifice nor offering for ever.","And therefore I have sworn unto the house of Eli, that the iniquity of Eli's house shall not be purged with sacrifice nor offering for ever."
783,24,1,"And Samuel lay until the morning, and opened the doors of the house of the LORD. And Samuel feared to shew Eli the vision.","¶And Samuel lay until the morning, and opened the doors of the house of the L<font size=""-1"">ORD</font>. And Samuel feared to shew Eli the vision."
784,15,0,"Then Eli called Samuel, and said, Samuel, my son. And he answered, Here am I.","Then Eli called Samuel, and said, Samuel, my son. And he answered, Here <i>am</i> I."
785,46,0,"And he said, What is the thing that the LORD hath said unto thee? I pray thee hide it not from me: God do so to thee, and more also, if thou hide any thing from me of all the things that he said unto thee.","And he said, What <i>is</i> the thing that <i>the L<font size=""-1"">ORD</font></i> hath said unto thee? I pray thee hide <i>it</i> not from me: God do so to thee, and more also, if thou hide <i>any</i> thing from me of all the things that he said unto thee."
786,25,0,"And Samuel told him every whit, and hid nothing from him. And he said, It is the LORD: let him do what seemeth him good.","And Samuel told him every whit, and hid nothing from him. And he said, It <i>is</i> the L<font size=""-1"">ORD</font>: let him do what seemeth him good."
787,20,1,"And Samuel grew, and the LORD was with him, and did let none of his words fall to the ground.","¶And Samuel grew, and the L<font size=""-1"">ORD</font> was with him, and did let none of his words fall to the ground."
788,20,0,"And all Israel from Dan even to Beer-sheba knew that Samuel was established to be a prophet of the LORD.","And all Israel from Dan even to Beer–sheba knew that Samuel <i>was</i> established <i>to be</i> a prophet of the L<font size=""-1"">ORD</font>."
789,22,0,"And the LORD appeared again in Shiloh: for the LORD revealed himself to Samuel in Shiloh by the word of the LORD.","And the L<font size=""-1"">ORD</font> appeared again in Shiloh: for the L<font size=""-1"">ORD</font> revealed himself to Samuel in Shiloh by the word of the L<font size=""-1"">ORD</font>."
1025,28,0,"And the word of Samuel came to all Israel. Now Israel went out against the Philistines to battle, and pitched beside Eben-ezer: and the Philistines pitched in Aphek.","And the word of Samuel came to all Israel. Now Israel went out against the Philistines to battle, and pitched beside Eben–ezer: and the Philistines pitched in Aphek."
1026,33,0,"And the Philistines put themselves in array against Israel: and when they joined battle, Israel was smitten before the Philistines: and they slew of the army in the field about four thousand men.","And the Philistines put themselves in array against Israel: and when they joined battle, Israel was smitten before the Philistines: and they slew of the army in the field about four thousand men."
1027,58,1,"And when the people were come into the camp, the elders of Israel said, Wherefore hath the LORD smitten us to day before the Philistines? Let us fetch the ark of the covenant of the LORD out of Shiloh unto us, that, when it cometh among us, it may save us out of the hand of our enemies.","¶And when the people were come into the camp, the elders of Israel said, Wherefore hath the L<font size=""-1"">ORD</font> smitten us to day before the Philistines? Let us fetch the ark of the covenant of the L<font size=""-1"">ORD</font> out of Shiloh unto us, that, when it cometh among us, it may save us out of the hand of our enemies."
1028,46,0,"So the people sent to Shiloh, that they might bring from thence the ark of the covenant of the LORD of hosts, which dwelleth between the cherubims: and the two sons of Eli, Hophni and Phinehas, were there with the ark of the covenant of God.","So the people sent to Shiloh, that they might bring from thence the ark of the covenant of the L<font size=""-1"">ORD</font> of hosts, which dwelleth <i>between</i> the cherubims: and the two sons of Eli, Hophni and Phinehas, <i>were</i> there with the ark of the covenant of God."
1029,27,0,"And when the ark of the covenant of the LORD came into the camp, all Israel shouted with a great shout, so that the earth rang again.","And when the ark of the covenant of the L<font size=""-1"">ORD</font> came into the camp, all Israel shouted with a great shout, so that the earth rang again."
1030,40,0,"And when the Philistines heard the noise of the shout, they said, What meaneth the noise of this great shout in the camp of the Hebrews? And they understood that the ark of the LORD was come into the camp.","And when the Philistines heard the noise of the shout, they said, What <i>meaneth</i> the noise of this great shout in the camp of the Hebrews? And they understood that the ark of the L<font size=""-1"">ORD</font> was come into the camp."
1031,29,0,"And the Philistines were afraid, for they said, God is come into the camp. And they said, Woe unto us! for there hath not been such a thing heretofore.","And the Philistines were afraid, for they said, God is come into the camp. And they said, Woe unto us! for there hath not been such a thing heretofore."
1032,30,0,"Woe unto us! who shall deliver us out of the hand of these mighty Gods? these are the Gods that smote the Egyptians with all the plagues in the wilderness.","Woe unto us! who shall deliver us out of the hand of these mighty Gods? these <i>are</i> the Gods that smote the Egyptians with all the plagues in the wilderness."
