ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,20,0,"Now king David was old and stricken in years; and they covered him with clothes, but he gat no heat.","Now king David was old <i>and</i> stricken in years; and they covered him with clothes, but he gat no heat.",""
258,45,0,"Wherefore his servants said unto him, Let there be sought for my lord the king a young virgin: and let her stand before the king, and let her cherish him, and let her lie in thy bosom, that my lord the king may get heat.","Wherefore his servants said unto him, Let there be sought for my lord the king a young virgin: and let her stand before the king, and let her cherish him, and let her lie in thy bosom, that my lord the king may get heat.",""
259,24,0,"So they sought for a fair damsel throughout all the coasts of Israel, and found Abishag a Shunammite, and brought her to the king.","So they sought for a fair damsel throughout all the coasts of Israel, and found Abishag a Shunammite, and brought her to the king.",""
260,20,0,"And the damsel was very fair, and cherished the king, and ministered to him: but the king knew her not.","And the damsel <i>was</i> very fair, and cherished the king, and ministered to him: but the king knew her not.",""
261,27,1,"Then Adonijah the son of Haggith exalted himself, saying, I will be king: and he prepared him chariots and horsemen, and fifty men to run before him.","¶Then Adonijah the son of Haggith exalted himself, saying, I will be king: and he prepared him chariots and horsemen, and fifty men to run before him.",""
262,32,0,"And his father had not displeased him at any time in saying, Why hast thou done so? and he also was a very goodly man; and his mother bare him after Absalom.","And his father had not displeased him at any time in saying, Why hast thou done so? and he also <i>was a</i> very goodly <i>man</i>; and <i>his mother</i> bare him after Absalom.",""
263,20,0,"And he conferred with Joab the son of Zeruiah, and with Abiathar the priest: and they following Adonijah helped him.","And he conferred with Joab the son of Zeruiah, and with Abiathar the priest: and they following Adonijah helped <i>him</i>.",""
264,30,0,"But Zadok the priest, and Benaiah the son of Jehoiada, and Nathan the prophet, and Shimei, and Rei, and the mighty men which belonged to David, were not with Adonijah.","But Zadok the priest, and Benaiah the son of Jehoiada, and Nathan the prophet, and Shimei, and Rei, and the mighty men which <i>belonged</i> to David, were not with Adonijah.",""
265,35,0,"And Adonijah slew sheep and oxen and fat cattle by the stone of Zoheleth, which is by En-rogel, and called all his brethren the king's sons, and all the men of Judah the king's servants:","And Adonijah slew sheep and oxen and fat cattle by the stone of Zoheleth, which <i>is</i> by En–rogel, and called all his brethren the king's sons, and all the men of Judah the king's servants:",""
266,17,0,"But Nathan the prophet, and Benaiah, and the mighty men, and Solomon his brother, he called not.","But Nathan the prophet, and Benaiah, and the mighty men, and Solomon his brother, he called not.",""
267,29,1,"Wherefore Nathan spake unto Bath-sheba the mother of Solomon, saying, Hast thou not heard that Adonijah the son of Haggith doth reign, and David our lord knoweth it not?","¶Wherefore Nathan spake unto Bath–sheba the mother of Solomon, saying, Hast thou not heard that Adonijah the son of Haggith doth reign, and David our lord knoweth <i>it</i> not?",""
268,25,0,"Now therefore come, let me, I pray thee, give thee counsel, that thou mayest save thine own life, and the life of thy son Solomon.","Now therefore come, let me, I pray thee, give thee counsel, that thou mayest save thine own life, and the life of thy son Solomon.",""
269,44,0,"Go and get thee in unto king David, and say unto him, Didst not thou, my lord, O king, swear unto thine handmaid, saying, Assuredly Solomon thy son shall reign after me, and he shall sit upon my throne? why then doth Adonijah reign?","Go and get thee in unto king David, and say unto him, Didst not thou, my lord, O king, swear unto thine handmaid, saying, Assuredly Solomon thy son shall reign after me, and he shall sit upon my throne? why then doth Adonijah reign?",""
270,20,0,"Behold, while thou yet talkest there with the king, I also will come in after thee, and confirm thy words.","Behold, while thou yet talkest there with the king, I also will come in after thee, and confirm thy words.",""
271,24,1,"And Bath-sheba went in unto the king into the chamber: and the king was very old; and Abishag the Shunammite ministered unto the king.","¶And Bath–sheba went in unto the king into the chamber: and the king was very old; and Abishag the Shunammite ministered unto the king.",""
272,16,0,"And Bath-sheba bowed, and did obeisance unto the king. And the king said, What wouldest thou?","And Bath–sheba bowed, and did obeisance unto the king. And the king said, What wouldest thou?",""
