ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,10,0,"Then Moab rebelled against Israel after the death of Ahab.","Then Moab rebelled against Israel after the death of Ahab."
258,41,0,"And Ahaziah fell down through a lattice in his upper chamber that was in Samaria, and was sick: and he sent messengers, and said unto them, Go, enquire of Baal-zebub the god of Ekron whether I shall recover of this disease.","And Ahaziah fell down through a lattice in his upper chamber that <i>was</i> in Samaria, and was sick: and he sent messengers, and said unto them, Go, enquire of Baal–zebub the god of Ekron whether I shall recover of this disease."
259,49,0,"But the angel of the LORD said to Elijah the Tishbite, Arise, go up to meet the messengers of the king of Samaria, and say unto them, Is it not because there is not a God in Israel, that ye go to enquire of Baal-zebub the god of Ekron?","But the angel of the L<font size=""-1"">ORD</font> said to Elijah the Tishbite, Arise, go up to meet the messengers of the king of Samaria, and say unto them, <i>Is it</i> not because <i>there is</i> not a God in Israel, <i>that</i> ye go to enquire of Baal–zebub the god of Ekron?"
260,27,0,"Now therefore thus saith the LORD, Thou shalt not come down from that bed on which thou art gone up, but shalt surely die. And Elijah departed.","Now therefore thus saith the L<font size=""-1"">ORD</font>, Thou shalt not come down from that bed on which thou art gone up, but shalt surely die. And Elijah departed."
261,18,1,"And when the messengers turned back unto him, he said unto them, Why are ye now turned back?","¶And when the messengers turned back unto him, he said unto them, Why are ye now turned back?"
262,75,0,"And they said unto him, There came a man up to meet us, and said unto us, Go, turn again unto the king that sent you, and say unto him, Thus saith the LORD, Is it not because there is not a God in Israel, that thou sendest to enquire of Baal-zebub the god of Ekron? therefore thou shalt not come down from that bed on which thou art gone up, but shalt surely die.","And they said unto him, There came a man up to meet us, and said unto us, Go, turn again unto the king that sent you, and say unto him, Thus saith the L<font size=""-1"">ORD</font>, <i>Is it</i> not because <i>there is</i> not a God in Israel, <i>that</i> thou sendest to enquire of Baal–zebub the god of Ekron? therefore thou shalt not come down from that bed on which thou art gone up, but shalt surely die."
263,22,0,"And he said unto them, What manner of man was he which came up to meet you, and told you these words?","And he said unto them, What manner of man <i>was he</i> which came up to meet you, and told you these words?"
264,27,0,"And they answered him, He was an hairy man, and girt with a girdle of leather about his loins. And he said, It is Elijah the Tishbite.","And they answered him, <i>He was</i> an hairy man, and girt with a girdle of leather about his loins. And he said, It <i>is</i> Elijah the Tishbite."
265,44,1,"Then the king sent unto him a captain of fifty with his fifty. And he went up to him: and, behold, he sat on the top of an hill. And he spake unto him, Thou man of God, the king hath said, Come down.","¶Then the king sent unto him a captain of fifty with his fifty. And he went up to him: and, behold, he sat on the top of an hill. And he spake unto him, Thou man of God, the king hath said, Come down."
266,43,0,"And Elijah answered and said to the captain of fifty, If I be a man of God, then let fire come down from heaven, and consume thee and thy fifty. And there came down fire from heaven, and consumed him and his fifty.","And Elijah answered and said to the captain of fifty, If I <i>be</i> a man of God, then let fire come down from heaven, and consume thee and thy fifty. And there came down fire from heaven, and consumed him and his fifty."
267,32,0,"Again also he sent unto him another captain of fifty with his fifty. And he answered and said unto him, O man of God, thus hath the king said, Come down quickly.","Again also he sent unto him another captain of fifty with his fifty. And he answered and said unto him, O man of God, thus hath the king said, Come down quickly."
268,41,0,"And Elijah answered and said unto them, If I be a man of God, let fire come down from heaven, and consume thee and thy fifty. And the fire of God came down from heaven, and consumed him and his fifty.","And Elijah answered and said unto them, If I <i>be</i> a man of God, let fire come down from heaven, and consume thee and thy fifty. And the fire of God came down from heaven, and consumed him and his fifty."
269,60,1,"And he sent again a captain of the third fifty with his fifty. And the third captain of fifty went up, and came and fell on his knees before Elijah, and besought him, and said unto him, O man of God, I pray thee, let my life, and the life of these fifty thy servants, be precious in thy sight.","¶And he sent again a captain of the third fifty with his fifty. And the third captain of fifty went up, and came and fell on his knees before Elijah, and besought him, and said unto him, O man of God, I pray thee, let my life, and the life of these fifty thy servants, be precious in thy sight."
270,30,0,"Behold, there came fire down from heaven, and burnt up the two captains of the former fifties with their fifties: therefore let my life now be precious in thy sight.","Behold, there came fire down from heaven, and burnt up the two captains of the former fifties with their fifties: therefore let my life now be precious in thy sight."
271,29,0,"And the angel of the LORD said unto Elijah, Go down with him: be not afraid of him. And he arose, and went down with him unto the king.","And the angel of the L<font size=""-1"">ORD</font> said unto Elijah, Go down with him: be not afraid of him. And he arose, and went down with him unto the king."
272,57,0,"And he said unto him, Thus saith the LORD, Forasmuch as thou hast sent messengers to enquire of Baal-zebub the god of Ekron, is it not because there is no God in Israel to enquire of his word? therefore thou shalt not come down off that bed on which thou art gone up, but shalt surely die.","And he said unto him, Thus saith the L<font size=""-1"">ORD</font>, Forasmuch as thou hast sent messengers to enquire of Baal–zebub the god of Ekron, <i>is it</i> not because <i>there is</i> no God in Israel to enquire of his word? therefore thou shalt not come down off that bed on which thou art gone up, but shalt surely die."
273,38,1,"So he died according to the word of the LORD which Elijah had spoken. And Jehoram reigned in his stead in the second year of Jehoram the son of Jehoshaphat king of Judah; because he had no son.","¶So he died according to the word of the L<font size=""-1"">ORD</font> which Elijah had spoken. And Jehoram reigned in his stead in the second year of Jehoram the son of Jehoshaphat king of Judah; because he had no son."
