ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,51,0,"Now in the first year of Cyrus king of Persia, that the word of the LORD by the mouth of Jeremiah might be fulfilled, the LORD stirred up the spirit of Cyrus king of Persia, that he made a proclamation throughout all his kingdom, and put it also in writing, saying,","Now in the first year of Cyrus king of Persia, that the word of the L<font size=""-1"">ORD</font> by the mouth of Jeremiah might be fulfilled, the L<font size=""-1"">ORD</font> stirred up the spirit of Cyrus king of Persia, that he made a proclamation throughout all his kingdom, and <i>put it</i> also in writing, saying,",""
258,36,0,"Thus saith Cyrus king of Persia, The LORD God of heaven hath given me all the kingdoms of the earth; and he hath charged me to build him an house at Jerusalem, which is in Judah.","Thus saith Cyrus king of Persia, The L<font size=""-1"">ORD</font> God of heaven hath given me all the kingdoms of the earth; and he hath charged me to build him an house at Jerusalem, which <i>is</i> in Judah.",""
259,43,0,"Who is there among you of all his people? his God be with him, and let him go up to Jerusalem, which is in Judah, and build the house of the LORD God of Israel, (he is the God,) which is in Jerusalem.","Who <i>is there</i> among you of all his people? his God be with him, and let him go up to Jerusalem, which <i>is</i> in Judah, and build the house of the L<font size=""-1"">ORD</font> God of Israel, (he <i>is</i> the God,) which <i>is</i> in Jerusalem.",""
260,41,0,"And whosoever remaineth in any place where he sojourneth, let the men of his place help him with silver, and with gold, and with goods, and with beasts, beside the freewill offering for the house of God that is in Jerusalem.","And whosoever remaineth in any place where he sojourneth, let the men of his place help him with silver, and with gold, and with goods, and with beasts, beside the freewill offering for the house of God that <i>is</i> in Jerusalem.",""
261,40,1,"Then rose up the chief of the fathers of Judah and Benjamin, and the priests, and the Levites, with all them whose spirit God had raised, to go up to build the house of the LORD which is in Jerusalem.","¶Then rose up the chief of the fathers of Judah and Benjamin, and the priests, and the Levites, with all <i>them</i> whose spirit God had raised, to go up to build the house of the L<font size=""-1"">ORD</font> which <i>is</i> in Jerusalem.",""
262,31,0,"And all they that were about them strengthened their hands with vessels of silver, with gold, with goods, and with beasts, and with precious things, beside all that was willingly offered.","And all they that <i>were</i> about them strengthened their hands with vessels of silver, with gold, with goods, and with beasts, and with precious things, beside all <i>that</i> was willingly offered.",""
263,32,1,"Also Cyrus the king brought forth the vessels of the house of the LORD, which Nebuchadnezzar had brought forth out of Jerusalem, and had put them in the house of his gods;","¶Also Cyrus the king brought forth the vessels of the house of the L<font size=""-1"">ORD</font>, which Nebuchadnezzar had brought forth out of Jerusalem, and had put them in the house of his gods;",""
264,25,0,"Even those did Cyrus king of Persia bring forth by the hand of Mithredath the treasurer, and numbered them unto Sheshbazzar, the prince of Judah.","Even those did Cyrus king of Persia bring forth by the hand of Mithredath the treasurer, and numbered them unto Sheshbazzar, the prince of Judah.",""
265,20,0,"And this is the number of them: thirty chargers of gold, a thousand chargers of silver, nine and twenty knives,","And this <i>is</i> the number of them: thirty chargers of gold, a thousand chargers of silver, nine and twenty knives,",""
266,19,0,"Thirty basons of gold, silver basons of a second sort four hundred and ten, and other vessels a thousand.","Thirty basons of gold, silver basons of a second <i>sort</i> four hundred and ten, <i>and</i> other vessels a thousand.",""
