ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,28,0,"The words of Nehemiah the son of Hachaliah. And it came to pass in the month Chisleu, in the twentieth year, as I was in Shushan the palace,","The words of Nehemiah the son of Hachaliah. And it came to pass in the month Chisleu, in the twentieth year, as I was in Shushan the palace,"
258,32,0,"That Hanani, one of my brethren, came, he and certain men of Judah; and I asked them concerning the Jews that had escaped, which were left of the captivity, and concerning Jerusalem.","That Hanani, one of my brethren, came, he and <i>certain</i> men of Judah; and I asked them concerning the Jews that had escaped, which were left of the captivity, and concerning Jerusalem."
259,39,0,"And they said unto me, The remnant that are left of the captivity there in the province are in great affliction and reproach: the wall of Jerusalem also is broken down, and the gates thereof are burned with fire.","And they said unto me, The remnant that are left of the captivity there in the province <i>are</i> in great affliction and reproach: the wall of Jerusalem also <i>is</i> broken down, and the gates thereof are burned with fire."
260,29,1,"And it came to pass, when I heard these words, that I sat down and wept, and mourned certain days, and fasted, and prayed before the God of heaven,","¶And it came to pass, when I heard these words, that I sat down and wept, and mourned <i>certain</i> days, and fasted, and prayed before the God of heaven,"
261,29,1,"And said, I beseech thee, O LORD God of heaven, the great and terrible God, that keepeth covenant and mercy for them that love him and observe his commandments:","¶And said, I beseech thee, O L<font size=""-1"">ORD</font> God of heaven, the great and terrible God, that keepeth covenant and mercy for them that love him and observe his commandments:"
262,58,0,"Let thine ear now be attentive, and thine eyes open, that thou mayest hear the prayer of thy servant, which I pray before thee now, day and night, for the children of Israel thy servants, and confess the sins of the children of Israel, which we have sinned against thee: both I and my father's house have sinned.","Let thine ear now be attentive, and thine eyes open, that thou mayest hear the prayer of thy servant, which I pray before thee now, day and night, for the children of Israel thy servants, and confess the sins of the children of Israel, which we have sinned against thee: both I and my father's house have sinned."
263,25,0,"We have dealt very corruptly against thee, and have not kept the commandments, nor the statutes, nor the judgments, which thou commandedst thy servant Moses.","We have dealt very corruptly against thee, and have not kept the commandments, nor the statutes, nor the judgments, which thou commandedst thy servant Moses."
264,24,0,"Remember, I beseech thee, the word that thou commandedst thy servant Moses, saying, If ye transgress, I will scatter you abroad among the nations:","Remember, I beseech thee, the word that thou commandedst thy servant Moses, saying, <i>If</i> ye transgress, I will scatter you abroad among the nations:"
265,50,0,"But if ye turn unto me, and keep my commandments, and do them; though there were of you cast out unto the uttermost part of the heaven, yet will I gather them from thence, and will bring them unto the place that I have chosen to set my name there.","But <i>if</i> ye turn unto me, and keep my commandments, and do them; though there were of you cast out unto the uttermost part of the heaven, <i>yet</i> will I gather them from thence, and will bring them unto the place that I have chosen to set my name there."
266,21,0,"Now these are thy servants and thy people, whom thou hast redeemed by thy great power, and by thy strong hand.","Now these <i>are</i> thy servants and thy people, whom thou hast redeemed by thy great power, and by thy strong hand."
267,55,0,"O Lord, I beseech thee, let now thine ear be attentive to the prayer of thy servant, and to the prayer of thy servants, who desire to fear thy name: and prosper, I pray thee, thy servant this day, and grant him mercy in the sight of this man. For I was the king's cupbearer.","O Lord, I beseech thee, let now thine ear be attentive to the prayer of thy servant, and to the prayer of thy servants, who desire to fear thy name: and prosper, I pray thee, thy servant this day, and grant him mercy in the sight of this man. For I was the king's cupbearer."
513,44,0,"And it came to pass in the month Nisan, in the twentieth year of Artaxerxes the king, that wine was before him: and I took up the wine, and gave it unto the king. Now I had not been beforetime sad in his presence.","And it came to pass in the month Nisan, in the twentieth year of Artaxerxes the king, <i>that</i> wine <i>was</i> before him: and I took up the wine, and gave <i>it</i> unto the king. Now I had not been <i>beforetime</i> sad in his presence."
514,30,0,"Wherefore the king said unto me, Why is thy countenance sad, seeing thou art not sick? this is nothing else but sorrow of heart. Then I was very sore afraid,","Wherefore the king said unto me, Why <i>is</i> thy countenance sad, seeing thou <i>art</i> not sick? this <i>is</i> nothing <i>else</i> but sorrow of heart. Then I was very sore afraid,"
515,37,0,"And said unto the king, Let the king live for ever: why should not my countenance be sad, when the city, the place of my fathers' sepulchres, lieth waste, and the gates thereof are consumed with fire?","And said unto the king, Let the king live for ever: why should not my countenance be sad, when the city, the place of my fathers' sepulchres, <i>lieth</i> waste, and the gates thereof are consumed with fire?"
516,20,0,"Then the king said unto me, For what dost thou make request? So I prayed to the God of heaven.","Then the king said unto me, For what dost thou make request? So I prayed to the God of heaven."
517,40,0,"And I said unto the king, If it please the king, and if thy servant have found favour in thy sight, that thou wouldest send me unto Judah, unto the city of my fathers' sepulchres, that I may build it.","And I said unto the king, If it please the king, and if thy servant have found favour in thy sight, that thou wouldest send me unto Judah, unto the city of my fathers' sepulchres, that I may build it."
518,38,0,"And the king said unto me, (the queen also sitting by him,) For how long shall thy journey be? and when wilt thou return? So it pleased the king to send me; and I set him a time.","And the king said unto me, (the queen also sitting by him,) For how long shall thy journey be? and when wilt thou return? So it pleased the king to send me; and I set him a time."
519,33,0,"Moreover I said unto the king, If it please the king, let letters be given me to the governors beyond the river, that they may convey me over till I come into Judah;","Moreover I said unto the king, If it please the king, let letters be given me to the governors beyond the river, that they may convey me over till I come into Judah;"
520,62,0,"And a letter unto Asaph the keeper of the king's forest, that he may give me timber to make beams for the gates of the palace which appertained to the house, and for the wall of the city, and for the house that I shall enter into. And the king granted me, according to the good hand of my God upon me.","And a letter unto Asaph the keeper of the king's forest, that he may give me timber to make beams for the gates of the palace which <i>appertained</i> to the house, and for the wall of the city, and for the house that I shall enter into. And the king granted me, according to the good hand of my God upon me."
521,28,1,"Then I came to the governors beyond the river, and gave them the king's letters. Now the king had sent captains of the army and horsemen with me.","¶Then I came to the governors beyond the river, and gave them the king's letters. Now the king had sent captains of the army and horsemen with me."
522,32,0,"When Sanballat the Horonite, and Tobiah the servant, the Ammonite, heard of it, it grieved them exceedingly that there was come a man to seek the welfare of the children of Israel.","When Sanballat the Horonite, and Tobiah the servant, the Ammonite, heard <i>of it</i>, it grieved them exceedingly that there was come a man to seek the welfare of the children of Israel."
523,10,0,"So I came to Jerusalem, and was there three days.","So I came to Jerusalem, and was there three days."
524,44,1,"And I arose in the night, I and some few men with me; neither told I any man what my God had put in my heart to do at Jerusalem: neither was there any beast with me, save the beast that I rode upon.","¶And I arose in the night, I and some few men with me; neither told I <i>any</i> man what my God had put in my heart to do at Jerusalem: neither <i>was there any</i> beast with me, save the beast that I rode upon."
525,40,0,"And I went out by night by the gate of the valley, even before the dragon well, and to the dung port, and viewed the walls of Jerusalem, which were broken down, and the gates thereof were consumed with fire.","And I went out by night by the gate of the valley, even before the dragon well, and to the dung port, and viewed the walls of Jerusalem, which were broken down, and the gates thereof were consumed with fire."
526,29,0,"Then I went on to the gate of the fountain, and to the king's pool: but there was no place for the beast that was under me to pass.","Then I went on to the gate of the fountain, and to the king's pool: but <i>there was</i> no place for the beast <i>that was</i> under me to pass."
527,28,0,"Then went I up in the night by the brook, and viewed the wall, and turned back, and entered by the gate of the valley, and so returned.","Then went I up in the night by the brook, and viewed the wall, and turned back, and entered by the gate of the valley, and <i>so</i> returned."
528,42,0,"And the rulers knew not whither I went, or what I did; neither had I as yet told it to the Jews, nor to the priests, nor to the nobles, nor to the rulers, nor to the rest that did the work.","And the rulers knew not whither I went, or what I did; neither had I as yet told <i>it</i> to the Jews, nor to the priests, nor to the nobles, nor to the rulers, nor to the rest that did the work."
529,42,1,"Then said I unto them, Ye see the distress that we are in, how Jerusalem lieth waste, and the gates thereof are burned with fire: come, and let us build up the wall of Jerusalem, that we be no more a reproach.","¶Then said I unto them, Ye see the distress that we <i>are</i> in, how Jerusalem <i>lieth</i> waste, and the gates thereof are burned with fire: come, and let us build up the wall of Jerusalem, that we be no more a reproach."
530,44,0,"Then I told them of the hand of my God which was good upon me; as also the king's words that he had spoken unto me. And they said, Let us rise up and build. So they strengthened their hands for this good work.","Then I told them of the hand of my God which was good upon me; as also the king's words that he had spoken unto me. And they said, Let us rise up and build. So they strengthened their hands for <i>this</i> good <i>work</i>."
531,40,0,"But when Sanballat the Horonite, and Tobiah the servant, the Ammonite, and Geshem the Arabian, heard it, they laughed us to scorn, and despised us, and said, What is this thing that ye do? will ye rebel against the king?","But when Sanballat the Horonite, and Tobiah the servant, the Ammonite, and Geshem the Arabian, heard <i>it</i>, they laughed us to scorn, and despised us, and said, What <i>is</i> this thing that ye do? will ye rebel against the king?"
532,35,0,"Then answered I them, and said unto them, The God of heaven, he will prosper us; therefore we his servants will arise and build: but ye have no portion, nor right, nor memorial, in Jerusalem.","Then answered I them, and said unto them, The God of heaven, he will prosper us; therefore we his servants will arise and build: but ye have no portion, nor right, nor memorial, in Jerusalem."
