ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,28,0,"Now it came to pass in the days of Ahasuerus, (this is Ahasuerus which reigned, from India even unto Ethiopia, over an hundred and seven and twenty provinces:)","Now it came to pass in the days of Ahasuerus, (this <i>is</i> Ahasuerus which reigned, from India even unto Ethiopia, <i>over</i> an hundred and seven and twenty provinces:)"
258,21,0,"That in those days, when the king Ahasuerus sat on the throne of his kingdom, which was in Shushan the palace,","<i>That</i> in those days, when the king Ahasuerus sat on the throne of his kingdom, which <i>was</i> in Shushan the palace,"
259,34,0,"In the third year of his reign, he made a feast unto all his princes and his servants; the power of Persia and Media, the nobles and princes of the provinces, being before him:","In the third year of his reign, he made a feast unto all his princes and his servants; the power of Persia and Media, the nobles and princes of the provinces, <i>being</i> before him:"
260,24,0,"When he shewed the riches of his glorious kingdom and the honour of his excellent majesty many days, even an hundred and fourscore days.","When he shewed the riches of his glorious kingdom and the honour of his excellent majesty many days, <i>even</i> an hundred and fourscore days."
261,39,0,"And when these days were expired, the king made a feast unto all the people that were present in Shushan the palace, both unto great and small, seven days, in the court of the garden of the king's palace;","And when these days were expired, the king made a feast unto all the people that were present in Shushan the palace, both unto great and small, seven days, in the court of the garden of the king's palace;"
262,41,0,"Where were white, green, and blue, hangings, fastened with cords of fine linen and purple to silver rings and pillars of marble: the beds were of gold and silver, upon a pavement of red, and blue, and white, and black, marble.","<i>Where were</i> white, green, and blue, <i>hangings</i>, fastened with cords of fine linen and purple to silver rings and pillars of marble: the beds <i>were of</i> gold and silver, upon a pavement of red, and blue, and white, and black, marble."
263,28,0,"And they gave them drink in vessels of gold, (the vessels being diverse one from another,) and royal wine in abundance, according to the state of the king.","And they gave <i>them</i> drink in vessels of gold, (the vessels being diverse one from another,) and royal wine in abundance, according to the state of the king."
264,33,0,"And the drinking was according to the law; none did compel: for so the king had appointed to all the officers of his house, that they should do according to every man's pleasure.","And the drinking <i>was</i> according to the law; none did compel: for so the king had appointed to all the officers of his house, that they should do according to every man's pleasure."
265,19,0,"Also Vashti the queen made a feast for the women in the royal house which belonged to king Ahasuerus.","Also Vashti the queen made a feast for the women <i>in</i> the royal house which <i>belonged</i> to king Ahasuerus."
266,37,1,"On the seventh day, when the heart of the king was merry with wine, he commanded Mehuman, Biztha, Harbona, Bigtha, and Abagtha, Zethar, and Carcas, the seven chamberlains that served in the presence of Ahasuerus the king,","¶On the seventh day, when the heart of the king was merry with wine, he commanded Mehuman, Biztha, Harbona, Bigtha, and Abagtha, Zethar, and Carcas, the seven chamberlains that served in the presence of Ahasuerus the king,"
267,28,0,"To bring Vashti the queen before the king with the crown royal, to shew the people and the princes her beauty: for she was fair to look on.","To bring Vashti the queen before the king with the crown royal, to shew the people and the princes her beauty: for she <i>was</i> fair to look on."
268,26,0,"But the queen Vashti refused to come at the king's commandment by his chamberlains: therefore was the king very wroth, and his anger burned in him.","But the queen Vashti refused to come at the king's commandment by <i>his</i> chamberlains: therefore was the king very wroth, and his anger burned in him."
269,25,1,"Then the king said to the wise men, which knew the times, (for so was the king's manner toward all that knew law and judgment:","¶Then the king said to the wise men, which knew the times, (for so <i>was</i> the king's manner toward all that knew law and judgment:"
270,34,0,"And the next unto him was Carshena, Shethar, Admatha, Tarshish, Meres, Marsena, and Memucan, the seven princes of Persia and Media, which saw the king's face, and which sat the first in the kingdom;)","And the next unto him <i>was</i> Carshena, Shethar, Admatha, Tarshish, Meres, Marsena, <i>and</i> Memucan, the seven princes of Persia and Media, which saw the king's face, <i>and</i> which sat the first in the kingdom;)"
271,25,0,"What shall we do unto the queen Vashti according to law, because she hath not performed the commandment of the king Ahasuerus by the chamberlains?","What shall we do unto the queen Vashti according to law, because she hath not performed the commandment of the king Ahasuerus by the chamberlains?"
272,41,0,"And Memucan answered before the king and the princes, Vashti the queen hath not done wrong to the king only, but also to all the princes, and to all the people that are in all the provinces of the king Ahasuerus.","And Memucan answered before the king and the princes, Vashti the queen hath not done wrong to the king only, but also to all the princes, and to all the people that <i>are</i> in all the provinces of the king Ahasuerus."
273,44,0,"For this deed of the queen shall come abroad unto all women, so that they shall despise their husbands in their eyes, when it shall be reported, The king Ahasuerus commanded Vashti the queen to be brought in before him, but she came not.","For <i>this</i> deed of the queen shall come abroad unto all women, so that they shall despise their husbands in their eyes, when it shall be reported, The king Ahasuerus commanded Vashti the queen to be brought in before him, but she came not."
274,34,0,"Likewise shall the ladies of Persia and Media say this day unto all the king's princes, which have heard of the deed of the queen. Thus shall there arise too much contempt and wrath.","<i>Likewise</i> shall the ladies of Persia and Media say this day unto all the king's princes, which have heard of the deed of the queen. Thus <i>shall there arise</i> too much contempt and wrath."
275,55,0,"If it please the king, let there go a royal commandment from him, and let it be written among the laws of the Persians and the Medes, that it be not altered, That Vashti come no more before king Ahasuerus; and let the king give her royal estate unto another that is better than she.","If it please the king, let there go a royal commandment from him, and let it be written among the laws of the Persians and the Medes, that it be not altered, That Vashti come no more before king Ahasuerus; and let the king give her royal estate unto another that is better than she."
276,34,0,"And when the king's decree which he shall make shall be published throughout all his empire, (for it is great,) all the wives shall give to their husbands honour, both to great and small.","And when the king's decree which he shall make shall be published throughout all his empire, (for it is great,) all the wives shall give to their husbands honour, both to great and small."
277,19,0,"And the saying pleased the king and the princes; and the king did according to the word of Memucan:","And the saying pleased the king and the princes; and the king did according to the word of Memucan:"
278,47,0,"For he sent letters into all the king's provinces, into every province according to the writing thereof, and to every people after their language, that every man should bear rule in his own house, and that it should be published according to the language of every people.","For he sent letters into all the king's provinces, into every province according to the writing thereof, and to every people after their language, that every man should bear rule in his own house, and that <i>it</i> should be published according to the language of every people."
513,25,0,"After these things, when the wrath of king Ahasuerus was appeased, he remembered Vashti, and what she had done, and what was decreed against her.","After these things, when the wrath of king Ahasuerus was appeased, he remembered Vashti, and what she had done, and what was decreed against her."
514,19,0,"Then said the king's servants that ministered unto him, Let there be fair young virgins sought for the king:","Then said the king's servants that ministered unto him, Let there be fair young virgins sought for the king:"
515,54,0,"And let the king appoint officers in all the provinces of his kingdom, that they may gather together all the fair young virgins unto Shushan the palace, to the house of the women, unto the custody of Hege the king's chamberlain, keeper of the women; and let their things for purification be given them:","And let the king appoint officers in all the provinces of his kingdom, that they may gather together all the fair young virgins unto Shushan the palace, to the house of the women, unto the custody of Hege the king's chamberlain, keeper of the women; and let their things for purification be given <i>them</i>:"
516,23,0,"And let the maiden which pleaseth the king be queen instead of Vashti. And the thing pleased the king; and he did so.","And let the maiden which pleaseth the king be queen instead of Vashti. And the thing pleased the king; and he did so."
517,28,1,"Now in Shushan the palace there was a certain Jew, whose name was Mordecai, the son of Jair, the son of Shimei, the son of Kish, a Benjamite;","¶<i>Now</i> in Shushan the palace there was a certain Jew, whose name <i>was</i> Mordecai, the son of Jair, the son of Shimei, the son of Kish, a Benjamite;"
518,29,0,"Who had been carried away from Jerusalem with the captivity which had been carried away with Jeconiah king of Judah, whom Nebuchadnezzar the king of Babylon had carried away.","Who had been carried away from Jerusalem with the captivity which had been carried away with Jeconiah king of Judah, whom Nebuchadnezzar the king of Babylon had carried away."
519,39,0,"And he brought up Hadassah, that is, Esther, his uncle's daughter: for she had neither father nor mother, and the maid was fair and beautiful; whom Mordecai, when her father and mother were dead, took for his own daughter.","And he brought up Hadassah, that <i>is</i>, Esther, his uncle's daughter: for she had neither father nor mother, and the maid <i>was</i> fair and beautiful; whom Mordecai, when her father and mother were dead, took for his own daughter."
520,48,1,"So it came to pass, when the king's commandment and his decree was heard, and when many maidens were gathered together unto Shushan the palace, to the custody of Hegai, that Esther was brought also unto the king's house, to the custody of Hegai, keeper of the women.","¶So it came to pass, when the king's commandment and his decree was heard, and when many maidens were gathered together unto Shushan the palace, to the custody of Hegai, that Esther was brought also unto the king's house, to the custody of Hegai, keeper of the women."
