ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,28,0,"","","w w w w w w w w w, w w Twt w; w w w w w w w, w w w w w, w w w."
258,11,0,"","","w w w w w w w w w w w."
259,41,0,"","","w w w w w w w, w w w w, w w w w w w, w w w w w, w w w w w; w w w w w w w w w w w w w w."
260,28,3,"","","w w w w w w Tw wt w, w w w w; w w w w w w w w w w w w w w w."
261,58,0,"","","w w w w, w w w w Twt w w w w, w w w w w w, w w w w w w w, w w w w Twt w w w w w w: w w w, w w w w w w w w, w w w w w w. w w w w."
262,23,1,"","","w w w w w w w w w w w w w w w w Dwd, w w w w w w."
263,32,0,"","","w w Dwd w w w, w w w? w w w w Dwd, w w, w w w w w w w w, w w w w w w w w."
264,34,0,"","","w w Dwd w w w, w w w w w w, w Tw wt w w w w w w, w w w w w w, w w w w, w w w?"
265,13,0,"","","w w w w Dwd, w w, w w w w w w?"
266,37,0,"","","w w w w w w w w, w w w w, w w w w w w w w w? w w w w w w w w, w w w w w w w w."
267,20,0,"","","w w w w w w, w w w w w w, w w w w w w w w."
268,33,0,"","","w w Dwd w w w, w, w w w w Twt w w w; w w w w w w w w. w w w w w w w w w Dwd."
269,21,1,"","","w w w w w w w w w w w Twt w w w w w w w w w:"
270,19,0,"","","w w w w w w w, w w, w w w w, w w w w w w:"
271,31,0,"","","w w w w Tw wt, w w w w; w, w w w w w w w w w w w; w w w w w w w w w."
272,40,0,"","","w w Twt w w, w w w w, w w, w w w w w w w w, w w w w w w, w w w, w w w; w w w w w w w w w."
273,47,0,"","","w w Twt w w, w w w w, w w, w w w w w w, w w w w w, w w w w w, w, w w w w w w w w w w; w w w w w w w w w."
274,26,0,"","","w w Twt w w, w w w w, w w, w w w w w Twt w w w w w w w w w:"
275,38,0,"","","w, w, w w w w w w w w, w w w w w w w w, w w w w w w w, w w w w; w w w w w w w w w."
276,19,3,"","","w w w, w w w w, w w w w, w w w w w w, w w,"
277,32,0,"","","w w, w w w w w w w w, w w w w w w: w Dwd w, w w Dwd w w w; w w w w w w Dwd."
278,10,0,"","","w w w w w w, w w w w."
513,29,0,"","","w w w w w w w w w w w w w w w w Dwd, w w w w w w w w w w w Dwd."
514,33,0,"","","w w Dwd w w w, w w w w? w w w w Dwd, w w, w w w w w w w w, w w w w w w w w."
515,52,0,"","","w w Dwd w w w, w w w w w w, w Tw wt w w w w w w, w w w w w w, w w w w, w w w? w w w w w w w, w w w w w w, w w w w w."
516,22,0,"","","w w w w Dwd, w w, w w w, w, w w w w w w w w w w w."
517,21,0,"","","w w w w w w, w w w w w w w, w w w w w w w w."
518,16,0,"","","w w Dwd w w w, w, w Twt w w w; w w w w."
519,25,1,"","","w w w w w w w w w Dwd, w w w w w w w w w w w w w w w."
520,17,0,"","","w w w w w w w w w w; w w w w w w w."
521,16,2,"","","w w w w w w, w w w w w w? w w, w w."
522,40,0,"","","w w w w w, w w w w w w w w w. w? w w w w w w w w w, w w w w w w? w w w w w w w w w w."
523,51,1,"","","w w w w w w w w w w w w w w w, w w w w w w w w; w w w, w w w w, w w w w: w w w w w w w w w w w w w w w w w."
524,35,0,"","","w w w w w w w w w, w w w w, w w w w w, w w; w w w w w w w, w w w w w w w w."
525,30,0,"","","w w w w w w w w w w w w w w, w w w w w w w: w w w w Twt w w w w."
769,10,0,"","","w w w w w w, w w w w."
770,5,0,"","","w w w, w w,"
