ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,28,0,"Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.","Blessed <i>is</i> the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.",""
258,20,0,"But his delight is in the law of the LORD; and in his law doth he meditate day and night.","But his delight <i>is</i> in the law of the L<font size=""-1"">ORD</font>; and in his law doth he meditate day and night.",""
259,33,0,"And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper.","And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper.",""
260,15,1,"The ungodly are not so: but are like the chaff which the wind driveth away.","¶The ungodly <i>are</i> not so: but <i>are</i> like the chaff which the wind driveth away.",""
261,17,0,"Therefore the ungodly shall not stand in the judgment, nor sinners in the congregation of the righteous.","Therefore the ungodly shall not stand in the judgment, nor sinners in the congregation of the righteous.",""
262,17,0,"For the LORD knoweth the way of the righteous: but the way of the ungodly shall perish.","For the L<font size=""-1"">ORD</font> knoweth the way of the righteous: but the way of the ungodly shall perish.",""
513,12,0,"Why do the heathen rage, and the people imagine a vain thing?","Why do the heathen rage, and the people imagine a vain thing?",""
514,21,0,"The kings of the earth set themselves, and the rulers take counsel together, against the LORD, and against his anointed, saying,","The kings of the earth set themselves, and the rulers take counsel together, against the L<font size=""-1"">ORD</font>, and against his anointed, <i>saying</i>,",""
515,13,0,"Let us break their bands asunder, and cast away their cords from us.","Let us break their bands asunder, and cast away their cords from us.",""
516,15,0,"He that sitteth in the heavens shall laugh: the Lord shall have them in derision.","He that sitteth in the heavens shall laugh: the Lord shall have them in derision.",""
517,16,0,"Then shall he speak unto them in his wrath, and vex them in his sore displeasure.","Then shall he speak unto them in his wrath, and vex them in his sore displeasure.",""
518,12,0,"Yet have I set my king upon my holy hill of Zion.","Yet have I set my king upon my holy hill of Zion.",""
519,21,1,"I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee.","¶I will declare the decree: the L<font size=""-1"">ORD</font> hath said unto me, Thou <i>art</i> my Son; this day have I begotten thee.",""
520,23,0,"Ask of me, and I shall give thee the heathen for thine inheritance, and the uttermost parts of the earth for thy possession.","Ask of me, and I shall give <i>thee</i> the heathen <i>for</i> thine inheritance, and the uttermost parts of the earth <i>for</i> thy possession.",""
521,19,0,"Thou shalt break them with a rod of iron; thou shalt dash them in pieces like a potter's vessel.","Thou shalt break them with a rod of iron; thou shalt dash them in pieces like a potter's vessel.",""
522,14,1,"Be wise now therefore, O ye kings: be instructed, ye judges of the earth.","¶Be wise now therefore, O ye kings: be instructed, ye judges of the earth.",""
523,9,0,"Serve the LORD with fear, and rejoice with trembling.","Serve the L<font size=""-1"">ORD</font> with fear, and rejoice with trembling.",""
524,31,0,"Kiss the Son, lest he be angry, and ye perish from the way, when his wrath is kindled but a little. Blessed are all they that put their trust in him.","Kiss the Son, lest he be angry, and ye perish <i>from</i> the way, when his wrath is kindled but a little. Blessed <i>are</i> all they that put their trust in him.",""
769,16,0,"Lord, how are they increased that trouble me! many are they that rise up against me.","Lord, how are they increased that trouble me! many are they that rise up against me.",""
770,17,0,"Many there be which say of my soul, There is no help for him in God. Selah.","Many <i>there be</i> which say of my soul, <i>There is</i> no help for him in God. Selah.",""
771,18,0,"But thou, O LORD, art a shield for me; my glory, and the lifter up of mine head.","But thou, O L<font size=""-1"">ORD</font>, <i>art</i> a shield for me; my glory, and the lifter up of mine head.",""
772,18,1,"I cried unto the LORD with my voice, and he heard me out of his holy hill. Selah.","¶I cried unto the L<font size=""-1"">ORD</font> with my voice, and he heard me out of his holy hill. Selah.",""
773,13,0,"I laid me down and slept; I awaked; for the LORD sustained me.","I laid me down and slept; I awaked; for the L<font size=""-1"">ORD</font> sustained me.",""
774,18,0,"I will not be afraid of ten thousands of people, that have set themselves against me round about.","I will not be afraid of ten thousands of people, that have set <i>themselves</i> against me round about.",""
775,27,0,"Arise, O LORD; save me, O my God: for thou hast smitten all mine enemies upon the cheek bone; thou hast broken the teeth of the ungodly.","Arise, O L<font size=""-1"">ORD</font>; save me, O my God: for thou hast smitten all mine enemies <i>upon</i> the cheek bone; thou hast broken the teeth of the ungodly.",""
776,12,0,"Salvation belongeth unto the LORD: thy blessing is upon thy people. Selah.","Salvation <i>belongeth</i> unto the L<font size=""-1"">ORD</font>: thy blessing <i>is</i> upon thy people. Selah.",""
