ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,11,0,"","","w w w w w w w w, w w w;"
258,11,0,"","","w w w w w; w w w w w w;"
259,11,0,"","","w w w w w w, w, w w, w w;"
260,13,0,"","","w w w w w w, w w w w w w w."
261,19,0,"","","w w Twt w w, w w w w; w w w w w w w w w w:"
262,16,0,"","","w w w w, w w w; w w w w w, w w w w."
263,16,1,"","","w w w w Dwd Twt w w w w: Twt w w w w w."
264,16,0,"","","w w, w w w w w w, w w w w w w w w:"
265,16,0,"","","w w Tw wt w w w w w w w, w w w w w."
266,9,1,"","","w w, w w w w, w w w."
267,21,0,"","","w w w, w w w, w w w w w w, w w w w w w w w w:"
268,19,0,"","","w w w w w w w w w; w w, w w w w w w w w:"
269,13,0,"","","w w w w w w, w w w w w w w:"
270,12,0,"","","w w w w w w; w w w w w w:"
271,16,0,"","","w w, w w w w w w w w; w w w w w w:"
272,12,0,"","","w w w w w w, w w w w w w."
273,13,0,"","","w w w w w w w w w w w w w."
274,15,0,"","","w w w w w w Twt w; w w w w w Twt w."
275,21,0,"","","w Twt w w w w w w w w w w; Twt w w w w w w w w."
276,10,1,"","","w w w; w w w w w w w:"
277,22,0,"","","w w w w w w w w, w w w w w w: w w w w w w w, Twt,"
278,20,0,"","","w w, w w w, w w w w? w w w w w w w, w w w w?"
279,22,0,"","","w w w w w: w, w w w w w w w w, w w w w w w w w."
280,17,2,"","","w w w w, w w w; w w w w w w, w w w w;"
281,15,0,"","","w w w w w w w w w, w w w w w w:"
282,14,0,"","","w w w w w w w; w w w w w w w;"
283,20,0,"","","w w w w w w, w w w w w w w; w w w w w w w."
284,22,0,"","","w w w w w w, w w w w w; w w w w w, w w w w w w:"
285,14,0,"","","w w w w w, w w w w w w w w Dwd:"
286,11,0,"","","w w w w w w: w w w w w."
287,18,0,"","","w w w w w w w w w w w, w w w w w w w."
288,18,0,"","","w w w w w w w w w w, w w w w w w w w."
289,16,0,"","","w w w w w w w w, w w w w w w w w."
513,14,0,"","","w w, w w w w w w, w w w w w w;"
514,14,0,"","","w w w w w w w w, Twt w w w w w;"
515,13,0,"","","w, w w w w w, Twt w w w w w w;"
516,14,0,"","","w w w w w w, w w w w w Twt w w;"
517,15,0,"","","w w w w w w w w Dwd, w w w w w w."
518,13,0,"","","w w Dwd w w: w w w w Twt w w w."
519,17,0,"","","w w w w w w w w: Tw wt w w w w w w w."
520,13,0,"","","w w w w w w, w w w w w w w."
521,13,0,"","","w w w w w, w w, w w; Twt, w w w."
522,13,1,"","","w w w w w w, w w w w w w w;"
523,8,0,"","","w w w w, w w w w:"
524,17,0,"","","w w w w w w w w w Twt, w w w w w w w;"
