ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,12,0,"The words of the Preacher, the son of David, king in Jerusalem.","The words of the Preacher, the son of David, king in Jerusalem."
258,12,0,"Vanity of vanities, saith the Preacher, vanity of vanities; all is vanity.","Vanity of vanities, saith the Preacher, vanity of vanities; all <i>is</i> vanity."
259,15,0,"What profit hath a man of all his labour which he taketh under the sun?","What profit hath a man of all his labour which he taketh under the sun?"
260,14,1,"One generation passeth away, and another generation cometh: but the earth abideth for ever.","¶<i>One</i> generation passeth away, and <i>another</i> generation cometh: but the earth abideth for ever."
261,17,0,"The sun also ariseth, and the sun goeth down, and hasteth to his place where he arose.","The sun also ariseth, and the sun goeth down, and hasteth to his place where he arose."
262,25,0,"The wind goeth toward the south, and turneth about unto the north; it whirleth about continually, and the wind returneth again according to his circuits.","The wind goeth toward the south, and turneth about unto the north; it whirleth about continually, and the wind returneth again according to his circuits."
263,25,0,"All the rivers run into the sea; yet the sea is not full; unto the place from whence the rivers come, thither they return again.","All the rivers run into the sea; yet the sea <i>is</i> not full; unto the place from whence the rivers come, thither they return again."
264,23,0,"All things are full of labour; man cannot utter it: the eye is not satisfied with seeing, nor the ear filled with hearing.","All things <i>are</i> full of labour; man cannot utter <i>it</i>: the eye is not satisfied with seeing, nor the ear filled with hearing."
265,31,1,"The thing that hath been, it is that which shall be; and that which is done is that which shall be done: and there is no new thing under the sun.","¶The thing that hath been, it <i>is that</i> which shall be; and that which is done <i>is</i> that which shall be done: and <i>there is</i> no new <i>thing</i> under the sun."
266,24,0,"Is there any thing whereof it may be said, See, this is new? it hath been already of old time, which was before us.","Is there <i>any</i> thing whereof it may be said, See, this <i>is</i> new? it hath been already of old time, which was before us."
267,25,0,"There is no remembrance of former things; neither shall there be any remembrance of things that are to come with those that shall come after.","<i>There is</i> no remembrance of former <i>things</i>; neither shall there be <i>any</i> remembrance of <i>things</i> that are to come with <i>those</i> that shall come after."
268,9,1,"I the Preacher was king over Israel in Jerusalem.","¶I the Preacher was king over Israel in Jerusalem."
269,35,0,"And I gave my heart to seek and search out by wisdom concerning all things that are done under heaven: this sore travail hath God given to the sons of man to be exercised therewith.","And I gave my heart to seek and search out by wisdom concerning all <i>things</i> that are done under heaven: this sore travail hath God given to the sons of man to be exercised therewith."
270,21,0,"I have seen all the works that are done under the sun; and, behold, all is vanity and vexation of spirit.","I have seen all the works that are done under the sun; and, behold, all <i>is</i> vanity and vexation of spirit."
271,16,0,"That which is crooked cannot be made straight: and that which is wanting cannot be numbered.","<i>That which is</i> crooked cannot be made straight: and that which is wanting cannot be numbered."
272,39,0,"I communed with mine own heart, saying, Lo, I am come to great estate, and have gotten more wisdom than all they that have been before me in Jerusalem: yea, my heart had great experience of wisdom and knowledge.","I communed with mine own heart, saying, Lo, I am come to great estate, and have gotten more wisdom than all <i>they</i> that have been before me in Jerusalem: yea, my heart had great experience of wisdom and knowledge."
273,23,0,"And I gave my heart to know wisdom, and to know madness and folly: I perceived that this also is vexation of spirit.","And I gave my heart to know wisdom, and to know madness and folly: I perceived that this also is vexation of spirit."
274,14,0,"For in much wisdom is much grief: and he that increaseth knowledge increaseth sorrow.","For in much wisdom <i>is</i> much grief: and he that increaseth knowledge increaseth sorrow."
513,23,0,"I said in mine heart, Go to now, I will prove thee with mirth, therefore enjoy pleasure: and, behold, this also is vanity.","I said in mine heart, Go to now, I will prove thee with mirth, therefore enjoy pleasure: and, behold, this also <i>is</i> vanity."
514,13,0,"I said of laughter, It is mad: and of mirth, What doeth it?","I said of laughter, <i>It is</i> mad: and of mirth, What doeth it?"
515,48,0,"I sought in mine heart to give myself unto wine, yet acquainting mine heart with wisdom; and to lay hold on folly, till I might see what was that good for the sons of men, which they should do under the heaven all the days of their life.","I sought in mine heart to give myself unto wine, yet acquainting mine heart with wisdom; and to lay hold on folly, till I might see what <i>was</i> that good for the sons of men, which they should do under the heaven all the days of their life."
516,13,0,"I made me great works; I builded me houses; I planted me vineyards:","I made me great works; I builded me houses; I planted me vineyards:"
517,17,0,"I made me gardens and orchards, and I planted trees in them of all kind of fruits:","I made me gardens and orchards, and I planted trees in them of all <i>kind of</i> fruits:"
518,15,0,"I made me pools of water, to water therewith the wood that bringeth forth trees:","I made me pools of water, to water therewith the wood that bringeth forth trees:"
519,31,0,"I got me servants and maidens, and had servants born in my house; also I had great possessions of great and small cattle above all that were in Jerusalem before me:","I got <i>me</i> servants and maidens, and had servants born in my house; also I had great possessions of great and small cattle above all that were in Jerusalem before me:"
520,41,0,"I gathered me also silver and gold, and the peculiar treasure of kings and of the provinces: I gat me men singers and women singers, and the delights of the sons of men, as musical instruments, and that of all sorts.","I gathered me also silver and gold, and the peculiar treasure of kings and of the provinces: I gat me men singers and women singers, and the delights of the sons of men, <i>as</i> musical instruments, and that of all sorts."
521,21,0,"So I was great, and increased more than all that were before me in Jerusalem: also my wisdom remained with me.","So I was great, and increased more than all that were before me in Jerusalem: also my wisdom remained with me."
522,35,0,"And whatsoever mine eyes desired I kept not from them, I withheld not my heart from any joy; for my heart rejoiced in all my labour: and this was my portion of all my labour.","And whatsoever mine eyes desired I kept not from them, I withheld not my heart from any joy; for my heart rejoiced in all my labour: and this was my portion of all my labour."
523,39,0,"Then I looked on all the works that my hands had wrought, and on the labour that I had laboured to do: and, behold, all was vanity and vexation of spirit, and there was no profit under the sun.","Then I looked on all the works that my hands had wrought, and on the labour that I had laboured to do: and, behold, all <i>was</i> vanity and vexation of spirit, and <i>there was</i> no profit under the sun."
524,29,1,"And I turned myself to behold wisdom, and madness, and folly: for what can the man do that cometh after the king? even that which hath been already done.","¶And I turned myself to behold wisdom, and madness, and folly: for what <i>can</i> the man <i>do</i> that cometh after the king? <i>even</i> that which hath been already done."
525,13,0,"Then I saw that wisdom excelleth folly, as far as light excelleth darkness.","Then I saw that wisdom excelleth folly, as far as light excelleth darkness."
526,26,0,"The wise man's eyes are in his head; but the fool walketh in darkness: and I myself perceived also that one event happeneth to them all.","The wise man's eyes <i>are</i> in his head; but the fool walketh in darkness: and I myself perceived also that one event happeneth to them all."
527,36,0,"Then said I in my heart, As it happeneth to the fool, so it happeneth even to me; and why was I then more wise? Then I said in my heart, that this also is vanity.","Then said I in my heart, As it happeneth to the fool, so it happeneth even to me; and why was I then more wise? Then I said in my heart, that this also <i>is</i> vanity."
528,38,0,"For there is no remembrance of the wise more than of the fool for ever; seeing that which now is in the days to come shall all be forgotten. And how dieth the wise man? as the fool.","For <i>there is</i> no remembrance of the wise more than of the fool for ever; seeing that which now <i>is</i> in the days to come shall all be forgotten. And how dieth the wise <i>man</i>? as the fool."
529,25,1,"Therefore I hated life; because the work that is wrought under the sun is grievous unto me: for all is vanity and vexation of spirit.","¶Therefore I hated life; because the work that is wrought under the sun <i>is</i> grievous unto me: for all <i>is</i> vanity and vexation of spirit."
530,26,1,"Yea, I hated all my labour which I had taken under the sun: because I should leave it unto the man that shall be after me.","¶Yea, I hated all my labour which I had taken under the sun: because I should leave it unto the man that shall be after me."
531,40,0,"And who knoweth whether he shall be a wise man or a fool? yet shall he have rule over all my labour wherein I have laboured, and wherein I have shewed myself wise under the sun. This is also vanity.","And who knoweth whether he shall be a wise <i>man</i> or a fool? yet shall he have rule over all my labour wherein I have laboured, and wherein I have shewed myself wise under the sun. This <i>is</i> also vanity."
532,20,0,"Therefore I went about to cause my heart to despair of all the labour which I took under the sun.","Therefore I went about to cause my heart to despair of all the labour which I took under the sun."
533,40,0,"For there is a man whose labour is in wisdom, and in knowledge, and in equity; yet to a man that hath not laboured therein shall he leave it for his portion. This also is vanity and a great evil.","For there is a man whose labour <i>is</i> in wisdom, and in knowledge, and in equity; yet to a man that hath not laboured therein shall he leave it <i>for</i> his portion. This also <i>is</i> vanity and a great evil."
534,22,0,"For what hath man of all his labour, and of the vexation of his heart, wherein he hath laboured under the sun?","For what hath man of all his labour, and of the vexation of his heart, wherein he hath laboured under the sun?"
535,23,0,"For all his days are sorrows, and his travail grief; yea, his heart taketh not rest in the night. This is also vanity.","For all his days <i>are</i> sorrows, and his travail grief; yea, his heart taketh not rest in the night. This is also vanity."
536,38,1,"There is nothing better for a man, than that he should eat and drink, and that he should make his soul enjoy good in his labour. This also I saw, that it was from the hand of God.","¶<i>There is</i> nothing better for a man, <i>than</i> that he should eat and drink, and <i>that</i> he should make his soul enjoy good in his labour. This also I saw, that it <i>was</i> from the hand of God."
537,13,0,"For who can eat, or who else can hasten hereunto, more than I?","For who can eat, or who else can hasten <i>hereunto</i>, more than I?"
538,49,0,"For God giveth to a man that is good in his sight wisdom, and knowledge, and joy: but to the sinner he giveth travail, to gather and to heap up, that he may give to him that is good before God. This also is vanity and vexation of spirit.","For <i>God</i> giveth to a man that <i>is</i> good in his sight wisdom, and knowledge, and joy: but to the sinner he giveth travail, to gather and to heap up, that he may give to <i>him that is</i> good before God. This also <i>is</i> vanity and vexation of spirit."
769,16,0,"To every thing there is a season, and a time to every purpose under the heaven:","To every <i>thing there is</i> a season, and a time to every purpose under the heaven:"
770,24,0,"A time to be born, and a time to die; a time to plant, and a time to pluck up that which is planted;","A time to be born, and a time to die; a time to plant, and a time to pluck up <i>that which is</i> planted;"
771,20,0,"A time to kill, and a time to heal; a time to break down, and a time to build up;","A time to kill, and a time to heal; a time to break down, and a time to build up;"
772,18,0,"A time to weep, and a time to laugh; a time to mourn, and a time to dance;","A time to weep, and a time to laugh; a time to mourn, and a time to dance;"
