ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,7,0,"The song of songs, which is Solomon's.","The song of songs, which <i>is</i> Solomon's."
258,17,1,"Let him kiss me with the kisses of his mouth: for thy love is better than wine.","¶Let him kiss me with the kisses of his mouth: for thy love <i>is</i> better than wine."
259,21,0,"Because of the savour of thy good ointments thy name is as ointment poured forth, therefore do the virgins love thee.","Because of the savour of thy good ointments thy name <i>is as</i> ointment poured forth, therefore do the virgins love thee."
260,35,0,"Draw me, we will run after thee: the king hath brought me into his chambers: we will be glad and rejoice in thee, we will remember thy love more than wine: the upright love thee.","Draw me, we will run after thee: the king hath brought me into his chambers: we will be glad and rejoice in thee, we will remember thy love more than wine: the upright love thee."
261,20,0,"I am black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.","I <i>am</i> black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon."
262,38,0,"Look not upon me, because I am black, because the sun hath looked upon me: my mother's children were angry with me; they made me the keeper of the vineyards; but mine own vineyard have I not kept.","Look not upon me, because I <i>am</i> black, because the sun hath looked upon me: my mother's children were angry with me; they made me the keeper of the vineyards; <i>but</i> mine own vineyard have I not kept."
263,36,1,"Tell me, O thou whom my soul loveth, where thou feedest, where thou makest thy flock to rest at noon: for why should I be as one that turneth aside by the flocks of thy companions?","¶Tell me, O thou whom my soul loveth, where thou feedest, where thou makest <i>thy flock</i> to rest at noon: for why should I be as one that turneth aside by the flocks of thy companions?"
264,27,1,"If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock, and feed thy kids beside the shepherds' tents.","¶If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock, and feed thy kids beside the shepherds' tents."
265,15,0,"I have compared thee, O my love, to a company of horses in Pharaoh's chariots.","I have compared thee, O my love, to a company of horses in Pharaoh's chariots."
266,14,0,"Thy cheeks are comely with rows of jewels, thy neck with chains of gold.","Thy cheeks are comely with rows <i>of jewels</i>, thy neck with chains <i>of gold</i>."
267,11,0,"We will make thee borders of gold with studs of silver.","We will make thee borders of gold with studs of silver."
268,14,1,"While the king sitteth at his table, my spikenard sendeth forth the smell thereof.","¶While the king <i>sitteth</i> at his table, my spikenard sendeth forth the smell thereof."
269,17,0,"A bundle of myrrh is my wellbeloved unto me; he shall lie all night betwixt my breasts.","A bundle of myrrh <i>is</i> my wellbeloved unto me; he shall lie all night betwixt my breasts."
270,15,0,"My beloved is unto me as a cluster of camphire in the vineyards of En-gedi.","My beloved <i>is</i> unto me <i>as</i> a cluster of camphire in the vineyards of En–gedi."
271,14,0,"Behold, thou art fair, my love; behold, thou art fair; thou hast doves' eyes.","Behold, thou <i>art</i> fair, my love; behold, thou <i>art</i> fair; thou <i>hast</i> doves' eyes."
272,13,0,"Behold, thou art fair, my beloved, yea, pleasant: also our bed is green.","Behold, thou <i>art</i> fair, my beloved, yea, pleasant: also our bed <i>is</i> green."
273,12,0,"The beams of our house are cedar, and our rafters of fir.","The beams of our house <i>are</i> cedar, <i>and</i> our rafters of fir."
513,12,0,"I am the rose of Sharon, and the lily of the valleys.","I <i>am</i> the rose of Sharon, <i>and</i> the lily of the valleys."
514,12,0,"As the lily among thorns, so is my love among the daughters.","As the lily among thorns, so <i>is</i> my love among the daughters."
515,34,1,"As the apple tree among the trees of the wood, so is my beloved among the sons. I sat down under his shadow with great delight, and his fruit was sweet to my taste.","¶As the apple tree among the trees of the wood, so <i>is</i> my beloved among the sons. I sat down under his shadow with great delight, and his fruit <i>was</i> sweet to my taste."
516,14,0,"He brought me to the banqueting house, and his banner over me was love.","He brought me to the banqueting house, and his banner over me <i>was</i> love."
517,14,0,"Stay me with flagons, comfort me with apples: for I am sick of love.","Stay me with flagons, comfort me with apples: for I <i>am</i> sick of love."
518,14,0,"His left hand is under my head, and his right hand doth embrace me.","His left hand <i>is</i> under my head, and his right hand doth embrace me."
519,30,0,"I charge you, O ye daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awake my love, till he please.","I charge you, O ye daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awake <i>my</i> love, till he please."
520,16,1,"The voice of my beloved! behold, he cometh leaping upon the mountains, skipping upon the hills.","¶The voice of my beloved! behold, he cometh leaping upon the mountains, skipping upon the hills."
521,27,0,"My beloved is like a roe or a young hart: behold, he standeth behind our wall, he looketh forth at the windows, shewing himself through the lattice.","My beloved is like a roe or a young hart: behold, he standeth behind our wall, he looketh forth at the windows, shewing himself through the lattice."
522,17,0,"My beloved spake, and said unto me, Rise up, my love, my fair one, and come away.","My beloved spake, and said unto me, Rise up, my love, my fair one, and come away."
523,12,0,"For, lo, the winter is past, the rain is over and gone;","For, lo, the winter is past, the rain is over <i>and</i> gone;"
524,26,0,"The flowers appear on the earth; the time of the singing of birds is come, and the voice of the turtle is heard in our land;","The flowers appear on the earth; the time of the singing <i>of birds</i> is come, and the voice of the turtle is heard in our land;"
525,28,0,"The fig tree putteth forth her green figs, and the vines with the tender grape give a good smell. Arise, my love, my fair one, and come away.","The fig tree putteth forth her green figs, and the vines <i>with</i> the tender grape give a <i>good</i> smell. Arise, my love, my fair one, and come away."
526,38,1,"O my dove, that art in the clefts of the rock, in the secret places of the stairs, let me see thy countenance, let me hear thy voice; for sweet is thy voice, and thy countenance is comely.","¶O my dove, <i>that art</i> in the clefts of the rock, in the secret <i>places</i> of the stairs, let me see thy countenance, let me hear thy voice; for sweet <i>is</i> thy voice, and thy countenance <i>is</i> comely."
527,17,0,"Take us the foxes, the little foxes, that spoil the vines: for our vines have tender grapes.","Take us the foxes, the little foxes, that spoil the vines: for our vines <i>have</i> tender grapes."
528,13,1,"My beloved is mine, and I am his: he feedeth among the lilies.","¶My beloved <i>is</i> mine, and I <i>am</i> his: he feedeth among the lilies."
529,27,0,"Until the day break, and the shadows flee away, turn, my beloved, and be thou like a roe or a young hart upon the mountains of Bether.","Until the day break, and the shadows flee away, turn, my beloved, and be thou like a roe or a young hart upon the mountains of Bether."
769,20,0,"By night on my bed I sought him whom my soul loveth: I sought him, but I found him not.","By night on my bed I sought him whom my soul loveth: I sought him, but I found him not."
770,33,0,"I will rise now, and go about the city in the streets, and in the broad ways I will seek him whom my soul loveth: I sought him, but I found him not.","I will rise now, and go about the city in the streets, and in the broad ways I will seek him whom my soul loveth: I sought him, but I found him not."
771,20,0,"The watchmen that go about the city found me: to whom I said, Saw ye him whom my soul loveth?","The watchmen that go about the city found me: <i>to whom I said</i>, Saw ye him whom my soul loveth?"
772,45,0,"It was but a little that I passed from them, but I found him whom my soul loveth: I held him, and would not let him go, until I had brought him into my mother's house, and into the chamber of her that conceived me.","<i>It was</i> but a little that I passed from them, but I found him whom my soul loveth: I held him, and would not let him go, until I had brought him into my mother's house, and into the chamber of her that conceived me."
773,30,0,"I charge you, O ye daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awake my love, till he please.","I charge you, O ye daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awake <i>my</i> love, till he please."
774,24,1,"Who is this that cometh out of the wilderness like pillars of smoke, perfumed with myrrh and frankincense, with all powders of the merchant?","¶Who <i>is</i> this that cometh out of the wilderness like pillars of smoke, perfumed with myrrh and frankincense, with all powders of the merchant?"
775,17,1,"Behold his bed, which is Solomon's; threescore valiant men are about it, of the valiant of Israel.","¶Behold his bed, which <i>is</i> Solomon's; threescore valiant men <i>are</i> about it, of the valiant of Israel."
776,22,0,"They all hold swords, being expert in war: every man hath his sword upon his thigh because of fear in the night.","They all hold swords, <i>being</i> expert in war: every man <i>hath</i> his sword upon his thigh because of fear in the night."
777,11,0,"King Solomon made himself a chariot of the wood of Lebanon.","King Solomon made himself a chariot of the wood of Lebanon."
778,30,0,"He made the pillars thereof of silver, the bottom thereof of gold, the covering of it of purple, the midst thereof being paved with love, for the daughters of Jerusalem.","He made the pillars thereof <i>of</i> silver, the bottom thereof <i>of</i> gold, the covering of it <i>of</i> purple, the midst thereof being paved <i>with</i> love, for the daughters of Jerusalem."
779,35,0,"Go forth, O ye daughters of Zion, and behold king Solomon with the crown wherewith his mother crowned him in the day of his espousals, and in the day of the gladness of his heart.","Go forth, O ye daughters of Zion, and behold king Solomon with the crown wherewith his mother crowned him in the day of his espousals, and in the day of the gladness of his heart."
