ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,27,0,"The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.","The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, <i>and</i> Hezekiah, kings of Judah."
258,26,1,"Hear, O heavens, and give ear, O earth: for the LORD hath spoken, I have nourished and brought up children, and they have rebelled against me.","¶Hear, O heavens, and give ear, O earth: for the L<font size=""-1"">ORD</font> hath spoken, I have nourished and brought up children, and they have rebelled against me."
259,21,0,"The ox knoweth his owner, and the ass his master's crib: but Israel doth not know, my people doth not consider.","The ox knoweth his owner, and the ass his master's crib: <i>but</i> Israel doth not know, my people doth not consider."
260,36,0,"Ah sinful nation, a people laden with iniquity, a seed of evildoers, children that are corrupters: they have forsaken the LORD, they have provoked the Holy One of Israel unto anger, they are gone away backward.","Ah sinful nation, a people laden with iniquity, a seed of evildoers, children that are corrupters: they have forsaken the L<font size=""-1"">ORD</font>, they have provoked the Holy One of Israel unto anger, they are gone away backward."
261,23,1,"Why should ye be stricken any more? ye will revolt more and more: the whole head is sick, and the whole heart faint.","¶Why should ye be stricken any more? ye will revolt more and more: the whole head is sick, and the whole heart faint."
262,35,0,"From the sole of the foot even unto the head there is no soundness in it; but wounds, and bruises, and putrifying sores: they have not been closed, neither bound up, neither mollified with ointment.","From the sole of the foot even unto the head <i>there is</i> no soundness in it; <i>but</i> wounds, and bruises, and putrifying sores: they have not been closed, neither bound up, neither mollified with ointment."
263,26,0,"Your country is desolate, your cities are burned with fire: your land, strangers devour it in your presence, and it is desolate, as overthrown by strangers.","Your country <i>is</i> desolate, your cities <i>are</i> burned with fire: your land, strangers devour it in your presence, and <i>it is</i> desolate, as overthrown by strangers."
264,25,0,"And the daughter of Zion is left as a cottage in a vineyard, as a lodge in a garden of cucumbers, as a besieged city.","And the daughter of Zion is left as a cottage in a vineyard, as a lodge in a garden of cucumbers, as a besieged city."
265,27,0,"Except the LORD of hosts had left unto us a very small remnant, we should have been as Sodom, and we should have been like unto Gomorrah.","Except the L<font size=""-1"">ORD</font> of hosts had left unto us a very small remnant, we should have been as Sodom, <i>and</i> we should have been like unto Gomorrah."
266,22,1,"Hear the word of the LORD, ye rulers of Sodom; give ear unto the law of our God, ye people of Gomorrah.","¶Hear the word of the L<font size=""-1"">ORD</font>, ye rulers of Sodom; give ear unto the law of our God, ye people of Gomorrah."
267,45,0,"To what purpose is the multitude of your sacrifices unto me? saith the LORD: I am full of the burnt offerings of rams, and the fat of fed beasts; and I delight not in the blood of bullocks, or of lambs, or of he goats.","To what purpose <i>is</i> the multitude of your sacrifices unto me? saith the L<font size=""-1"">ORD</font>: I am full of the burnt offerings of rams, and the fat of fed beasts; and I delight not in the blood of bullocks, or of lambs, or of he goats."
268,18,0,"When ye come to appear before me, who hath required this at your hand, to tread my courts?","When ye come to appear before me, who hath required this at your hand, to tread my courts?"
269,31,0,"Bring no more vain oblations; incense is an abomination unto me; the new moons and sabbaths, the calling of assemblies, I cannot away with; it is iniquity, even the solemn meeting.","Bring no more vain oblations; incense is an abomination unto me; the new moons and sabbaths, the calling of assemblies, I cannot away with; <i>it is</i> iniquity, even the solemn meeting."
270,22,0,"Your new moons and your appointed feasts my soul hateth: they are a trouble unto me; I am weary to bear them.","Your new moons and your appointed feasts my soul hateth: they are a trouble unto me; I am weary to bear <i>them</i>."
271,30,0,"And when ye spread forth your hands, I will hide mine eyes from you: yea, when ye make many prayers, I will not hear: your hands are full of blood.","And when ye spread forth your hands, I will hide mine eyes from you: yea, when ye make many prayers, I will not hear: your hands are full of blood."
272,20,1,"Wash you, make you clean; put away the evil of your doings from before mine eyes; cease to do evil;","¶Wash you, make you clean; put away the evil of your doings from before mine eyes; cease to do evil;"
273,16,0,"Learn to do well; seek judgment, relieve the oppressed, judge the fatherless, plead for the widow.","Learn to do well; seek judgment, relieve the oppressed, judge the fatherless, plead for the widow."
274,34,0,"Come now, and let us reason together, saith the LORD: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.","Come now, and let us reason together, saith the L<font size=""-1"">ORD</font>: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool."
275,14,0,"If ye be willing and obedient, ye shall eat the good of the land:","If ye be willing and obedient, ye shall eat the good of the land:"
276,22,0,"But if ye refuse and rebel, ye shall be devoured with the sword: for the mouth of the LORD hath spoken it.","But if ye refuse and rebel, ye shall be devoured with the sword: for the mouth of the L<font size=""-1"">ORD</font> hath spoken <i>it</i>."
277,20,1,"How is the faithful city become an harlot! it was full of judgment; righteousness lodged in it; but now murderers.","¶How is the faithful city become an harlot! it was full of judgment; righteousness lodged in it; but now murderers."
278,10,0,"Thy silver is become dross, thy wine mixed with water:","Thy silver is become dross, thy wine mixed with water:"
279,31,0,"Thy princes are rebellious, and companions of thieves: every one loveth gifts, and followeth after rewards: they judge not the fatherless, neither doth the cause of the widow come unto them.","Thy princes <i>are</i> rebellious, and companions of thieves: every one loveth gifts, and followeth after rewards: they judge not the fatherless, neither doth the cause of the widow come unto them."
280,27,0,"Therefore saith the Lord, the LORD of hosts, the mighty One of Israel, Ah, I will ease me of mine adversaries, and avenge me of mine enemies:","Therefore saith the Lord, the L<font size=""-1"">ORD</font> of hosts, the mighty One of Israel, Ah, I will ease me of mine adversaries, and avenge me of mine enemies:"
281,20,1,"And I will turn my hand upon thee, and purely purge away thy dross, and take away all thy tin:","¶And I will turn my hand upon thee, and purely purge away thy dross, and take away all thy tin:"
