ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,20,0,"The words of Jeremiah the son of Hilkiah, of the priests that were in Anathoth in the land of Benjamin:","The words of Jeremiah the son of Hilkiah, of the priests that <i>were</i> in Anathoth in the land of Benjamin:"
258,27,0,"To whom the word of the LORD came in the days of Josiah the son of Amon king of Judah, in the thirteenth year of his reign.","To whom the word of the L<font size=""-1"">ORD</font> came in the days of Josiah the son of Amon king of Judah, in the thirteenth year of his reign."
259,42,0,"It came also in the days of Jehoiakim the son of Josiah king of Judah, unto the end of the eleventh year of Zedekiah the son of Josiah king of Judah, unto the carrying away of Jerusalem captive in the fifth month.","It came also in the days of Jehoiakim the son of Josiah king of Judah, unto the end of the eleventh year of Zedekiah the son of Josiah king of Judah, unto the carrying away of Jerusalem captive in the fifth month."
260,10,1,"Then the word of the LORD came unto me, saying,","¶Then the word of the L<font size=""-1"">ORD</font> came unto me, saying,"
261,31,0,"Before I formed thee in the belly I knew thee; and before thou camest forth out of the womb I sanctified thee, and I ordained thee a prophet unto the nations.","Before I formed thee in the belly I knew thee; and before thou camest forth out of the womb I sanctified thee, <i>and</i> I ordained thee a prophet unto the nations."
262,15,0,"Then said I, Ah, Lord GOD! behold, I cannot speak: for I am a child.","Then said I, Ah, Lord G<font size=""-1"">OD</font>! behold, I cannot speak: for I <i>am</i> a child."
263,31,1,"But the LORD said unto me, Say not, I am a child: for thou shalt go to all that I shall send thee, and whatsoever I command thee thou shalt speak.","¶But the L<font size=""-1"">ORD</font> said unto me, Say not, I <i>am</i> a child: for thou shalt go to all that I shall send thee, and whatsoever I command thee thou shalt speak."
264,17,0,"Be not afraid of their faces: for I am with thee to deliver thee, saith the LORD.","Be not afraid of their faces: for I <i>am</i> with thee to deliver thee, saith the L<font size=""-1"">ORD</font>."
265,26,0,"Then the LORD put forth his hand, and touched my mouth. And the LORD said unto me, Behold, I have put my words in thy mouth.","Then the L<font size=""-1"">ORD</font> put forth his hand, and touched my mouth. And the L<font size=""-1"">ORD</font> said unto me, Behold, I have put my words in thy mouth."
266,33,0,"See, I have this day set thee over the nations and over the kingdoms, to root out, and to pull down, and to destroy, and to throw down, to build, and to plant.","See, I have this day set thee over the nations and over the kingdoms, to root out, and to pull down, and to destroy, and to throw down, to build, and to plant."
267,25,1,"Moreover the word of the LORD came unto me, saying, Jeremiah, what seest thou? And I said, I see a rod of an almond tree.","¶Moreover the word of the L<font size=""-1"">ORD</font> came unto me, saying, Jeremiah, what seest thou? And I said, I see a rod of an almond tree."
268,19,0,"Then said the LORD unto me, Thou hast well seen: for I will hasten my word to perform it.","Then said the L<font size=""-1"">ORD</font> unto me, Thou hast well seen: for I will hasten my word to perform it."
269,32,0,"And the word of the LORD came unto me the second time, saying, What seest thou? And I said, I see a seething pot; and the face thereof is toward the north.","And the word of the L<font size=""-1"">ORD</font> came unto me the second time, saying, What seest thou? And I said, I see a seething pot; and the face thereof <i>is</i> toward the north."
270,22,0,"Then the LORD said unto me, Out of the north an evil shall break forth upon all the inhabitants of the land.","Then the L<font size=""-1"">ORD</font> said unto me, Out of the north an evil shall break forth upon all the inhabitants of the land."
271,52,0,"For, lo, I will call all the families of the kingdoms of the north, saith the LORD; and they shall come, and they shall set every one his throne at the entering of the gates of Jerusalem, and against all the walls thereof round about, and against all the cities of Judah.","For, lo, I will call all the families of the kingdoms of the north, saith the L<font size=""-1"">ORD</font>; and they shall come, and they shall set every one his throne at the entering of the gates of Jerusalem, and against all the walls thereof round about, and against all the cities of Judah."
272,31,0,"And I will utter my judgments against them touching all their wickedness, who have forsaken me, and have burned incense unto other gods, and worshipped the works of their own hands.","And I will utter my judgments against them touching all their wickedness, who have forsaken me, and have burned incense unto other gods, and worshipped the works of their own hands."
273,29,1,"Thou therefore gird up thy loins, and arise, and speak unto them all that I command thee: be not dismayed at their faces, lest I confound thee before them.","¶Thou therefore gird up thy loins, and arise, and speak unto them all that I command thee: be not dismayed at their faces, lest I confound thee before them."
274,42,0,"For, behold, I have made thee this day a defenced city, and an iron pillar, and brasen walls against the whole land, against the kings of Judah, against the princes thereof, against the priests thereof, and against the people of the land.","For, behold, I have made thee this day a defenced city, and an iron pillar, and brasen walls against the whole land, against the kings of Judah, against the princes thereof, against the priests thereof, and against the people of the land."
275,24,0,"And they shall fight against thee; but they shall not prevail against thee; for I am with thee, saith the LORD, to deliver thee.","And they shall fight against thee; but they shall not prevail against thee; for I <i>am</i> with thee, saith the L<font size=""-1"">ORD</font>, to deliver thee."
513,10,0,"Moreover the word of the LORD came to me, saying,","Moreover the word of the L<font size=""-1"">ORD</font> came to me, saying,"
514,41,0,"Go and cry in the ears of Jerusalem, saying, Thus saith the LORD; I remember thee, the kindness of thy youth, the love of thine espousals, when thou wentest after me in the wilderness, in a land that was not sown.","Go and cry in the ears of Jerusalem, saying, Thus saith the L<font size=""-1"">ORD</font>; I remember thee, the kindness of thy youth, the love of thine espousals, when thou wentest after me in the wilderness, in a land <i>that was</i> not sown."
515,26,0,"Israel was holiness unto the LORD, and the firstfruits of his increase: all that devour him shall offend; evil shall come upon them, saith the LORD.","Israel <i>was</i> holiness unto the L<font size=""-1"">ORD</font>, <i>and</i> the firstfruits of his increase: all that devour him shall offend; evil shall come upon them, saith the L<font size=""-1"">ORD</font>."
516,20,0,"Hear ye the word of the LORD, O house of Jacob, and all the families of the house of Israel:","Hear ye the word of the L<font size=""-1"">ORD</font>, O house of Jacob, and all the families of the house of Israel:"
517,28,1,"Thus saith the LORD, What iniquity have your fathers found in me, that they are gone far from me, and have walked after vanity, and are become vain?","¶Thus saith the L<font size=""-1"">ORD</font>, What iniquity have your fathers found in me, that they are gone far from me, and have walked after vanity, and are become vain?"
518,55,0,"Neither said they, Where is the LORD that brought us up out of the land of Egypt, that led us through the wilderness, through a land of deserts and of pits, through a land of drought, and of the shadow of death, through a land that no man passed through, and where no man dwelt?","Neither said they, Where <i>is</i> the L<font size=""-1"">ORD</font> that brought us up out of the land of Egypt, that led us through the wilderness, through a land of deserts and of pits, through a land of drought, and of the shadow of death, through a land that no man passed through, and where no man dwelt?"
519,31,0,"And I brought you into a plentiful country, to eat the fruit thereof and the goodness thereof; but when ye entered, ye defiled my land, and made mine heritage an abomination.","And I brought you into a plentiful country, to eat the fruit thereof and the goodness thereof; but when ye entered, ye defiled my land, and made mine heritage an abomination."
520,37,0,"The priests said not, Where is the LORD? and they that handle the law knew me not: the pastors also transgressed against me, and the prophets prophesied by Baal, and walked after things that do not profit.","The priests said not, Where <i>is</i> the L<font size=""-1"">ORD</font>? and they that handle the law knew me not: the pastors also transgressed against me, and the prophets prophesied by Baal, and walked after <i>things that</i> do not profit."
521,18,1,"Wherefore I will yet plead with you, saith the LORD, and with your children's children will I plead.","¶Wherefore I will yet plead with you, saith the L<font size=""-1"">ORD</font>, and with your children's children will I plead."
522,24,0,"For pass over the isles of Chittim, and see; and send unto Kedar, and consider diligently, and see if there be such a thing.","For pass over the isles of Chittim, and see; and send unto Kedar, and consider diligently, and see if there be such a thing."
523,24,0,"Hath a nation changed their gods, which are yet no gods? but my people have changed their glory for that which doth not profit.","Hath a nation changed <i>their</i> gods, which <i>are</i> yet no gods? but my people have changed their glory for <i>that which</i> doth not profit."
524,18,0,"Be astonished, O ye heavens, at this, and be horribly afraid, be ye very desolate, saith the LORD.","Be astonished, O ye heavens, at this, and be horribly afraid, be ye very desolate, saith the L<font size=""-1"">ORD</font>."
525,28,0,"For my people have committed two evils; they have forsaken me the fountain of living waters, and hewed them out cisterns, broken cisterns, that can hold no water.","For my people have committed two evils; they have forsaken me the fountain of living waters, <i>and</i> hewed them out cisterns, broken cisterns, that can hold no water."
526,13,1,"Is Israel a servant? is he a homeborn slave? why is he spoiled?","¶<i>Is</i> Israel a servant? <i>is</i> he a homeborn <i>slave</i>? why is he spoiled?"
527,20,0,"The young lions roared upon him, and yelled, and they made his land waste: his cities are burned without inhabitant.","The young lions roared upon him, <i>and</i> yelled, and they made his land waste: his cities are burned without inhabitant."
528,14,0,"Also the children of Noph and Tahapanes have broken the crown of thy head.","Also the children of Noph and Tahapanes have broken the crown of thy head."
529,23,0,"Hast thou not procured this unto thyself, in that thou hast forsaken the LORD thy God, when he led thee by the way?","Hast thou not procured this unto thyself, in that thou hast forsaken the L<font size=""-1"">ORD</font> thy God, when he led thee by the way?"
530,36,0,"And now what hast thou to do in the way of Egypt, to drink the waters of Sihor? or what hast thou to do in the way of Assyria, to drink the waters of the river?","And now what hast thou to do in the way of Egypt, to drink the waters of Sihor? or what hast thou to do in the way of Assyria, to drink the waters of the river?"
531,46,0,"Thine own wickedness shall correct thee, and thy backslidings shall reprove thee: know therefore and see that it is an evil thing and bitter, that thou hast forsaken the LORD thy God, and that my fear is not in thee, saith the Lord GOD of hosts.","Thine own wickedness shall correct thee, and thy backslidings shall reprove thee: know therefore and see that <i>it is</i> an evil <i>thing</i> and bitter, that thou hast forsaken the L<font size=""-1"">ORD</font> thy God, and that my fear <i>is</i> not in thee, saith the Lord G<font size=""-1"">OD</font> of hosts."
532,35,1,"For of old time I have broken thy yoke, and burst thy bands; and thou saidst, I will not transgress; when upon every high hill and under every green tree thou wanderest, playing the harlot.","¶For of old time I have broken thy yoke, <i>and</i> burst thy bands; and thou saidst, I will not transgress; when upon every high hill and under every green tree thou wanderest, playing the harlot."
533,27,0,"Yet I had planted thee a noble vine, wholly a right seed: how then art thou turned into the degenerate plant of a strange vine unto me?","Yet I had planted thee a noble vine, wholly a right seed: how then art thou turned into the degenerate plant of a strange vine unto me?"
534,23,0,"For though thou wash thee with nitre, and take thee much soap, yet thine iniquity is marked before me, saith the Lord GOD.","For though thou wash thee with nitre, and take thee much soap, <i>yet</i> thine iniquity is marked before me, saith the Lord G<font size=""-1"">OD</font>."
535,33,0,"How canst thou say, I am not polluted, I have not gone after Baalim? see thy way in the valley, know what thou hast done: thou art a swift dromedary traversing her ways;","How canst thou say, I am not polluted, I have not gone after Baalim? see thy way in the valley, know what thou hast done: <i>thou art</i> a swift dromedary traversing her ways;"
536,39,0,"A wild ass used to the wilderness, that snuffeth up the wind at her pleasure; in her occasion who can turn her away? all they that seek her will not weary themselves; in her month they shall find her.","A wild ass used to the wilderness, <i>that</i> snuffeth up the wind at her pleasure; in her occasion who can turn her away? all they that seek her will not weary themselves; in her month they shall find her."
537,30,0,"Withhold thy foot from being unshod, and thy throat from thirst: but thou saidst, There is no hope: no; for I have loved strangers, and after them will I go.","Withhold thy foot from being unshod, and thy throat from thirst: but thou saidst, There is no hope: no; for I have loved strangers, and after them will I go."
538,27,0,"As the thief is ashamed when he is found, so is the house of Israel ashamed; they, their kings, their princes, and their priests, and their prophets,","As the thief is ashamed when he is found, so is the house of Israel ashamed; they, their kings, their princes, and their priests, and their prophets,"
539,43,0,"Saying to a stock, Thou art my father; and to a stone, Thou hast brought me forth: for they have turned their back unto me, and not their face: but in the time of their trouble they will say, Arise, and save us.","Saying to a stock, Thou <i>art</i> my father; and to a stone, Thou hast brought me forth: for they have turned <i>their</i> back unto me, and not <i>their</i> face: but in the time of their trouble they will say, Arise, and save us."
540,37,0,"But where are thy gods that thou hast made thee? let them arise, if they can save thee in the time of thy trouble: for according to the number of thy cities are thy gods, O Judah.","But where <i>are</i> thy gods that thou hast made thee? let them arise, if they can save thee in the time of thy trouble: for <i>according to</i> the number of thy cities are thy gods, O Judah."
541,15,1,"Wherefore will ye plead with me? ye all have transgressed against me, saith the LORD.","¶Wherefore will ye plead with me? ye all have transgressed against me, saith the L<font size=""-1"">ORD</font>."
542,22,0,"In vain have I smitten your children; they received no correction: your own sword hath devoured your prophets, like a destroying lion.","In vain have I smitten your children; they received no correction: your own sword hath devoured your prophets, like a destroying lion."
543,34,1,"O generation, see ye the word of the LORD. Have I been a wilderness unto Israel? a land of darkness? wherefore say my people, We are lords; we will come no more unto thee?","¶O generation, see ye the word of the L<font size=""-1"">ORD</font>. Have I been a wilderness unto Israel? a land of darkness? wherefore say my people, We are lords; we will come no more unto thee?"
544,20,0,"Can a maid forget her ornaments, or a bride her attire? yet my people have forgotten me days without number.","Can a maid forget her ornaments, <i>or</i> a bride her attire? yet my people have forgotten me days without number."
545,18,0,"Why trimmest thou thy way to seek love? therefore hast thou also taught the wicked ones thy ways.","Why trimmest thou thy way to seek love? therefore hast thou also taught the wicked ones thy ways."
546,27,0,"Also in thy skirts is found the blood of the souls of the poor innocents: I have not found it by secret search, but upon all these.","Also in thy skirts is found the blood of the souls of the poor innocents: I have not found it by secret search, but upon all these."
547,27,0,"Yet thou sayest, Because I am innocent, surely his anger shall turn from me. Behold, I will plead with thee, because thou sayest, I have not sinned.","Yet thou sayest, Because I am innocent, surely his anger shall turn from me. Behold, I will plead with thee, because thou sayest, I have not sinned."
548,23,0,"Why gaddest thou about so much to change thy way? thou also shalt be ashamed of Egypt, as thou wast ashamed of Assyria.","Why gaddest thou about so much to change thy way? thou also shalt be ashamed of Egypt, as thou wast ashamed of Assyria."
549,27,0,"Yea, thou shalt go forth from him, and thine hands upon thine head: for the LORD hath rejected thy confidences, and thou shalt not prosper in them.","Yea, thou shalt go forth from him, and thine hands upon thine head: for the L<font size=""-1"">ORD</font> hath rejected thy confidences, and thou shalt not prosper in them."
769,48,0,"They say, If a man put away his wife, and she go from him, and become another man's, shall he return unto her again? shall not that land be greatly polluted? but thou hast played the harlot with many lovers; yet return again to me, saith the LORD.","They say, If a man put away his wife, and she go from him, and become another man's, shall he return unto her again? shall not that land be greatly polluted? but thou hast played the harlot with many lovers; yet return again to me, saith the L<font size=""-1"">ORD</font>."
770,44,0,"Lift up thine eyes unto the high places, and see where thou hast not been lien with. In the ways hast thou sat for them, as the Arabian in the wilderness; and thou hast polluted the land with thy whoredoms and with thy wickedness.","Lift up thine eyes unto the high places, and see where thou hast not been lien with. In the ways hast thou sat for them, as the Arabian in the wilderness; and thou hast polluted the land with thy whoredoms and with thy wickedness."
771,24,0,"Therefore the showers have been withholden, and there hath been no latter rain; and thou hadst a whore's forehead, thou refusedst to be ashamed.","Therefore the showers have been withholden, and there hath been no latter rain; and thou hadst a whore's forehead, thou refusedst to be ashamed."
772,18,0,"Wilt thou not from this time cry unto me, My father, thou art the guide of my youth?","Wilt thou not from this time cry unto me, My father, thou <i>art</i> the guide of my youth?"
773,25,0,"Will he reserve his anger for ever? will he keep it to the end? Behold, thou hast spoken and done evil things as thou couldest.","Will he reserve <i>his anger</i> for ever? will he keep <i>it</i> to the end? Behold, thou hast spoken and done evil things as thou couldest."
774,41,1,"The LORD said also unto me in the days of Josiah the king, Hast thou seen that which backsliding Israel hath done? she is gone up upon every high mountain and under every green tree, and there hath played the harlot.","¶The L<font size=""-1"">ORD</font> said also unto me in the days of Josiah the king, Hast thou seen <i>that</i> which backsliding Israel hath done? she is gone up upon every high mountain and under every green tree, and there hath played the harlot."
775,25,0,"And I said after she had done all these things, Turn thou unto me. But she returned not. And her treacherous sister Judah saw it.","And I said after she had done all these <i>things</i>, Turn thou unto me. But she returned not. And her treacherous sister Judah saw <i>it</i>."
776,39,0,"And I saw, when for all the causes whereby backsliding Israel committed adultery I had put her away, and given her a bill of divorce; yet her treacherous sister Judah feared not, but went and played the harlot also.","And I saw, when for all the causes whereby backsliding Israel committed adultery I had put her away, and given her a bill of divorce; yet her treacherous sister Judah feared not, but went and played the harlot also."
777,24,0,"And it came to pass through the lightness of her whoredom, that she defiled the land, and committed adultery with stones and with stocks.","And it came to pass through the lightness of her whoredom, that she defiled the land, and committed adultery with stones and with stocks."
778,23,0,"And yet for all this her treacherous sister Judah hath not turned unto me with her whole heart, but feignedly, saith the LORD.","And yet for all this her treacherous sister Judah hath not turned unto me with her whole heart, but feignedly, saith the L<font size=""-1"">ORD</font>."
779,16,0,"And the LORD said unto me, The backsliding Israel hath justified herself more than treacherous Judah.","And the L<font size=""-1"">ORD</font> said unto me, The backsliding Israel hath justified herself more than treacherous Judah."
780,43,1,"Go and proclaim these words toward the north, and say, Return, thou backsliding Israel, saith the LORD; and I will not cause mine anger to fall upon you: for I am merciful, saith the LORD, and I will not keep anger for ever.","¶Go and proclaim these words toward the north, and say, Return, thou backsliding Israel, saith the L<font size=""-1"">ORD</font>; <i>and</i> I will not cause mine anger to fall upon you: for I <i>am</i> merciful, saith the L<font size=""-1"">ORD</font>, <i>and</i> I will not keep <i>anger</i> for ever."
