ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,35,0,"How doth the city sit solitary, that was full of people! how is she become as a widow! she that was great among the nations, and princess among the provinces, how is she become tributary!","How doth the city sit solitary, <i>that was</i> full of people! <i>how</i> is she become as a widow! she <i>that was</i> great among the nations, <i>and</i> princess among the provinces, <i>how</i> is she become tributary!"
258,36,0,"She weepeth sore in the night, and her tears are on her cheeks: among all her lovers she hath none to comfort her: all her friends have dealt treacherously with her, they are become her enemies.","She weepeth sore in the night, and her tears <i>are</i> on her cheeks: among all her lovers she hath none to comfort <i>her</i>: all her friends have dealt treacherously with her, they are become her enemies."
259,30,0,"Judah is gone into captivity because of affliction, and because of great servitude: she dwelleth among the heathen, she findeth no rest: all her persecutors overtook her between the straits.","Judah is gone into captivity because of affliction, and because of great servitude: she dwelleth among the heathen, she findeth no rest: all her persecutors overtook her between the straits."
260,30,0,"The ways of Zion do mourn, because none come to the solemn feasts: all her gates are desolate: her priests sigh, her virgins are afflicted, and she is in bitterness.","The ways of Zion do mourn, because none come to the solemn feasts: all her gates are desolate: her priests sigh, her virgins are afflicted, and she <i>is</i> in bitterness."
261,29,0,"Her adversaries are the chief, her enemies prosper; for the LORD hath afflicted her for the multitude of her transgressions: her children are gone into captivity before the enemy.","Her adversaries are the chief, her enemies prosper; for the L<font size=""-1"">ORD</font> hath afflicted her for the multitude of her transgressions: her children are gone into captivity before the enemy."
262,30,0,"And from the daughter of Zion all her beauty is departed: her princes are become like harts that find no pasture, and they are gone without strength before the pursuer.","And from the daughter of Zion all her beauty is departed: her princes are become like harts <i>that</i> find no pasture, and they are gone without strength before the pursuer."
263,49,0,"Jerusalem remembered in the days of her affliction and of her miseries all her pleasant things that she had in the days of old, when her people fell into the hand of the enemy, and none did help her: the adversaries saw her, and did mock at her sabbaths.","Jerusalem remembered in the days of her affliction and of her miseries all her pleasant things that she had in the days of old, when her people fell into the hand of the enemy, and none did help her: the adversaries saw her, <i>and</i> did mock at her sabbaths."
264,26,0,"Jerusalem hath grievously sinned; therefore she is removed: all that honoured her despise her, because they have seen her nakedness: yea, she sigheth, and turneth backward.","Jerusalem hath grievously sinned; therefore she is removed: all that honoured her despise her, because they have seen her nakedness: yea, she sigheth, and turneth backward."
265,32,0,"Her filthiness is in her skirts; she remembereth not her last end; therefore she came down wonderfully: she had no comforter. O LORD, behold my affliction: for the enemy hath magnified himself.","Her filthiness <i>is</i> in her skirts; she remembereth not her last end; therefore she came down wonderfully: she had no comforter. O L<font size=""-1"">ORD</font>, behold my affliction: for the enemy hath magnified <i>himself</i>."
266,35,0,"The adversary hath spread out his hand upon all her pleasant things: for she hath seen that the heathen entered into her sanctuary, whom thou didst command that they should not enter into thy congregation.","The adversary hath spread out his hand upon all her pleasant things: for she hath seen <i>that</i> the heathen entered into her sanctuary, whom thou didst command <i>that</i> they should not enter into thy congregation."
267,29,0,"All her people sigh, they seek bread; they have given their pleasant things for meat to relieve the soul: see, O LORD, and consider; for I am become vile.","All her people sigh, they seek bread; they have given their pleasant things for meat to relieve the soul: see, O L<font size=""-1"">ORD</font>, and consider; for I am become vile."
268,40,1,"Is it nothing to you, all ye that pass by? behold, and see if there be any sorrow like unto my sorrow, which is done unto me, wherewith the LORD hath afflicted me in the day of his fierce anger.","¶<i>Is it</i> nothing to you, all ye that pass by? behold, and see if there be any sorrow like unto my sorrow, which is done unto me, wherewith the L<font size=""-1"">ORD</font> hath afflicted <i>me</i> in the day of his fierce anger."
269,37,0,"From above hath he sent fire into my bones, and it prevaileth against them: he hath spread a net for my feet, he hath turned me back: he hath made me desolate and faint all the day.","From above hath he sent fire into my bones, and it prevaileth against them: he hath spread a net for my feet, he hath turned me back: he hath made me desolate <i>and</i> faint all the day."
270,43,0,"The yoke of my transgressions is bound by his hand: they are wreathed, and come up upon my neck: he hath made my strength to fall, the Lord hath delivered me into their hands, from whom I am not able to rise up.","The yoke of my transgressions is bound by his hand: they are wreathed, <i>and</i> come up upon my neck: he hath made my strength to fall, the Lord hath delivered me into <i>their</i> hands, <i>from whom</i> I am not able to rise up."
271,41,0,"The Lord hath trodden under foot all my mighty men in the midst of me: he hath called an assembly against me to crush my young men: the Lord hath trodden the virgin, the daughter of Judah, as in a winepress.","The Lord hath trodden under foot all my mighty <i>men</i> in the midst of me: he hath called an assembly against me to crush my young men: the Lord hath trodden the virgin, the daughter of Judah, <i>as</i> in a winepress."
272,33,0,"For these things I weep; mine eye, mine eye runneth down with water, because the comforter that should relieve my soul is far from me: my children are desolate, because the enemy prevailed.","For these <i>things</i> I weep; mine eye, mine eye runneth down with water, because the comforter that should relieve my soul is far from me: my children are desolate, because the enemy prevailed."
273,34,0,"Zion spreadeth forth her hands, and there is none to comfort her: the LORD hath commanded concerning Jacob, that his adversaries should be round about him: Jerusalem is as a menstruous woman among them.","Zion spreadeth forth her hands, <i>and there is</i> none to comfort her: the L<font size=""-1"">ORD</font> hath commanded concerning Jacob, <i>that</i> his adversaries <i>should be</i> round about him: Jerusalem is as a menstruous woman among them."
274,31,1,"The LORD is righteous; for I have rebelled against his commandment: hear, I pray you, all people, and behold my sorrow: my virgins and my young men are gone into captivity.","¶The L<font size=""-1"">ORD</font> is righteous; for I have rebelled against his commandment: hear, I pray you, all people, and behold my sorrow: my virgins and my young men are gone into captivity."
275,30,0,"I called for my lovers, but they deceived me: my priests and mine elders gave up the ghost in the city, while they sought their meat to relieve their souls.","I called for my lovers, <i>but</i> they deceived me: my priests and mine elders gave up the ghost in the city, while they sought their meat to relieve their souls."
276,33,0,"Behold, O LORD; for I am in distress: my bowels are troubled; mine heart is turned within me; for I have grievously rebelled: abroad the sword bereaveth, at home there is as death.","Behold, O L<font size=""-1"">ORD</font>; for I <i>am</i> in distress: my bowels are troubled; mine heart is turned within me; for I have grievously rebelled: abroad the sword bereaveth, at home <i>there is</i> as death."
277,44,0,"They have heard that I sigh: there is none to comfort me: all mine enemies have heard of my trouble; they are glad that thou hast done it: thou wilt bring the day that thou hast called, and they shall be like unto me.","They have heard that I sigh: <i>there is</i> none to comfort me: all mine enemies have heard of my trouble; they are glad that thou hast done <i>it</i>: thou wilt bring the day <i>that</i> thou hast called, and they shall be like unto me."
278,31,0,"Let all their wickedness come before thee; and do unto them, as thou hast done unto me for all my transgressions: for my sighs are many, and my heart is faint.","Let all their wickedness come before thee; and do unto them, as thou hast done unto me for all my transgressions: for my sighs <i>are</i> many, and my heart <i>is</i> faint."
513,38,0,"How hath the Lord covered the daughter of Zion with a cloud in his anger, and cast down from heaven unto the earth the beauty of Israel, and remembered not his footstool in the day of his anger!","How hath the Lord covered the daughter of Zion with a cloud in his anger, <i>and</i> cast down from heaven unto the earth the beauty of Israel, and remembered not his footstool in the day of his anger!"
514,46,0,"The Lord hath swallowed up all the habitations of Jacob, and hath not pitied: he hath thrown down in his wrath the strong holds of the daughter of Judah; he hath brought them down to the ground: he hath polluted the kingdom and the princes thereof.","The Lord hath swallowed up all the habitations of Jacob, and hath not pitied: he hath thrown down in his wrath the strong holds of the daughter of Judah; he hath brought <i>them</i> down to the ground: he hath polluted the kingdom and the princes thereof."
515,37,0,"He hath cut off in his fierce anger all the horn of Israel: he hath drawn back his right hand from before the enemy, and he burned against Jacob like a flaming fire, which devoureth round about.","He hath cut off in <i>his</i> fierce anger all the horn of Israel: he hath drawn back his right hand from before the enemy, and he burned against Jacob like a flaming fire, <i>which</i> devoureth round about."
516,41,0,"He hath bent his bow like an enemy: he stood with his right hand as an adversary, and slew all that were pleasant to the eye in the tabernacle of the daughter of Zion: he poured out his fury like fire.","He hath bent his bow like an enemy: he stood with his right hand as an adversary, and slew all <i>that were</i> pleasant to the eye in the tabernacle of the daughter of Zion: he poured out his fury like fire."
517,35,0,"The Lord was as an enemy: he hath swallowed up Israel, he hath swallowed up all her palaces: he hath destroyed his strong holds, and hath increased in the daughter of Judah mourning and lamentation.","The Lord was as an enemy: he hath swallowed up Israel, he hath swallowed up all her palaces: he hath destroyed his strong holds, and hath increased in the daughter of Judah mourning and lamentation."
518,51,0,"And he hath violently taken away his tabernacle, as if it were of a garden: he hath destroyed his places of the assembly: the LORD hath caused the solemn feasts and sabbaths to be forgotten in Zion, and hath despised in the indignation of his anger the king and the priest.","And he hath violently taken away his tabernacle, as <i>if it were of</i> a garden: he hath destroyed his places of the assembly: the L<font size=""-1"">ORD</font> hath caused the solemn feasts and sabbaths to be forgotten in Zion, and hath despised in the indignation of his anger the king and the priest."
519,46,0,"The Lord hath cast off his altar, he hath abhorred his sanctuary, he hath given up into the hand of the enemy the walls of her palaces; they have made a noise in the house of the LORD, as in the day of a solemn feast.","The Lord hath cast off his altar, he hath abhorred his sanctuary, he hath given up into the hand of the enemy the walls of her palaces; they have made a noise in the house of the L<font size=""-1"">ORD</font>, as in the day of a solemn feast."
520,40,0,"The LORD hath purposed to destroy the wall of the daughter of Zion: he hath stretched out a line, he hath not withdrawn his hand from destroying: therefore he made the rampart and the wall to lament; they languished together.","The L<font size=""-1"">ORD</font> hath purposed to destroy the wall of the daughter of Zion: he hath stretched out a line, he hath not withdrawn his hand from destroying: therefore he made the rampart and the wall to lament; they languished together."
521,37,0,"Her gates are sunk into the ground; he hath destroyed and broken her bars: her king and her princes are among the Gentiles: the law is no more; her prophets also find no vision from the LORD.","Her gates are sunk into the ground; he hath destroyed and broken her bars: her king and her princes <i>are</i> among the Gentiles: the law <i>is</i> no <i>more</i>; her prophets also find no vision from the L<font size=""-1"">ORD</font>."
522,39,1,"The elders of the daughter of Zion sit upon the ground, and keep silence: they have cast up dust upon their heads; they have girded themselves with sackcloth: the virgins of Jerusalem hang down their heads to the ground.","¶The elders of the daughter of Zion sit upon the ground, <i>and</i> keep silence: they have cast up dust upon their heads; they have girded themselves with sackcloth: the virgins of Jerusalem hang down their heads to the ground."
523,39,0,"Mine eyes do fail with tears, my bowels are troubled, my liver is poured upon the earth, for the destruction of the daughter of my people; because the children and the sucklings swoon in the streets of the city.","Mine eyes do fail with tears, my bowels are troubled, my liver is poured upon the earth, for the destruction of the daughter of my people; because the children and the sucklings swoon in the streets of the city."
524,32,0,"They say to their mothers, Where is corn and wine? when they swooned as the wounded in the streets of the city, when their soul was poured out into their mothers' bosom.","They say to their mothers, Where <i>is</i> corn and wine? when they swooned as the wounded in the streets of the city, when their soul was poured out into their mothers' bosom."
525,48,0,"What thing shall I take to witness for thee? what thing shall I liken to thee, O daughter of Jerusalem? what shall I equal to thee, that I may comfort thee, O virgin daughter of Zion? for thy breach is great like the sea: who can heal thee?","What thing shall I take to witness for thee? what thing shall I liken to thee, O daughter of Jerusalem? what shall I equal to thee, that I may comfort thee, O virgin daughter of Zion? for thy breach <i>is</i> great like the sea: who can heal thee?"
526,33,0,"Thy prophets have seen vain and foolish things for thee: and they have not discovered thine iniquity, to turn away thy captivity; but have seen for thee false burdens and causes of banishment.","Thy prophets have seen vain and foolish things for thee: and they have not discovered thine iniquity, to turn away thy captivity; but have seen for thee false burdens and causes of banishment."
527,38,0,"All that pass by clap their hands at thee; they hiss and wag their head at the daughter of Jerusalem, saying, Is this the city that men call The perfection of beauty, The joy of the whole earth?","All that pass by clap <i>their</i> hands at thee; they hiss and wag their head at the daughter of Jerusalem, <i>saying, Is</i> this the city that <i>men</i> call The perfection of beauty, The joy of the whole earth?"
