ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,42,0,"Now it came to pass in the thirtieth year, in the fourth month, in the fifth day of the month, as I was among the captives by the river of Chebar, that the heavens were opened, and I saw visions of God.","Now it came to pass in the thirtieth year, in the fourth <i>month</i>, in the fifth <i>day</i> of the month, as I <i>was</i> among the captives by the river of Chebar, <i>that</i> the heavens were opened, and I saw visions of God.",""
258,16,0,"In the fifth day of the month, which was the fifth year of king Jehoiachin's captivity,","In the fifth <i>day</i> of the month, which <i>was</i> the fifth year of king Jehoiachin's captivity,",""
259,35,0,"The word of the LORD came expressly unto Ezekiel the priest, the son of Buzi, in the land of the Chaldeans by the river Chebar; and the hand of the LORD was there upon him.","The word of the L<font size=""-1"">ORD</font> came expressly unto Ezekiel the priest, the son of Buzi, in the land of the Chaldeans by the river Chebar; and the hand of the L<font size=""-1"">ORD</font> was there upon him.",""
260,44,1,"And I looked, and, behold, a whirlwind came out of the north, a great cloud, and a fire infolding itself, and a brightness was about it, and out of the midst thereof as the colour of amber, out of the midst of the fire.","¶And I looked, and, behold, a whirlwind came out of the north, a great cloud, and a fire infolding itself, and a brightness <i>was</i> about it, and out of the midst thereof as the colour of amber, out of the midst of the fire.",""
261,25,0,"Also out of the midst thereof came the likeness of four living creatures. And this was their appearance; they had the likeness of a man.","Also out of the midst thereof <i>came</i> the likeness of four living creatures. And this <i>was</i> their appearance; they had the likeness of a man.",""
262,12,0,"And every one had four faces, and every one had four wings.","And every one had four faces, and every one had four wings.",""
263,29,0,"And their feet were straight feet; and the sole of their feet was like the sole of a calf's foot: and they sparkled like the colour of burnished brass.","And their feet <i>were</i> straight feet; and the sole of their feet <i>was</i> like the sole of a calf's foot: and they sparkled like the colour of burnished brass.",""
264,24,0,"And they had the hands of a man under their wings on their four sides; and they four had their faces and their wings.","And <i>they had</i> the hands of a man under their wings on their four sides; and they four had their faces and their wings.",""
265,19,0,"Their wings were joined one to another; they turned not when they went; they went every one straight forward.","Their wings <i>were</i> joined one to another; they turned not when they went; they went every one straight forward.",""
266,47,0,"As for the likeness of their faces, they four had the face of a man, and the face of a lion, on the right side: and they four had the face of an ox on the left side; they four also had the face of an eagle.","As for the likeness of their faces, they four had the face of a man, and the face of a lion, on the right side: and they four had the face of an ox on the left side; they four also had the face of an eagle.",""
267,25,0,"Thus were their faces: and their wings were stretched upward; two wings of every one were joined one to another, and two covered their bodies.","Thus <i>were</i> their faces: and their wings <i>were</i> stretched upward; two <i>wings</i> of every one <i>were</i> joined one to another, and two covered their bodies.",""
268,22,0,"And they went every one straight forward: whither the spirit was to go, they went; and they turned not when they went.","And they went every one straight forward: whither the spirit was to go, they went; <i>and</i> they turned not when they went.",""
269,44,0,"As for the likeness of the living creatures, their appearance was like burning coals of fire, and like the appearance of lamps: it went up and down among the living creatures; and the fire was bright, and out of the fire went forth lightning.","As for the likeness of the living creatures, their appearance <i>was</i> like burning coals of fire, <i>and</i> like the appearance of lamps: it went up and down among the living creatures; and the fire was bright, and out of the fire went forth lightning.",""
270,15,0,"And the living creatures ran and returned as the appearance of a flash of lightning.","And the living creatures ran and returned as the appearance of a flash of lightning.",""
271,21,1,"Now as I beheld the living creatures, behold one wheel upon the earth by the living creatures, with his four faces.","¶Now as I beheld the living creatures, behold one wheel upon the earth by the living creatures, with his four faces.",""
272,40,0,"The appearance of the wheels and their work was like unto the colour of a beryl: and they four had one likeness: and their appearance and their work was as it were a wheel in the middle of a wheel.","The appearance of the wheels and their work <i>was</i> like unto the colour of a beryl: and they four had one likeness: and their appearance and their work <i>was</i> as it were a wheel in the middle of a wheel.",""
273,16,0,"When they went, they went upon their four sides: and they turned not when they went.","When they went, they went upon their four sides: <i>and</i> they turned not when they went.",""
274,23,0,"As for their rings, they were so high that they were dreadful; and their rings were full of eyes round about them four.","As for their rings, they were so high that they were dreadful; and their rings <i>were</i> full of eyes round about them four.",""
275,27,0,"And when the living creatures went, the wheels went by them: and when the living creatures were lifted up from the earth, the wheels were lifted up.","And when the living creatures went, the wheels went by them: and when the living creatures were lifted up from the earth, the wheels were lifted up.",""
276,34,0,"Whithersoever the spirit was to go, they went, thither was their spirit to go; and the wheels were lifted up over against them: for the spirit of the living creature was in the wheels.","Whithersoever the spirit was to go, they went, thither <i>was their</i> spirit to go; and the wheels were lifted up over against them: for the spirit of the living creature <i>was</i> in the wheels.",""
277,39,0,"When those went, these went; and when those stood, these stood; and when those were lifted up from the earth, the wheels were lifted up over against them: for the spirit of the living creature was in the wheels.","When those went, <i>these</i> went; and when those stood, <i>these</i> stood; and when those were lifted up from the earth, the wheels were lifted up over against them: for the spirit of the living creature <i>was</i> in the wheels.",""
278,27,0,"And the likeness of the firmament upon the heads of the living creature was as the colour of the terrible crystal, stretched forth over their heads above.","And the likeness of the firmament upon the heads of the living creature <i>was</i> as the colour of the terrible crystal, stretched forth over their heads above.",""
279,34,0,"And under the firmament were their wings straight, the one toward the other: every one had two, which covered on this side, and every one had two, which covered on that side, their bodies.","And under the firmament <i>were</i> their wings straight, the one toward the other: every one had two, which covered on this side, and every one had two, which covered on that side, their bodies.",""
280,41,0,"And when they went, I heard the noise of their wings, like the noise of great waters, as the voice of the Almighty, the voice of speech, as the noise of an host: when they stood, they let down their wings.","And when they went, I heard the noise of their wings, like the noise of great waters, as the voice of the Almighty, the voice of speech, as the noise of an host: when they stood, they let down their wings.",""
281,22,0,"And there was a voice from the firmament that was over their heads, when they stood, and had let down their wings.","And there was a voice from the firmament that <i>was</i> over their heads, when they stood, <i>and</i> had let down their wings.",""
282,41,1,"And above the firmament that was over their heads was the likeness of a throne, as the appearance of a sapphire stone: and upon the likeness of the throne was the likeness as the appearance of a man above upon it.","¶And above the firmament that <i>was</i> over their heads <i>was</i> the likeness of a throne, as the appearance of a sapphire stone: and upon the likeness of the throne <i>was</i> the likeness as the appearance of a man above upon it.",""
283,49,0,"And I saw as the colour of amber, as the appearance of fire round about within it, from the appearance of his loins even upward, and from the appearance of his loins even downward, I saw as it were the appearance of fire, and it had brightness round about.","And I saw as the colour of amber, as the appearance of fire round about within it, from the appearance of his loins even upward, and from the appearance of his loins even downward, I saw as it were the appearance of fire, and it had brightness round about.",""
284,57,0,"As the appearance of the bow that is in the cloud in the day of rain, so was the appearance of the brightness round about. This was the appearance of the likeness of the glory of the LORD. And when I saw it, I fell upon my face, and I heard a voice of one that spake.","As the appearance of the bow that is in the cloud in the day of rain, so <i>was</i> the appearance of the brightness round about. This <i>was</i> the appearance of the likeness of the glory of the L<font size=""-1"">ORD</font>. And when I saw <i>it</i>, I fell upon my face, and I heard a voice of one that spake.",""
513,18,0,"And he said unto me, Son of man, stand upon thy feet, and I will speak unto thee.","And he said unto me, Son of man, stand upon thy feet, and I will speak unto thee.",""
514,25,0,"And the spirit entered into me when he spake unto me, and set me upon my feet, that I heard him that spake unto me.","And the spirit entered into me when he spake unto me, and set me upon my feet, that I heard him that spake unto me.",""
515,38,0,"And he said unto me, Son of man, I send thee to the children of Israel, to a rebellious nation that hath rebelled against me: they and their fathers have transgressed against me, even unto this very day.","And he said unto me, Son of man, I send thee to the children of Israel, to a rebellious nation that hath rebelled against me: they and their fathers have transgressed against me, <i>even</i> unto this very day.",""
516,24,0,"For they are impudent children and stiffhearted. I do send thee unto them; and thou shalt say unto them, Thus saith the Lord GOD.","For <i>they are</i> impudent children and stiffhearted. I do send thee unto them; and thou shalt say unto them, Thus saith the Lord G<font size=""-1"">OD</font>.",""
517,28,0,"And they, whether they will hear, or whether they will forbear, (for they are a rebellious house,) yet shall know that there hath been a prophet among them.","And they, whether they will hear, or whether they will forbear, (for they <i>are</i> a rebellious house,) yet shall know that there hath been a prophet among them.",""
518,47,1,"And thou, son of man, be not afraid of them, neither be afraid of their words, though briers and thorns be with thee, and thou dost dwell among scorpions: be not afraid of their words, nor be dismayed at their looks, though they be a rebellious house.","¶And thou, son of man, be not afraid of them, neither be afraid of their words, though briers and thorns <i>be</i> with thee, and thou dost dwell among scorpions: be not afraid of their words, nor be dismayed at their looks, though they <i>be</i> a rebellious house.",""
519,22,0,"And thou shalt speak my words unto them, whether they will hear, or whether they will forbear: for they are most rebellious.","And thou shalt speak my words unto them, whether they will hear, or whether they will forbear: for they <i>are</i> most rebellious.",""
