ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,22,0,"In the third year of the reign of Jehoiakim king of Judah came Nebuchadnezzar king of Babylon unto Jerusalem, and besieged it.","In the third year of the reign of Jehoiakim king of Judah came Nebuchadnezzar king of Babylon unto Jerusalem, and besieged it.",""
258,47,0,"And the Lord gave Jehoiakim king of Judah into his hand, with part of the vessels of the house of God: which he carried into the land of Shinar to the house of his god; and he brought the vessels into the treasure house of his god.","And the Lord gave Jehoiakim king of Judah into his hand, with part of the vessels of the house of God: which he carried into the land of Shinar to the house of his god; and he brought the vessels into the treasure house of his god.",""
259,30,1,"And the king spake unto Ashpenaz the master of his eunuchs, that he should bring certain of the children of Israel, and of the king's seed, and of the princes;","¶And the king spake unto Ashpenaz the master of his eunuchs, that he should bring <i>certain</i> of the children of Israel, and of the king's seed, and of the princes;",""
260,47,0,"Children in whom was no blemish, but well favoured, and skilful in all wisdom, and cunning in knowledge, and understanding science, and such as had ability in them to stand in the king's palace, and whom they might teach the learning and the tongue of the Chaldeans.","Children in whom <i>was</i> no blemish, but well favoured, and skilful in all wisdom, and cunning in knowledge, and understanding science, and such as <i>had</i> ability in them to stand in the king's palace, and whom they might teach the learning and the tongue of the Chaldeans.",""
261,35,0,"And the king appointed them a daily provision of the king's meat, and of the wine which he drank: so nourishing them three years, that at the end thereof they might stand before the king.","And the king appointed them a daily provision of the king's meat, and of the wine which he drank: so nourishing them three years, that at the end thereof they might stand before the king.",""
262,14,0,"Now among these were of the children of Judah, Daniel, Hananiah, Mishael, and Azariah:","Now among these were of the children of Judah, Daniel, Hananiah, Mishael, and Azariah:",""
263,33,0,"Unto whom the prince of the eunuchs gave names: for he gave unto Daniel the name of Belteshazzar; and to Hananiah, of Shadrach; and to Mishael, of Meshach; and to Azariah, of Abed-nego.","Unto whom the prince of the eunuchs gave names: for he gave unto Daniel <i>the name</i> of Belteshazzar; and to Hananiah, of Shadrach; and to Mishael, of Meshach; and to Azariah, of Abed–nego.",""
264,41,1,"But Daniel purposed in his heart that he would not defile himself with the portion of the king's meat, nor with the wine which he drank: therefore he requested of the prince of the eunuchs that he might not defile himself.","¶But Daniel purposed in his heart that he would not defile himself with the portion of the king's meat, nor with the wine which he drank: therefore he requested of the prince of the eunuchs that he might not defile himself.",""
265,16,0,"Now God had brought Daniel into favour and tender love with the prince of the eunuchs.","Now God had brought Daniel into favour and tender love with the prince of the eunuchs.",""
266,51,0,"And the prince of the eunuchs said unto Daniel, I fear my lord the king, who hath appointed your meat and your drink: for why should he see your faces worse liking than the children which are of your sort? then shall ye make me endanger my head to the king.","And the prince of the eunuchs said unto Daniel, I fear my lord the king, who hath appointed your meat and your drink: for why should he see your faces worse liking than the children which <i>are</i> of your sort? then shall ye make <i>me</i> endanger my head to the king.",""
267,19,0,"Then said Daniel to Melzar, whom the prince of the eunuchs had set over Daniel, Hananiah, Mishael, and Azariah,","Then said Daniel to Melzar, whom the prince of the eunuchs had set over Daniel, Hananiah, Mishael, and Azariah,",""
268,20,0,"Prove thy servants, I beseech thee, ten days; and let them give us pulse to eat, and water to drink.","Prove thy servants, I beseech thee, ten days; and let them give us pulse to eat, and water to drink.",""
269,32,0,"Then let our countenances be looked upon before thee, and the countenance of the children that eat of the portion of the king's meat: and as thou seest, deal with thy servants.","Then let our countenances be looked upon before thee, and the countenance of the children that eat of the portion of the king's meat: and as thou seest, deal with thy servants.",""
270,13,0,"So he consented to them in this matter, and proved them ten days.","So he consented to them in this matter, and proved them ten days.",""
271,28,0,"And at the end of ten days their countenances appeared fairer and fatter in flesh than all the children which did eat the portion of the king's meat.","And at the end of ten days their countenances appeared fairer and fatter in flesh than all the children which did eat the portion of the king's meat.",""
