ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,38,0,"The word of the LORD that came unto Hosea, the son of Beeri, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah, and in the days of Jeroboam the son of Joash, king of Israel.","The word of the L<font size=""-1"">ORD</font> that came unto Hosea, the son of Beeri, in the days of Uzziah, Jotham, Ahaz, <i>and</i> Hezekiah, kings of Judah, and in the days of Jeroboam the son of Joash, king of Israel."
258,39,1,"The beginning of the word of the LORD by Hosea. And the LORD said to Hosea, Go, take unto thee a wife of whoredoms and children of whoredoms: for the land hath committed great whoredom, departing from the LORD.","¶The beginning of the word of the L<font size=""-1"">ORD</font> by Hosea. And the L<font size=""-1"">ORD</font> said to Hosea, Go, take unto thee a wife of whoredoms and children of whoredoms: for the land hath committed great whoredom, <i>departing</i> from the L<font size=""-1"">ORD</font>."
259,17,0,"So he went and took Gomer the daughter of Diblaim; which conceived, and bare him a son.","So he went and took Gomer the daughter of Diblaim; which conceived, and bare him a son."
260,40,0,"And the LORD said unto him, Call his name Jezreel; for yet a little while, and I will avenge the blood of Jezreel upon the house of Jehu, and will cause to cease the kingdom of the house of Israel.","And the L<font size=""-1"">ORD</font> said unto him, Call his name Jezreel; for yet a little <i>while</i>, and I will avenge the blood of Jezreel upon the house of Jehu, and will cause to cease the kingdom of the house of Israel."
261,22,0,"And it shall come to pass at that day, that I will break the bow of Israel in the valley of Jezreel.","And it shall come to pass at that day, that I will break the bow of Israel in the valley of Jezreel."
262,36,1,"And she conceived again, and bare a daughter. And God said unto him, Call her name Lo-ruhamah: for I will no more have mercy upon the house of Israel; but I will utterly take them away.","¶And she conceived again, and bare a daughter. And <i>God</i> said unto him, Call her name Lo–ruhamah: for I will no more have mercy upon the house of Israel; but I will utterly take them away."
263,37,0,"But I will have mercy upon the house of Judah, and will save them by the LORD their God, and will not save them by bow, nor by sword, nor by battle, by horses, nor by horsemen.","But I will have mercy upon the house of Judah, and will save them by the L<font size=""-1"">ORD</font> their God, and will not save them by bow, nor by sword, nor by battle, by horses, nor by horsemen."
264,12,1,"Now when she had weaned Lo-ruhamah, she conceived, and bare a son.","¶Now when she had weaned Lo–ruhamah, she conceived, and bare a son."
265,20,0,"Then said God, Call his name Lo-ammi: for ye are not my people, and I will not be your God.","Then said <i>God</i>, Call his name Lo–ammi: for ye <i>are</i> not my people, and I will not be your <i>God</i>."
266,58,1,"Yet the number of the children of Israel shall be as the sand of the sea, which cannot be measured nor numbered; and it shall come to pass, that in the place where it was said unto them, Ye are not my people, there it shall be said unto them, Ye are the sons of the living God.","¶Yet the number of the children of Israel shall be as the sand of the sea, which cannot be measured nor numbered; and it shall come to pass, <i>that</i> in the place where it was said unto them, Ye <i>are</i> not my people, <i>there</i> it shall be said unto them, <i>Ye are</i> the sons of the living God."
267,36,0,"Then shall the children of Judah and the children of Israel be gathered together, and appoint themselves one head, and they shall come up out of the land: for great shall be the day of Jezreel.","Then shall the children of Judah and the children of Israel be gathered together, and appoint themselves one head, and they shall come up out of the land: for great <i>shall be</i> the day of Jezreel."
513,11,0,"Say ye unto your brethren, Ammi; and to your sisters, Ru-hamah.","Say ye unto your brethren, Ammi; and to your sisters, Ru–hamah."
514,34,0,"Plead with your mother, plead: for she is not my wife, neither am I her husband: let her therefore put away her whoredoms out of her sight, and her adulteries from between her breasts;","Plead with your mother, plead: for she <i>is</i> not my wife, neither <i>am</i> I her husband: let her therefore put away her whoredoms out of her sight, and her adulteries from between her breasts;"
515,34,0,"Lest I strip her naked, and set her as in the day that she was born, and make her as a wilderness, and set her like a dry land, and slay her with thirst.","Lest I strip her naked, and set her as in the day that she was born, and make her as a wilderness, and set her like a dry land, and slay her with thirst."
516,16,0,"And I will not have mercy upon her children; for they be the children of whoredoms.","And I will not have mercy upon her children; for they <i>be</i> the children of whoredoms."
517,41,0,"For their mother hath played the harlot: she that conceived them hath done shamefully: for she said, I will go after my lovers, that give me my bread and my water, my wool and my flax, mine oil and my drink.","For their mother hath played the harlot: she that conceived them hath done shamefully: for she said, I will go after my lovers, that give <i>me</i> my bread and my water, my wool and my flax, mine oil and my drink."
518,21,1,"Therefore, behold, I will hedge up thy way with thorns, and make a wall, that she shall not find her paths.","¶Therefore, behold, I will hedge up thy way with thorns, and make a wall, that she shall not find her paths."
519,45,0,"And she shall follow after her lovers, but she shall not overtake them; and she shall seek them, but shall not find them: then shall she say, I will go and return to my first husband; for then was it better with me than now.","And she shall follow after her lovers, but she shall not overtake them; and she shall seek them, but shall not find <i>them</i>: then shall she say, I will go and return to my first husband; for then <i>was it</i> better with me than now."
520,25,0,"For she did not know that I gave her corn, and wine, and oil, and multiplied her silver and gold, which they prepared for Baal.","For she did not know that I gave her corn, and wine, and oil, and multiplied her silver and gold, <i>which</i> they prepared for Baal."
521,33,0,"Therefore will I return, and take away my corn in the time thereof, and my wine in the season thereof, and will recover my wool and my flax given to cover her nakedness.","Therefore will I return, and take away my corn in the time thereof, and my wine in the season thereof, and will recover my wool and my flax <i>given</i> to cover her nakedness."
522,22,0,"And now will I discover her lewdness in the sight of her lovers, and none shall deliver her out of mine hand.","And now will I discover her lewdness in the sight of her lovers, and none shall deliver her out of mine hand."
523,23,0,"I will also cause all her mirth to cease, her feast days, her new moons, and her sabbaths, and all her solemn feasts.","I will also cause all her mirth to cease, her feast days, her new moons, and her sabbaths, and all her solemn feasts."
524,40,0,"And I will destroy her vines and her fig trees, whereof she hath said, These are my rewards that my lovers have given me: and I will make them a forest, and the beasts of the field shall eat them.","And I will destroy her vines and her fig trees, whereof she hath said, These <i>are</i> my rewards that my lovers have given me: and I will make them a forest, and the beasts of the field shall eat them."
525,38,0,"And I will visit upon her the days of Baalim, wherein she burned incense to them, and she decked herself with her earrings and her jewels, and she went after her lovers, and forgat me, saith the LORD.","And I will visit upon her the days of Baalim, wherein she burned incense to them, and she decked herself with her earrings and her jewels, and she went after her lovers, and forgat me, saith the L<font size=""-1"">ORD</font>."
526,17,1,"Therefore, behold, I will allure her, and bring her into the wilderness, and speak comfortably unto her.","¶Therefore, behold, I will allure her, and bring her into the wilderness, and speak comfortably unto her."
