ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,42,0,"The words of Amos, who was among the herdmen of Tekoa, which he saw concerning Israel in the days of Uzziah king of Judah, and in the days of Jeroboam the son of Joash king of Israel, two years before the earthquake.","The words of Amos, who was among the herdmen of Tekoa, which he saw concerning Israel in the days of Uzziah king of Judah, and in the days of Jeroboam the son of Joash king of Israel, two years before the earthquake."
258,30,0,"And he said, The LORD will roar from Zion, and utter his voice from Jerusalem; and the habitations of the shepherds shall mourn, and the top of Carmel shall wither.","And he said, The L<font size=""-1"">ORD</font> will roar from Zion, and utter his voice from Jerusalem; and the habitations of the shepherds shall mourn, and the top of Carmel shall wither."
259,30,1,"Thus saith the LORD; For three transgressions of Damascus, and for four, I will not turn away the punishment thereof; because they have threshed Gilead with threshing instruments of iron:","¶Thus saith the L<font size=""-1"">ORD</font>; For three transgressions of Damascus, and for four, I will not turn away <i>the punishment</i> thereof; because they have threshed Gilead with threshing instruments of iron:"
260,18,0,"But I will send a fire into the house of Hazael, which shall devour the palaces of Ben-hadad.","But I will send a fire into the house of Hazael, which shall devour the palaces of Ben–hadad."
261,43,0,"I will break also the bar of Damascus, and cut off the inhabitant from the plain of Aven, and him that holdeth the sceptre from the house of Eden: and the people of Syria shall go into captivity unto Kir, saith the LORD.","I will break also the bar of Damascus, and cut off the inhabitant from the plain of Aven, and him that holdeth the sceptre from the house of Eden: and the people of Syria shall go into captivity unto Kir, saith the L<font size=""-1"">ORD</font>."
262,34,1,"Thus saith the LORD; For three transgressions of Gaza, and for four, I will not turn away the punishment thereof; because they carried away captive the whole captivity, to deliver them up to Edom:","¶Thus saith the L<font size=""-1"">ORD</font>; For three transgressions of Gaza, and for four, I will not turn away <i>the punishment</i> thereof; because they carried away captive the whole captivity, to deliver <i>them</i> up to Edom:"
263,17,0,"But I will send a fire on the wall of Gaza, which shall devour the palaces thereof:","But I will send a fire on the wall of Gaza, which shall devour the palaces thereof:"
264,37,0,"And I will cut off the inhabitant from Ashdod, and him that holdeth the sceptre from Ashkelon, and I will turn mine hand against Ekron: and the remnant of the Philistines shall perish, saith the Lord GOD.","And I will cut off the inhabitant from Ashdod, and him that holdeth the sceptre from Ashkelon, and I will turn mine hand against Ekron: and the remnant of the Philistines shall perish, saith the Lord G<font size=""-1"">OD</font>."
265,35,1,"Thus saith the LORD; For three transgressions of Tyrus, and for four, I will not turn away the punishment thereof; because they delivered up the whole captivity to Edom, and remembered not the brotherly covenant:","¶Thus saith the L<font size=""-1"">ORD</font>; For three transgressions of Tyrus, and for four, I will not turn away <i>the punishment</i> thereof; because they delivered up the whole captivity to Edom, and remembered not the brotherly covenant:"
266,17,0,"But I will send a fire on the wall of Tyrus, which shall devour the palaces thereof.","But I will send a fire on the wall of Tyrus, which shall devour the palaces thereof."
267,48,1,"Thus saith the LORD; For three transgressions of Edom, and for four, I will not turn away the punishment thereof; because he did pursue his brother with the sword, and did cast off all pity, and his anger did tear perpetually, and he kept his wrath for ever:","¶Thus saith the L<font size=""-1"">ORD</font>; For three transgressions of Edom, and for four, I will not turn away <i>the punishment</i> thereof; because he did pursue his brother with the sword, and did cast off all pity, and his anger did tear perpetually, and he kept his wrath for ever:"
268,15,0,"But I will send a fire upon Teman, which shall devour the palaces of Bozrah.","But I will send a fire upon Teman, which shall devour the palaces of Bozrah."
269,40,1,"Thus saith the LORD; For three transgressions of the children of Ammon, and for four, I will not turn away the punishment thereof; because they have ripped up the women with child of Gilead, that they might enlarge their border:","¶Thus saith the L<font size=""-1"">ORD</font>; For three transgressions of the children of Ammon, and for four, I will not turn away <i>the punishment</i> thereof; because they have ripped up the women with child of Gilead, that they might enlarge their border:"
270,34,0,"But I will kindle a fire in the wall of Rabbah, and it shall devour the palaces thereof, with shouting in the day of battle, with a tempest in the day of the whirlwind:","But I will kindle a fire in the wall of Rabbah, and it shall devour the palaces thereof, with shouting in the day of battle, with a tempest in the day of the whirlwind:"
271,15,0,"And their king shall go into captivity, he and his princes together, saith the LORD.","And their king shall go into captivity, he and his princes together, saith the L<font size=""-1"">ORD</font>."
513,32,0,"Thus saith the LORD; For three transgressions of Moab, and for four, I will not turn away the punishment thereof; because he burned the bones of the king of Edom into lime:","Thus saith the L<font size=""-1"">ORD</font>; For three transgressions of Moab, and for four, I will not turn away <i>the punishment</i> thereof; because he burned the bones of the king of Edom into lime:"
514,31,0,"But I will send a fire upon Moab, and it shall devour the palaces of Kerioth: and Moab shall die with tumult, with shouting, and with the sound of the trumpet:","But I will send a fire upon Moab, and it shall devour the palaces of Kerioth: and Moab shall die with tumult, with shouting, <i>and</i> with the sound of the trumpet:"
515,23,0,"And I will cut off the judge from the midst thereof, and will slay all the princes thereof with him, saith the LORD.","And I will cut off the judge from the midst thereof, and will slay all the princes thereof with him, saith the L<font size=""-1"">ORD</font>."
516,49,1,"Thus saith the LORD; For three transgressions of Judah, and for four, I will not turn away the punishment thereof; because they have despised the law of the LORD, and have not kept his commandments, and their lies caused them to err, after the which their fathers have walked:","¶Thus saith the L<font size=""-1"">ORD</font>; For three transgressions of Judah, and for four, I will not turn away <i>the punishment</i> thereof; because they have despised the law of the L<font size=""-1"">ORD</font>, and have not kept his commandments, and their lies caused them to err, after the which their fathers have walked:"
517,16,0,"But I will send a fire upon Judah, and it shall devour the palaces of Jerusalem.","But I will send a fire upon Judah, and it shall devour the palaces of Jerusalem."
518,35,1,"Thus saith the LORD; For three transgressions of Israel, and for four, I will not turn away the punishment thereof; because they sold the righteous for silver, and the poor for a pair of shoes;","¶Thus saith the L<font size=""-1"">ORD</font>; For three transgressions of Israel, and for four, I will not turn away <i>the punishment</i> thereof; because they sold the righteous for silver, and the poor for a pair of shoes;"
519,40,0,"That pant after the dust of the earth on the head of the poor, and turn aside the way of the meek: and a man and his father will go in unto the same maid, to profane my holy name:","That pant after the dust of the earth on the head of the poor, and turn aside the way of the meek: and a man and his father will go in unto the <i>same</i> maid, to profane my holy name:"
520,27,0,"And they lay themselves down upon clothes laid to pledge by every altar, and they drink the wine of the condemned in the house of their god.","And they lay <i>themselves</i> down upon clothes laid to pledge by every altar, and they drink the wine of the condemned <i>in</i> the house of their god."
521,35,1,"Yet destroyed I the Amorite before them, whose height was like the height of the cedars, and he was strong as the oaks; yet I destroyed his fruit from above, and his roots from beneath.","¶Yet destroyed I the Amorite before them, whose height <i>was</i> like the height of the cedars, and he <i>was</i> strong as the oaks; yet I destroyed his fruit from above, and his roots from beneath."
522,25,0,"Also I brought you up from the land of Egypt, and led you forty years through the wilderness, to possess the land of the Amorite.","Also I brought you up from the land of Egypt, and led you forty years through the wilderness, to possess the land of the Amorite."
523,29,0,"And I raised up of your sons for prophets, and of your young men for Nazarites. Is it not even thus, O ye children of Israel? saith the LORD.","And I raised up of your sons for prophets, and of your young men for Nazarites. <i>Is it</i> not even thus, O ye children of Israel? saith the L<font size=""-1"">ORD</font>."
524,15,0,"But ye gave the Nazarites wine to drink; and commanded the prophets, saying, Prophesy not.","But ye gave the Nazarites wine to drink; and commanded the prophets, saying, Prophesy not."
525,16,0,"Behold, I am pressed under you, as a cart is pressed that is full of sheaves.","Behold, I am pressed under you, as a cart is pressed <i>that is</i> full of sheaves."
526,22,0,"Therefore the flight shall perish from the swift, and the strong shall not strengthen his force, neither shall the mighty deliver himself:","Therefore the flight shall perish from the swift, and the strong shall not strengthen his force, neither shall the mighty deliver himself:"
527,28,0,"Neither shall he stand that handleth the bow; and he that is swift of foot shall not deliver himself: neither shall he that rideth the horse deliver himself.","Neither shall he stand that handleth the bow; and <i>he that is</i> swift of foot shall not deliver <i>himself</i>: neither shall he that rideth the horse deliver himself."
528,18,0,"And he that is courageous among the mighty shall flee away naked in that day, saith the LORD.","And <i>he that is</i> courageous among the mighty shall flee away naked in that day, saith the L<font size=""-1"">ORD</font>."
769,28,0,"Hear this word that the LORD hath spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying,","Hear this word that the L<font size=""-1"">ORD</font> hath spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying,"
770,21,0,"You only have I known of all the families of the earth: therefore I will punish you for all your iniquities.","You only have I known of all the families of the earth: therefore I will punish you for all your iniquities."
771,8,0,"Can two walk together, except they be agreed?","Can two walk together, except they be agreed?"
