ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,38,0,"The vision of Obadiah. Thus saith the Lord GOD concerning Edom; We have heard a rumour from the LORD, and an ambassador is sent among the heathen, Arise ye, and let us rise up against her in battle.","The vision of Obadiah. Thus saith the Lord G<font size=""-1"">OD</font> concerning Edom; We have heard a rumour from the L<font size=""-1"">ORD</font>, and an ambassador is sent among the heathen, Arise ye, and let us rise up against her in battle."
258,13,0,"Behold, I have made thee small among the heathen: thou art greatly despised.","Behold, I have made thee small among the heathen: thou art greatly despised."
259,34,1,"The pride of thine heart hath deceived thee, thou that dwellest in the clefts of the rock, whose habitation is high; that saith in his heart, Who shall bring me down to the ground?","¶The pride of thine heart hath deceived thee, thou that dwellest in the clefts of the rock, whose habitation <i>is</i> high; that saith in his heart, Who shall bring me down to the ground?"
260,25,0,"Though thou exalt thyself as the eagle, and though thou set thy nest among the stars, thence will I bring thee down, saith the LORD.","Though thou exalt <i>thyself</i> as the eagle, and though thou set thy nest among the stars, thence will I bring thee down, saith the L<font size=""-1"">ORD</font>."
261,35,0,"If thieves came to thee, if robbers by night, (how art thou cut off!) would they not have stolen till they had enough? if the grapegatherers came to thee, would they not leave some grapes?","If thieves came to thee, if robbers by night, (how art thou cut off!) would they not have stolen till they had enough? if the grapegatherers came to thee, would they not leave <i>some</i> grapes?"
262,15,0,"How are the things of Esau searched out! how are his hidden things sought up!","How are <i>the things</i> of Esau searched out! <i>how</i> are his hidden things sought up!"
263,45,0,"All the men of thy confederacy have brought thee even to the border: the men that were at peace with thee have deceived thee, and prevailed against thee; they that eat thy bread have laid a wound under thee: there is none understanding in him.","All the men of thy confederacy have brought thee <i>even</i> to the border: the men that were at peace with thee have deceived thee, <i>and</i> prevailed against thee; <i>they that eat</i> thy bread have laid a wound under thee: <i>there is</i> none understanding in him."
264,25,0,"Shall I not in that day, saith the LORD, even destroy the wise men out of Edom, and understanding out of the mount of Esau?","Shall I not in that day, saith the L<font size=""-1"">ORD</font>, even destroy the wise <i>men</i> out of Edom, and understanding out of the mount of Esau?"
265,26,0,"And thy mighty men, O Teman, shall be dismayed, to the end that every one of the mount of Esau may be cut off by slaughter.","And thy mighty <i>men</i>, O Teman, shall be dismayed, to the end that every one of the mount of Esau may be cut off by slaughter."
266,19,1,"For thy violence against thy brother Jacob shame shall cover thee, and thou shalt be cut off for ever.","¶For <i>thy</i> violence against thy brother Jacob shame shall cover thee, and thou shalt be cut off for ever."
267,39,0,"In the day that thou stoodest on the other side, in the day that the strangers carried away captive his forces, and foreigners entered into his gates, and cast lots upon Jerusalem, even thou wast as one of them.","In the day that thou stoodest on the other side, in the day that the strangers carried away captive his forces, and foreigners entered into his gates, and cast lots upon Jerusalem, even thou <i>wast</i> as one of them."
268,47,0,"But thou shouldest not have looked on the day of thy brother in the day that he became a stranger; neither shouldest thou have rejoiced over the children of Judah in the day of their destruction; neither shouldest thou have spoken proudly in the day of distress.","But thou shouldest not have looked on the day of thy brother in the day that he became a stranger; neither shouldest thou have rejoiced over the children of Judah in the day of their destruction; neither shouldest thou have spoken proudly in the day of distress."
269,45,0,"Thou shouldest not have entered into the gate of my people in the day of their calamity; yea, thou shouldest not have looked on their affliction in the day of their calamity, nor have laid hands on their substance in the day of their calamity;","Thou shouldest not have entered into the gate of my people in the day of their calamity; yea, thou shouldest not have looked on their affliction in the day of their calamity, nor have laid <i>hands</i> on their substance in the day of their calamity;"
270,34,0,"Neither shouldest thou have stood in the crossway, to cut off those of his that did escape; neither shouldest thou have delivered up those of his that did remain in the day of distress.","Neither shouldest thou have stood in the crossway, to cut off those of his that did escape; neither shouldest thou have delivered up those of his that did remain in the day of distress."
271,30,0,"For the day of the LORD is near upon all the heathen: as thou hast done, it shall be done unto thee: thy reward shall return upon thine own head.","For the day of the L<font size=""-1"">ORD</font> <i>is</i> near upon all the heathen: as thou hast done, it shall be done unto thee: thy reward shall return upon thine own head."
