ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,14,0,"Now the word of the LORD came unto Jonah the son of Amittai, saying,","Now the word of the L<font size=""-1"">ORD</font> came unto Jonah the son of Amittai, saying,"
258,19,0,"Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me.","Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me."
259,50,0,"But Jonah rose up to flee unto Tarshish from the presence of the LORD, and went down to Joppa; and he found a ship going to Tarshish: so he paid the fare thereof, and went down into it, to go with them unto Tarshish from the presence of the LORD.","But Jonah rose up to flee unto Tarshish from the presence of the L<font size=""-1"">ORD</font>, and went down to Joppa; and he found a ship going to Tarshish: so he paid the fare thereof, and went down into it, to go with them unto Tarshish from the presence of the L<font size=""-1"">ORD</font>."
260,29,1,"But the LORD sent out a great wind into the sea, and there was a mighty tempest in the sea, so that the ship was like to be broken.","¶But the L<font size=""-1"">ORD</font> sent out a great wind into the sea, and there was a mighty tempest in the sea, so that the ship was like to be broken."
261,48,0,"Then the mariners were afraid, and cried every man unto his god, and cast forth the wares that were in the ship into the sea, to lighten it of them. But Jonah was gone down into the sides of the ship; and he lay, and was fast asleep.","Then the mariners were afraid, and cried every man unto his god, and cast forth the wares that <i>were</i> in the ship into the sea, to lighten <i>it</i> of them. But Jonah was gone down into the sides of the ship; and he lay, and was fast asleep."
262,33,0,"So the shipmaster came to him, and said unto him, What meanest thou, O sleeper? arise, call upon thy God, if so be that God will think upon us, that we perish not.","So the shipmaster came to him, and said unto him, What meanest thou, O sleeper? arise, call upon thy God, if so be that God will think upon us, that we perish not."
263,36,0,"And they said every one to his fellow, Come, and let us cast lots, that we may know for whose cause this evil is upon us. So they cast lots, and the lot fell upon Jonah.","And they said every one to his fellow, Come, and let us cast lots, that we may know for whose cause this evil <i>is</i> upon us. So they cast lots, and the lot fell upon Jonah."
264,36,0,"Then said they unto him, Tell us, we pray thee, for whose cause this evil is upon us; What is thine occupation? and whence comest thou? what is thy country? and of what people art thou?","Then said they unto him, Tell us, we pray thee, for whose cause this evil <i>is</i> upon us; What <i>is</i> thine occupation? and whence comest thou? what <i>is</i> thy country? and of what people <i>art</i> thou?"
265,27,0,"And he said unto them, I am an Hebrew; and I fear the LORD, the God of heaven, which hath made the sea and the dry land.","And he said unto them, I <i>am</i> an Hebrew; and I fear the L<font size=""-1"">ORD</font>, the God of heaven, which hath made the sea and the dry <i>land</i>."
266,33,0,"Then were the men exceedingly afraid, and said unto him, Why hast thou done this? For the men knew that he fled from the presence of the LORD, because he had told them.","Then were the men exceedingly afraid, and said unto him, Why hast thou done this? For the men knew that he fled from the presence of the L<font size=""-1"">ORD</font>, because he had told them."
267,26,1,"Then said they unto him, What shall we do unto thee, that the sea may be calm unto us? for the sea wrought, and was tempestuous.","¶Then said they unto him, What shall we do unto thee, that the sea may be calm unto us? for the sea wrought, and was tempestuous."
268,36,0,"And he said unto them, Take me up, and cast me forth into the sea; so shall the sea be calm unto you: for I know that for my sake this great tempest is upon you.","And he said unto them, Take me up, and cast me forth into the sea; so shall the sea be calm unto you: for I know that for my sake this great tempest <i>is</i> upon you."
269,24,0,"Nevertheless the men rowed hard to bring it to the land; but they could not: for the sea wrought, and was tempestuous against them.","Nevertheless the men rowed hard to bring <i>it</i> to the land; but they could not: for the sea wrought, and was tempestuous against them."
270,41,0,"Wherefore they cried unto the LORD, and said, We beseech thee, O LORD, we beseech thee, let us not perish for this man's life, and lay not upon us innocent blood: for thou, O LORD, hast done as it pleased thee.","Wherefore they cried unto the L<font size=""-1"">ORD</font>, and said, We beseech thee, O L<font size=""-1"">ORD</font>, we beseech thee, let us not perish for this man's life, and lay not upon us innocent blood: for thou, O L<font size=""-1"">ORD</font>, hast done as it pleased thee."
271,19,0,"So they took up Jonah, and cast him forth into the sea: and the sea ceased from her raging.","So they took up Jonah, and cast him forth into the sea: and the sea ceased from her raging."
272,17,0,"Then the men feared the LORD exceedingly, and offered a sacrifice unto the LORD, and made vows.","Then the men feared the L<font size=""-1"">ORD</font> exceedingly, and offered a sacrifice unto the L<font size=""-1"">ORD</font>, and made vows."
273,26,1,"Now the LORD had prepared a great fish to swallow up Jonah. And Jonah was in the belly of the fish three days and three nights.","¶Now the L<font size=""-1"">ORD</font> had prepared a great fish to swallow up Jonah. And Jonah was in the belly of the fish three days and three nights."
513,13,0,"Then Jonah prayed unto the LORD his God out of the fish's belly,","Then Jonah prayed unto the L<font size=""-1"">ORD</font> his God out of the fish's belly,"
514,29,0,"And said, I cried by reason of mine affliction unto the LORD, and he heard me; out of the belly of hell cried I, and thou heardest my voice.","And said, I cried by reason of mine affliction unto the L<font size=""-1"">ORD</font>, and he heard me; out of the belly of hell cried I, <i>and</i> thou heardest my voice."
515,29,0,"For thou hadst cast me into the deep, in the midst of the seas; and the floods compassed me about: all thy billows and thy waves passed over me.","For thou hadst cast me into the deep, in the midst of the seas; and the floods compassed me about: all thy billows and thy waves passed over me."
516,19,0,"Then I said, I am cast out of thy sight; yet I will look again toward thy holy temple.","Then I said, I am cast out of thy sight; yet I will look again toward thy holy temple."
517,22,0,"The waters compassed me about, even to the soul: the depth closed me round about, the weeds were wrapped about my head.","The waters compassed me about, <i>even</i> to the soul: the depth closed me round about, the weeds were wrapped about my head."
518,32,0,"I went down to the bottoms of the mountains; the earth with her bars was about me for ever: yet hast thou brought up my life from corruption, O LORD my God.","I went down to the bottoms of the mountains; the earth with her bars <i>was</i> about me for ever: yet hast thou brought up my life from corruption, O L<font size=""-1"">ORD</font> my God."
519,21,0,"When my soul fainted within me I remembered the LORD: and my prayer came in unto thee, into thine holy temple.","When my soul fainted within me I remembered the L<font size=""-1"">ORD</font>: and my prayer came in unto thee, into thine holy temple."
