ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,29,0,"The word of the LORD that came to Micah the Morasthite in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.","The word of the L<font size=""-1"">ORD</font> that came to Micah the Morasthite in the days of Jotham, Ahaz, <i>and</i> Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem."
258,27,0,"Hear, all ye people; hearken, O earth, and all that therein is: and let the Lord GOD be witness against you, the Lord from his holy temple.","Hear, all ye people; hearken, O earth, and all that therein is: and let the Lord G<font size=""-1"">OD</font> be witness against you, the Lord from his holy temple."
259,23,0,"For, behold, the LORD cometh forth out of his place, and will come down, and tread upon the high places of the earth.","For, behold, the L<font size=""-1"">ORD</font> cometh forth out of his place, and will come down, and tread upon the high places of the earth."
260,30,0,"And the mountains shall be molten under him, and the valleys shall be cleft, as wax before the fire, and as the waters that are poured down a steep place.","And the mountains shall be molten under him, and the valleys shall be cleft, as wax before the fire, <i>and</i> as the waters <i>that are</i> poured down a steep place."
261,39,0,"For the transgression of Jacob is all this, and for the sins of the house of Israel. What is the transgression of Jacob? is it not Samaria? and what are the high places of Judah? are they not Jerusalem?","For the transgression of Jacob <i>is</i> all this, and for the sins of the house of Israel. What <i>is</i> the transgression of Jacob? <i>is it</i> not Samaria? and what <i>are</i> the high places of Judah? <i>are they</i> not Jerusalem?"
262,35,0,"Therefore I will make Samaria as an heap of the field, and as plantings of a vineyard: and I will pour down the stones thereof into the valley, and I will discover the foundations thereof.","Therefore I will make Samaria as an heap of the field, <i>and</i> as plantings of a vineyard: and I will pour down the stones thereof into the valley, and I will discover the foundations thereof."
263,51,0,"And all the graven images thereof shall be beaten to pieces, and all the hires thereof shall be burned with the fire, and all the idols thereof will I lay desolate: for she gathered it of the hire of an harlot, and they shall return to the hire of an harlot.","And all the graven images thereof shall be beaten to pieces, and all the hires thereof shall be burned with the fire, and all the idols thereof will I lay desolate: for she gathered <i>it</i> of the hire of an harlot, and they shall return to the hire of an harlot."
264,25,1,"Therefore I will wail and howl, I will go stripped and naked: I will make a wailing like the dragons, and mourning as the owls.","¶Therefore I will wail and howl, I will go stripped and naked: I will make a wailing like the dragons, and mourning as the owls."
265,23,0,"For her wound is incurable; for it is come unto Judah; he is come unto the gate of my people, even to Jerusalem.","For her wound <i>is</i> incurable; for it is come unto Judah; he is come unto the gate of my people, <i>even</i> to Jerusalem."
266,21,1,"Declare ye it not at Gath, weep ye not at all: in the house of Aphrah roll thyself in the dust.","¶Declare ye <i>it</i> not at Gath, weep ye not at all: in the house of Aphrah roll thyself in the dust."
267,30,0,"Pass ye away, thou inhabitant of Saphir, having thy shame naked: the inhabitant of Zaanan came not forth in the mourning of Beth-ezel; he shall receive of you his standing.","Pass ye away, thou inhabitant of Saphir, having thy shame naked: the inhabitant of Zaanan came not forth in the mourning of Beth–ezel; he shall receive of you his standing."
268,21,0,"For the inhabitant of Maroth waited carefully for good: but evil came down from the LORD unto the gate of Jerusalem.","For the inhabitant of Maroth waited carefully for good: but evil came down from the L<font size=""-1"">ORD</font> unto the gate of Jerusalem."
269,33,0,"O thou inhabitant of Lachish, bind the chariot to the swift beast: she is the beginning of the sin to the daughter of Zion: for the transgressions of Israel were found in thee.","O thou inhabitant of Lachish, bind the chariot to the swift beast: she <i>is</i> the beginning of the sin to the daughter of Zion: for the transgressions of Israel were found in thee."
270,20,0,"Therefore shalt thou give presents to Moresheth-gath: the houses of Achzib shall be a lie to the kings of Israel.","Therefore shalt thou give presents to Moresheth–gath: the houses of Achzib <i>shall be</i> a lie to the kings of Israel."
