ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,13,0,"The burden of Nineveh. The book of the vision of Nahum the Elkoshite.","The burden of Nineveh. The book of the vision of Nahum the Elkoshite."
258,28,1,"God is jealous, and the LORD revengeth; the LORD revengeth, and is furious; the LORD will take vengeance on his adversaries, and he reserveth wrath for his enemies.","¶God <i>is</i> jealous, and the L<font size=""-1"">ORD</font> revengeth; the L<font size=""-1"">ORD</font> revengeth, and <i>is</i> furious; the L<font size=""-1"">ORD</font> will take vengeance on his adversaries, and he reserveth <i>wrath</i> for his enemies."
259,39,0,"The LORD is slow to anger, and great in power, and will not at all acquit the wicked: the LORD hath his way in the whirlwind and in the storm, and the clouds are the dust of his feet.","The L<font size=""-1"">ORD</font> <i>is</i> slow to anger, and great in power, and will not at all acquit <i>the wicked</i>: the L<font size=""-1"">ORD</font> hath his way in the whirlwind and in the storm, and the clouds <i>are</i> the dust of his feet."
260,24,0,"He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel, and the flower of Lebanon languisheth.","He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel, and the flower of Lebanon languisheth."
261,25,0,"The mountains quake at him, and the hills melt, and the earth is burned at his presence, yea, the world, and all that dwell therein.","The mountains quake at him, and the hills melt, and the earth is burned at his presence, yea, the world, and all that dwell therein."
262,31,0,"Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are thrown down by him.","Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are thrown down by him."
263,20,0,"The LORD is good, a strong hold in the day of trouble; and he knoweth them that trust in him.","The L<font size=""-1"">ORD</font> <i>is</i> good, a strong hold in the day of trouble; and he knoweth them that trust in him."
264,21,0,"But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies.","But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies."
265,21,1,"What do ye imagine against the LORD? he will make an utter end: affliction shall not rise up the second time.","¶What do ye imagine against the L<font size=""-1"">ORD</font>? he will make an utter end: affliction shall not rise up the second time."
266,23,0,"For while they be folden together as thorns, and while they are drunken as drunkards, they shall be devoured as stubble fully dry.","For while <i>they be</i> folden together <i>as</i> thorns, and while they are drunken <i>as</i> drunkards, they shall be devoured as stubble fully dry."
267,16,0,"There is one come out of thee, that imagineth evil against the LORD, a wicked counsellor.","There is <i>one</i> come out of thee, that imagineth evil against the L<font size=""-1"">ORD</font>, a wicked counsellor."
268,34,0,"Thus saith the LORD; Though they be quiet, and likewise many, yet thus shall they be cut down, when he shall pass through. Though I have afflicted thee, I will afflict thee no more.","Thus saith the L<font size=""-1"">ORD</font>; Though <i>they be</i> quiet, and likewise many, yet thus shall they be cut down, when he shall pass through. Though I have afflicted thee, I will afflict thee no more."
269,17,0,"For now will I break his yoke from off thee, and will burst thy bonds in sunder.","For now will I break his yoke from off thee, and will burst thy bonds in sunder."
270,44,0,"And the LORD hath given a commandment concerning thee, that no more of thy name be sown: out of the house of thy gods will I cut off the graven image and the molten image: I will make thy grave; for thou art vile.","And the L<font size=""-1"">ORD</font> hath given a commandment concerning thee, <i>that</i> no more of thy name be sown: out of the house of thy gods will I cut off the graven image and the molten image: I will make thy grave; for thou art vile."
271,38,0,"Behold upon the mountains the feet of him that bringeth good tidings, that publisheth peace! O Judah, keep thy solemn feasts, perform thy vows: for the wicked shall no more pass through thee; he is utterly cut off.","Behold upon the mountains the feet of him that bringeth good tidings, that publisheth peace! O Judah, keep thy solemn feasts, perform thy vows: for the wicked shall no more pass through thee; he is utterly cut off."
