ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,8,0,"The burden which Habakkuk the prophet did see.","The burden which Habakkuk the prophet did see.",""
258,24,0,"O LORD, how long shall I cry, and thou wilt not hear! even cry out unto thee of violence, and thou wilt not save!","O L<font size=""-1"">ORD</font>, how long shall I cry, and thou wilt not hear! <i>even</i> cry out unto thee <i>of</i> violence, and thou wilt not save!",""
259,28,0,"Why dost thou shew me iniquity, and cause me to behold grievance? for spoiling and violence are before me: and there are that raise up strife and contention.","Why dost thou shew me iniquity, and cause <i>me</i> to behold grievance? for spoiling and violence <i>are</i> before me: and there are <i>that</i> raise up strife and contention.",""
260,23,0,"Therefore the law is slacked, and judgment doth never go forth: for the wicked doth compass about the righteous; therefore wrong judgment proceedeth.","Therefore the law is slacked, and judgment doth never go forth: for the wicked doth compass about the righteous; therefore wrong judgment proceedeth.",""
261,29,1,"Behold ye among the heathen, and regard, and wonder marvellously: for I will work a work in your days, which ye will not believe, though it be told you.","¶Behold ye among the heathen, and regard, and wonder marvellously: for <i>I</i> will work a work in your days, <i>which</i> ye will not believe, though it be told <i>you</i>.",""
262,29,0,"For, lo, I raise up the Chaldeans, that bitter and hasty nation, which shall march through the breadth of the land, to possess the dwellingplaces that are not theirs.","For, lo, I raise up the Chaldeans, <i>that</i> bitter and hasty nation, which shall march through the breadth of the land, to possess the dwellingplaces <i>that are</i> not theirs.",""
263,14,0,"They are terrible and dreadful: their judgment and their dignity shall proceed of themselves.","They <i>are</i> terrible and dreadful: their judgment and their dignity shall proceed of themselves.",""
264,39,0,"Their horses also are swifter than the leopards, and are more fierce than the evening wolves: and their horsemen shall spread themselves, and their horsemen shall come from far; they shall fly as the eagle that hasteth to eat.","Their horses also are swifter than the leopards, and are more fierce than the evening wolves: and their horsemen shall spread themselves, and their horsemen shall come from far; they shall fly as the eagle <i>that</i> hasteth to eat.",""
265,24,0,"They shall come all for violence: their faces shall sup up as the east wind, and they shall gather the captivity as the sand.","They shall come all for violence: their faces shall sup up <i>as</i> the east wind, and they shall gather the captivity as the sand.",""
266,30,0,"And they shall scoff at the kings, and the princes shall be a scorn unto them: they shall deride every strong hold; for they shall heap dust, and take it.","And they shall scoff at the kings, and the princes shall be a scorn unto them: they shall deride every strong hold; for they shall heap dust, and take it.",""
267,19,0,"Then shall his mind change, and he shall pass over, and offend, imputing this his power unto his god.","Then shall <i>his</i> mind change, and he shall pass over, and offend, <i>imputing</i> this his power unto his god.",""
268,34,1,"Art thou not from everlasting, O LORD my God, mine Holy One? we shall not die. O LORD, thou hast ordained them for judgment; and, O mighty God, thou hast established them for correction.","¶<i>Art</i> thou not from everlasting, O L<font size=""-1"">ORD</font> my God, mine Holy One? we shall not die. O L<font size=""-1"">ORD</font>, thou hast ordained them for judgment; and, O mighty God, thou hast established them for correction.",""
269,39,0,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is more righteous than he?","<i>Thou art</i> of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, <i>and</i> holdest thy tongue when the wicked devoureth <i>the man that is</i> more righteous than he?",""
270,19,0,"And makest men as the fishes of the sea, as the creeping things, that have no ruler over them?","And makest men as the fishes of the sea, as the creeping things, <i>that have</i> no ruler over them?",""
271,27,0,"They take up all of them with the angle, they catch them in their net, and gather them in their drag: therefore they rejoice and are glad.","They take up all of them with the angle, they catch them in their net, and gather them in their drag: therefore they rejoice and are glad.",""
272,23,0,"Therefore they sacrifice unto their net, and burn incense unto their drag; because by them their portion is fat, and their meat plenteous.","Therefore they sacrifice unto their net, and burn incense unto their drag; because by them their portion <i>is</i> fat, and their meat plenteous.",""
273,14,0,"Shall they therefore empty their net, and not spare continually to slay the nations?","Shall they therefore empty their net, and not spare continually to slay the nations?",""
513,32,0,"I will stand upon my watch, and set me upon the tower, and will watch to see what he will say unto me, and what I shall answer when I am reproved.","I will stand upon my watch, and set me upon the tower, and will watch to see what he will say unto me, and what I shall answer when I am reproved.",""
514,23,0,"And the LORD answered me, and said, Write the vision, and make it plain upon tables, that he may run that readeth it.","And the L<font size=""-1"">ORD</font> answered me, and said, Write the vision, and make <i>it</i> plain upon tables, that he may run that readeth it.",""
515,34,0,"For the vision is yet for an appointed time, but at the end it shall speak, and not lie: though it tarry, wait for it; because it will surely come, it will not tarry.","For the vision <i>is</i> yet for an appointed time, but at the end it shall speak, and not lie: though it tarry, wait for it; because it will surely come, it will not tarry.",""
516,20,0,"Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith.","Behold, his soul <i>which</i> is lifted up is not upright in him: but the just shall live by his faith.",""
517,42,1,"Yea also, because he transgresseth by wine, he is a proud man, neither keepeth at home, who enlargeth his desire as hell, and is as death, and cannot be satisfied, but gathereth unto him all nations, and heapeth unto him all people:","¶Yea also, because he transgresseth by wine, <i>he is</i> a proud man, neither keepeth at home, who enlargeth his desire as hell, and <i>is</i> as death, and cannot be satisfied, but gathereth unto him all nations, and heapeth unto him all people:",""
518,39,0,"Shall not all these take up a parable against him, and a taunting proverb against him, and say, Woe to him that increaseth that which is not his! how long? and to him that ladeth himself with thick clay!","Shall not all these take up a parable against him, and a taunting proverb against him, and say, Woe to him that increaseth <i>that which is</i> not his! how long? and to him that ladeth himself with thick clay!",""
519,24,0,"Shall they not rise up suddenly that shall bite thee, and awake that shall vex thee, and thou shalt be for booties unto them?","Shall they not rise up suddenly that shall bite thee, and awake that shall vex thee, and thou shalt be for booties unto them?",""
520,35,0,"Because thou hast spoiled many nations, all the remnant of the people shall spoil thee; because of men's blood, and for the violence of the land, of the city, and of all that dwell therein.","Because thou hast spoiled many nations, all the remnant of the people shall spoil thee; because of men's blood, and <i>for</i> the violence of the land, of the city, and of all that dwell therein.",""
521,29,1,"Woe to him that coveteth an evil covetousness to his house, that he may set his nest on high, that he may be delivered from the power of evil!","¶Woe to him that coveteth an evil covetousness to his house, that he may set his nest on high, that he may be delivered from the power of evil!",""
