ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,37,0,"","","w w w w Dwd w w w w w w w w, w w w w, w w w w, w w w w, w w w w w w w w w, w w w."
258,13,0,"","","w w w w w Twt w w w w, w w Dwd."
259,39,0,"","","w w w w w w; w w w w w w w w, w w w w w w, w w w w w w; w w w w w w w w w w, w w Dwd."
260,37,0,"","","w w w w w w w w w, w w w w w w w; w w w w w w w w w w w w, Twt w w w w w w w w;"
261,26,0,"","","w w w w w w w w w w w; w w w w Twt w w w w Dwd, w w w w w;"
262,21,0,"","","w w w w w w w w Dwd; w Twt w w w w w Dwd, w w w w."
263,31,3,"","","w w w w w w w w w Dwd: w w w w w Dwd Twt w w: w w Dwd w w w w, w w w w w."
264,32,0,"","","w w w w w w w w w w w Dwd w, w w w w w w, w w w w, w w w w w w w w w."
265,24,0,"","","w w w w w w w w w w w w w w w, w w w w w w w w w."
266,38,0,"","","w w w w w w w w w, w w Dwd, Tw w w wt w w w w w w w w w, w w w w w w, w w w w w w w."
267,21,0,"","","w, w w w w, w w w w w w w w; w w w w w w w w."
268,42,0,"","","w w w w w w w w w, Twt w w w w w w, w w w w w w w w w w: w w w w w, w Dwd w w w w, w w w w w."
269,32,0,"","","w w w w w w w, w w w w w: w w w w w, w w w Twt; w w w w w, w w w w w w."
270,30,3,"","","w w w w w Dwd Twt w, Tw wt w, w w w, Twt w w w w w w w Dwd: w w w w w w w."
271,32,0,"","","w w Twt w w w w, w w w w w w, w w w w w w, w w w w w w, w w w w w w w,"
272,16,0,"","","w w w w w w w w w w w, w w w w w."
273,36,0,"","","w w w w w w w, w w w w w w w, w w w w w w Dwd: w w w w w w w w w, w w w w w w."
274,48,0,"","","w w w w w w w w w w w w w w w w w Dwd w; w w w w w w w w w w w w w: w w w w w w w w w w w w w w w w."
513,10,0,"","","w w w, w, w w, w w w w;"
514,32,0,"","","w w w w w, Twt w w w w w w, w w w w w w Dwd w w w, w w w w w Dwd w w w w."
515,33,0,"","","w w w Dwd, w w w w w w, w w w w w; w w, w w: w w w w w w w w w w w w Dwd w."
516,24,1,"","","w w w w w, w w w w: w w w w w w w w w, w w w w w w."
517,39,0,"","","w w w w w w w w, w w w w w! w w w w Dwd Twt w w; w w, w w w w w, w w w w w, w w w w w w."
518,15,0,"","","w w w w w w w Twt w w w, w w w w."
519,42,0,"","","w w w w w w w w w w w w w; w w w w: w w w w w w w w w w w w: w w Dwd w w w w w, w w w w w."
520,27,1,"","","w w w w w w w, w w w w w w w w, w w w w w w, w w Twt w w w."
521,54,0,"","","w Twt w w, w w Dwd w w, w w w w, w w w w w w, w w w w w w w, Twt w w w w, w w, w w w w: w w w w w w w w, w w w w w w w w w."
522,22,0,"","","w w w w w w w, w w w w w w Twt w w w w w Dwd w w."
523,34,0,"","","w Dwd Tw wt w w w: w w w w w w w w w w; w Twt w w w, w w w w w, Twt w w w w w w."
524,10,1,"","","w w w, w Tw wt w w w w."
525,24,0,"","","w w w w w w w w w w, w w w; w w w w w w, Twt w w w w."
526,50,0,"","","w w w w w w w w w w, w w w w w w: w w w w w w w w w w w w w w; Twt w w w w w w; w Tw wt w w w: w w w w w w w."
527,47,0,"","","w Twt w w w w w w, w w w w w, w Twt, w Tw wt w w w: w w w w w w, w w w w w w w w! w w w w w w w w, Twt w w w."
769,12,0,"","","w w w w w w w w, w w w w!"
770,22,0,"","","w w w w w; w w w w; w w w w w Dwd; w w w w w w w."
771,20,0,"","","w w w w Twt w w; w w Twt w w; w w w w w w w w."
772,20,0,"","","w w Twt w Twt w w: w w w w w w, w w w w w w w."
773,31,0,"","","w w Dwd Twt w w w w; w w w w w: w w w w w w w w w, w w w; w w w w w w."
774,34,0,"","","w w w w w w: w w w w; w w w w w, w w w w: w w w w, w w w w w w, w w w w w."
775,32,0,"","","w w, w w w w w, w w w w; w w w w w w w w, w w w w: w w w w, Twt w w w w."
776,56,1,"","","w w w w w, w w Dwd, w w w w w w w w w w: w w w Twt w w w w, w w w w w w, w w w w w w, Twt w w w w: w w w w w w w w w w w w w."
777,28,0,"","","w w w w w w w w w w w, w w w w w w w w w w Dwd, w w w w w w."
778,18,0,"","","w w w w w w w w, Twt w w w w w, w w w w."
779,48,0,"","","w w w w w w w w w w w w, w w w w w w: w w w w w w w w w w w w w w w w w w, w w w w w w w w w w w w."
780,24,0,"","","w w w w w w w w w w w w w w, w w w w w w w w w Dwd."
781,34,0,"","","w w w w w w w w, w w w; w w w w w w w w w w: w w w w w w w, w w w w Twt w."
782,20,1,"","","w, w w w w; w, w w; w w w w w w w w, w w w w."
783,33,0,"","","w Dwd w w w w w, w w w w w w: w w w w, Twt w Dwd, Twt w w w w w: w w w w w w w."
784,21,0,"","","w w w w w w w w w, w w w: Tw wt w, w w w w w w."
785,34,0,"","","w Dwd w w w w w w w Twt w; w w w, w w w w w w w; w w w w w w, w w w w w w w."
786,24,0,"","","w w w Tw w wt w w w w w, Twt w w w, Tw wt w w w w Twt w w."
787,43,0,"","","w, w w w w w w w w w w: w w w w w w w, w w w w w w w; w w w w w w w w w w w w w w w w w w."
788,44,0,"","","w w w w w w w Twt, w w w w w w w w: w w w w w w w w w w w w w w w w, w w w w w w w w w, w w Dwd."
