ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,49,0,"In the second year of Darius the king, in the sixth month, in the first day of the month, came the word of the LORD by Haggai the prophet unto Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Josedech, the high priest, saying,","In the second year of Darius the king, in the sixth month, in the first day of the month, came the word of the L<font size=""-1"">ORD</font> by Haggai the prophet unto Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Josedech, the high priest, saying,"
258,24,0,"Thus speaketh the LORD of hosts, saying, This people say, The time is not come, the time that the LORD'S house should be built.","Thus speaketh the L<font size=""-1"">ORD</font> of hosts, saying, This people say, The time is not come, the time that the L<font size=""-1"">ORD'S</font> house should be built."
259,12,0,"Then came the word of the LORD by Haggai the prophet, saying,","Then came the word of the L<font size=""-1"">ORD</font> by Haggai the prophet, saying,"
260,18,0,"Is it time for you, O ye, to dwell in your cieled houses, and this house lie waste?","<i>Is it</i> time for you, O ye, to dwell in your cieled houses, and this house <i>lie</i> waste?"
261,11,0,"Now therefore thus saith the LORD of hosts; Consider your ways.","Now therefore thus saith the L<font size=""-1"">ORD</font> of hosts; Consider your ways."
262,47,0,"Ye have sown much, and bring in little; ye eat, but ye have not enough; ye drink, but ye are not filled with drink; ye clothe you, but there is none warm; and he that earneth wages earneth wages to put it into a bag with holes.","Ye have sown much, and bring in little; ye eat, but ye have not enough; ye drink, but ye are not filled with drink; ye clothe you, but there is none warm; and he that earneth wages earneth wages <i>to put it</i> into a bag with holes."
263,9,1,"Thus saith the LORD of hosts; Consider your ways.","¶Thus saith the L<font size=""-1"">ORD</font> of hosts; Consider your ways."
264,27,0,"Go up to the mountain, and bring wood, and build the house; and I will take pleasure in it, and I will be glorified, saith the LORD.","Go up to the mountain, and bring wood, and build the house; and I will take pleasure in it, and I will be glorified, saith the L<font size=""-1"">ORD</font>."
265,43,0,"Ye looked for much, and, lo, it came to little; and when ye brought it home, I did blow upon it. Why? saith the LORD of hosts. Because of mine house that is waste, and ye run every man unto his own house.","Ye looked for much, and, lo, <i>it came</i> to little; and when ye brought <i>it</i> home, I did blow upon it. Why? saith the L<font size=""-1"">ORD</font> of hosts. Because of mine house that <i>is</i> waste, and ye run every man unto his own house."
266,17,0,"Therefore the heaven over you is stayed from dew, and the earth is stayed from her fruit.","Therefore the heaven over you is stayed from dew, and the earth is stayed <i>from</i> her fruit."
267,48,0,"And I called for a drought upon the land, and upon the mountains, and upon the corn, and upon the new wine, and upon the oil, and upon that which the ground bringeth forth, and upon men, and upon cattle, and upon all the labour of the hands.","And I called for a drought upon the land, and upon the mountains, and upon the corn, and upon the new wine, and upon the oil, and upon <i>that</i> which the ground bringeth forth, and upon men, and upon cattle, and upon all the labour of the hands."
268,53,1,"Then Zerubbabel the son of Shealtiel, and Joshua the son of Josedech, the high priest, with all the remnant of the people, obeyed the voice of the LORD their God, and the words of Haggai the prophet, as the LORD their God had sent him, and the people did fear before the LORD.","¶Then Zerubbabel the son of Shealtiel, and Joshua the son of Josedech, the high priest, with all the remnant of the people, obeyed the voice of the L<font size=""-1"">ORD</font> their God, and the words of Haggai the prophet, as the L<font size=""-1"">ORD</font> their God had sent him, and the people did fear before the L<font size=""-1"">ORD</font>."
269,21,0,"Then spake Haggai the LORD'S messenger in the LORD'S message unto the people, saying, I am with you, saith the LORD.","Then spake Haggai the L<font size=""-1"">ORD'S</font> messenger in the L<font size=""-1"">ORD'S</font> message unto the people, saying, I <i>am</i> with you, saith the L<font size=""-1"">ORD</font>."
