ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,29,0,"","","w w w w, w w w w w w, w w w w w Dwd w w, w w w w, w w w w w w, w,"
258,9,0,"","","w Dwd w w w w w w w."
259,31,0,"","","w w w w w, w w w Dwd w w; w w w w, w w Dwd w w, w w w w w w, w w Dwd w w."
260,44,0,"","","w w w w w w, w w w w w w w, w, w w w Dwd w w; w w w w w w w, w Twt w w w: w w w w w, w w w w, w w Dwd."
261,13,0,"","","w w, w Twt w? w w w, w w w w w?"
262,52,0,"","","w w w w w w, w w w w w w w, w w w w w w w w? w w w w w, w w w Dwd w w w w w w w, w w w w, w w w w w, w w w w w w."
263,40,1,"","","w w w w w w w w w w, w Twt w w w, w w w w w w, w w w w w Dwd w w, w w w w, w w w w w w, w,"
264,35,0,"","","w w w w, w w w w w w w w w, w w w w w w w w Twt w w w; w w w Tw wt w w, w, w w."
265,26,0,"","","w w w, w w w, w Twt w? w w w w w w w w w w, w w w w w w Twt."
266,28,0,"","","w w w w w w w w w w w w, w Tw wt w w Dwd w w w w w w w w w w."
267,36,0,"","","w w w w w w w Dwd w w w w w w, w w, w w w w w w w w w, w, w, w w w w w, w w w w."
268,39,2,"","","w w w w w Dwd w w w, w Dwd w w, w w w w w w w w w w w w w w w, w w w w w w w w w w w?"
269,16,0,"","","w w Dwd w w w w w w w Twt w w Twt w w."
270,31,0,"","","w w w w w w w w w w, w w, w, w w w Dwd w w; w w w w w w w w w w w w."
271,26,0,"","","w w w w w w w w w Tw wt w w: w w w w w w w, w w w w w w."
272,33,0,"","","w w w w Dwd; w w w w w w w: w w w w w w w, w w Dwd w w, w w w w w w w w w."
273,30,0,"","","w w, w, w w w Dwd w w; w w w w w w w w w; w w Dwd w w w w, w w w w w."
274,12,1,"","","w w w w w w, w w, w w w w."
275,28,0,"","","w w w w w w w w w w, w Twt w? w w w w, w Twt w w w w w w, w, w w."
276,7,0,"","","w w Dwd w w w w."
277,57,0,"","","w w w, w w w w w? w w w, w, w Twt w w w w w w, w w w w w w w w w: w w w w w w w, w w w w w w w w, w w w Twt w w w w w w w w w."
513,19,0,"","","w w w w w w, w w, w w w w w w w w w w w."
514,27,0,"","","w w w, w w w? w w w w w, w w w, w w w Twt w w w, w w Twt w w w."
515,18,0,"","","w, w, w w w w w w w w, w w w w w w w w,"
516,27,0,"","","w w w w, w, w w w w w, w, w w w w Twt w w w w w w w w w w w:"
517,25,0,"","","w w, w w Dwd, w w w w w w w w w w, w w w w w w w w w w."
518,31,1,"","","w, w, Tw wt, w w w w w w w w, w w Dwd: w w w w w w w w w w w w w, w w Dwd."
519,11,0,"","","w w, w w, w w Twt w w w w."
520,31,0,"","","w w w w Dwd w w; w w w w w w w w w w w w w: w w w w w w w w w w w."
521,30,0,"","","w, w, w w w w w w w, w w w w w w w w w: w w w w w w Dwd w w w w w."
522,23,1,"","","w w w, w w w w: w, w, w w, w w w w w w w w w, w w Dwd."
523,40,0,"","","w w w w w w w w Dwd w w w, w w w w w: w w w w w w w w w, w w w w w w Dwd w w w w w w w."
524,17,0,"","","w w Dwd w w w w w w w w w, w w w w w."
525,18,0,"","","w w, w w w, w w Dwd: w w w w w w w w w w."
769,25,0,"","","w w w w w w w w w w w w w w Dwd, w w w w w w w w w w."
770,31,0,"","","w w Dwd w w w, w Dwd w w, w w; w w Dwd w w w w w w: Twt w w w w w w w w w?"
771,12,0,"","","w w w w w w w, w w w w w."
772,43,0,"","","w w w w w w w w w w w, w, w w w w w w w. w w w w w, w, w w w w w w w w w, w w w w w w w w w."
773,34,0,"","","w w w, w w w w w w w w w. w w w w w w w w w, w w w w w. w w w w w Dwd w w."
774,10,0,"","","w w w w w Dwd w w w, w,"
775,46,0,"","","w w w Dwd w w; w w w w w w w, w w w w w w w, w w w w w w w, w w w w w w, w w w w w w w w w w w w w."
776,31,3,"","","w w, w w w w w, w, w w w w w w w: w w Twt w w w: w, w, w w w w w w w w."
777,41,0,"","","w w w w w w w w w w; w w w Tw wt w w: w, w w w w w w, w w Dwd w w, w w w w w w w w w w w w."
778,23,0,"","","w w w, w w Dwd w w, w w w w w w w w w w w w w w w."
1025,22,0,"","","w w w w w w w w w, w w w, w w w w w w w w w w,"
1026,46,0,"","","w w w w, w w w? w w w, w w w, w w w w w Twt w, w w w w w w w w, w w w w w, w w w w w w w, w Twt w w w w:"
1027,22,0,"","","w w w w w w, w w w w Twt w w w, w w w w w w Twt w."
1028,18,0,"","","w w w w w w w w w w w w, w, w Twt w, w w?"
1029,24,0,"","","w w w w w w w w w w w w, w w w w w w? w w w, w, w w."
1030,33,0,"","","w w w w w w w, w, w Twt w w w w Dwd w w, w, w w w, w w w, w w w w, w w Dwd w w."
1031,28,0,"","","w Twt w, w w w? w w Tw w wt w w: w w w w w w w Tw wt w, Twt, w, w w w."
1032,10,0,"","","w w w w w Dwd w w w, w,"
1033,31,0,"","","w w w w w w w w w w w; w w w w w w; w w w w w w Dwd w w w w w w w."
1034,42,0,"","","w w w w w w w w w? w w w w, w w w w w w w w w w Twt w w; w Twt w w w w Dwd, w w w w w w w w w."
1035,26,1,"","","w w w, w w w w, w Twt w w w w w w w Twt w w w w w w w Twt w?"
1036,27,0,"","","w w w w, w w w w, w Tw wt w w w w w w w w w w w w Twt w w w?"
1037,18,0,"","","w w w w w w, w w w w w Twt? w w w, w, w w."
1038,18,0,"","","w w w, w Twt w w w w, w w w w w w w w w."
1281,15,0,"","","w w w, w w w w w, w w, w w w w w."
