ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,12,0,"The burden of the word of the LORD to Israel by Malachi.","The burden of the word of the L<font size=""-1"">ORD</font> to Israel by Malachi.",""
258,27,0,"I have loved you, saith the LORD. Yet ye say, Wherein hast thou loved us? Was not Esau Jacob's brother? saith the LORD: yet I loved Jacob,","I have loved you, saith the L<font size=""-1"">ORD</font>. Yet ye say, Wherein hast thou loved us? <i>Was</i> not Esau Jacob's brother? saith the L<font size=""-1"">ORD</font>: yet I loved Jacob,",""
259,18,0,"And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.","And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.",""
260,49,0,"Whereas Edom saith, We are impoverished, but we will return and build the desolate places; thus saith the LORD of hosts, They shall build, but I will throw down; and they shall call them, The border of wickedness, and, The people against whom the LORD hath indignation for ever.","Whereas Edom saith, We are impoverished, but we will return and build the desolate places; thus saith the L<font size=""-1"">ORD</font> of hosts, They shall build, but I will throw down; and they shall call them, The border of wickedness, and, The people against whom the L<font size=""-1"">ORD</font> hath indignation for ever.",""
261,19,0,"And your eyes shall see, and ye shall say, The LORD will be magnified from the border of Israel.","And your eyes shall see, and ye shall say, The L<font size=""-1"">ORD</font> will be magnified from the border of Israel.",""
262,52,1,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my name. And ye say, Wherein have we despised thy name?","¶A son honoureth <i>his</i> father, and a servant his master: if then I <i>be</i> a father, where <i>is</i> mine honour? and if I <i>be</i> a master, where <i>is</i> my fear? saith the L<font size=""-1"">ORD</font> of hosts unto you, O priests, that despise my name. And ye say, Wherein have we despised thy name?",""
263,26,0,"Ye offer polluted bread upon mine altar; and ye say, Wherein have we polluted thee? In that ye say, The table of the LORD is contemptible.","Ye offer polluted bread upon mine altar; and ye say, Wherein have we polluted thee? In that ye say, The table of the L<font size=""-1"">ORD</font> <i>is</i> contemptible.",""
264,45,0,"And if ye offer the blind for sacrifice, is it not evil? and if ye offer the lame and sick, is it not evil? offer it now unto thy governor; will he be pleased with thee, or accept thy person? saith the LORD of hosts.","And if ye offer the blind for sacrifice, <i>is it</i> not evil? and if ye offer the lame and sick, <i>is it</i> not evil? offer it now unto thy governor; will he be pleased with thee, or accept thy person? saith the L<font size=""-1"">ORD</font> of hosts.",""
265,30,0,"And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons? saith the LORD of hosts.","And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons? saith the L<font size=""-1"">ORD</font> of hosts.",""
266,43,0,"Who is there even among you that would shut the doors for nought? neither do ye kindle fire on mine altar for nought. I have no pleasure in you, saith the LORD of hosts, neither will I accept an offering at your hand.","Who <i>is there</i> even among you that would shut the doors <i>for nought</i>? neither do ye kindle <i>fire</i> on mine altar for nought. I have no pleasure in you, saith the L<font size=""-1"">ORD</font> of hosts, neither will I accept an offering at your hand.",""
267,52,0,"For from the rising of the sun even unto the going down of the same my name shall be great among the Gentiles; and in every place incense shall be offered unto my name, and a pure offering: for my name shall be great among the heathen, saith the LORD of hosts.","For from the rising of the sun even unto the going down of the same my name <i>shall be</i> great among the Gentiles; and in every place incense <i>shall be</i> offered unto my name, and a pure offering: for my name <i>shall be</i> great among the heathen, saith the L<font size=""-1"">ORD</font> of hosts.",""
268,25,1,"But ye have profaned it, in that ye say, The table of the LORD is polluted; and the fruit thereof, even his meat, is contemptible.","¶But ye have profaned it, in that ye say, The table of the L<font size=""-1"">ORD</font> <i>is</i> polluted; and the fruit thereof, <i>even</i> his meat, <i>is</i> contemptible.",""
269,48,0,"Ye said also, Behold, what a weariness is it! and ye have snuffed at it, saith the LORD of hosts; and ye brought that which was torn, and the lame, and the sick; thus ye brought an offering: should I accept this of your hand? saith the LORD.","Ye said also, Behold, what a weariness <i>is it</i>! and ye have snuffed at it, saith the L<font size=""-1"">ORD</font> of hosts; and ye brought <i>that which was</i> torn, and the lame, and the sick; thus ye brought an offering: should I accept this of your hand? saith the L<font size=""-1"">ORD</font>.",""
270,41,0,"But cursed be the deceiver, which hath in his flock a male, and voweth, and sacrificeth unto the Lord a corrupt thing: for I am a great King, saith the LORD of hosts, and my name is dreadful among the heathen.","But cursed <i>be</i> the deceiver, which hath in his flock a male, and voweth, and sacrificeth unto the Lord a corrupt thing: for I <i>am</i> a great King, saith the L<font size=""-1"">ORD</font> of hosts, and my name <i>is</i> dreadful among the heathen.",""
513,10,0,"And now, O ye priests, this commandment is for you.","And now, O ye priests, this commandment <i>is</i> for you.",""
514,53,0,"If ye will not hear, and if ye will not lay it to heart, to give glory unto my name, saith the LORD of hosts, I will even send a curse upon you, and I will curse your blessings: yea, I have cursed them already, because ye do not lay it to heart.","If ye will not hear, and if ye will not lay <i>it</i> to heart, to give glory unto my name, saith the L<font size=""-1"">ORD</font> of hosts, I will even send a curse upon you, and I will curse your blessings: yea, I have cursed them already, because ye do not lay <i>it</i> to heart.",""
515,27,0,"Behold, I will corrupt your seed, and spread dung upon your faces, even the dung of your solemn feasts; and one shall take you away with it.","Behold, I will corrupt your seed, and spread dung upon your faces, <i>even</i> the dung of your solemn feasts; and <i>one</i> shall take you away with it.",""
516,24,0,"And ye shall know that I have sent this commandment unto you, that my covenant might be with Levi, saith the LORD of hosts.","And ye shall know that I have sent this commandment unto you, that my covenant might be with Levi, saith the L<font size=""-1"">ORD</font> of hosts.",""
517,28,0,"My covenant was with him of life and peace; and I gave them to him for the fear wherewith he feared me, and was afraid before my name.","My covenant was with him of life and peace; and I gave them to him <i>for</i> the fear wherewith he feared me, and was afraid before my name.",""
518,31,0,"The law of truth was in his mouth, and iniquity was not found in his lips: he walked with me in peace and equity, and did turn many away from iniquity.","The law of truth was in his mouth, and iniquity was not found in his lips: he walked with me in peace and equity, and did turn many away from iniquity.",""
519,26,0,"For the priest's lips should keep knowledge, and they should seek the law at his mouth: for he is the messenger of the LORD of hosts.","For the priest's lips should keep knowledge, and they should seek the law at his mouth: for he <i>is</i> the messenger of the L<font size=""-1"">ORD</font> of hosts.",""
520,29,0,"But ye are departed out of the way; ye have caused many to stumble at the law; ye have corrupted the covenant of Levi, saith the LORD of hosts.","But ye are departed out of the way; ye have caused many to stumble at the law; ye have corrupted the covenant of Levi, saith the L<font size=""-1"">ORD</font> of hosts.",""
521,28,0,"Therefore have I also made you contemptible and base before all the people, according as ye have not kept my ways, but have been partial in the law.","Therefore have I also made you contemptible and base before all the people, according as ye have not kept my ways, but have been partial in the law.",""
522,29,1,"Have we not all one father? hath not one God created us? why do we deal treacherously every man against his brother, by profaning the covenant of our fathers?","¶Have we not all one father? hath not one God created us? why do we deal treacherously every man against his brother, by profaning the covenant of our fathers?",""
523,35,1,"Judah hath dealt treacherously, and an abomination is committed in Israel and in Jerusalem; for Judah hath profaned the holiness of the LORD which he loved, and hath married the daughter of a strange god.","¶Judah hath dealt treacherously, and an abomination is committed in Israel and in Jerusalem; for Judah hath profaned the holiness of the L<font size=""-1"">ORD</font> which he loved, and hath married the daughter of a strange god.",""
524,32,0,"The LORD will cut off the man that doeth this, the master and the scholar, out of the tabernacles of Jacob, and him that offereth an offering unto the LORD of hosts.","The L<font size=""-1"">ORD</font> will cut off the man that doeth this, the master and the scholar, out of the tabernacles of Jacob, and him that offereth an offering unto the L<font size=""-1"">ORD</font> of hosts.",""
525,38,0,"And this have ye done again, covering the altar of the LORD with tears, with weeping, and with crying out, insomuch that he regardeth not the offering any more, or receiveth it with good will at your hand.","And this have ye done again, covering the altar of the L<font size=""-1"">ORD</font> with tears, with weeping, and with crying out, insomuch that he regardeth not the offering any more, or receiveth <i>it</i> with good will at your hand.",""
526,35,1,"Yet ye say, Wherefore? Because the LORD hath been witness between thee and the wife of thy youth, against whom thou hast dealt treacherously: yet is she thy companion, and the wife of thy covenant.","¶Yet ye say, Wherefore? Because the L<font size=""-1"">ORD</font> hath been witness between thee and the wife of thy youth, against whom thou hast dealt treacherously: yet <i>is</i> she thy companion, and the wife of thy covenant.",""
527,41,0,"And did not he make one? Yet had he the residue of the spirit. And wherefore one? That he might seek a godly seed. Therefore take heed to your spirit, and let none deal treacherously against the wife of his youth.","And did not he make one? Yet had he the residue of the spirit. And wherefore one? That he might seek a godly seed. Therefore take heed to your spirit, and let none deal treacherously against the wife of his youth.",""
528,36,0,"For the LORD, the God of Israel, saith that he hateth putting away: for one covereth violence with his garment, saith the LORD of hosts: therefore take heed to your spirit, that ye deal not treacherously.","For the L<font size=""-1"">ORD</font>, the God of Israel, saith that he hateth putting away: for <i>one</i> covereth violence with his garment, saith the L<font size=""-1"">ORD</font> of hosts: therefore take heed to your spirit, that ye deal not treacherously.",""
529,44,1,"Ye have wearied the LORD with your words. Yet ye say, Wherein have we wearied him? When ye say, Every one that doeth evil is good in the sight of the LORD, and he delighteth in them; or, Where is the God of judgment?","¶Ye have wearied the L<font size=""-1"">ORD</font> with your words. Yet ye say, Wherein have we wearied <i>him</i>? When ye say, Every one that doeth evil <i>is</i> good in the sight of the L<font size=""-1"">ORD</font>, and he delighteth in them; or, Where <i>is</i> the God of judgment?",""
769,45,0,"Behold, I will send my messenger, and he shall prepare the way before me: and the Lord, whom ye seek, shall suddenly come to his temple, even the messenger of the covenant, whom ye delight in: behold, he shall come, saith the LORD of hosts.","Behold, I will send my messenger, and he shall prepare the way before me: and the Lord, whom ye seek, shall suddenly come to his temple, even the messenger of the covenant, whom ye delight in: behold, he shall come, saith the L<font size=""-1"">ORD</font> of hosts.",""
770,27,0,"But who may abide the day of his coming? and who shall stand when he appeareth? for he is like a refiner's fire, and like fullers' soap:","But who may abide the day of his coming? and who shall stand when he appeareth? for he <i>is</i> like a refiner's fire, and like fullers' soap:",""
