ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,16,0,"The book of the generation of Jesus Christ, the son of David, the son of Abraham.","The book of the generation of Jesus Christ, the son of David, the son of Abraham.",""
258,14,0,"Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;","Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;",""
259,16,0,"And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;","And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;",""
260,12,0,"And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;","And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;",""
261,16,0,"And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;","And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;",""
262,21,0,"And Jesse begat David the king; and David the king begat Solomon of her that had been the wife of Urias;","And Jesse begat David the king; and David the king begat Solomon of her <i>that had been the wife</i> of Urias;",""
263,12,0,"And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;","And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;",""
264,12,0,"And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;","And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;",""
265,12,0,"And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;","And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;",""
266,12,0,"And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;","And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;",""
267,16,0,"And Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:","And Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:",""
268,14,0,"And after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;","And after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;",""
269,12,0,"And Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;","And Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;",""
270,12,0,"And Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;","And Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;",""
271,12,0,"And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;","And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;",""
272,17,0,"And Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.","And Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.",""
273,35,0,"So all the generations from Abraham to David are fourteen generations; and from David until the carrying away into Babylon are fourteen generations; and from the carrying away into Babylon unto Christ are fourteen generations.","So all the generations from Abraham to David <i>are</i> fourteen generations; and from David until the carrying away into Babylon <i>are</i> fourteen generations; and from the carrying away into Babylon unto Christ <i>are</i> fourteen generations.",""
