ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,12,0,"The beginning of the gospel of Jesus Christ, the Son of God;","The beginning of the gospel of Jesus Christ, the Son of God;",""
258,22,0,"As it is written in the prophets, Behold, I send my messenger before thy face, which shall prepare thy way before thee.","As it is written in the prophets, Behold, I send my messenger before thy face, which shall prepare thy way before thee.",""
259,19,0,"The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.","The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.",""
260,17,0,"John did baptize in the wilderness, and preach the baptism of repentance for the remission of sins.","John did baptize in the wilderness, and preach the baptism of repentance for the remission of sins.",""
261,29,0,"And there went out unto him all the land of Judaea, and they of Jerusalem, and were all baptized of him in the river of Jordan, confessing their sins.","And there went out unto him all the land of Judæa, and they of Jerusalem, and were all baptized of him in the river of Jordan, confessing their sins.",""
262,25,0,"And John was clothed with camel's hair, and with a girdle of a skin about his loins; and he did eat locusts and wild honey;","And John was clothed with camel's hair, and with a girdle of a skin about his loins; and he did eat locusts and wild honey;",""
263,25,0,"And preached, saying, There cometh one mightier than I after me, the latchet of whose shoes I am not worthy to stoop down and unloose.","And preached, saying, There cometh one mightier than I after me, the latchet of whose shoes I am not worthy to stoop down and unloose.",""
264,16,0,"I indeed have baptized you with water: but he shall baptize you with the Holy Ghost.","I indeed have baptized you with water: but he shall baptize you with the Holy Ghost.",""
265,22,0,"And it came to pass in those days, that Jesus came from Nazareth of Galilee, and was baptized of John in Jordan.","And it came to pass in those days, that Jesus came from Nazareth of Galilee, and was baptized of John in Jordan.",""
266,22,0,"And straightway coming up out of the water, he saw the heavens opened, and the Spirit like a dove descending upon him:","And straightway coming up out of the water, he saw the heavens opened, and the Spirit like a dove descending upon him:",""
267,19,0,"And there came a voice from heaven, saying, Thou art my beloved Son, in whom I am well pleased.","And there came a voice from heaven, <i>saying</i>, Thou art my beloved Son, in whom I am well pleased.",""
268,9,0,"And immediately the Spirit driveth him into the wilderness.","And immediately the Spirit driveth him into the wilderness.",""
269,24,0,"And he was there in the wilderness forty days, tempted of Satan; and was with the wild beasts; and the angels ministered unto him.","And he was there in the wilderness forty days, tempted of Satan; and was with the wild beasts; and the angels ministered unto him.",""
270,20,0,"Now after that John was put in prison, Jesus came into Galilee, preaching the gospel of the kingdom of God,","Now after that John was put in prison, Jesus came into Galilee, preaching the gospel of the kingdom of God,",""
271,20,0,"And saying, The time is fulfilled, and the kingdom of God is at hand: repent ye, and believe the gospel.","And saying, <font color=""red""> The time is fulfilled, and the kingdom of God is at hand: repent ye, and believe the gospel.</font> ",""
272,26,0,"Now as he walked by the sea of Galilee, he saw Simon and Andrew his brother casting a net into the sea: for they were fishers.","Now as he walked by the sea of Galilee, he saw Simon and Andrew his brother casting a net into the sea: for they were fishers.",""
273,19,0,"And Jesus said unto them, Come ye after me, and I will make you to become fishers of men.","And Jesus said unto them, <font color=""red""> Come ye after me, and I will make you to become fishers of men.</font> ",""
274,9,0,"And straightway they forsook their nets, and followed him.","And straightway they forsook their nets, and followed him.",""
275,29,0,"And when he had gone a little further thence, he saw James the son of Zebedee, and John his brother, who also were in the ship mending their nets.","And when he had gone a little further thence, he saw James the <i>son</i> of Zebedee, and John his brother, who also were in the ship mending their nets.",""
276,22,0,"And straightway he called them: and they left their father Zebedee in the ship with the hired servants, and went after him.","And straightway he called them: and they left their father Zebedee in the ship with the hired servants, and went after him.",""
277,18,0,"And they went into Capernaum; and straightway on the sabbath day he entered into the synagogue, and taught.","And they went into Capernaum; and straightway on the sabbath day he entered into the synagogue, and taught.",""
278,21,0,"And they were astonished at his doctrine: for he taught them as one that had authority, and not as the scribes.","And they were astonished at his doctrine: for he taught them as one that had authority, and not as the scribes.",""
279,16,0,"And there was in their synagogue a man with an unclean spirit; and he cried out,","And there was in their synagogue a man with an unclean spirit; and he cried out,",""
280,32,0,"Saying, Let us alone; what have we to do with thee, thou Jesus of Nazareth? art thou come to destroy us? I know thee who thou art, the Holy One of God.","Saying, Let <i>us</i> alone; what have we to do with thee, thou Jesus of Nazareth? art thou come to destroy us? I know thee who thou art, the Holy One of God.",""
281,13,0,"And Jesus rebuked him, saying, Hold thy peace, and come out of him.","And Jesus rebuked him, saying, <font color=""red""> Hold thy peace, and come out of him.</font> ",""
282,19,0,"And when the unclean spirit had torn him, and cried with a loud voice, he came out of him.","And when the unclean spirit had torn him, and cried with a loud voice, he came out of him.",""
