ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,24,0,"Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,","Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,",""
258,18,0,"Even as they delivered them unto us, which from the beginning were eyewitnesses, and ministers of the word;","Even as they delivered them unto us, which from the beginning were eyewitnesses, and ministers of the word;",""
259,26,0,"It seemed good to me also, having had perfect understanding of all things from the very first, to write unto thee in order, most excellent Theophilus,","It seemed good to me also, having had perfect understanding of all things from the very first, to write unto thee in order, most excellent Theophilus,",""
260,14,0,"That thou mightest know the certainty of those things, wherein thou hast been instructed.","That thou mightest know the certainty of those things, wherein thou hast been instructed.",""
261,35,1,"There was in the days of Herod, the king of Judaea, a certain priest named Zacharias, of the course of Abia: and his wife was of the daughters of Aaron, and her name was Elisabeth.","¶There was in the days of Herod, the king of Judæa, a certain priest named Zacharias, of the course of Abia: and his wife <i>was</i> of the daughters of Aaron, and her name <i>was</i> Elisabeth.",""
262,18,0,"And they were both righteous before God, walking in all the commandments and ordinances of the Lord blameless.","And they were both righteous before God, walking in all the commandments and ordinances of the Lord blameless.",""
263,19,0,"And they had no child, because that Elisabeth was barren, and they both were now well stricken in years.","And they had no child, because that Elisabeth was barren, and they both were <i>now</i> well stricken in years.",""
264,20,0,"And it came to pass, that while he executed the priest's office before God in the order of his course,","And it came to pass, that while he executed the priest's office before God in the order of his course,",""
265,23,0,"According to the custom of the priest's office, his lot was to burn incense when he went into the temple of the Lord.","According to the custom of the priest's office, his lot was to burn incense when he went into the temple of the Lord.",""
266,15,0,"And the whole multitude of the people were praying without at the time of incense.","And the whole multitude of the people were praying without at the time of incense.",""
267,20,0,"And there appeared unto him an angel of the Lord standing on the right side of the altar of incense.","And there appeared unto him an angel of the Lord standing on the right side of the altar of incense.",""
268,13,0,"And when Zacharias saw him, he was troubled, and fear fell upon him.","And when Zacharias saw <i>him</i>, he was troubled, and fear fell upon him.",""
269,30,0,"But the angel said unto him, Fear not, Zacharias: for thy prayer is heard; and thy wife Elisabeth shall bear thee a son, and thou shalt call his name John.","But the angel said unto him, Fear not, Zacharias: for thy prayer is heard; and thy wife Elisabeth shall bear thee a son, and thou shalt call his name John.",""
270,14,0,"And thou shalt have joy and gladness; and many shall rejoice at his birth.","And thou shalt have joy and gladness; and many shall rejoice at his birth.",""
271,33,0,"For he shall be great in the sight of the Lord, and shall drink neither wine nor strong drink; and he shall be filled with the Holy Ghost, even from his mother's womb.","For he shall be great in the sight of the Lord, and shall drink neither wine nor strong drink; and he shall be filled with the Holy Ghost, even from his mother's womb.",""
272,15,0,"And many of the children of Israel shall he turn to the Lord their God.","And many of the children of Israel shall he turn to the Lord their God.",""
273,41,0,"And he shall go before him in the spirit and power of Elias, to turn the hearts of the fathers to the children, and the disobedient to the wisdom of the just; to make ready a people prepared for the Lord.","And he shall go before him in the spirit and power of Elias, to turn the hearts of the fathers to the children, and the disobedient to the wisdom of the just; to make ready a people prepared for the Lord.",""
274,24,0,"And Zacharias said unto the angel, Whereby shall I know this? for I am an old man, and my wife well stricken in years.","And Zacharias said unto the angel, Whereby shall I know this? for I am an old man, and my wife well stricken in years.",""
275,31,0,"And the angel answering said unto him, I am Gabriel, that stand in the presence of God; and am sent to speak unto thee, and to shew thee these glad tidings.","And the angel answering said unto him, I am Gabriel, that stand in the presence of God; and am sent to speak unto thee, and to shew thee these glad tidings.",""
276,33,0,"And, behold, thou shalt be dumb, and not able to speak, until the day that these things shall be performed, because thou believest not my words, which shall be fulfilled in their season.","And, behold, thou shalt be dumb, and not able to speak, until the day that these things shall be performed, because thou believest not my words, which shall be fulfilled in their season.",""
277,16,0,"And the people waited for Zacharias, and marvelled that he tarried so long in the temple.","And the people waited for Zacharias, and marvelled that he tarried so long in the temple.",""
278,31,0,"And when he came out, he could not speak unto them: and they perceived that he had seen a vision in the temple: for he beckoned unto them, and remained speechless.","And when he came out, he could not speak unto them: and they perceived that he had seen a vision in the temple: for he beckoned unto them, and remained speechless.",""
279,22,0,"And it came to pass, that, as soon as the days of his ministration were accomplished, he departed to his own house.","And it came to pass, that, as soon as the days of his ministration were accomplished, he departed to his own house.",""
280,14,0,"And after those days his wife Elisabeth conceived, and hid herself five months, saying,","And after those days his wife Elisabeth conceived, and hid herself five months, saying,",""
281,22,0,"Thus hath the Lord dealt with me in the days wherein he looked on me, to take away my reproach among men.","Thus hath the Lord dealt with me in the days wherein he looked on <i>me</i>, to take away my reproach among men.",""
282,19,0,"And in the sixth month the angel Gabriel was sent from God unto a city of Galilee, named Nazareth,","And in the sixth month the angel Gabriel was sent from God unto a city of Galilee, named Nazareth,",""
283,22,0,"To a virgin espoused to a man whose name was Joseph, of the house of David; and the virgin's name was Mary.","To a virgin espoused to a man whose name was Joseph, of the house of David; and the virgin's name <i>was</i> Mary.",""
284,25,0,"And the angel came in unto her, and said, Hail, thou that art highly favoured, the Lord is with thee: blessed art thou among women.","And the angel came in unto her, and said, Hail, <i>thou that art</i> highly favoured, the Lord <i>is</i> with thee: blessed <i>art</i> thou among women.",""
285,23,0,"And when she saw him, she was troubled at his saying, and cast in her mind what manner of salutation this should be.","And when she saw <i>him</i>, she was troubled at his saying, and cast in her mind what manner of salutation this should be.",""
286,16,0,"And the angel said unto her, Fear not, Mary: for thou hast found favour with God.","And the angel said unto her, Fear not, Mary: for thou hast found favour with God.",""
287,19,0,"And, behold, thou shalt conceive in thy womb, and bring forth a son, and shalt call his name JESUS.","And, behold, thou shalt conceive in thy womb, and bring forth a son, and shalt call his name JESUS.",""
288,27,0,"He shall be great, and shall be called the Son of the Highest: and the Lord God shall give unto him the throne of his father David:","He shall be great, and shall be called the Son of the Highest: and the Lord God shall give unto him the throne of his father David:",""
289,20,0,"And he shall reign over the house of Jacob for ever; and of his kingdom there shall be no end.","And he shall reign over the house of Jacob for ever; and of his kingdom there shall be no end.",""
290,16,0,"Then said Mary unto the angel, How shall this be, seeing I know not a man?","Then said Mary unto the angel, How shall this be, seeing I know not a man?",""
291,42,0,"And the angel answered and said unto her, The Holy Ghost shall come upon thee, and the power of the Highest shall overshadow thee: therefore also that holy thing which shall be born of thee shall be called the Son of God.","And the angel answered and said unto her, The Holy Ghost shall come upon thee, and the power of the Highest shall overshadow thee: therefore also that holy thing which shall be born of thee shall be called the Son of God.",""
292,27,0,"And, behold, thy cousin Elisabeth, she hath also conceived a son in her old age: and this is the sixth month with her, who was called barren.","And, behold, thy cousin Elisabeth, she hath also conceived a son in her old age: and this is the sixth month with her, who was called barren.",""
293,7,0,"For with God nothing shall be impossible.","For with God nothing shall be impossible.",""
294,23,0,"And Mary said, Behold the handmaid of the Lord; be it unto me according to thy word. And the angel departed from her.","And Mary said, Behold the handmaid of the Lord; be it unto me according to thy word. And the angel departed from her.",""
295,19,0,"And Mary arose in those days, and went into the hill country with haste, into a city of Juda;","And Mary arose in those days, and went into the hill country with haste, into a city of Juda;",""
296,10,0,"And entered into the house of Zacharias, and saluted Elisabeth.","And entered into the house of Zacharias, and saluted Elisabeth.",""
297,27,0,"And it came to pass, that, when Elisabeth heard the salutation of Mary, the babe leaped in her womb; and Elisabeth was filled with the Holy Ghost:","And it came to pass, that, when Elisabeth heard the salutation of Mary, the babe leaped in her womb; and Elisabeth was filled with the Holy Ghost:",""
