ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,17,0,"","","w, w w w w w, w Tw wt w w, w w w w w w,"
258,12,0,"","","(w w w w w w w w w w w w,)"
259,19,0,"","","w w w w w w w, w w w w w w w w w w w w;"
260,22,0,"","","w w Tw wt w w w w w w, w w w w w w, w w w w w w:"
261,19,0,"","","w w w w w w w w, w w w w w w w w, w w w:"
262,10,0,"","","w w w w w w w w w w:"
263,27,0,"","","w w w w w w, w w w, w Tw wt w: w w w w w w w w w, w w w w w."
264,21,3,"","","w, w w w w w w w w w w, w w w w w w w w w w."
265,29,0,"","","w w w w w, w w w w w w w w w w w w, w w w w w w w w w w w w;"
266,24,0,"","","w w, w w w w w w w w w w w w w w w w w w w w w w."
267,22,0,"","","w w w w w w, w w w w w w w w w, w w w w w w w;"
268,19,0,"","","w w, w w w w w w w w w w w w w w w w w."
269,34,0,"","","w w w w w w w, w, w w w w w w w w, (w w w w,) w w w w w w w w w, w w w w w."
270,19,0,"","","w w w w w w w, w w w w; w w w w, w w w w."
271,21,0,"","","w, w w w w w w, w w w w w w w w w w w w w w."
272,33,0,"","","w w w w w w w w w w: w w w w w w w w w w w w w w; w w w w, w w w w w."
273,22,0,"","","w w w w w w w w w w w w: w w w w, w w w w w w."
274,22,3,"","","w w w w w w w w w w w w w w w w, w w w w w w;"
275,19,0,"","","w w w w w w w w w w w w; w w w w Twt w w."
276,35,0,"","","w w w w w w w w w w w w w w w, w w w w w w w w, Twt w w w w w; w w w w w w:"
277,27,0,"","","w w, w w w w, w w Twt w w w, w w w; w w w w w w, w w w w w w."
278,8,0,"","","w w w w w, w w w,"
279,25,0,"","","w w w w w w w w w w w w w w w w, w w w, w w w, w w w."
280,22,3,"","","w w w w w w w w w w w w w w w, w w w w w w w:"
281,25,0,"","","w w w w w w w w w, w w w w w w w w w w, w w w w w. w."
282,25,0,"","","w w w w w w w w w w: w w w w w w w w w w w w w w w:"
283,39,0,"","","w w w w w, w w w w w w w, w w w w w w w; w w w w w w w w, w w w w w w w w w w w w."
284,29,0,"","","w w w w w w w w w w w Twt w, w w w w w w w w, w w w w w w w w;"
285,17,0,"","","w w w w w, w, w, w, w; w w w, w, w, w, w; w,"
286,14,0,"","","w, w w w, w, w, w, w w w w, w w w,"
287,8,0,"","","w w, w, w w w, w, w:"
288,29,0,"","","w w w w w w, w w w w w w w w w w, w w w w w, w w w w w w w w."
513,27,0,"","","w w w w, w w, w w w w w: w w w w w, w w w; w w w w w w w w."
514,19,0,"","","w w w w w w w w w w w w w w w w w w w."
515,25,0,"","","w w w w, w w, w w w w w w w, w w w w, w w w w w w w w?"
516,23,0,"","","w w w w w w w w w w w w; w w w w w w w w w w w?"
517,25,0,"","","w w w w w w w w w w w w w w w w w w w w w w w w w;"
518,10,0,"","","w w w w w w w w w w:"
519,18,0,"","","w w w w w w w w w w w w w w w w, w w:"
520,18,0,"","","w w w w w w, w w w w w w, w w w, w w w,"
521,20,0,"","","w w w, w w w w w w w w, w w w w, w w w w w;"
522,20,0,"","","w w, w, w w, w w w w w w, w w w w, w w w w w:"
523,9,0,"","","w w w w w w w w w."
524,28,0,"","","w w w w w w w w w w w w w: w w w w w w w w w w w w w w w;"
525,20,0,"","","(w w w w w w w Twt w w w, w w w w w w w w w."
526,28,0,"","","w w w w, w w w w w, w w w w w w w w w, w, w w w w, w w w w w:"
527,28,0,"","","w w w w w w w w w w w, w w w w w, w Twt w w w w w w w w w w;)"
528,18,0,"","","w w w w w w w w w w w w w w w w w w."
529,17,3,"","","w, w w w w w, w w w w w, w w w w w w,"
530,18,0,"","","w w Twt w, w w w w w w w w, w w w w w w;"
531,20,0,"","","w w w w w w w w w w w w, w w w w w w w w,"
532,22,0,"","","w w w w w, w w w w, w w w w w w w w w w w w w."
533,20,0,"","","w w w w w, w w w w? w w w w w w w w, w w w?"
534,21,0,"","","w w w w w w w w w, w w w w? w w w w, w w w w?"
535,15,0,"","","w w w w w w w w, w w w w w w w?"
536,16,0,"","","w w w w w w w w w w w w, w w w w."
537,23,0,"","","w w w w, w w w w w: w w w w w w w w w, w w w w w."
538,18,0,"","","w w w w w w w w w w, w w w w w w w w?"
539,25,0,"","","w w w w w w w w, w w w w w, w w, w w w w w w w w w w?"
540,20,0,"","","w w w w w w, w w w w; w Tw wt w, w w w w w w:"
541,33,0,"","","w w Twt w w, w w w w; w w Tw wt w w w, w w w, Twt w w w w; w w Twt w w w, w w w."
769,13,0,"","","w w w w w w? w w w Tw wt w w?"
770,14,0,"","","w w w: w, w w w w w w w w w w."
771,17,0,"","","w w w w w w w? w w w w w w w w w w?"
772,31,0,"","","w w: w, w w w w, w w w w w; w w w w, w w w w w w w w, w w w w w w w."
773,24,0,"","","w w w w w w w w w, w w w w? Twt w w w w w? (w w w w w)"
774,10,0,"","","w w: w w w w w w w w?"
775,24,0,"","","w w w w w w w w w w w w w w w; w w w w w w w w w?"
776,27,0,"","","w w Twt, (w w w w w, w w w w w w w,) w w w w, w w w w? w w w w."
777,26,3,"","","w w? w w w Tw wt? w, w w w: w w w w w w w w w, w w w w w w;"
778,11,0,"","","w w w w, w w w w, w, w w:"
779,12,0,"","","w w w w w, w w w w w w w."
780,22,0,"","","w w w w w w w w, w w w w w; w w w w w w, w, w w."
781,21,0,"","","w w Twt w w w; w w w w w w w; w w w w Twt w w w:"
782,8,0,"","","w w Twt w w w w w:"
783,7,0,"","","w w Twt w w w w:"
784,7,0,"","","w w w Twt w w w:"
785,9,0,"","","w w w w w w w w w:"
786,9,0,"","","w w w w w w w w w."
787,34,3,"","","w w w w w w w w w w, w w w w w w w w w: w w w w w w, w w w w w w w w w."
788,25,0,"","","w w w w w w w w w w w w w w w w: w w w w Twt w w w w."
789,19,3,"","","w w w w w w w w w w w, w w w w w w w w;"
790,25,0,"","","w w w w w Tw wt w w w w w w w w w w w w w: w w w w w:"
791,12,0,"","","w w w w, w w w w w w w w;"
792,14,0,"","","w w w w w w w w w w w w w w:"
793,31,0,"","","w w w w w Tw wt w w w w w w w, w w w w w w w w w w w w, w w w w w;"
794,23,0,"","","w w, Tw wt, w w w w w: w w w w w, w w w w w w w w w."
795,19,0,"","","w Twt w w? w w w. w w w? w w? w: w w w w w w."
796,16,0,"","","w w w w w w w w w w w w w w w w."
797,20,0,"","","Tw wt w w w w w w? Tw wt w w w w w? w, w w w w:"
798,16,0,"","","w Tw wt w w, w w w w w w w, w w w w."
799,16,0,"","","w w w w w w w w w? w w: w, w w w w."
1025,16,0,"","","w w w w w w w w w, w w w w w, w w?"
1026,16,0,"","","w w w w w w w, w w Twt w w; w w w w."
1027,16,0,"","","w w w w w? w w w, w w w w w w w w."
1028,15,0,"","","w w w w w w w w w w w w, w w w."
1029,20,0,"","","w w w w w w, w w w w w w w w, w w w w w w."
1030,17,0,"","","w w w w w w w w w w, w w w w w w w,"
1031,13,0,"","","Twt, w Twt w w w w w, w w w w w."
1032,12,0,"","","w Twt w w w w w w w w w w."
1033,24,0,"","","Twt w w w w w w Twt, w w w w w? w w w w w w w w w w w."
1034,19,0,"","","w w w w w? w w w w w, w w w? w w w, w w w."
1035,45,0,"","","w w w w w w w, w w w w w w w w w Tw w wt w w: w w w w w w w w w w w, w w w w w; w w w w w w w w:"
1036,34,0,"","","w w w w w w w w w w w w w w, w w w w w w w w w w w w w w, w Tw wt w Twt w."
1037,29,0,"","","w w w, w w w w w w w w w, Twt w w w, w w w w, w w w, w w w w w w."
1038,21,0,"","","w w w w w w w w Twt w, w w w w, w w w w w w w:"
1039,14,0,"","","w w w w w: w w w w w, Tw wt w w."
1040,50,0,"","","w Tw wt w w, w Tw w wt w w; w w w w w w w w w w w w; w w w w w w w w w, w w w w w w w w w w w; w w w w w w w,"
1041,35,0,"","","(w w w w, w w w w w w w w w,) w w w w w, Twt w, w w w w, w w w w w w w w w w w."
1042,26,0,"","","w w w w w w, w w w w w w w w w; w w w w w w, w w w w w."
1043,29,0,"","","w w w w w w, w w w w w w w w, w w w w w w w w, w w w w w w w:"
1044,19,0,"","","w w w w w w w w w w; w w w w w, w w w w;"
1045,15,0,"","","w w w w w, w w w w, w w w w w w."
1046,9,0,"","","w w w w w w w w w."
1047,15,0,"","","w w w w w w w w w, w w w w w w;"
1048,24,0,"","","w w w w, w w w w w w, w w w w w w w w w w w w w w;"
1049,13,0,"","","w w w w w w, w w w w w w w."
1281,15,0,"","","w w w w w, w w w w w w w w w w:"
1282,23,0,"","","w w w w w w w w w w w w w w, w w w w w w w w w."
1283,15,0,"","","w w w Twt, w w w w w w: w w w w w;"
1284,6,0,"","","w w, w; w w, w:"
1285,25,0,"","","w w w w w; w w w w w w w w w w w w w w w w w w w w."
1286,15,0,"","","w w w w w w w, w w w w w w w w."
1287,21,0,"","","w w w w w w w w w: w w w w w w w w w w w w."
1288,18,0,"","","w w w w w w w, w w, w w w w w, w w w w."
1289,17,0,"","","w w w, w w w w w w, w w w w w w w w."
1290,28,0,"","","w w, w w w w, w w w w w w w w w w w, w w, w w, w w w w w w w."
1291,23,0,"","","w w w Twt, w w w w w w w w w w w, w w w w w w w w."
1292,26,3,"","","w, w w w w w w w w w, w w w w; w w w w w w w, w w w w w:"
1293,19,0,"","","(w w w w w w w w w: w w w w w w w w w w."
1294,30,0,"","","w w w w w w w, w w w w w w w w w w w w w, w w w w w w w w w w."
1295,43,0,"","","w w w w w, w w Twt w w w. w w w w w w w w w w, w w w w w w, w w w w w, Tw wt w w w, w w, w w w w."
1296,31,0,"","","w w w Tw wt w w w w, Tw wt w w: w w w Twt w w w w, w w w w Twt w w w w w."
1297,32,0,"","","w w w w w w w w w w; w w w w w w w w w w w w w w w w w w w w, w w.)"
1298,32,0,"","","w w w w w w w Tw wt w w w w w; w w w w w w w Tw w w wt w w w w w w w."
1299,21,0,"","","w w w w w w w w w w, w w w w w w w w w w w."
1300,18,0,"","","w w w w, w w w w w. w w w w, w w w w w:"
1301,22,0,"","","w w w w w w w, w w w w w w w w w w w w w w w."
1537,14,0,"","","w w w w w? w w w w w, w w w w?"
1538,14,0,"","","w w. w w w, w w w w w, w w w w?"
1539,19,0,"","","w w w, w w w w w w w w w w w w w w w w?"
1540,36,0,"","","w w w w w w w w w w: w w w w w w w w w w w w w w w w, w w w w w w w w w w."
1541,23,0,"","","w w w w w w w w w w w w w, w w w w Tw w wt w Twt w:"
1542,25,0,"","","w w, w w w w w w w Twt, w w w w w w w w, w w w w w w w."
1543,9,0,"","","w w w w w w w w w."
1544,16,0,"","","w w w w w w w, w w w w w w w w w:"
1545,18,0,"","","w w w w w w w w w w w; w w w w w w w."
1546,19,0,"","","w w w w w, w w w w w: w w w w w, w w w w."
1547,20,0,"","","w w w w w w w w w w w, w w w w w w w w w."
1548,18,0,"","","w w w w w w w w w, w w w w w w w w w."
1549,33,0,"","","w w w w w Twt w w w w w: w w w w w, w w w w w w w w, w w w Twt w w w w w."
1550,18,0,"","","w w w w w w w w: w w w w w w w, w w w."
1551,17,0,"","","w w? w w w, w w w w w w w, w w w? w w."
1552,30,0,"","","w w w, w w w w w w w w w, w w w w w w w w; w w w w w, w w w w w?"
1553,26,0,"","","w w w w, w w w w w w w, w w w w w w w w w w w w w w w."
1554,12,0,"","","w w w w w w, w w w w w w."
1555,40,0,"","","w w w w w w w w w w w w w w: w w w w w w w w w w w w w w w; w w w w w w w w w w w."
1556,13,0,"","","w w w w w w w w, w w w w w."
1557,21,0,"","","w w w w w w w w w w w w w? w w w w w w Twt w."
1558,23,0,"","","w w w w w w w, w w w w w, w w w w w w, w w w w w."
1559,20,0,"","","w w w w w Twt w; w w w w w Twt w w w w w w w."
1793,27,0,"","","w w w, w, (w w w w w w w w w,) w w w w w w w w w w w w w w?"
1794,35,0,"","","w w w w w w w w w w w w w Twt w w w w w w; w w w w w w, w w w w w w w Twt w."
1795,44,0,"","","w w w, w Twt w w, w w w w w w, w w w w w w: w w w w w w, w w w w w w; w w w w w w, w w w w w w w."
1796,40,0,"","","w, w w, w w w w w w w w w w w w w; w w w w w w w, Twt w w w w w w w w, w w w w w w w w."
1797,27,0,"","","w w w w w w w, w w w w, w w w w w, w w w w w w w w w w w."
1798,31,0,"","","w w w w w w w w, w w w w w w w; w w w w w w w w, w w Twt w w w w w."
1799,36,3,"","","w w w w w? Twt w w w? w w. w, w w w w w, w w w w: w w w w w w, w w w w w, w w w w."
1800,21,0,"","","w w, w w w w w, w w w w w w w. w w w w w Twt w."
1801,18,0,"","","w w w w w w w w: w w w w w, w w, w w w."
1802,14,0,"","","w w w, w Tw wt w w, w w Tw wt w w."
1803,14,0,"","","w w, w w w w w, w w, w w w w Twt."
1804,13,0,"","","w w w Twt w, w w w w, w w, w w."
1805,37,0,"","","w w w w w w w w w w? w w. w w, w w w w w, w w w w w w w w w; w w w w w w w w w."
1806,15,0,"","","w w w w w w w w: w w w w, w w w."
1807,23,0,"","","w w w w w w w w: w w w w, w w w w; w w w w, w w w."
1808,18,0,"","","w w w w w w w w w, w w w w w w Tw wt w."
1809,16,0,"","","w w w w w w w w w w, w w w w w w."
1810,33,0,"","","w w w w w w (w w, w w w,) w w w w: w w w w w w w; w Twt w w w w w w w w w."
1811,19,0,"","","w w w w w w w w w: w w w w w w w, w w w."
1812,22,0,"","","w w w w w w w w, w w w w w w w w, w w w w w w."
1813,16,0,"","","w w w w w, w, w w w w w, w w w w w."
1814,12,0,"","","w w w w w w w w w w w w:"
1815,30,0,"","","w w w w w w w w, w w w w w w w, w w w w w w w w w w w w w w w."
1816,16,0,"","","w w w w w w! w w w w w w w w w w?"
1817,28,0,"","","w w w w w w w w. w w w w w w w w w w w w; w w w w w w w w."
2049,23,0,"","","Tw wt w w w w w w w w w w w, w w w w w w, w w w w."
2050,22,0,"","","w w w w w w w w w w w w w w w w w w w w w w."
2051,34,0,"","","w w w w w w w, w w w w w w w w, w w w w w w w w w w w, w w w, w w w w w:"
