ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,18,0,"","","w, w Tw wt w w w w w w w w w w, w w Twt w,"
258,40,0,"","","w w w w w w w w w, w w w w w w w w, w Tw wt w, w w w w w w w w w w w w w w w, w w w w:"
259,16,0,"","","w Twt w w, w w, w w w w, w Twt w w w w."
260,20,3,"","","w w w w w w w w, w w w w w w w w w w w w;"
261,16,0,"","","w w w w w w w w w, w w w, w Twt w w;"
262,10,0,"","","w w w w w w w w w w:"
263,17,0,"","","w w w w w w w w; w w w w w w w w w:"
264,21,0,"","","w w w w w w w w, Tw w w wt w w w w w w w w w."
265,18,0,"","","w Twt w, w w w w w w w w w w w w w w w."
266,44,3,"","","w w w w, w, w w w w w w w w, w w w w w w w, w Twt w w w w w w; w Twt w w w w w w w w w w w w w w."
267,26,0,"","","w w w w w w w w w, w w, w w Tw w w w wt w w, w w w w w w."
268,26,0,"","","w w w w, w w w w w w, w w w w; w w w w; w w w w; w w w w."
269,17,0,"","","w w w? w w w w w? w w w w w w w w w?"
270,13,0,"","","w w w w w w w w w, w w w w;"
271,12,0,"","","w w w w w w w w w w w w."
272,17,0,"","","w w w w w w w w: w, w w w w w w w w."
273,28,0,"","","w w w w w w w, w w w w w: w w w w w, w w w w w w w w w w w."
274,24,3,"","","w w w w w w w w w w w w; w w w w w w w w w w w w."
275,22,0,"","","w w w w, w w w w w w w w, w w w w w w w w w w."
276,25,0,"","","w Twt w w? w Twt w w? w Twt w w w w w? w w w w w w w w w w?"
277,28,0,"","","w w w w w w w w w w w w w w w, w w w w w w w w w w w w w."
278,12,0,"","","w w w w w w, w w w w w w:"
279,15,0,"","","w w w w w, w w w w w, w w w w w;"
280,20,0,"","","w w w w w w, w w w w, w w w w w, w w w w w."
281,18,0,"","","w w w w w w w w w; w w w w w w w w w."
282,23,0,"","","w w w w w, w, w w w w w w w w w, w w w, w w w, Tw wt:"
283,31,0,"","","w w w w w w w w w w w w w w; w w w w w w w w w w w w w w w w w;"
284,27,0,"","","w w w w w w, w w w w w, w w w, Twt, w w w w w, w w w w w w w:"
285,8,0,"","","w w w w w w w w."
286,22,0,"","","w w w w w w w w, w w w w w w w w, w w, w w, w w:"
287,15,0,"","","w, w w w w w, w w w, w w w w w w."
513,24,0,"","","w w, w, w w w w w, w w w w w w w w w, w w w w w w w."
514,16,0,"","","w w w w w w w w w w, w w w, w w w."
515,14,0,"","","w w w w w w w, w w w, w w w w."
516,23,0,"","","w w w w w w Twt w w w w w w w, w w w w w w w w w:"
517,17,0,"","","w w w w w w w w w w w, w w w w w w."
518,27,0,"","","w w w w w w w w w: w w w w w w w, w w w w w w w, w w w w:"
519,23,0,"","","w w w w w w w w w w, Twt w w Twt, w w w w w w w w w:"
520,23,0,"","","w w w w w w w w w: w w w w Twt, w w w w w w w w w."
521,31,0,"","","w w w w w, w w w w, w w w, w w w w w w w w, w w w w w w w w w w w."
522,22,0,"","","w w w w Twt w w w w w: w w w w w w, w, w w w w w."
523,32,0,"","","w w w w w w w w w, w w w w w w w w w? w w w w w w w w w, w w w w w."
524,31,0,"","","w w w w, w w w w w w, w w w w w w w; w w w w w w w w w w w w w w."
525,24,0,"","","w w w w w, w w w w w w w w, w w w w w w; w w w w w."
526,29,0,"","","w w w w w w w w w w w w w: w w w w w w: w w w w Twt, w w w w w."
527,16,0,"","","w w w w w w w w, w w w w w w w w."
528,21,0,"","","w w w w w w w w w, w w w w w? w w w w w w w."
769,21,0,"","","w w, w, w w w w w w w w, w w w w, Twt w w w w w."
770,25,0,"","","w w w w w w, w w w w: w w w w w w Tw w wt, w w w w w w."
771,24,3,"","","w w w w w: w w Tw wt w w w, w w, w w, w w w w, w w w w?"
772,18,0,"","","w w w w, w w w w; w w, w Twt w w; w w w w?"
773,22,0,"","","w w w w, w w Twt w, w w w w w w, w w w w w w w w?"
774,10,0,"","","w w w, w w; w w w w w."
775,19,0,"","","w w w w w w w w w, w w w w; w w w w w w."
776,23,0,"","","w w w w w w w w w w: w w w w w w w w w w w w w."
777,15,0,"","","w w w w w w w: w w w w, Tw wt w w."
778,34,0,"","","w w w w w w w w w w w, w w w w, w w w w w, w w w w. w w w w w w w w w w."
779,15,0,"","","w w w w w w w w w w w, w w w w."
780,15,0,"","","w w w w w w w w w, w, w w, w, w, w;"
781,33,0,"","","w w w w w w w: w w w w w w, w w w w w w w; w w w w w w w w w w w w w."
782,15,0,"","","w w w w w w w w w w, w w w w w."
783,22,0,"","","w w w w w w w, w w w w: w w w w w w; w w w w w."
784,19,0,"","","w w w w w w w w w w, w Twt w w w w w w w?"
785,23,0,"","","w w w w w w w w, w w w w; w w w w w w w, w Twt w w."
786,27,3,"","","w w w w w. w w w w w w w w w w w w, w w w w w, w w w w w."
787,22,0,"","","w w w w w w w w w w. w w w w, w w w w w w w w."
788,14,0,"","","w w, w w w w w w w w, w w w w."
789,12,0,"","","w w w w w w w. w w w w w;"
790,23,0,"","","w w, w w, w w, w w w, w w, w w, w w w, w w w w; w w w;"
791,8,0,"","","w w w w; w w Twt w."
1025,20,0,"","","w w w w w w w, w w w w w w, w w w w w w w."
1026,12,0,"","","w w w w w w, w w w w w w."
1027,27,0,"","","w w w w w w w w w w w w w w w w, w w w w: w, w w w w w w."
1028,20,0,"","","w w w w w w; w w w w w w: w w w w w w w w."
1029,39,0,"","","w w w w w w, w w w w, w w w w w w w w w w w, w w w w w w w w w: w w w w w w w w w."
1030,46,0,"","","w w w, w, w w w w w w w w w Twt w w w w; w w w w w w w w w Tw wt w w w w w, w w w w w w w w w w w w."
1031,34,0,"","","w w w w w w Tw wt? w w w w w w w w w? w w w w w Twt, w w w w, w w w w w w Twt?"
