ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,33,0,"Paul, an apostle of Jesus Christ by the will of God, and Timothy our brother, unto the church of God which is at Corinth, with all the saints which are in all Achaia:","Paul, an apostle of Jesus Christ by the will of God, and Timothy <i>our</i> brother, unto the church of God which is at Corinth, with all the saints which are in all Achaia:",""
258,16,0,"Grace be to you and peace from God our Father, and from the Lord Jesus Christ.","Grace <i>be</i> to you and peace from God our Father, and <i>from</i> the Lord Jesus Christ.",""
259,21,0,"Blessed be God, even the Father of our Lord Jesus Christ, the Father of mercies, and the God of all comfort;","Blessed <i>be</i> God, even the Father of our Lord Jesus Christ, the Father of mercies, and the God of all comfort;",""
260,30,0,"Who comforteth us in all our tribulation, that we may be able to comfort them which are in any trouble, by the comfort wherewith we ourselves are comforted of God.","Who comforteth us in all our tribulation, that we may be able to comfort them which are in any trouble, by the comfort wherewith we ourselves are comforted of God.",""
261,16,0,"For as the sufferings of Christ abound in us, so our consolation also aboundeth by Christ.","For as the sufferings of Christ abound in us, so our consolation also aboundeth by Christ.",""
262,38,0,"And whether we be afflicted, it is for your consolation and salvation, which is effectual in the enduring of the same sufferings which we also suffer: or whether we be comforted, it is for your consolation and salvation.","And whether we be afflicted, <i>it is</i> for your consolation and salvation, which is effectual in the enduring of the same sufferings which we also suffer: or whether we be comforted, <i>it is</i> for your consolation and salvation.",""
263,24,0,"And our hope of you is stedfast, knowing, that as ye are partakers of the sufferings, so shall ye be also of the consolation.","And our hope of you <i>is</i> stedfast, knowing, that as ye are partakers of the sufferings, so <i>shall ye be</i> also of the consolation.",""
264,33,0,"For we would not, brethren, have you ignorant of our trouble which came to us in Asia, that we were pressed out of measure, above strength, insomuch that we despaired even of life:","For we would not, brethren, have you ignorant of our trouble which came to us in Asia, that we were pressed out of measure, above strength, insomuch that we despaired even of life:",""
265,23,0,"But we had the sentence of death in ourselves, that we should not trust in ourselves, but in God which raiseth the dead:","But we had the sentence of death in ourselves, that we should not trust in ourselves, but in God which raiseth the dead:",""
266,21,0,"Who delivered us from so great a death, and doth deliver: in whom we trust that he will yet deliver us; ","Who delivered us from so great a death, and doth deliver: in whom we trust that he will yet deliver <i>us</i>; ",""
267,30,0,"Ye also helping together by prayer for us, that for the gift bestowed upon us by the means of many persons thanks may be given by many on our behalf.","Ye also helping together by prayer for us, that for the gift <i>bestowed</i> upon us by the means of many persons thanks may be given by many on our behalf.",""
268,39,1,"For our rejoicing is this, the testimony of our conscience, that in simplicity and godly sincerity, not with fleshly wisdom, but by the grace of God, we have had our conversation in the world, and more abundantly to you-ward.","¶For our rejoicing is this, the testimony of our conscience, that in simplicity and godly sincerity, not with fleshly wisdom, but by the grace of God, we have had our conversation in the world, and more abundantly to you-ward.",""
269,24,0,"For we write none other things unto you, than what ye read or acknowledge; and I trust ye shall acknowledge even to the end;","For we write none other things unto you, than what ye read or acknowledge; and I trust ye shall acknowledge even to the end;",""
270,26,0,"As also ye have acknowledged us in part, that we are your rejoicing, even as ye also are ours in the day of the Lord Jesus.","As also ye have acknowledged us in part, that we are your rejoicing, even as ye also <i>are</i> ours in the day of the Lord Jesus.",""
271,19,1,"And in this confidence I was minded to come unto you before, that ye might have a second benefit;","¶And in this confidence I was minded to come unto you before, that ye might have a second benefit;",""
272,27,0,"And to pass by you into Macedonia, and to come again out of Macedonia unto you, and of you to be brought on my way toward Judaea.","And to pass by you into Macedonia, and to come again out of Macedonia unto you, and of you to be brought on my way toward Judaea.",""
273,34,0,"When I therefore was thus minded, did I use lightness? or the things that I purpose, do I purpose according to the flesh, that with me there should be yea yea, and nay nay?","When I therefore was thus minded, did I use lightness? or the things that I purpose, do I purpose according to the flesh, that with me there should be yea yea, and nay nay?",""
274,14,0,"But as God is true, our word toward you was not yea and nay.","But <i>as</i> God <i>is</i> true, our word toward you was not yea and nay.",""
275,31,0,"For the Son of God, Jesus Christ, who was preached among you by us, even by me and Silvanus and Timotheus, was not yea and nay, but in him was yea.","For the Son of God, Jesus Christ, who was preached among you by us, <i>even</i> by me and Silvanus and Timotheus, was not yea and nay, but in him was yea.",""
276,21,0,"For all the promises of God in him are yea, and in him Amen, unto the glory of God by us.","For all the promises of God in him <i>are</i> yea, and in him Amen, unto the glory of God by us.",""
277,15,0,"Now he which stablisheth us with you in Christ, and hath anointed us, is God;","Now he which stablisheth us with you in Christ, and hath anointed us, <i>is</i> God;",""
278,15,0,"Who hath also sealed us, and given the earnest of the Spirit in our hearts.","Who hath also sealed us, and given the earnest of the Spirit in our hearts.",""
279,21,0,"Moreover I call God for a record upon my soul, that to spare you I came not as yet unto Corinth.","Moreover I call God for a record upon my soul, that to spare you I came not as yet unto Corinth.",""
280,20,0,"Not for that we have dominion over your faith, but are helpers of your joy: for by faith ye stand.","Not for that we have dominion over your faith, but are helpers of your joy: for by faith ye stand.",""
513,16,0,"But I determined this with myself, that I would not come again to you in heaviness.","But I determined this with myself, that I would not come again to you in heaviness.",""
514,23,0,"For if I make you sorry, who is he then that maketh me glad, but the same which is made sorry by me?","For if I make you sorry, who is he then that maketh me glad, but the same which is made sorry by me?",""
515,37,0,"And I wrote this same unto you, lest, when I came, I should have sorrow from them of whom I ought to rejoice; having confidence in you all, that my joy is the joy of you all.","And I wrote this same unto you, lest, when I came, I should have sorrow from them of whom I ought to rejoice; having confidence in you all, that my joy is <i>the joy</i> of you all.",""
516,36,0,"For out of much affliction and anguish of heart I wrote unto you with many tears; not that ye should be grieved, but that ye might know the love which I have more abundantly unto you.","For out of much affliction and anguish of heart I wrote unto you with many tears; not that ye should be grieved, but that ye might know the love which I have more abundantly unto you.",""
517,21,0,"But if any have caused grief, he hath not grieved me, but in part: that I may not overcharge you all.","But if any have caused grief, he hath not grieved me, but in part: that I may not overcharge you all.",""
518,13,0,"Sufficient to such a man is this punishment, which was inflicted of many.","Sufficient to such a man <i>is</i> this punishment, which <i>was inflicted</i> of many.",""
519,24,0,"So that contrariwise ye ought rather to forgive him, and comfort him, lest perhaps such a one should be swallowed up with overmuch sorrow.","So that contrariwise ye <i>ought</i> rather to forgive <i>him</i>, and comfort <i>him</i>, lest perhaps such a one should be swallowed up with overmuch sorrow.",""
520,12,0,"Wherefore I beseech you that ye would confirm your love toward him.","Wherefore I beseech you that ye would confirm <i>your</i> love toward him.",""
521,23,0,"For to this end also did I write, that I might know the proof of you, whether ye be obedient in all things.","For to this end also did I write, that I might know the proof of you, whether ye be obedient in all things.",""
522,31,0,"To whom ye forgive any thing, I forgive also: for if I forgave any thing, to whom I forgave it, for your sakes forgave I it in the person of Christ;","To whom ye forgive any thing, I <i>forgive</i> also: for if I forgave any thing, to whom I forgave <i>it</i>, for your sakes <i>forgave I it</i> in the person of Christ;",""
523,16,0,"Lest Satan should get an advantage of us: for we are not ignorant of his devices.","Lest Satan should get an advantage of us: for we are not ignorant of his devices.",""
524,20,0,"Furthermore, when I came to Troas to preach Christ's gospel, and a door was opened unto me of the Lord,","Furthermore, when I came to Troas to <i>preach</i> Christ's gospel, and a door was opened unto me of the Lord,",""
525,26,0,"I had no rest in my spirit, because I found not Titus my brother: but taking my leave of them, I went from thence into Macedonia.","I had no rest in my spirit, because I found not Titus my brother: but taking my leave of them, I went from thence into Macedonia.",""
526,26,0,"Now thanks be unto God, which always causeth us to triumph in Christ, and maketh manifest the savour of his knowledge by us in every place.","Now thanks <i>be</i> unto God, which always causeth us to triumph in Christ, and maketh manifest the savour of his knowledge by us in every place.",""
527,20,0,"For we are unto God a sweet savour of Christ, in them that are saved, and in them that perish:","For we are unto God a sweet savour of Christ, in them that are saved, and in them that perish:",""
528,28,0,"To the one we are the savour of death unto death; and to the other the savour of life unto life. And who is sufficient for these things?","To the one <i>we are</i> the savour of death unto death; and to the other the savour of life unto life. And who <i>is</i> sufficient for these things?",""
529,29,0,"For we are not as many, which corrupt the word of God: but as of sincerity, but as of God, in the sight of God speak we in Christ.","For we are not as many, which corrupt the word of God: but as of sincerity, but as of God, in the sight of God speak we in Christ.",""
769,24,0,"Do we begin again to commend ourselves? or need we, as some others, epistles of commendation to you, or letters of commendation from you?","Do we begin again to commend ourselves? or need we, as some <i>others</i>, epistles of commendation to you, or <i>letters</i> of commendation from you?",""
770,14,0,"Ye are our epistle written in our hearts, known and read of all men:","Ye are our epistle written in our hearts, known and read of all men:",""
771,39,0,"Forasmuch as ye are manifestly declared to be the epistle of Christ ministered by us, written not with ink, but with the Spirit of the living God; not in tables of stone, but in fleshy tables of the heart.","<i>Forasmuch as ye are</i> manifestly declared to be the epistle of Christ ministered by us, written not with ink, but with the Spirit of the living God; not in tables of stone, but in fleshy tables of the heart.",""
772,9,1,"And such trust have we through Christ to God-ward:","¶And such trust have we through Christ to God-ward:",""
773,20,0,"Not that we are sufficient of ourselves to think any thing as of ourselves; but our sufficiency is of God;","Not that we are sufficient of ourselves to think any thing as of ourselves; but our sufficiency <i>is</i> of God;",""
774,28,0,"Who also hath made us able ministers of the new testament; not of the letter, but of the spirit: for the letter killeth, but the spirit giveth life.","Who also hath made us able ministers of the new testament; not of the letter, but of the spirit: for the letter killeth, but the spirit giveth life.",""
775,40,0,"But if the ministration of death, written and engraven in stones, was glorious, so that the children of Israel could not stedfastly behold the face of Moses for the glory of his countenance; which glory was to be done away:","But if the ministration of death, written <i>and</i> engraven in stones, was glorious, so that the children of Israel could not stedfastly behold the face of Moses for the glory of his countenance; which <i>glory</i> was to be done away:",""
776,11,0,"How shall not the ministration of the spirit be rather glorious?","How shall not the ministration of the spirit be rather glorious?",""
777,18,0,"For if the ministration of condemnation be glory, much more doth the ministration of righteousness exceed in glory.","For if the ministration of condemnation <i>be</i> glory, much more doth the ministration of righteousness exceed in glory.",""
778,20,0,"For even that which was made glorious had no glory in this respect, by reason of the glory that excelleth.","For even that which was made glorious had no glory in this respect, by reason of the glory that excelleth.",""
779,16,0,"For if that which is done away was glorious, much more that which remaineth is glorious.","For if that which is done away <i>was</i> glorious, much more that which remaineth <i>is</i> glorious.",""
780,13,0,"Seeing then that we have such hope, we use great plainness of speech:","Seeing then that we have such hope, we use great plainness of speech:",""
781,28,0,"And not as Moses, which put a vail over his face, that the children of Israel could not stedfastly look to the end of that which is abolished:","And not as Moses, <i>which</i> put a vail over his face, that the children of Israel could not stedfastly look to the end of that which is abolished:",""
782,29,0,"But their minds were blinded: for until this day remaineth the same vail untaken away in the reading of the old testament; which vail is done away in Christ.","But their minds were blinded: for until this day remaineth the same vail untaken away in the reading of the old testament; which <i>vail</i> is done away in Christ.",""
783,15,0,"But even unto this day, when Moses is read, the vail is upon their heart.","But even unto this day, when Moses is read, the vail is upon their heart.",""
784,14,0,"Nevertheless when it shall turn to the Lord, the vail shall be taken away.","Nevertheless when it shall turn to the Lord, the vail shall be taken away.",""
785,17,0,"Now the Lord is that Spirit: and where the Spirit of the Lord is, there is liberty.","Now the Lord is that Spirit: and where the Spirit of the Lord <i>is</i>, there <i>is</i> liberty.",""
786,34,0,"But we all, with open face beholding as in a glass the glory of the Lord, are changed into the same image from glory to glory, even as by the Spirit of the Lord.","But we all, with open face beholding as in a glass the glory of the Lord, are changed into the same image from glory to glory, <i>even</i> as by the Spirit of the Lord.",""
1025,14,0,"Therefore seeing we have this ministry, as we have received mercy, we faint not;","Therefore seeing we have this ministry, as we have received mercy, we faint not;",""
1026,36,0,"But have renounced the hidden things of dishonesty, not walking in craftiness, nor handling the word of God deceitfully; but by manifestation of the truth commending ourselves to every man's conscience in the sight of God.","But have renounced the hidden things of dishonesty, not walking in craftiness, nor handling the word of God deceitfully; but by manifestation of the truth commending ourselves to every man's conscience in the sight of God.",""
1027,14,0,"But if our gospel be hid, it is hid to them that are lost:","But if our gospel be hid, it is hid to them that are lost:",""
1028,35,0,"In whom the god of this world hath blinded the minds of them which believe not, lest the light of the glorious gospel of Christ, who is the image of God, should shine unto them.","In whom the god of this world hath blinded the minds of them which believe not, lest the light of the glorious gospel of Christ, who is the image of God, should shine unto them.",""
1029,17,0,"For we preach not ourselves, but Christ Jesus the Lord; and ourselves your servants for Jesus' sake.","For we preach not ourselves, but Christ Jesus the Lord; and ourselves your servants for Jesus' sake.",""
1030,34,0,"For God, who commanded the light to shine out of darkness, hath shined in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ.","For God, who commanded the light to shine out of darkness, hath shined in our hearts, to <i>give</i> the light of the knowledge of the glory of God in the face of Jesus Christ.",""
1031,22,1,"But we have this treasure in earthen vessels, that the excellency of the power may be of God, and not of us.","¶But we have this treasure in earthen vessels, that the excellency of the power may be of God, and not of us.",""
1032,16,0,"We are troubled on every side, yet not distressed; we are perplexed, but not in despair;","<i>We are</i> troubled on every side, yet not distressed; <i>we are</i> perplexed, but not in despair;",""
1033,9,0,"Persecuted, but not forsaken; cast down, but not destroyed;","Persecuted, but not forsaken; cast down, but not destroyed;",""
1034,25,0,"Always bearing about in the body the dying of the Lord Jesus, that the life also of Jesus might be made manifest in our body.","Always bearing about in the body the dying of the Lord Jesus, that the life also of Jesus might be made manifest in our body.",""
1035,26,0,"For we which live are alway delivered unto death for Jesus' sake, that the life also of Jesus might be made manifest in our mortal flesh.","For we which live are alway delivered unto death for Jesus' sake, that the life also of Jesus might be made manifest in our mortal flesh.",""
1036,10,0,"So then death worketh in us, but life in you.","So then death worketh in us, but life in you.",""
1037,25,0,"We having the same spirit of faith, according as it is written, I believed, and therefore have I spoken; we also believe, and therefore speak;","We having the same spirit of faith, according as it is written, I believed, and therefore have I spoken; we also believe, and therefore speak;",""
