ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,23,0,"Paul, an apostle, (not of men, neither by man, but by Jesus Christ, and God the Father, who raised him from the dead;)","Paul, an apostle, (not of men, neither by man, but by Jesus Christ, and God the Father, who raised him from the dead;)",""
258,13,0,"And all the brethren which are with me, unto the churches of Galatia:","And all the brethren which are with me, unto the churches of Galatia:",""
259,16,0,"Grace be to you and peace from God the Father, and from our Lord Jesus Christ,","Grace <i>be</i> to you and peace from God the Father, and <i>from</i> our Lord Jesus Christ,",""
260,25,0,"Who gave himself for our sins, that he might deliver us from this present evil world, according to the will of God and our Father:","Who gave himself for our sins, that he might deliver us from this present evil world, according to the will of God and our Father:",""
261,9,0,"To whom be glory for ever and ever. Amen.","To whom <i>be</i> glory for ever and ever. Amen.",""
262,21,1,"I marvel that ye are so soon removed from him that called you into the grace of Christ unto another gospel:","¶I marvel that ye are so soon removed from him that called you into the grace of Christ unto another gospel:",""
263,18,0,"Which is not another; but there be some that trouble you, and would pervert the gospel of Christ.","Which is not another; but there be some that trouble you, and would pervert the gospel of Christ.",""
264,26,0,"But though we, or an angel from heaven, preach any other gospel unto you than that which we have preached unto you, let him be accursed.","But though we, or an angel from heaven, preach any other gospel unto you than that which we have preached unto you, let him be accursed.",""
265,27,0,"As we said before, so say I now again, If any man preach any other gospel unto you than that ye have received, let him be accursed.","As we said before, so say I now again, If any <i>man</i> preach any other gospel unto you than that ye have received, let him be accursed.",""
266,29,1,"For do I now persuade men, or God? or do I seek to please men? for if I yet pleased men, I should not be the servant of Christ.","¶For do I now persuade men, or God? or do I seek to please men? for if I yet pleased men, I should not be the servant of Christ.",""
267,17,0,"But I certify you, brethren, that the gospel which was preached of me is not after man.","But I certify you, brethren, that the gospel which was preached of me is not after man.",""
268,19,0,"For I neither received it of man, neither was I taught it, but by the revelation of Jesus Christ.","For I neither received it of man, neither was I taught <i>it</i>, but by the revelation of Jesus Christ.",""
269,27,0,"For ye have heard of my conversation in time past in the Jews' religion, how that beyond measure I persecuted the church of God, and wasted it:","For ye have heard of my conversation in time past in the Jews' religion, how that beyond measure I persecuted the church of God, and wasted it:",""
270,24,0,"And profited in the Jews' religion above many my equals in mine own nation, being more exceedingly zealous of the traditions of my fathers.","And profited in the Jews' religion above many my equals in mine own nation, being more exceedingly zealous of the traditions of my fathers.",""
271,18,0,"But when it pleased God, who separated me from my mother's womb, and called me by his grace,","But when it pleased God, who separated me from my mother's womb, and called <i>me</i> by his grace,",""
