ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,25,0,"","","w, w w w w w w w w w w, w w w w w w w, w w w w w w w:"
258,16,0,"","","w Twt w w, w w, w w w w, w Twt w w w w."
259,24,3,"","","w Twt w w w w w w w w w, w w w w w w w w w w Twt w w:"
260,26,0,"","","w w w w w w w w w w w w w w, w w w w w w w w w w w w:"
261,21,0,"","","w w w w w w w w w w w w w, w w w w w w w w,"
262,18,0,"","","w w w w w w w w w, w w w w w w w w w."
263,19,0,"","","w w w w w w w w, w w w w, w w w w w w w;"
264,11,0,"","","w w w w w w w w w w w;"
265,21,0,"","","w w w w w w w w w w, w w w w w w w w w w w:"
266,32,0,"","","w w w w w w w w w w w w w w w w w w w, w w w w w, w w w w w; Twt w w:"
267,27,0,"","","w w w w w w w w, w w w w w w w w w w w w w w w w w w w:"
268,15,0,"","","w w w w w w w w w w, w w w w w."
269,34,0,"","","w w w w Twt, w w w w w w w w, w w w w w: w w w w w w w, w w w w w w w w w,"
270,20,0,"","","w w w w w w w w w w w w w w, w w w w w w."
271,19,3,"","","w w w, w w w w w w w w w w, w w w w w w,"
272,14,0,"","","w w w w w w w, w w w w w w w;"
273,27,0,"","","w w w w w w w w, w w w w, w w w w w w w w w w w w w w w:"
274,31,0,"","","w w w w w w w; w w w w w w w w w w w, w w w w w w w w w w w w w,"
275,21,0,"","","w w Twt w w w w w w w w w w, w w w w w w w w,"
276,24,0,"","","w w w w w, w w w w w w w, w w Twt w w w w w w w w Twt,"
277,29,0,"","","w w w w, w w, w w, w w, w w w w w w, w w w w w, w w w w w w w w:"
278,21,0,"","","w w w w Twt w w w, w w w Tw wt w w w w Twt w w w,"
279,13,0,"","","w w w w, w w w w w w w w w."
513,12,0,"","","w w Tw w wt, w w w w w w w;"
514,33,0,"","","w w w w w w w w w w w w w, w w w w w w w w w w, w w w w w w w w w w:"
515,38,0,"","","w w w w w w w w w w w w w w w w w, w w w w w w w w w w; w w w w w w w w, w w w."
516,15,0,"","","w w, w w w w w, w w w w w w w w,"
517,18,0,"","","w w w w w w w, w w w w w w, (w w w w w;)"
518,17,0,"","","w w w Twt w w, w w Twt w w w w Twt w w w:"
519,23,0,"","","w w w w w w w w w w w w w w w w Twt w w w w w w."
