ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,24,0,"Paul and Timotheus, the servants of Jesus Christ, to all the saints in Christ Jesus which are at Philippi, with the bishops and deacons:","Paul and Timotheus, the servants of Jesus Christ, to all the saints in Christ Jesus which are at Philippi, with the bishops and deacons:"
258,16,0,"Grace be unto you, and peace, from God our Father, and from the Lord Jesus Christ.","Grace <i>be</i> unto you, and peace, from God our Father, and <i>from</i> the Lord Jesus Christ."
259,9,0,"I thank my God upon every remembrance of you,","I thank my God upon every remembrance of you,"
260,13,0,"Always in every prayer of mine for you all making request with joy,","Always in every prayer of mine for you all making request with joy,"
261,12,0,"For your fellowship in the gospel from the first day until now;","For your fellowship in the gospel from the first day until now;"
262,25,0,"Being confident of this very thing, that he which hath begun a good work in you will perform it until the day of Jesus Christ:","Being confident of this very thing, that he which hath begun a good work in you will perform <i>it</i> until the day of Jesus Christ:"
263,42,0,"Even as it is meet for me to think this of you all, because I have you in my heart; inasmuch as both in my bonds, and in the defence and confirmation of the gospel, ye all are partakers of my grace.","Even as it is meet for me to think this of you all, because I have you in my heart; inasmuch as both in my bonds, and in the defence and confirmation of the gospel, ye all are partakers of my grace."
264,18,0,"For God is my record, how greatly I long after you all in the bowels of Jesus Christ.","For God is my record, how greatly I long after you all in the bowels of Jesus Christ."
265,19,0,"And this I pray, that your love may abound yet more and more in knowledge and in all judgment;","And this I pray, that your love may abound yet more and more in knowledge and <i>in</i> all judgment;"
266,21,0,"That ye may approve things that are excellent; that ye may be sincere and without offence till the day of Christ;","That ye may approve things that are excellent; that ye may be sincere and without offence till the day of Christ;"
267,19,0,"Being filled with the fruits of righteousness, which are by Jesus Christ, unto the glory and praise of God.","Being filled with the fruits of righteousness, which are by Jesus Christ, unto the glory and praise of God."
268,24,1,"But I would ye should understand, brethren, that the things which happened unto me have fallen out rather unto the furtherance of the gospel;","¶But I would ye should understand, brethren, that the things <i>which happened</i> unto me have fallen out rather unto the furtherance of the gospel;"
269,17,0,"So that my bonds in Christ are manifest in all the palace, and in all other places; ","So that my bonds in Christ are manifest in all the palace, and in all other <i>places</i>; "
270,23,0,"And many of the brethren in the Lord, waxing confident by my bonds, are much more bold to speak the word without fear.","And many of the brethren in the Lord, waxing confident by my bonds, are much more bold to speak the word without fear."
271,15,0,"Some indeed preach Christ even of envy and strife; and some also of good will:","Some indeed preach Christ even of envy and strife; and some also of good will:"
272,15,0,"The one preach Christ of contention, not sincerely, supposing to add affliction to my bonds:","The one preach Christ of contention, not sincerely, supposing to add affliction to my bonds:"
273,16,0,"But the other of love, knowing that I am set for the defence of the gospel.","But the other of love, knowing that I am set for the defence of the gospel."
274,23,0,"What then? notwithstanding, every way, whether in pretence, or in truth, Christ is preached; and I therein do rejoice, yea, and will rejoice.","What then? notwithstanding, every way, whether in pretence, or in truth, Christ is preached; and I therein do rejoice, yea, and will rejoice."
275,22,0,"For I know that this shall turn to my salvation through your prayer, and the supply of the Spirit of Jesus Christ,","For I know that this shall turn to my salvation through your prayer, and the supply of the Spirit of Jesus Christ,"
276,40,0,"According to my earnest expectation and my hope, that in nothing I shall be ashamed, but that with all boldness, as always, so now also Christ shall be magnified in my body, whether it be by life, or by death.","According to my earnest expectation and <i>my</i> hope, that in nothing I shall be ashamed, but <i>that</i> with all boldness, as always, <i>so</i> now also Christ shall be magnified in my body, whether <i>it be</i> by life, or by death."
277,12,0,"For to me to live is Christ, and to die is gain.","For to me to live <i>is</i> Christ, and to die <i>is</i> gain."
278,22,0,"But if I live in the flesh, this is the fruit of my labour: yet what I shall choose I wot not.","But if I live in the flesh, this <i>is</i> the fruit of my labour: yet what I shall choose I wot not."
279,22,0,"For I am in a strait betwixt two, having a desire to depart, and to be with Christ; which is far better:","For I am in a strait betwixt two, having a desire to depart, and to be with Christ; which is far better:"
280,11,0,"Nevertheless to abide in the flesh is more needful for you.","Nevertheless to abide in the flesh <i>is</i> more needful for you."
281,22,0,"And having this confidence, I know that I shall abide and continue with you all for your furtherance and joy of faith;","And having this confidence, I know that I shall abide and continue with you all for your furtherance and joy of faith;"
282,18,0,"That your rejoicing may be more abundant in Jesus Christ for me by my coming to you again.","That your rejoicing may be more abundant in Jesus Christ for me by my coming to you again."
283,47,0,"Only let your conversation be as it becometh the gospel of Christ: that whether I come and see you, or else be absent, I may hear of your affairs, that ye stand fast in one spirit, with one mind striving together for the faith of the gospel;","Only let your conversation be as it becometh the gospel of Christ: that whether I come and see you, or else be absent, I may hear of your affairs, that ye stand fast in one spirit, with one mind striving together for the faith of the gospel;"
284,25,0,"And in nothing terrified by your adversaries: which is to them an evident token of perdition, but to you of salvation, and that of God.","And in nothing terrified by your adversaries: which is to them an evident token of perdition, but to you of salvation, and that of God."
