ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,15,0,"","","w, w w w w w w w w w w, w w Twt w,"
258,27,0,"","","w w w w w w w w w w w w: w Twt w w, w w, w w w w w w w w w."
259,17,0,"","","w w w w w w w w w w w w w, w w w w,"
260,20,0,"","","w w w w w w w w w, w w w w Tw w wt w w w w,"
261,24,0,"","","w w w w w w w w w w w, w w w w w w w w w w w w w;"
262,37,0,"","","w w w w w, w Tw wt w w w w; w w w w, w Tw wt w w w, w w w w w Tw wt, w w w w w w w w:"
263,18,0,"","","w w w w w w w w w, w w w w w w w w w;"
264,10,0,"","","w w w w w w w w w w."
265,38,0,"","","w w w w w, w w w w w Twt, w w w w w w w, w w w w w w w w w w w w w w w w w w w w;"
266,24,0,"","","w w w w w w w w w w w, w w w w w w, w w w w w w w;"
267,16,0,"","","w w w w, w w w w w, w w w w w w w;"
268,21,0,"","","w w w w w, w w w w w w w w w w w w w w w w:"
269,20,0,"","","w w w w w w w w w, w w w Twt w w w w w w w:"
270,13,0,"","","w w w w w w w w, Twt w w w w:"
271,13,0,"","","w w w w w w w w, w w w w w:"
272,38,0,"","","w w w w w w w, w w w w, w w w w w, w w w, w Tw wt w, w w, w w, w w: w w w w w w, w w w:"
273,12,0,"","","w w w w w w, w w w w w w."
274,28,0,"","","w w w w w w w w, w w: w w w w, w w w w w; w w w Twt w w w w w."
275,12,0,"","","w w w Tw wt w w w w w w w;"
276,32,0,"","","w, w w w w w w w w w, w w w w w w w w; w w, Tw wt, w Tw wt w w w, w w w w."
277,19,0,"","","w w, w w w w w w w Twt w w w w, w w w w w"
278,19,0,"","","w w w w w w w w, w w w w w w w w w w w:"
279,42,0,"","","w w w w w w w w w, w Twt w w w w w w w w w, w w w w, Twt w w w w w w w w w w; w w w w w w w;"
280,31,0,"","","w w w w w w w w, w w w w w w w w w w w w w w w w w w w, w w w w:"
281,25,0,"","","w w w w w w, w w w w w w w w w w w w w, w w w w w w;"
282,20,0,"","","Twt w w w w w w w w w w w, w w w w w w w w:"
283,28,0,"","","w w w w w w w Twt w w w w w w w w w w w; w w w w w, w w w w:"
284,23,0,"","","w w w, w w w, w w w w w w w; w w w w w w w w w w:"
285,14,0,"","","w w w w, w w w w w, w w w w w."
513,31,0,"","","w w w w w w w w w w w w w, w Twt w w w, w Twt w w w w w w w w w w w;"
514,36,0,"","","w w w w w w, w w w w w, w w w w w w w w w w, w w w w w w w w, w w w w, w w w;"
515,11,0,"","","w w w w w w w w w w w."
516,13,0,"","","w w w w, w w w w w w w w w."
517,29,0,"","","w w w w w w w w, w w w w w w w w, w w w w w, w w w w w w w w."
518,14,3,"","","w w w w w w w w w, Twt w w w w:"
519,20,0,"","","w w w w w w, w w w w w, w w w w w, w w w w."
520,26,0,"","","w w w w w w w w w w w, w w w w w, w w w w w w, w w w w."
521,11,0,"","","w w w w w w w w w w w."
522,15,0,"","","w w w w w w, w w w w w w w w w:"
523,28,0,"","","w w w w w w w w w w w w, w w w w w w w w w w w w w w w w:"
524,27,0,"","","w w w w w, w w w w w w Twt w w w w w w w w, w w w w w w w."
525,24,0,"","","w w, w w w w w w w w w w w, w w w w w w, w w w w w;"
526,27,0,"","","w w w w w w w w w w, w w w w w, w w w w w w w, w w w w w;"
527,18,0,"","","Twt w w w w w, w w w w w w w, w w w w w."
528,27,0,"","","w w w w w w w w, w w w, w w w w w w, w w w w w, w w w w Twt:"
529,14,0,"","","w w w w w w w w; w w w Twt w w."
530,32,0,"","","w w w w w w w w w w w w w w w w, w w w w w w w w w, w w w w w w w,"
531,26,0,"","","w w w w w, w w w w w w w w w w w w, w w w, w w w w w w."
532,25,3,"","","w w w w w w w w w w w w w, w, w w w w w w, w w w w w,"
533,6,0,"","","(w w; w w; w w;"
534,15,0,"","","w w w w w w w w;) w w w w w w w?"
535,28,0,"","","w w w w w w w w w w w, w w, w w w w w; w w w w w w w w w w."
769,22,0,"","","w w w w w w w, w w w w w w, w w w w w w w w w."
770,12,0,"","","w w w w w w, w w w w w w."
771,13,0,"","","w w w w, w w w w w w w w w."
772,17,0,"","","w w, Tw wt w w, w w, w w w w w w w w w."
773,20,3,"","","w w w w w w w w w; w, w, w w, w w, w w, w w w:"
774,14,0,"","","w w w w w w w w w w w w w w:"
775,13,0,"","","w w w w w w w w, w w w w w."
776,18,0,"","","w w w w w w w w; w, w, w, w, w w w w w w."
777,17,0,"","","w w w w w, w w w w w w w w w w w w;"
778,20,0,"","","w w w w w w Twt, w w w w w w w w w w w w w:"
779,22,0,"","","w w w w w w w, w w w, w, w, w Twt w: w w Twt w, w w w."
780,20,0,"","","w w w, w w w w w, w w w, w w w, w, w w w, w, w;"
781,24,0,"","","w w w, w w w w, w w w w w w w w: w w w w w, w w Twt w."
782,14,0,"","","w w w w w Tw wt w, w w w w w w."
783,24,0,"","","w w w w w w w w w w, w w w w w w w w w w; w w w w."
784,33,0,"","","w w w w w w w w w w w w; w w w w w w w w w w w w, w w w w w w w w w."
785,26,0,"","","w w w w w w w w, Twt w w w w w w w w, w w w w w w w w w."
786,14,3,"","","w, w w w w w w, w w w w w w w."
787,10,0,"","","w, w Twt w, w w w w w w."
788,15,0,"","","w, w Twt w w w w: w w w w w w w w."
789,11,0,"","","w, w w w w Tw wt, w w w w."
790,23,0,"","","w, w w w w Twt w w w w w; w w w, w w; w w w w w, w w:"
791,15,0,"","","w w w w, w Twt w, w w w w, w w w w;"
792,19,0,"","","w w w w w w w w w w w w w: w w w w w w."
793,21,0,"","","w w w w w w w w w w w w w w: w w w w w w w."
1025,20,0,"","","w, w w Twt w w w w w w w; w w w w w w w w w."
1026,10,3,"","","w w w, w w w w w w w;"
1027,28,0,"","","w w w w w, w w w w w w w w w w, w w w w w w, w w w w w w w:"
1028,11,0,"","","w w w w w w, w w w w w."
1029,11,0,"","","w w w w w w w w, w w w."
1030,21,0,"","","w w w Twt w w w, w w w, w w w w w w w w w w w."
1031,22,3,"","","w w w w w w w w, Tw wt w w w, w w w w w w w w w:"
1032,20,0,"","","w w w w w w w w w w, w w w w w w, w w w w;"
1033,24,0,"","","w w, w w w w w, w w Twt w w. w w w w w w w w w Tw wt w."
1034,23,3,"","","w w w w w, w w, w w w w, (w w w w w: w w w w w, w w;)"
1035,28,0,"","","w w, w w w w, w w w w w. w w Tw wt w w w w w w, w w w w w w w."
1036,32,0,"","","w, w w Twt w w, w w w w, w w, w w w w w w w, w w w w w w w w w w w w w."
1037,23,0,"","","w w w w w, w w w w w w w w, w w Tw wt w w, w w w w."
1038,8,0,"","","w, w w w, w w, w w."
1039,17,0,"","","w w w w w w w, w w, w w w w w w w w."
1040,29,0,"","","w w w w w w w w, w w w w w w w w w w w w; w w w w w w Twt w w."
1041,20,0,"","","w w w w, w w w w w w w w w w w w, w w w w."
1042,16,0,"","","w w w w w w w w. w w w. w Twt w w. w."
