ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,38,0,"","","w, w w, w w, w w w w w w Tw wt w w w w w Twt w w w w: w Twt w w, w w, w w w w, w w w w w."
258,16,0,"","","w w w w w w w w w, w w w w w w w;"
259,28,0,"","","w w w w w w w, w w w w, w w w w w w w w w, w w w w w w w w;"
260,7,0,"","","w, w w, w w w w."
261,37,0,"","","w w w w w w w w w w, w w w w, w w w w w, w w w w; w w w w w w w w w w w w w w."
262,23,0,"","","w w w w w w, w w w w, w w w w w w w, w w w w w w:"
263,13,0,"","","w w w w w w w w w w w w w."
264,37,0,"","","w w w w w w w w w w w w w w w w, w w w w w w w w w w w w; w w w w w w w w w."
265,30,0,"","","w w w w w w w w w w w w w w w, w w w w w w w w w w w w w w w;"
266,24,0,"","","w w w w w w w w, w w w w w w, Twt w, w w w w w w w w."
513,15,0,"","","w w, w, w w w w w w, w w w w w w:"
514,34,0,"","","w w w w w w w w, w w w w, w w w, w w, w w w w w w w w w w w w w w w w w."
515,13,0,"","","w w w Twt w w w, w w w, w w w:"
516,29,0,"","","w w w w w w w w w w w w w w w, w w w w; w w w w, w w, w w w w."
517,20,0,"","","w w w w w w w w w, w w w, w w w w w; w Twt w:"
518,24,0,"","","w w w w w w, w w w, w Twt w w, w w w w w w, w w w w w."
519,13,0,"","","w w w w w w, w w w w w w w:"
520,31,0,"","","w w w w w w, w w w w w w w w, w w w w w w, w w w w w, w w w w w w."
521,31,0,"","","w w w, w, w w w w: w w w w w, w w w w w w w w w w, w w w w w w w w."
522,19,0,"","","w Twt w, w w Twt, w w w w w w w w w w w w w:"
523,20,0,"","","w w w w w w w w w w w w w w, w w w Twt w w,"
524,16,0,"","","w w w w w w w, w w w w w w w w w."
525,49,3,"","","w w w w w w w w w, w, w w w w w w w w w w w w, w w Twt w Twt w w w w, w w w w w w, w w w w, w w w w w w w w."
526,35,0,"","","w w, w, w w w w w w w w w w w w w w: w w w w w w w w w w w, w w w Twt w w w:"
527,25,0,"","","w w w w w w, w w w w, w w w w; w w w w w, w w w w w w:"
528,28,0,"","","w w w w w w w w w w w w, w w w w w w: w w w w w w w w w w."
529,27,3,"","","w w, w, w w w w w w w w w w, w w w, w w w w w w w w w w w."
530,17,0,"","","w w w w w w w, w w w, w w w; w w w w."
531,26,0,"","","w w Twt w w, w w, w w w w? Twt w w w w w w w w w w w w w w?"
532,7,0,"","","w w w w w w w."
769,17,0,"","","w w w w w w w, w w w w w w w w w w;"
770,27,0,"","","w w w, w w, w w w w, w w w w w w w w, w w w, w w w w w w w:"
771,17,0,"","","w w w w w w w w w: w w w w w w w w."
772,25,0,"","","w w, w w w w w, w w w w w w w w w; w w w w w w, w w w."
773,30,0,"","","w w w, w w w w w w, w w w w w w, w w w w w w w w w, w w w w w w."
774,39,0,"","","w w w w w w w w w, w w w w w w w w w w, w w w w w w w w w, w w w w w, w w w Tw wt w:"
775,16,0,"","","w, w, w w w w w w w w w w w w w w:"
776,11,0,"","","w w w w, w w w w w w w."
777,24,0,"","","w w w w w w w w w w w, w w w w w w w w w w w w w;"
778,21,0,"","","w w w w w w w w w w w, w w w w w w w w w w?"
779,16,0,"","","w w w w w w, w w w w w, w w w w w."
780,24,0,"","","w w w w w w w w w w w w w w, w w w Twt, w w w Twt w w:"
781,28,0,"","","w w w w w w w w w w w w w, w w w, w w w w w w w w w w w w."
1025,36,0,"","","w w w w w, w, w w Twt w w w w, w w w w w w w w w w w w w w w w, Twt w w w w w w."
1026,12,0,"","","w w w w w w w w w w w w."
1027,16,0,"","","w w w w w w w, Twt w w, w w w w w w:"
1028,16,0,"","","w w w w w w w w w w w w w w w w;"
1029,14,0,"","","w w w w w w, w w w w w w w w:"
1030,30,0,"","","w w Twt w w w w w w w Twt w: w w w w Twt w w w w w, w w w w w w w w."
1031,11,0,"","","w w w w w w w w, w w w."
1032,18,0,"","","w w w w, w w w, w w, w w w w w w w w w."
1033,24,0,"","","w w w w w w w w w w w w w: w w w w w w w w w w w."
1034,25,0,"","","w w w w w w w w w w w w w w: w w w w, w, w w w w w w;"
1035,24,0,"","","w w w w w w w, w w w w w w, w w w w w w w, w w w w;"
1036,18,0,"","","w w w w w w w w w w, w Twt w w w w w w."
1037,26,3,"","","w w w w w w w w w, w, w w w w w, w w w w, w w w w w w w."
1038,23,0,"","","w w w w w w w w w w, w w w w w w w w w w w w w."
1039,32,0,"","","w w w w w w w w w w w w, w w w w w Twt w w w w w w w w w w w w w w."
1040,31,0,"","","w w w w w w w w w w w, w w w w w w, w w w w w w: w w w w w w w w:"
1041,33,0,"","","w w w w w Twt w w w w w w w w w w w, w w w w w w w: w w w w w w w w w."
1042,7,0,"","","w w w w w w w."
1281,17,0,"","","w w w w w w w, w, w w w w w w w w w."
1282,18,0,"","","w w w w w w w w w w w w w w w w w w."
1283,26,0,"","","w w w w w, w w w; w w w w w w, w w w w w w w; w w w w w."
1284,16,0,"","","w w, w, w w w w, w w w w w w w w w."
1285,22,0,"","","w w w w w w w, w w w w w w: w w w w w w, w w w."
1286,15,0,"","","w w w w w, w Twt w; w w w w w w w."
1287,18,0,"","","w w w w w w w w; w w w w w w w w w w."
1288,26,0,"","","w w w, w w w w w, w w, w w w w w w w w; w w w w, w w w w."
1289,17,0,"","","w w w w w w w w, w w w w w w w w w,"
1290,16,0,"","","w w w w, w, w w w w w, w w w w w w."
1291,13,0,"","","w w w w, w w w w, w w w w w."
1292,22,3,"","","w w w w, w, w w w w w w w, w w w w w w w, w w w;"
1293,18,0,"","","w w w w w w w w w w w w. Twt w w w w w."
1294,21,0,"","","w w w w, w, w w w w w, w w w, w w w, w w w w Twt."
1295,24,0,"","","w w w w w w w w w Twt; w w w w w w w, w w w, w w w Twt."
1296,2,0,"","","w w."
1297,3,0,"","","w w w."
1298,17,0,"","","w w w w w: w w w w w w w w w w w w."
1299,4,0,"","","w w w w."
1300,3,0,"","","w w w."
1301,9,0,"","","w w w; w w w w w w."
1302,6,0,"","","w w w w w w."
1303,31,0,"","","w w w w w w w w w; w Tw w wt w w w w w w w w w w w w w w w w w w."
1304,11,0,"","","w Twt w w w w, w w w w Tw.t"
1305,4,0,"","","w, w w w."
1306,8,3,"","","w w w w w w w w."
1307,16,0,"","","w w w w w w w w w w w w w w w w."
1308,11,0,"","","w w w w w w w Twt w w. w."
