ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,21,0,"Paul, an apostle of Jesus Christ by the commandment of God our Saviour, and Lord Jesus Christ, which is our hope;","Paul, an apostle of Jesus Christ by the commandment of God our Saviour, and Lord Jesus Christ, <i>which is</i> our hope;",""
258,21,0,"Unto Timothy, my own son in the faith: Grace, mercy, and peace, from God our Father and Jesus Christ our Lord.","Unto Timothy, <i>my</i> own son in the faith: Grace, mercy, <i>and</i> peace, from God our Father and Jesus Christ our Lord.",""
259,25,1,"As I besought thee to abide still at Ephesus, when I went into Macedonia, that thou mightest charge some that they teach no other doctrine,","¶As I besought thee to abide still at Ephesus, when I went into Macedonia, that thou mightest charge some that they teach no other doctrine,",""
260,21,0,"Neither give heed to fables and endless genealogies, which minister questions, rather than godly edifying which is in faith: so do. ","Neither give heed to fables and endless genealogies, which minister questions, rather than godly edifying which is in faith: <i>so do</i>. ",""
261,22,0,"Now the end of the commandment is charity out of a pure heart, and of a good conscience, and of faith unfeigned:","Now the end of the commandment is charity out of a pure heart, and <i>of</i> a good conscience, and <i>of</i> faith unfeigned:",""
262,11,0,"From which some having swerved have turned aside unto vain jangling;","From which some having swerved have turned aside unto vain jangling;",""
263,16,0,"Desiring to be teachers of the law; understanding neither what they say, nor whereof they affirm.","Desiring to be teachers of the law; understanding neither what they say, nor whereof they affirm.",""
264,14,0,"But we know that the law is good, if a man use it lawfully;","But we know that the law <i>is</i> good, if a man use it lawfully;",""
265,38,0,"Knowing this, that the law is not made for a righteous man, but for the lawless and disobedient, for the ungodly and for sinners, for unholy and profane, for murderers of fathers and murderers of mothers, for manslayers,","Knowing this, that the law is not made for a righteous man, but for the lawless and disobedient, for the ungodly and for sinners, for unholy and profane, for murderers of fathers and murderers of mothers, for manslayers,",""
266,29,0,"For whoremongers, for them that defile themselves with mankind, for menstealers, for liars, for perjured persons, and if there be any other thing that is contrary to sound doctrine;","For whoremongers, for them that defile themselves with mankind, for menstealers, for liars, for perjured persons, and if there be any other thing that is contrary to sound doctrine;",""
267,15,0,"According to the glorious gospel of the blessed God, which was committed to my trust.","According to the glorious gospel of the blessed God, which was committed to my trust.",""
268,22,0,"And I thank Christ Jesus our Lord, who hath enabled me, for that he counted me faithful, putting me into the ministry;","And I thank Christ Jesus our Lord, who hath enabled me, for that he counted me faithful, putting me into the ministry;",""
269,21,0,"Who was before a blasphemer, and a persecutor, and injurious: but I obtained mercy, because I did it ignorantly in unbelief.","Who was before a blasphemer, and a persecutor, and injurious: but I obtained mercy, because I did <i>it</i> ignorantly in unbelief.",""
270,18,0,"And the grace of our Lord was exceeding abundant with faith and love which is in Christ Jesus.","And the grace of our Lord was exceeding abundant with faith and love which is in Christ Jesus.",""
271,25,0,"This is a faithful saying, and worthy of all acceptation, that Christ Jesus came into the world to save sinners; of whom I am chief.","This <i>is</i> a faithful saying, and worthy of all acceptation, that Christ Jesus came into the world to save sinners; of whom I am chief.",""
272,32,0,"Howbeit for this cause I obtained mercy, that in me first Jesus Christ might shew forth all longsuffering, for a pattern to them which should hereafter believe on him to life everlasting.","Howbeit for this cause I obtained mercy, that in me first Jesus Christ might shew forth all longsuffering, for a pattern to them which should hereafter believe on him to life everlasting.",""
273,20,0,"Now unto the King eternal, immortal, invisible, the only wise God, be honour and glory for ever and ever. Amen.","Now unto the King eternal, immortal, invisible, the only wise God, <i>be</i> honour and glory for ever and ever. Amen.",""
274,26,0,"This charge I commit unto thee, son Timothy, according to the prophecies which went before on thee, that thou by them mightest war a good warfare;","This charge I commit unto thee, son Timothy, according to the prophecies which went before on thee, that thou by them mightest war a good warfare;",""
275,16,0,"Holding faith, and a good conscience; which some having put away concerning faith have made shipwreck:","Holding faith, and a good conscience; which some having put away concerning faith have made shipwreck:",""
276,19,0,"Of whom is Hymenaeus and Alexander; whom I have delivered unto Satan, that they may learn not to blaspheme.","Of whom is Hymenaeus and Alexander; whom I have delivered unto Satan, that they may learn not to blaspheme.",""
513,19,0,"I exhort therefore, that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men;","I exhort therefore, that, first of all, supplications, prayers, intercessions, <i>and</i> giving of thanks, be made for all men;",""
514,23,0,"For kings, and for all that are in authority; that we may lead a quiet and peaceable life in all godliness and honesty.","For kings, and <i>for</i> all that are in authority; that we may lead a quiet and peaceable life in all godliness and honesty.",""
515,13,0,"For this is good and acceptable in the sight of God our Saviour;","For this <i>is</i> good and acceptable in the sight of God our Saviour;",""
516,17,0,"Who will have all men to be saved, and to come unto the knowledge of the truth.","Who will have all men to be saved, and to come unto the knowledge of the truth.",""
517,16,0,"For there is one God, and one mediator between God and men, the man Christ Jesus;","For <i>there is</i> one God, and one mediator between God and men, the man Christ Jesus;",""
518,13,0,"Who gave himself a ransom for all, to be testified in due time.","Who gave himself a ransom for all, to be testified in due time.",""
519,27,0,"Whereunto I am ordained a preacher, and an apostle, (I speak the truth in Christ, and lie not;) a teacher of the Gentiles in faith and verity.","Whereunto I am ordained a preacher, and an apostle, (I speak the truth in Christ, <i>and</i> lie not;) a teacher of the Gentiles in faith and verity.",""
520,16,0,"I will therefore that men pray every where, lifting up holy hands, without wrath and doubting.","I will therefore that men pray every where, lifting up holy hands, without wrath and doubting.",""
521,26,0,"In like manner also, that women adorn themselves in modest apparel, with shamefacedness and sobriety; not with broided hair, or gold, or pearls, or costly array;","In like manner also, that women adorn themselves in modest apparel, with shamefacedness and sobriety; not with broided hair, or gold, or pearls, or costly array;",""
522,9,0,"But (which becometh women professing godliness) with good works.","But (which becometh women professing godliness) with good works.",""
523,9,0,"Let the woman learn in silence with all subjection.","Let the woman learn in silence with all subjection.",""
524,20,0,"But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence.","But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence.",""
525,7,0,"For Adam was first formed, then Eve.","For Adam was first formed, then Eve.",""
