ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,28,0,"Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;","Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;"
258,15,0,"In hope of eternal life, which God, that cannot lie, promised before the world began;","In hope of eternal life, which God, that cannot lie, promised before the world began;"
259,23,0,"But hath in due times manifested his word through preaching, which is committed unto me according to the commandment of God our Saviour;","But hath in due times manifested his word through preaching, which is committed unto me according to the commandment of God our Saviour;"
260,24,0,"To Titus, mine own son after the common faith: Grace, mercy, and peace, from God the Father and the Lord Jesus Christ our Saviour.","To Titus, <i>mine</i> own son after the common faith: Grace, mercy, <i>and</i> peace, from God the Father and the Lord Jesus Christ our Saviour."
261,30,1,"For this cause left I thee in Crete, that thou shouldest set in order the things that are wanting, and ordain elders in every city, as I had appointed thee:","¶For this cause left I thee in Crete, that thou shouldest set in order the things that are wanting, and ordain elders in every city, as I had appointed thee:"
262,18,0,"If any be blameless, the husband of one wife, having faithful children not accused of riot or unruly.","If any be blameless, the husband of one wife, having faithful children not accused of riot or unruly."
263,27,0,"For a bishop must be blameless, as the steward of God; not selfwilled, not soon angry, not given to wine, no striker, not given to filthy lucre;","For a bishop must be blameless, as the steward of God; not selfwilled, not soon angry, not given to wine, no striker, not given to filthy lucre;"
264,14,0,"But a lover of hospitality, a lover of good men, sober, just, holy, temperate;","But a lover of hospitality, a lover of good men, sober, just, holy, temperate;"
265,26,0,"Holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers.","Holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers."
266,15,0,"For there are many unruly and vain talkers and deceivers, specially they of the circumcision:","For there are many unruly and vain talkers and deceivers, specially they of the circumcision:"
267,19,0,"Whose mouths must be stopped, who subvert whole houses, teaching things which they ought not, for filthy lucre's sake.","Whose mouths must be stopped, who subvert whole houses, teaching things which they ought not, for filthy lucre's sake."
268,19,0,"One of themselves, even a prophet of their own, said, The Cretians are alway liars, evil beasts, slow bellies.","One of themselves, <i>even</i> a prophet of their own, said, The Cretians <i>are</i> alway liars, evil beasts, slow bellies."
269,16,0,"This witness is true. Wherefore rebuke them sharply, that they may be sound in the faith;","This witness is true. Wherefore rebuke them sharply, that they may be sound in the faith;"
270,15,0,"Not giving heed to Jewish fables, and commandments of men, that turn from the truth.","Not giving heed to Jewish fables, and commandments of men, that turn from the truth."
271,26,0,"Unto the pure all things are pure: but unto them that are defiled and unbelieving is nothing pure; but even their mind and conscience is defiled.","Unto the pure all things <i>are</i> pure: but unto them that are defiled and unbelieving <i>is</i> nothing pure; but even their mind and conscience is defiled."
272,22,0,"They profess that they know God; but in works they deny him, being abominable, and disobedient, and unto every good work reprobate.","They profess that they know God; but in works they deny <i>him</i>, being abominable, and disobedient, and unto every good work reprobate."
513,9,0,"But speak thou the things which become sound doctrine:","But speak thou the things which become sound doctrine:"
514,15,0,"That the aged men be sober, grave, temperate, sound in faith, in charity, in patience.","That the aged men be sober, grave, temperate, sound in faith, in charity, in patience."
515,24,0,"The aged women likewise, that they be in behaviour as becometh holiness, not false accusers, not given to much wine, teachers of good things;","The aged women likewise, that <i>they be</i> in behaviour as becometh holiness, not false accusers, not given to much wine, teachers of good things;"
516,18,0,"That they may teach the young women to be sober, to love their husbands, to love their children,","That they may teach the young women to be sober, to love their husbands, to love their children,"
517,21,0,"To be discreet, chaste, keepers at home, good, obedient to their own husbands, that the word of God be not blasphemed.","<i>To be</i> discreet, chaste, keepers at home, good, obedient to their own husbands, that the word of God be not blasphemed."
518,8,0,"Young men likewise exhort to be sober minded.","Young men likewise exhort to be sober minded."
519,16,0,"In all things shewing thyself a pattern of good works: in doctrine shewing uncorruptness, gravity, sincerity,","In all things shewing thyself a pattern of good works: in doctrine <i>shewing</i> uncorruptness, gravity, sincerity,"
520,25,0,"Sound speech, that cannot be condemned; that he that is of the contrary part may be ashamed, having no evil thing to say of you.","Sound speech, that cannot be condemned; that he that is of the contrary part may be ashamed, having no evil thing to say of you."
521,20,0,"Exhort servants to be obedient unto their own masters, and to please them well in all things; not answering again;","<i>Exhort</i> servants to be obedient unto their own masters, <i>and</i> to please <i>them</i> well in all <i>things</i>; not answering again;"
522,20,0,"Not purloining, but shewing all good fidelity; that they may adorn the doctrine of God our Saviour in all things.","Not purloining, but shewing all good fidelity; that they may adorn the doctrine of God our Saviour in all things."
523,13,0,"For the grace of God that bringeth salvation hath appeared to all men,","For the grace of God that bringeth salvation hath appeared to all men,"
524,19,0,"Teaching us that, denying ungodliness and worldly lusts, we should live soberly, righteously, and godly, in this present world;","Teaching us that, denying ungodliness and worldly lusts, we should live soberly, righteously, and godly, in this present world;"
525,18,0,"Looking for that blessed hope, and the glorious appearing of the great God and our Saviour Jesus Christ;","Looking for that blessed hope, and the glorious appearing of the great God and our Saviour Jesus Christ;"
526,24,0,"Who gave himself for us, that he might redeem us from all iniquity, and purify unto himself a peculiar people, zealous of good works.","Who gave himself for us, that he might redeem us from all iniquity, and purify unto himself a peculiar people, zealous of good works."
527,15,0,"These things speak, and exhort, and rebuke with all authority. Let no man despise thee.","These things speak, and exhort, and rebuke with all authority. Let no man despise thee."
769,21,0,"Put them in mind to be subject to principalities and powers, to obey magistrates, to be ready to every good work,","Put them in mind to be subject to principalities and powers, to obey magistrates, to be ready to every good work,"
770,18,0,"To speak evil of no man, to be no brawlers, but gentle, shewing all meekness unto all men.","To speak evil of no man, to be no brawlers, <i>but</i> gentle, shewing all meekness unto all men."
771,24,0,"For we ourselves also were sometimes foolish, disobedient, deceived, serving divers lusts and pleasures, living in malice and envy, hateful, and hating one another.","For we ourselves also were sometimes foolish, disobedient, deceived, serving divers lusts and pleasures, living in malice and envy, hateful, <i>and</i> hating one another."
772,14,0,"But after that the kindness and love of God our Saviour toward man appeared,","But after that the kindness and love of God our Saviour toward man appeared,"
773,28,0,"Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Ghost;","Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Ghost;"
774,11,0,"Which he shed on us abundantly through Jesus Christ our Saviour;","Which he shed on us abundantly through Jesus Christ our Saviour;"
775,18,0,"That being justified by his grace, we should be made heirs according to the hope of eternal life.","That being justified by his grace, we should be made heirs according to the hope of eternal life."
776,36,0,"This is a faithful saying, and these things I will that thou affirm constantly, that they which have believed in God might be careful to maintain good works. These things are good and profitable unto men.","<i>This is</i> a faithful saying, and these things I will that thou affirm constantly, that they which have believed in God might be careful to maintain good works. These things are good and profitable unto men."
777,19,0,"But avoid foolish questions, and genealogies, and contentions, and strivings about the law; for they are unprofitable and vain.","But avoid foolish questions, and genealogies, and contentions, and strivings about the law; for they are unprofitable and vain."
778,13,0,"A man that is an heretick after the first and second admonition reject;","A man that is an heretick after the first and second admonition reject;"
779,14,0,"Knowing that he that is such is subverted, and sinneth, being condemned of himself.","Knowing that he that is such is subverted, and sinneth, being condemned of himself."
780,24,1,"When I shall send Artemas unto thee, or Tychicus, be diligent to come unto me to Nicopolis: for I have determined there to winter.","¶When I shall send Artemas unto thee, or Tychicus, be diligent to come unto me to Nicopolis: for I have determined there to winter."
781,16,0,"Bring Zenas the lawyer and Apollos on their journey diligently, that nothing be wanting unto them.","Bring Zenas the lawyer and Apollos on their journey diligently, that nothing be wanting unto them."
