ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
257,17,0,"Paul, a prisoner of Jesus Christ, and Timothy our brother, unto Philemon our dearly beloved, and fellowlabourer,","Paul, a prisoner of Jesus Christ, and Timothy <i>our</i> brother, unto Philemon our dearly beloved, and fellowlabourer,",""
258,16,0,"And to our beloved Apphia, and Archippus our fellowsoldier, and to the church in thy house:","And to <i>our</i> beloved Apphia, and Archippus our fellowsoldier, and to the church in thy house:",""
259,14,0,"Grace to you, and peace, from God our Father and the Lord Jesus Christ.","Grace to you, and peace, from God our Father and the Lord Jesus Christ.",""
260,12,1,"I thank my God, making mention of thee always in my prayers,","¶I thank my God, making mention of thee always in my prayers,",""
261,17,0,"Hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints;","Hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints;",""
262,23,0,"That the communication of thy faith may become effectual by the acknowledging of every good thing which is in you in Christ Jesus.","That the communication of thy faith may become effectual by the acknowledging of every good thing which is in you in Christ Jesus.",""
263,21,0,"For we have great joy and consolation in thy love, because the bowels of the saints are refreshed by thee, brother.","For we have great joy and consolation in thy love, because the bowels of the saints are refreshed by thee, brother.",""
264,16,0,"Wherefore, though I might be much bold in Christ to enjoin thee that which is convenient,","Wherefore, though I might be much bold in Christ to enjoin thee that which is convenient,",""
265,24,0,"Yet for love's sake I rather beseech thee, being such an one as Paul the aged, and now also a prisoner of Jesus Christ.","Yet for love's sake I rather beseech <i>thee</i>, being such an one as Paul the aged, and now also a prisoner of Jesus Christ.",""
266,14,0,"I beseech thee for my son Onesimus, whom I have begotten in my bonds:","I beseech thee for my son Onesimus, whom I have begotten in my bonds:",""
267,16,0,"Which in time past was to thee unprofitable, but now profitable to thee and to me:","Which in time past was to thee unprofitable, but now profitable to thee and to me:",""
268,14,0,"Whom I have sent again: thou therefore receive him, that is, mine own bowels:","Whom I have sent again: thou therefore receive him, that is, mine own bowels:",""
269,23,0,"Whom I would have retained with me, that in thy stead he might have ministered unto me in the bonds of the gospel:","Whom I would have retained with me, that in thy stead he might have ministered unto me in the bonds of the gospel:",""
270,21,0,"But without thy mind would I do nothing; that thy benefit should not be as it were of necessity, but willingly.","But without thy mind would I do nothing; that thy benefit should not be as it were of necessity, but willingly.",""
271,15,0,"For perhaps he therefore departed for a season, that thou shouldest receive him for ever;","For perhaps he therefore departed for a season, that thou shouldest receive him for ever;",""
272,29,0,"Not now as a servant, but above a servant, a brother beloved, specially to me, but how much more unto thee, both in the flesh, and in the Lord?","Not now as a servant, but above a servant, a brother beloved, specially to me, but how much more unto thee, both in the flesh, and in the Lord?",""
273,11,0,"If thou count me therefore a partner, receive him as myself.","If thou count me therefore a partner, receive him as myself.",""
274,14,0,"If he hath wronged thee, or oweth thee ought, put that on mine account;","If he hath wronged thee, or oweth <i>thee</i> ought, put that on mine account;",""
275,30,0,"I Paul have written it with mine own hand, I will repay it: albeit I do not say to thee how thou owest unto me even thine own self besides.","I Paul have written <i>it</i> with mine own hand, I will repay <i>it</i>: albeit I do not say to thee how thou owest unto me even thine own self besides.",""
276,17,0,"Yea, brother, let me have joy of thee in the Lord: refresh my bowels in the Lord.","Yea, brother, let me have joy of thee in the Lord: refresh my bowels in the Lord.",""
277,19,1,"Having confidence in thy obedience I wrote unto thee, knowing that thou wilt also do more than I say.","¶Having confidence in thy obedience I wrote unto thee, knowing that thou wilt also do more than I say.",""
278,20,0,"But withal prepare me also a lodging: for I trust that through your prayers I shall be given unto you.","But withal prepare me also a lodging: for I trust that through your prayers I shall be given unto you.",""
279,9,1,"There salute thee Epaphras, my fellowprisoner in Christ Jesus;","¶There salute thee Epaphras, my fellowprisoner in Christ Jesus;",""
280,6,0,"Marcus, Aristarchus, Demas, Lucas, my fellowlabourers.","Marcus, Aristarchus, Demas, Lucas, my fellowlabourers.",""
281,12,0,"The grace of our Lord Jesus Christ be with your spirit. Amen.","The grace of our Lord Jesus Christ <i>be</i> with your spirit. Amen. Written from Rome to Philemon, by Onesimus, a servant.","Written from Rome to Philemon, by Onesimus, a servant."
