ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,20,0,"James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting.","James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting."
258,12,1,"My brethren, count it all joy when ye fall into divers temptations;","¶My brethren, count it all joy when ye fall into divers temptations;"
259,10,0,"Knowing this, that the trying of your faith worketh patience.","Knowing <i>this</i>, that the trying of your faith worketh patience."
260,16,0,"But let patience have her perfect work, that ye may be perfect and entire, wanting nothing.","But let patience have <i>her</i> perfect work, that ye may be perfect and entire, wanting nothing."
261,26,0,"If any of you lack wisdom, let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him.","If any of you lack wisdom, let him ask of God, that giveth to all <i>men</i> liberally, and upbraideth not; and it shall be given him."
262,25,0,"But let him ask in faith, nothing wavering. For he that wavereth is like a wave of the sea driven with the wind and tossed.","But let him ask in faith, nothing wavering. For he that wavereth is like a wave of the sea driven with the wind and tossed."
263,15,0,"For let not that man think that he shall receive any thing of the Lord.","For let not that man think that he shall receive any thing of the Lord."
264,10,0,"A double minded man is unstable in all his ways.","A double minded man <i>is</i> unstable in all his ways."
265,12,0,"Let the brother of low degree rejoice in that he is exalted:","Let the brother of low degree rejoice in that he is exalted:"
266,20,0,"But the rich, in that he is made low: because as the flower of the grass he shall pass away.","But the rich, in that he is made low: because as the flower of the grass he shall pass away."
267,41,0,"For the sun is no sooner risen with a burning heat, but it withereth the grass, and the flower thereof falleth, and the grace of the fashion of it perisheth: so also shall the rich man fade away in his ways.","For the sun is no sooner risen with a burning heat, but it withereth the grass, and the flower thereof falleth, and the grace of the fashion of it perisheth: so also shall the rich man fade away in his ways."
268,29,0,"Blessed is the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him.","Blessed <i>is</i> the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him."
269,25,0,"Let no man say when he is tempted, I am tempted of God: for God cannot be tempted with evil, neither tempteth he any man:","Let no man say when he is tempted, I am tempted of God: for God cannot be tempted with evil, neither tempteth he any man:"
270,16,0,"But every man is tempted, when he is drawn away of his own lust, and enticed.","But every man is tempted, when he is drawn away of his own lust, and enticed."
271,18,0,"Then when lust hath conceived, it bringeth forth sin: and sin, when it is finished, bringeth forth death.","Then when lust hath conceived, it bringeth forth sin: and sin, when it is finished, bringeth forth death."
272,6,0,"Do not err, my beloved brethren.","Do not err, my beloved brethren."
273,27,0,"Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.","Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning."
274,23,0,"Of his own will begat he us with the word of truth, that we should be a kind of firstfruits of his creatures.","Of his own will begat he us with the word of truth, that we should be a kind of firstfruits of his creatures."
275,17,1,"Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath:","¶Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath:"
276,11,0,"For the wrath of man worketh not the righteousness of God.","For the wrath of man worketh not the righteousness of God."
277,23,0,"Wherefore lay apart all filthiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls.","Wherefore lay apart all filthiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls."
278,15,0,"But be ye doers of the word, and not hearers only, deceiving your own selves.","But be ye doers of the word, and not hearers only, deceiving your own selves."
279,26,0,"For if any be a hearer of the word, and not a doer, he is like unto a man beholding his natural face in a glass:","For if any be a hearer of the word, and not a doer, he is like unto a man beholding his natural face in a glass:"
280,17,0,"For he beholdeth himself, and goeth his way, and straightway forgetteth what manner of man he was.","For he beholdeth himself, and goeth his way, and straightway forgetteth what manner of man he was."
281,32,0,"But whoso looketh into the perfect law of liberty, and continueth therein, he being not a forgetful hearer, but a doer of the work, this man shall be blessed in his deed.","But whoso looketh into the perfect law of liberty, and continueth <i>therein</i>, he being not a forgetful hearer, but a doer of the work, this man shall be blessed in his deed."
282,24,0,"If any man among you seem to be religious, and bridleth not his tongue, but deceiveth his own heart, this man's religion is vain.","If any man among you seem to be religious, and bridleth not his tongue, but deceiveth his own heart, this man's religion <i>is</i> vain."
283,28,0,"Pure religion and undefiled before God and the Father is this, To visit the fatherless and widows in their affliction, and to keep himself unspotted from the world.","Pure religion and undefiled before God and the Father is this, To visit the fatherless and widows in their affliction, <i>and</i> to keep himself unspotted from the world."
513,19,0,"My brethren, have not the faith of our Lord Jesus Christ, the Lord of glory, with respect of persons.","My brethren, have not the faith of our Lord Jesus Christ, <i>the Lord</i> of glory, with respect of persons."
514,27,0,"For if there come unto your assembly a man with a gold ring, in goodly apparel, and there come in also a poor man in vile raiment;","For if there come unto your assembly a man with a gold ring, in goodly apparel, and there come in also a poor man in vile raiment;"
515,36,0,"And ye have respect to him that weareth the gay clothing, and say unto him, Sit thou here in a good place; and say to the poor, Stand thou there, or sit here under my footstool:","And ye have respect to him that weareth the gay clothing, and say unto him, Sit thou here in a good place; and say to the poor, Stand thou there, or sit here under my footstool:"
516,14,0,"Are ye not then partial in yourselves, and are become judges of evil thoughts?","Are ye not then partial in yourselves, and are become judges of evil thoughts?"
517,30,0,"Hearken, my beloved brethren, Hath not God chosen the poor of this world rich in faith, and heirs of the kingdom which he hath promised to them that love him?","Hearken, my beloved brethren, Hath not God chosen the poor of this world rich in faith, and heirs of the kingdom which he hath promised to them that love him?"
518,19,0,"But ye have despised the poor. Do not rich men oppress you, and draw you before the judgment seats?","But ye have despised the poor. Do not rich men oppress you, and draw you before the judgment seats?"
519,13,0,"Do not they blaspheme that worthy name by the which ye are called?","Do not they blaspheme that worthy name by the which ye are called?"
520,20,0,"If ye fulfil the royal law according to the scripture, Thou shalt love thy neighbour as thyself, ye do well:","If ye fulfil the royal law according to the scripture, Thou shalt love thy neighbour as thyself, ye do well:"
521,18,0,"But if ye have respect to persons, ye commit sin, and are convinced of the law as transgressors.","But if ye have respect to persons, ye commit sin, and are convinced of the law as transgressors."
522,18,0,"For whosoever shall keep the whole law, and yet offend in one point, he is guilty of all.","For whosoever shall keep the whole law, and yet offend in one <i>point</i>, he is guilty of all."
523,31,0,"For he that said, Do not commit adultery, said also, Do not kill. Now if thou commit no adultery, yet if thou kill, thou art become a transgressor of the law.","For he that said, Do not commit adultery, said also, Do not kill. Now if thou commit no adultery, yet if thou kill, thou art become a transgressor of the law."
524,17,0,"So speak ye, and so do, as they that shall be judged by the law of liberty.","So speak ye, and so do, as they that shall be judged by the law of liberty."
525,17,0,"For he shall have judgment without mercy, that hath shewed no mercy; and mercy rejoiceth against judgment.","For he shall have judgment without mercy, that hath shewed no mercy; and mercy rejoiceth against judgment."
526,21,0,"What doth it profit, my brethren, though a man say he hath faith, and have not works? can faith save him?","What <i>doth it</i> profit, my brethren, though a man say he hath faith, and have not works? can faith save him?"
527,12,0,"If a brother or sister be naked, and destitute of daily food,","If a brother or sister be naked, and destitute of daily food,"
528,32,0,"And one of you say unto them, Depart in peace, be ye warmed and filled; notwithstanding ye give them not those things which are needful to the body; what doth it profit?","And one of you say unto them, Depart in peace, be <i>ye</i> warmed and filled; notwithstanding ye give them not those things which are needful to the body; what <i>doth it</i> profit?"
529,12,0,"Even so faith, if it hath not works, is dead, being alone.","Even so faith, if it hath not works, is dead, being alone."
530,29,0,"Yea, a man may say, Thou hast faith, and I have works: shew me thy faith without thy works, and I will shew thee my faith by my works.","Yea, a man may say, Thou hast faith, and I have works: shew me thy faith without thy works, and I will shew thee my faith by my works."
531,16,0,"Thou believest that there is one God; thou doest well: the devils also believe, and tremble.","Thou believest that there is one God; thou doest well: the devils also believe, and tremble."
532,13,0,"But wilt thou know, O vain man, that faith without works is dead?","But wilt thou know, O vain man, that faith without works is dead?"
533,18,0,"Was not Abraham our father justified by works, when he had offered Isaac his son upon the altar?","Was not Abraham our father justified by works, when he had offered Isaac his son upon the altar?"
534,15,0,"Seest thou how faith wrought with his works, and by works was faith made perfect?","Seest thou how faith wrought with his works, and by works was faith made perfect?"
535,26,0,"And the scripture was fulfilled which saith, Abraham believed God, and it was imputed unto him for righteousness: and he was called the Friend of God.","And the scripture was fulfilled which saith, Abraham believed God, and it was imputed unto him for righteousness: and he was called the Friend of God."
536,16,0,"Ye see then how that by works a man is justified, and not by faith only.","Ye see then how that by works a man is justified, and not by faith only."
537,23,0,"Likewise also was not Rahab the harlot justified by works, when she had received the messengers, and had sent them out another way?","Likewise also was not Rahab the harlot justified by works, when she had received the messengers, and had sent <i>them</i> out another way?"
538,16,0,"For as the body without the spirit is dead, so faith without works is dead also.","For as the body without the spirit is dead, so faith without works is dead also."
769,14,0,"My brethren, be not many masters, knowing that we shall receive the greater condemnation.","My brethren, be not many masters, knowing that we shall receive the greater condemnation."
770,28,0,"For in many things we offend all. If any man offend not in word, the same is a perfect man, and able also to bridle the whole body.","For in many things we offend all. If any man offend not in word, the same <i>is</i> a perfect man, <i>and</i> able also to bridle the whole body."
771,20,0,"Behold, we put bits in the horses' mouths, that they may obey us; and we turn about their whole body.","Behold, we put bits in the horses' mouths, that they may obey us; and we turn about their whole body."
772,30,0,"Behold also the ships, which though they be so great, and are driven of fierce winds, yet are they turned about with a very small helm, whithersoever the governor listeth.","Behold also the ships, which though <i>they be</i> so great, and <i>are</i> driven of fierce winds, yet are they turned about with a very small helm, whithersoever the governor listeth."
773,21,0,"Even so the tongue is a little member, and boasteth great things. Behold, how great a matter a little fire kindleth!","Even so the tongue is a little member, and boasteth great things. Behold, how great a matter a little fire kindleth!"
774,39,0,"And the tongue is a fire, a world of iniquity: so is the tongue among our members, that it defileth the whole body, and setteth on fire the course of nature; and it is set on fire of hell.","And the tongue <i>is</i> a fire, a world of iniquity: so is the tongue among our members, that it defileth the whole body, and setteth on fire the course of nature; and it is set on fire of hell."
775,25,0,"For every kind of beasts, and of birds, and of serpents, and of things in the sea, is tamed, and hath been tamed of mankind:","For every kind of beasts, and of birds, and of serpents, and of things in the sea, is tamed, and hath been tamed of mankind:"
776,16,0,"But the tongue can no man tame; it is an unruly evil, full of deadly poison.","But the tongue can no man tame; <i>it is</i> an unruly evil, full of deadly poison."
777,20,0,"Therewith bless we God, even the Father; and therewith curse we men, which are made after the similitude of God.","Therewith bless we God, even the Father; and therewith curse we men, which are made after the similitude of God."
778,18,0,"Out of the same mouth proceedeth blessing and cursing. My brethren, these things ought not so to be.","Out of the same mouth proceedeth blessing and cursing. My brethren, these things ought not so to be."
779,13,0,"Doth a fountain send forth at the same place sweet water and bitter?","Doth a fountain send forth at the same place sweet <i>water</i> and bitter?"
780,23,0,"Can the fig tree, my brethren, bear olive berries? either a vine, figs? so can no fountain both yield salt water and fresh.","Can the fig tree, my brethren, bear olive berries? either a vine, figs? so <i>can</i> no fountain both yield salt water and fresh."
781,25,0,"Who is a wise man and endued with knowledge among you? let him shew out of a good conversation his works with meekness of wisdom.","Who <i>is</i> a wise man and endued with knowledge among you? let him shew out of a good conversation his works with meekness of wisdom."
