ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,12,0,"The elder unto the wellbeloved Gaius, whom I love in the truth.","The elder unto the wellbeloved Gaius, whom I love in the truth."
258,19,1,"Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth.","¶Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth."
259,24,0,"For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth.","For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth."
260,14,0,"I have no greater joy than to hear that my children walk in truth.","I have no greater joy than to hear that my children walk in truth."
261,13,0,"Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;","Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;"
262,26,0,"Which have borne witness of thy charity before the church: whom if thou bring forward on their journey after a godly sort, thou shalt do well:","Which have borne witness of thy charity before the church: whom if thou bring forward on their journey after a godly sort, thou shalt do well:"
263,14,0,"Because that for his name's sake they went forth, taking nothing of the Gentiles.","Because that for his name's sake they went forth, taking nothing of the Gentiles."
264,14,0,"We therefore ought to receive such, that we might be fellowhelpers to the truth.","We therefore ought to receive such, that we might be fellowhelpers to the truth."
265,18,1,"I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not.","¶I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not."
266,41,0,"Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content therewith, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth them out of the church.","Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content therewith, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth <i>them</i> out of the church."
267,28,1,"Beloved, follow not that which is evil, but that which is good. He that doeth good is of God: but he that doeth evil hath not seen God.","¶Beloved, follow not that which is evil, but that which is good. He that doeth good is of God: but he that doeth evil hath not seen God."
268,26,0,"Demetrius hath good report of all men, and of the truth itself: yea, and we also bear record; and ye know that our record is true.","Demetrius hath good report of all <i>men</i>, and of the truth itself: yea, and we <i>also</i> bear record; and ye know that our record is true."
269,17,1,"I had many things to write, but I will not with ink and pen write unto thee:","¶I had many things to write, but I will not with ink and pen write unto thee:"
270,28,0,"But I trust I shall shortly see thee, and we shall speak face to face. Peace be to thee. Our friends salute thee. Greet the friends by name.","But I trust I shall shortly see thee, and we shall speak face to face. Peace <i>be</i> to thee. <i>Our</i> friends salute thee. Greet the friends by name."
