ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,26,0,"","","w, w w w w w, w w w w, w w w w w w w w w, w w w w w, Twt w:"
258,9,0,"","","w w w, w w, w w, w w."
259,41,3,"","","w, w w w w w w w w w w w w w, w w w w w w w w w, w w Twt w w w w w w w w w w w w w w w."
260,38,0,"","","w w w w w w w w, w w w w w w w w w, w w, w w w w w w w w, w w w w w w, w w w w w."
261,32,0,"","","w w w w w w w, w w w w w, w w w w, w w w w w w w w w w, w w w w w w."
262,29,0,"","","w w w w w w w w w, w w w w w, w w w w w w w w w w w w w w w."
263,35,0,"","","w w w w w, w w w w w w w w, w w w w w, w w w w w, w w w w w w, w w w w w w."
264,15,0,"","","w w w Twt w w w w, w w, w w w w w."
265,30,0,"","","w w w w, w w w w w w w w w w w w, w w w w w w w w, w w, w w w w."
266,25,0,"","","w w w w w w w w w w w: w w w w w, w w w, w w w w w w."
267,29,0,"","","w w w! w w w w w w w w w, w w w w w w w w w w, w w w w w w w."
268,39,0,"","","w w w w w w w w, w w w w w, w w w w: w Tw wt w w, w w w w; w w w w, w w, w w, w w w w w;"
269,22,0,"","","w w w w w, w w w w w; w w, w w w w w w w w w w."
270,21,0,"","","w w w, w w w w, w w w, w, w, w w w w w w w w w,"
271,37,0,"","","w w w w w, w w w w w w w w w w w w w w w w w w w, w w w w w Twt w w w w w w w."
272,24,0,"","","w w w, w, w w w w w; w w w w w w Twt, w w w w w w w w."
273,18,3,"","","w, w, w w w w w w w w w w w w w w w w;"
274,21,0,"","","w w w w w w w w w w w w w, w w w w w w w w."
275,11,0,"","","w w w w w w, w, w w w w."
276,16,0,"","","w w, w, w w w w w w w w, w w w w w,"
277,19,0,"","","w w w w w w w, w w w w w w w w w w w w."
278,8,0,"","","w w w w w, w w w:"
279,19,0,"","","w w w w w, w Twt w w w w; w w w w w w w w."
280,25,3,"","","w w w w w w w w w w w, w w w Twt w w w w w w w w w w,"
281,19,0,"","","w w w w w w w, Twt w w w, w w w, w w w w. w."
