ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,35,0,"","","w w w w w, w w w w w, w w w w w w w w w w w w; w w w w w Twt w w w w w w w:"
258,22,0,"","","w w w w w w w w, w w w w w w w, w w w w w w w."
259,28,0,"","","w Twt w w w, w w w w w w w w w, w w w w w w w w: w w w Twt w w."
260,37,0,"","","w w w w w w w w w: w Twt w w, w w, w w w w, w w w, w w w w w; w w w w w w w w w w;"
261,40,0,"","","w w w w, Tw wt w w w, Twt w w w w w w, w w w w w w w w w. w w w w w, w w w w w w w w w w,"
262,23,0,"","","w w w w w w w w w w w w; w w Twt w w w w w w w. w."
263,31,0,"","","w, w w w w; w w w w w w, w w Twt w w w: w w w w w w w w w w w. w w, w."
264,25,0,"","","Jw w w w w, w w w w w,j w w w, w w, w w w, w w w w w, w w."
265,40,3,"","","w w, w w w w w, w w w w, w w w w w w w w w, w w w w w w w w, w w w w w, w w w w w w w."
266,20,0,"","","w w w w w w w w w, w w w w w w w, w w w w,"
267,50,0,"","","w, Jw w w w w, w w w w w:j w, Jw w w, w w w w, w w Twt w w w w w w w w; w w, w w w, w w w, w w w, w w w, w w w, w w w.j"
268,19,0,"","","w w w w w w w w w w w. w w w, w w w w w;"
269,32,0,"","","w w w w w w w w Twt w w w w w w, w w w w w w w w, w w w w w w w w w."
270,22,0,"","","w w w Twt w Twt w w w, w w w w; w w w Twt w w w w w;"
271,23,0,"","","w w w w w w w, w w w w w w w; w w w w w w w w w."
272,30,0,"","","w w w w w w w w w: w w w w w w w w w w: w w w Twt w w w w w w w."
273,32,0,"","","w w w w w, w w w w w w w. w w w w w w w w, w w w, Jw w; w w w w w w w:j"
274,25,0,"","","Jw Twt w w w, w w w; w, w, w w w w w, w; w w w w w w w w w.j"
275,19,3,"","","Jw w w w w w w, w w w w w, w w w w w w w;j"
276,39,0,"","","Jw w w w w w w w w w w w w, w w w w w. w w w w w w w w w w: w w w w w w w w w w w.j"
513,32,0,"","","Jw w w w w w w w w; w w w w w w w w w w w w w, w w w w w w w w w w;j"
514,38,0,"","","Jw w w w, w w w, w w w, w w w w w w w w w w: w w w w w w w w w w, w w w, w w w w w:j"
515,17,0,"","","Jw w w, w w w, w w w w w w w, w w w w.j"
516,13,0,"","","Jw w w Twt w w, w w w w w w w.j"
517,34,0,"","","Jw w w w w w w, w w, w w w w w; w w w w w w w w, w w w w w w w w w, w w w.j"
518,16,0,"","","Jw w w w, w w w w w w w w, w w w w.j"
519,39,0,"","","Jw w w w w, w w w w w w w w w w; w w w w w w w w w w w w w w, w w w w w w w w w w.j"
520,24,3,"","","Jw w w w w w w w w w; w w w w w w w w, w w w, w w w;j"
521,33,0,"","","Jw w w w, w w, w w, (w w w w) w Tw wt w w w w w w w w w, w w w, w Twt w w w w.j"
522,45,0,"","","Jw w w w w w w w w: w, w w w w Twt w w w w, w w w w w; w w w w w w w: w w w w w, w w w w w w w w w.j"
523,26,0,"","","Jw w w w w, w w w w w w w w w w; w w w w w w w w w w w.j"
524,22,3,"","","Jw w w w w w w w w w; w w w w w w w w w w w w;j"
525,43,0,"","","Jw w w w, w w w w, Twt w w w Twt: w w w w w w, w w w w w w, w w w w w w Twt w w w, w w w w w, w w w.j"
526,41,0,"","","Jw w w w w w w w, w w w w w w w w w w w, w w w w w w w w w w w w, w w w w w w, w w w w.j"
527,16,0,"","","Jw w w w w w w w w w w w, w w w w.j"
528,20,0,"","","Jw; w w w w w w w w, w w w w w w w w w w w.j"
529,52,0,"","","Jw w w w w, w w w w w w w w w w; w w w w w w w w w w w w w, w w w w w w w, w w w w w w w w, w w w w w w w w Tw.tj"
530,34,3,"","","Jw w w w w w w w w w; w w w w w w w, w w w w w w w w w w, w w w Twt w w w;j"
531,25,0,"","","Jw w w w, w w, w w, w w, w w w, w w w; w w w Tw wt w w w w.j"
532,36,0,"","","Jw w w w w w w w, w w w w w w, w w w w w, w w w w w w w w w w, w w w w w w w.j"
533,14,0,"","","Jw w w w w w w w w w; w w w w.j"
