BkChpVrsWrdNdx,PFootnote,RFootnote
754974720,"Written to the Romans from Corinthus, and sent by Phebe servant of the church at Cenchrea.","Written to the Romans from Corinthus, <i>and sent</i> by Phebe servant of the church at Cenchrea."
771751936," The first epistle to the Corinthians was written from Philippi by Stephanas, and Fortunatus, and Achaicus, and Timotheus.","The first <i>epistle</i> to the Corinthians was written from Philippi by Stephanas, and Fortunatus, and Achaicus, and Timotheus."
788529152," The second epistle to the Corinthians was written from Philippi, a city of Macedonia, by Titus and Lucas.","The second <i>epistle</i> to the Corinthians was written from Philippi, <i>a city</i> of Macedonia, by Titus and Lucas."
805306368,"Unto the Galatians written from Rome.","Unto the Galatians written from Rome."
822083584,"Written from Rome unto the Ephesians by Tychicus.","Written from Rome unto the Ephesians by Tychicus."
838860800,"It was written to the Philippians from Rome by Epaphroditus.","It was written to the Philippians from Rome by Epaphroditus."
855638016,"Written from Rome to the Colossians by Tychicus and Onesimus.","Written from Rome to the Colossians by Tychicus and Onesimus."
872415232," The first epistle unto the Thessalonians was written from Athens.","The first <i>epistle</i> unto the Thessalonians was written from Athens."
889192448,"The second epistle to the Thessalonians was written from Athens.","The second <i>epistle</i> to the Thessalonians was written from Athens."
905969664,"The first to Timothy was written from Laodicea, which is the chiefest city of Phrygia Pacatiana.","The first to Timothy was written from Laodicea, which is the chiefest city of Phrygia Pacatiana."
922746880,"The second epistle unto Timotheus, ordained the first bishop of the church of the Ephesians, was written from Rome, when Paul was brought before Nero the second time.","The second <i>epistle</i> unto Timotheus, ordained the first bishop of the church of the Ephesians, was written from Rome, when Paul was brought before Nero the second time."
939524096,"It was written to Titus, ordained the first bishop of the church of the Cretians, from Nicopolis of Macedonia.","It was written to Titus, ordained the first bishop of the church of the Cretians, from Nicopolis of Macedonia."
956301312,"Written from Rome to Philemon, by Onesimus, a servant.","Written from Rome to Philemon, by Onesimus, a servant."
973078528,"Written to the Hebrews from Italy by Timothy.","Written to the Hebrews from Italy by Timothy."
