BkChpNdx,NumVrs,NumWrd,BkAbbr,ChNdx
257,31,797,Gen,1
258,25,632,Gen,2
259,24,695,Gen,3
260,26,632,Gen,4
261,32,504,Gen,5
262,22,579,Gen,6
263,24,584,Gen,7
264,22,586,Gen,8
265,29,658,Gen,9
266,32,495,Gen,10
267,32,606,Gen,11
268,20,536,Gen,12
269,18,457,Gen,13
270,24,606,Gen,14
271,21,471,Gen,15
272,16,412,Gen,16
273,27,679,Gen,17
274,33,867,Gen,18
275,38,1108,Gen,19
276,18,498,Gen,20
277,34,774,Gen,21
278,24,629,Gen,22
279,20,539,Gen,23
280,67,1816,Gen,24
281,34,706,Gen,25
282,35,889,Gen,26
283,46,1262,Gen,27
284,22,621,Gen,28
285,35,830,Gen,29
286,43,1022,Gen,30
287,55,1417,Gen,31
288,32,794,Gen,32
289,20,508,Gen,33
290,31,790,Gen,34
291,29,664,Gen,35
292,43,845,Gen,36
293,36,942,Gen,37
294,30,819,Gen,38
295,23,666,Gen,39
296,23,580,Gen,40
297,57,1404,Gen,41
298,38,977,Gen,42
299,34,938,Gen,43
300,34,874,Gen,44
301,28,731,Gen,45
302,34,766,Gen,46
303,31,965,Gen,47
304,22,639,Gen,48
305,33,766,Gen,49
306,26,687,Gen,50
513,22,457,Exod,1
514,25,657,Exod,2
515,22,791,Exod,3
516,31,891,Exod,4
517,23,594,Exod,5
518,30,753,Exod,6
519,25,692,Exod,7
520,32,936,Exod,8
521,35,982,Exod,9
522,29,899,Exod,10
523,10,324,Exod,11
524,51,1493,Exod,12
525,22,675,Exod,13
526,31,931,Exod,14
527,27,713,Exod,15
528,36,1062,Exod,16
529,16,465,Exod,17
530,27,760,Exod,18
531,25,702,Exod,19
532,26,561,Exod,20
533,36,893,Exod,21
534,31,790,Exod,22
535,33,827,Exod,23
536,18,492,Exod,24
537,40,926,Exod,25
538,37,937,Exod,26
539,21,558,Exod,27
540,43,1235,Exod,28
541,46,1341,Exod,29
542,38,970,Exod,30
543,18,438,Exod,31
544,35,1093,Exod,32
545,23,710,Exod,33
546,35,1004,Exod,34
547,35,820,Exod,35
548,38,892,Exod,36
549,29,738,Exod,37
550,31,832,Exod,38
551,43,1030,Exod,39
552,38,821,Exod,40
769,17,525,Lev,1
770,16,486,Lev,2
771,17,511,Lev,3
772,35,1157,Lev,4
773,19,723,Lev,5
774,30,892,Lev,6
775,38,1056,Lev,7
776,36,988,Lev,8
777,24,624,Lev,9
778,20,628,Lev,10
779,47,1115,Lev,11
780,8,262,Lev,12
781,59,1857,Lev,13
782,57,1713,Lev,14
783,33,919,Lev,15
784,34,1157,Lev,16
785,16,553,Lev,17
786,30,667,Lev,18
787,37,898,Lev,19
788,27,836,Lev,20
789,24,587,Lev,21
790,33,879,Lev,22
791,44,1222,Lev,23
792,23,551,Lev,24
793,55,1532,Lev,25
794,46,1247,Lev,26
795,34,956,Lev,27
1025,54,1333,Num,1
1026,34,828,Num,2
1027,51,1291,Num,3
1028,49,1416,Num,4
1029,31,898,Num,5
1030,27,742,Num,6
1031,89,1939,Num,7
1032,26,687,Num,8
1033,23,722,Num,9
1034,36,891,Num,10
1035,35,1056,Num,11
1036,16,384,Num,12
1037,33,741,Num,13
1038,45,1181,Num,14
1039,41,1068,Num,15
1040,50,1341,Num,16
1041,13,335,Num,17
1042,32,1112,Num,18
1043,22,683,Num,19
1044,29,792,Num,20
1045,35,931,Num,21
1046,41,1201,Num,22
1047,30,743,Num,23
1048,25,659,Num,24
1049,18,445,Num,25
1050,65,1446,Num,26
1051,23,610,Num,27
1052,31,779,Num,28
1053,40,954,Num,29
1054,16,503,Num,30
1055,54,1208,Num,31
1056,42,1009,Num,32
1057,56,928,Num,33
1058,29,630,Num,34
1059,34,965,Num,35
1060,13,445,Num,36
1281,46,1262,Deut,1
1282,37,1021,Deut,2
1283,29,815,Deut,3
1284,49,1503,Deut,4
1285,33,921,Deut,5
1286,25,643,Deut,6
1287,26,843,Deut,7
1288,20,566,Deut,8
1289,29,963,Deut,9
1290,22,604,Deut,10
1291,32,950,Deut,11
1292,32,1055,Deut,12
1293,18,627,Deut,13
1294,29,708,Deut,14
1295,23,707,Deut,15
1296,22,710,Deut,16
1297,20,707,Deut,17
1298,22,611,Deut,18
1299,21,608,Deut,19
1300,20,646,Deut,20
1301,23,731,Deut,21
1302,30,894,Deut,22
1303,25,685,Deut,23
1304,22,681,Deut,24
1305,19,562,Deut,25
1306,19,667,Deut,26
1307,26,599,Deut,27
1308,68,2075,Deut,28
1309,29,851,Deut,29
1310,20,665,Deut,30
1311,30,1041,Deut,31
1312,52,1306,Deut,32
1313,29,805,Deut,33
1314,12,320,Deut,34
1537,18,573,Josh,1
1538,24,768,Josh,2
1539,17,566,Josh,3
1540,24,707,Josh,4
1541,15,550,Josh,5
1542,27,904,Josh,6
1543,26,927,Josh,7
1544,35,1221,Josh,8
1545,27,800,Josh,9
