ChpVrsNdx,NumWrd,bPilcrow,PText,RText
257,3,0,"Adam, Sheth, Enosh,","Adam, Sheth, Enosh,"
258,3,0,"Kenan, Mahalaleel, Jered,","Kenan, Mahalaleel, Jered,"
259,3,0,"Henoch, Methuselah, Lamech,","Henoch, Methuselah, Lamech,"
260,5,0,"Noah, Shem, Ham, and Japheth.","Noah, Shem, Ham, and Japheth."
261,17,1,"The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.","¶The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras."
262,10,0,"And the sons of Gomer; Ashchenaz, and Riphath, and Togarmah.","And the sons of Gomer; Ashchenaz, and Riphath, and Togarmah."
263,11,0,"And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim.","And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim."
264,10,1,"The sons of Ham; Cush, and Mizraim, Put, and Canaan.","¶The sons of Ham; Cush, and Mizraim, Put, and Canaan."
265,22,0,"And the sons of Cush; Seba, and Havilah, and Sabta, and Raamah, and Sabtecha. And the sons of Raamah; Sheba, and Dedan.","And the sons of Cush; Seba, and Havilah, and Sabta, and Raamah, and Sabtecha. And the sons of Raamah; Sheba, and Dedan."
266,12,0,"And Cush begat Nimrod: he began to be mighty upon the earth.","And Cush begat Nimrod: he began to be mighty upon the earth."
267,10,0,"And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,","And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,"
268,11,0,"And Pathrusim, and Casluhim, (of whom came the Philistines,) and Caphthorim.","And Pathrusim, and Casluhim, (of whom came the Philistines,) and Caphthorim."
269,8,0,"And Canaan begat Zidon his firstborn, and Heth,","And Canaan begat Zidon his firstborn, and Heth,"
270,9,0,"The Jebusite also, and the Amorite, and the Girgashite,","The Jebusite also, and the Amorite, and the Girgashite,"
271,9,0,"And the Hivite, and the Arkite, and the Sinite,","And the Hivite, and the Arkite, and the Sinite,"
272,9,0,"And the Arvadite, and the Zemarite, and the Hamathite.","And the Arvadite, and the Zemarite, and the Hamathite."
273,21,1,"The sons of Shem; Elam, and Asshur, and Arphaxad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech.","¶The sons of Shem; Elam, and Asshur, and Arphaxad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech."
274,8,0,"And Arphaxad begat Shelah, and Shelah begat Eber.","And Arphaxad begat Shelah, and Shelah begat Eber."
275,28,0,"And unto Eber were born two sons: the name of the one was Peleg; because in his days the earth was divided: and his brother's name was Joktan.","And unto Eber were born two sons: the name of the one <i>was</i> Peleg; because in his days the earth was divided: and his brother's name <i>was</i> Joktan."
276,10,0,"And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,","And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,"
277,6,0,"Hadoram also, and Uzal, and Diklah,","Hadoram also, and Uzal, and Diklah,"
278,6,0,"And Ebal, and Abimael, and Sheba,","And Ebal, and Abimael, and Sheba,"
279,13,0,"And Ophir, and Havilah, and Jobab. All these were the sons of Joktan.","And Ophir, and Havilah, and Jobab. All these <i>were</i> the sons of Joktan."
280,3,1,"Shem, Arphaxad, Shelah,","¶Shem, Arphaxad, Shelah,"
281,3,0,"Eber, Peleg, Reu,","Eber, Peleg, Reu,"
282,3,0,"Serug, Nahor, Terah,","Serug, Nahor, Terah,"
283,5,0,"Abram; the same is Abraham.","Abram; the same <i>is</i> Abraham."
284,7,1,"The sons of Abraham; Isaac, and Ishmael.","¶The sons of Abraham; Isaac, and Ishmael."
285,15,1,"These are their generations: The firstborn of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,","¶These <i>are</i> their generations: The firstborn of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,"
286,7,0,"Mishma, and Dumah, Massa, Hadad, and Tema,","Mishma, and Dumah, Massa, Hadad, and Tema,"
287,10,0,"Jetur, Naphish, and Kedemah. These are the sons of Ishmael.","Jetur, Naphish, and Kedemah. These are the sons of Ishmael."
288,28,1,"Now the sons of Keturah, Abraham's concubine: she bare Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And the sons of Jokshan; Sheba, and Dedan.","¶Now the sons of Keturah, Abraham's concubine: she bare Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And the sons of Jokshan; Sheba, and Dedan."
