ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
257,23,0,"","","w w w w w w w w w w w, w w Dwd w w Twt w w, w w w w."
258,30,0,"","","w w w w w w, w w w w w w w w, w w w w, w w w w w w w, w w w w w."
259,39,0,"","","w w, w w w w w w, w w w w w w Twt w w; w w w w w w w w w w, w w w w w w Dwd w w w w w."
260,30,0,"","","w w w w w w w w w w w w Tw w wt w w w w w: w w w w w w w w w w."
261,32,0,"","","w w w w, w w w w w w, w w w w, w w, w w w w w w w Dwd: w w w w w w w w."
262,28,0,"","","w w w w w w w w w w w Dwd, w Twt w w w w w w, w w w w w w w w."
263,18,2,"","","w w w w w w w w, w w w w, w w w w w w."
264,23,0,"","","w w w w w, w w w w w w w w w, w w w w w w w w w."
265,30,0,"","","w, w Dwd w, w w w w w w w w w: w w w w w w w w w w w w w w w w w."
266,28,0,"","","w w w w w w, w w w w w w w w w w w: w w w w w w w, Tw w wt w?"
267,53,0,"","","w w w w w, w w w w w w, w w w w w w, w, w w, w w w w w w, w w w w w w; w w w w w w w w, w w w w w w, w w w w w w w:"
268,39,0,"","","w w w Twt w w w; w w w w w w, w w, w w, w w w w w w w w w Tw wt w w, w w w w w w w w w."
269,27,1,"","","w w w Tw w wt w w w w w Twt w w w w, w w w w w w w, w w w w."
270,32,0,"","","w w w w w w: w w w w w w w w w, w w w w, w w w w w w w, w w w w w w."
271,29,0,"","","w w w w w w w w w Tw wt w w, w w w w w w w w w w Twt w w w w w."
272,21,0,"","","w w w w w w w w, w w w: w w w w w w w w w w."
273,48,0,"","","w w w w, w w w w w w w w w w w Twt w w, w w w w w w w w: w w w w w Twt w w w w w w w, w w w w w w, w w w."
513,19,0,"","","w w w w w w w w w w w w Dwd, w w w w w w."
514,29,0,"","","w w w w w w w w w w w w, w w w w w w w w, w w w w w w w w w."
515,36,2,"","","w w w w w w w w w, w, w w w w w w w w, w w w w w w w w w w w w w, Tw w w w wt."
516,64,0,"","","w, w w w w w w w w w Dwd w w, w w Twt w w, Twt w w w w w w, w w w w w, w w w w w w w w, w w w, w w w w w, w w w w w w w Dwd w w. w Tw w wt w w w w."
517,16,0,"","","w w w w w w Twt w: w w Twt w w w w w."
518,37,0,"","","w w w w w w w w w, w w w w w w w w w w? w Twt w w, w w w w w w w, w w w w w w w?"
519,52,0,"","","w w w w w w w w w w w, w w w, w w w, w w w, w w w, w w, w w, w w w w w w w w w w w Twt w w w w w w w, w w w w w w."
520,35,0,"","","w w w w w, w w, w w w, w w w: w w w w w w w w w w w w w; w, w, w w Tw wt w w w,"
521,20,0,"","","w w w w w w w: w w w w w w w w w Tw wt w w."
522,37,0,"","","w, w, w w w w w w, w w w w w, w w w w w w, w w w w w w, w w w w w w, w w w w w w."
523,28,1,"","","w w w w w w w w w, w w w w w, w w Dwd w w w w, w w w w w w w."
524,44,0,"","","w w w, w Twt w Dwd w w w, w w w w w, w w w w w w w w w w, w w w w w, w w w w w w w Dwd, w w w w w w."
525,15,0,"","","w w w w w w w w, w w w, w w w w,"
526,80,0,"","","w w w w w w w w w w, w w w Twt w w w w, w w w w w, w w w, w w, w w, w w, w w w, w w, w w, w w w w, w w w; w w w w w w w, w w w w w w w w w w w w, w w w w, w w w w w w w w w w w."
527,24,0,"","","w w w w, w w w, w w, w w w, w w w w w w, w w w w w w:"
528,35,0,"","","w w w w w w w w, w w w w w w: w w w w w w w w w w w w w; w w w w w w w w."
529,38,2,"","","w w w w w w w Twt w w w w w, w w w w w w w w w w; w w w w w w w w w w w w w w w."
530,36,0,"","","w w w w w w w w w Tw wt w w w, w w w Tw wt w w w w, w w w w w w w w w w w w w."
769,37,0,"","","w w w w w w w w w Dwd w w w w w, w Tw Dwdt w w w w w, w w w w w w w w w w w w w w."
770,20,0,"","","w w w w w w w w Twt w w w w, w w w w w w w."
771,33,2,"","","w w Tw w w wt w w w w w w w w w w w. w w w w w w w w Twt w w, w w w w w."
772,41,0,"","","w w w w Twt w w w Tw w wt, w w Tw w wt w w w w w w w, w w, w w w Twt w w w w: w w w w w w w w."
773,22,0,"","","w w w w w w w w w, w w w w w w, w w w w w w w."
774,17,0,"","","w w w w w w w w w w: w w w Twt w w w."
775,25,0,"","","w w w w w, w w, w w, w w w w, w w w w, w w; w w w w w w."
776,38,0,"","","w w w w w w w, w w w Twt w w w w w w w, w w, w w w w w w: w w w w w w w, Twt w w w w."
777,19,0,"","","w w w w w w Twt w w w w. w w w w w w w w."
778,18,3,"","","w w w w w w w w w w w w w, w w w w w."
779,42,2,"","","w w w w w w Twt w w w: w w Tw w w w wt w w, w w w w w w w: w w w w Tw wt w w, w w w w w w w w."
780,33,0,"","","w Twt w w w w w Twt w w, w w w w w w w: w w w w Twt w w Twt, w w w w w w w w."
781,21,0,"","","w w w w w w w w w w: w w w w w w, w w w Twt w."
782,18,2,"","","w w w w w Twt w, w w, w w, w w w, w w w w."
783,29,0,"","","w w w w w w w w w w w w w w, w w w w Twt w w w w w w w Twt w w."
784,28,0,"","","w w w w, Twt w w w, w w Twt w w w w w w; w w w w w, w w Twt w w w."
785,40,0,"","","w w w w w w w w w, w w w w w, w w w w w w; w w w w w w w w w w w, w w w w w w w w w."
1025,24,0,"","","w w w w w w w, w w w w w, w w w w w w, w w w w w w."
1026,33,2,"","","w w w w w w w w w w w w w, w w w, w w w w w w; w w w w w w w w w w w."
1027,33,0,"","","w w w Twt w w w w, w w w w w w: w w w w, w w w w w. w w w w Twt w, w w w w."
1028,43,0,"","","w w w w w, w w w w w, w w w w w w, w w w w w w, w w w w w w: w w w Tw wt w w w, w w w w w Twt w."
1029,34,0,"","","w w w w w Twt w w, w w w w w w w w w w w w w w, w w w w; Twt w w w w w w w."
1030,44,2,"","","w w w w w, w w w w w w w, w w w w w, w w w w: w w w w w w w w w w w w w; w w w Twt w w w w w w."
1031,27,0,"","","w w w w w w w w w w w, w w Twt w w w, w w w w w, w w w w w."
1032,29,0,"","","w w w w w, w w Twt w w w, w w w w w, w w w w w. w w w w w w w w."
1033,25,2,"","","w w w w w w w w, w w w w, w w w w w, w w w w w w w w."
1034,17,0,"","","w w w w w w w w w w w w w, w w w w."
1035,29,3,"","","w w w w w, w w w, w w w. w w w w w w w w w w w w w w w w w w;"
